"Name","Level","TID","InfoTID","SWF","ExportName","ExportNameAir","ExportNameBuildAnim","ExportNameBuildAnimAir","ExportNameBroken","ExportNameBrokenAir","BigPicture","BigPictureSWF","EffectBroken","Damage","DamageRadius","TriggerRadius","Width","Height","Effect","Effect2","DamageEffect","Passable","BuildResource","BuildTimeD","BuildTimeH","BuildTimeM","BuildCost","TownHallLevel","CapitalHallLevel","EjectVictims","MinTriggerHousingLimit","EjectHousingLimit","ExportNameTriggered","ExportNameTriggeredAir","ActionFrame","PickUpEffect","PlacingEffect","AppearEffect","ToggleAttackModeEffect","DurationMS","SpeedMod","DamageMod","AirTrigger","GroundTrigger","HitDelayMS","HitCnt","Projectile","MaxProjectileCount","MaxTargetRange","Spell","StrengthWeight","PreferredTargetDamageMod","PreferredTarget","SpawnedCharGround","SpawnedCharAir","NumSpawns","SpawnInitialDelayMs","TimeBetweenSpawnsMs","SpawnLvl","Disabled","ThrowDistance","VillageType","Pushback","DoNotScalePushByDamage","EnabledByCalendar","DirectionCount","HasAltMode","UpgradeLevelByTH","HintPriority","PreviewScenario","AltPreviewScenario"
,10,,,,"advBomb_lvl10","advBomb_lvl10_air","trap_1x1_upg","trap_1x1_upg","advBomb_lvl10_unarmed","advBomb_lvl10_air_unarmed",,,,180,,,,,,,,,,2,12,0,1500000,10,,,,,"advBomb_lvl10_triggered","advBomb_lvl10_air_triggered",,,,,,,,,,,,,,,,,570,,,,,,,,,,,,50,"TRUE",,,,,,,
"MegaAirGroundTrap",1,"TID_ADVANCED_MEGA_TRAP","TID_ADVANCED_MEGA_TRAP_INFO","sc/buildings2.sc","BigAdvBomb_lvl1","BigAdvBomb_lvl1_air","trap_2x2_upg","trap_2x2_upg","BigAdvBomb_lvl1_unarmed","BigAdvBomb_lvl1_air_unarmed",,,"Trap broken",250,400,300,2,2,"Super_Bomb",,"Small AirTrap Explosion","TRUE","Gold2",,,30,30000,4,,"FALSE",3,,"BigAdvBomb_lvl1_triggered","BigAdvBomb_lvl1_air_triggered",17,"Generic Pick Up","Generic Placing","Bomb Appear",,,,,"FALSE","FALSE",,,,,,,300,,,,,,,,,,,1,50,"TRUE",,,"TRUE",,75,,
,2,,,,"BigAdvBomb_lvl2","BigAdvBomb_lvl2_air","trap_2x2_upg","trap_2x2_upg","BigAdvBomb_lvl2_unarmed","BigAdvBomb_lvl2_air_unarmed",,,,275,,,,,,,,,,,1,0,40000,4,,,,,"BigAdvBomb_lvl2_triggered","BigAdvBomb_lvl2_air_triggered",,,,,,,,,,,,,,,,,330,,,,,,,,,,,,50,"TRUE",,,,,,,
,3,,,,"BigAdvBomb_lvl3","BigAdvBomb_lvl3_air","trap_2x2_upg","trap_2x2_upg","BigAdvBomb_lvl3_unarmed","BigAdvBomb_lvl3_air_unarmed",,,,300,,,,,,,,,,,3,0,50000,4,,,,,"BigAdvBomb_lvl3_triggered","BigAdvBomb_lvl3_air_triggered",,,,,,,,,,,,,,,,,360,,,,,,,,,,,,50,"TRUE",,,,,,,
,4,,,,"BigAdvBomb_lvl4","BigAdvBomb_lvl4_air","trap_2x2_upg","trap_2x2_upg","BigAdvBomb_lvl4_unarmed","BigAdvBomb_lvl4_air_unarmed",,,,330,,,,,,,,,,,6,0,80000,4,,,,,"BigAdvBomb_lvl4_triggered","BigAdvBomb_lvl4_air_triggered",,,,,,,,,,,,,,,,,390,,,,,,,,,,,,50,"TRUE",,,,,,,
,5,,,,"BigAdvBomb_lvl5","BigAdvBomb_lvl5_air","trap_2x2_upg","trap_2x2_upg","BigAdvBomb_lvl5_unarmed","BigAdvBomb_lvl5_air_unarmed",,,,360,,,,,,,,,,,12,0,120000,5,,,,,"BigAdvBomb_lvl5_triggered","BigAdvBomb_lvl5_air_triggered",,,,,,,,,,,,,,,,,420,,,,,,,,,,,,50,"TRUE",,,,,,,
,6,,,,"BigAdvBomb_lvl6","BigAdvBomb_lvl6_air","trap_2x2_upg","trap_2x2_upg","BigAdvBomb_lvl6_unarmed","BigAdvBomb_lvl6_air_unarmed",,,,395,,,,,,,,,,1,0,0,300000,6,,,,,"BigAdvBomb_lvl6_triggered","BigAdvBomb_lvl6_air_triggered",,,,,,,,,,,,,,,,,450,,,,,,,,,,,,50,"TRUE",,,,,,,
,7,,,,"BigAdvBomb_lvl7","BigAdvBomb_lvl7_air","trap_2x2_upg","trap_2x2_upg","BigAdvBomb_lvl7_unarmed","BigAdvBomb_lvl7_air_unarmed",,,,430,,,,,,,,,,1,12,0,600000,7,,,,,"BigAdvBomb_lvl7_triggered","BigAdvBomb_lvl7_air_triggered",,,,,,,,,,,,,,,,,480,,,,,,,,,,,,50,"TRUE",,,,,,,
,8,,,,"BigAdvBomb_lvl8","BigAdvBomb_lvl8_air","trap_2x2_upg","trap_2x2_upg","BigAdvBomb_lvl8_unarmed","BigAdvBomb_lvl8_air_unarmed",,,,470,,,,,,,,,,2,0,0,1000000,8,,,,,"BigAdvBomb_lvl8_triggered","BigAdvBomb_lvl8_air_triggered",,,,,,,,,,,,,,,,,510,,,,,,,,,,,,50,"TRUE",,,,,,,
,9,,,,"BigAdvBomb_lvl9","BigAdvBomb_lvl9_air","trap_2x2_upg","trap_2x2_upg","BigAdvBomb_lvl9_unarmed","BigAdvBomb_lvl9_air_unarmed",,,,510,,,,,,,,,,3,0,0,1400000,9,,,,,"BigAdvBomb_lvl9_triggered","BigAdvBomb_lvl9_air_triggered",,,,,,,,,,,,,,,,,540,,,,,,,,,,,,50,"TRUE",,,,,,,
,10,,,,"BigAdvBomb_lvl10","BigAdvBomb_lvl10_air","trap_2x2_upg","trap_2x2_upg","BigAdvBomb_lvl10_unarmed","BigAdvBomb_lvl10_air_unarmed",,,,550,,,,,,,,,,4,0,0,2500000,10,,,,,"BigAdvBomb_lvl10_triggered","BigAdvBomb_lvl10_air_triggered",,,,,,,,,,,,,,,,,570,,,,,,,,,,,,50,"TRUE",,,,,,,
"ShrinkTrap",1,"TID_TRAP_SHRINK","TID_TRAP_SHRINK_INFO","sc/buildings.sc","Shrink_trap_armed",,"Shrink_trap_armed",,"Shrink_trap_unarmed",,"Shrink_trap_armed","sc/buildings.sc","Trap broken",,300,200,2,2,,,"Generic Hit","TRUE","Gold",,,0,12500,1,,"FALSE",1,,"Shrink_trap_trigger",,14,"Generic Pick Up","Generic Placing","Shrink Trap Appear",,20000,100,,"TRUE","TRUE",,,,,,"ShrinkTrap",150,,,,,,,,,,,,,,"TRUE",,,,,,
"TornadoTrap",1,"TID_TRAP_TORNADO","TID_TRAP_TORNADO_INFO","sc/buildings.sc","tornado_trap_setup_lvl1",,"tornado_trap_setup_lvl1",,"tornado_trap_unarmed_lvl1",,"tornado_trap_setup_lvl1","sc/buildings.sc","Trap broken",,300,300,1,1,,,"Generic Hit","TRUE","Gold",1,0,0,1800000,11,,"FALSE",1,,"tornado_trap_lvl1",,8,"Generic Pick Up","Generic Placing","Shrink Trap Appear",,5000,100,,"TRUE","TRUE",,,,,,"TornadoTrap",150,,,,,,,,,,,,,,,,,,75,"Trap",
,2,,,,"tornado_trap_setup_lvl2",,"tornado_trap_setup_lvl2",,"tornado_trap_unarmed_lvl2",,"tornado_trap_setup_lvl2",,,,,,,,,,,,,2,0,,2800000,11,,,,,"tornado_trap_lvl2",,,,,,,6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,"tornado_trap_setup_lvl2",,"tornado_trap_setup_lvl2",,"tornado_trap_unarmed_lvl2",,"tornado_trap_setup_lvl2",,,,,,,,,,,,,3,0,,3500000,12,,,,,"tornado_trap_lvl2",,,,,,,7000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ShrinkTrap_SinglePlayer",1,"TID_TRAP_SHRINK_SP","TID_TRAP_SHRINK_INFO","sc/buildings.sc","Shrink_trap_armed",,"Shrink_trap_armed",,"Shrink_trap_unarmed",,"Shrink_trap_armed","sc/buildings.sc","Trap broken",,300,200,2,2,,,"Generic Hit","TRUE","Gold",,,0,12500,9999,,"FALSE",1,,"Shrink_trap_trigger",,14,"Generic Pick Up","Generic Placing","Shrink Trap Appear",,20000,100,,"TRUE","TRUE",,,,,,"ShrinkTrap",150,,,,,,,,,"TRUE",,,,,,,,,,,
"FreezeTrap_SinglePlayer",1,"TID_TRAP_FREEZE_SP","TID_TRAP_FREEZE_INFO","sc/buildings.sc","Freeze_trap_armed",,"Freeze_trap_armed",,"Freeze_trap_unarmed",,"Freeze_trap_armed","sc/buildings.sc","Trap broken",,300,200,2,2,,,"Generic Hit","TRUE","Gold",,,0,12500,9999,,"FALSE",1,,"Freeze_trap_trigger",,14,"Generic Pick Up","Generic Placing","Bomb Appear",,5000,100,,"TRUE","TRUE",,,,,,"FreezeTrap",150,,,,,,,,,"TRUE",,,,,,,,,,,
"GhostTrap",1,"TID_TRAP_HALLOWEEN_SKEL","TID_TRAP_HALLOWEEN_SKEL_INFO","sc/buildings.sc","troop_trap_land_lvl3_setup",,"bomb_upg","bomb_upg","troop_trap_land_lvl1_unarmed",,"skele_trap_land_lvl1_info","sc/ui.sc",,0,0,500,1,1,,,,"TRUE","Gold",,,0,6000,1,,"FALSE",1,,"troop_trap_land_lvl1",,37,"Skeleton Trap Pick Up","Skeleton Trap Placing","Skeleton Trap","Skeleton Trap Target",,,,"FALSE","TRUE",,,,,,,80,,,"Royal_Ghost",,1,600,150,6,"TRUE",,,,,,,,,75,,
