"TID","TR"
"TID_EVENT_BOOST_BARRACKS","Yılbaşı Özel: Kışlaları ve İksir Toplayıcıları sadece birer taş karşılığında hızlandır! Etkinlik 7 Ocak'a kadar devam ediyor."
"TID_EDIT_MODE_NEED_TO_FINISH","Son köy düzenleme oturumun kurtarıldı"
"TID_TRAINING_CAPACITY","Eğitim kapasitesi: <number>"
"TID_EVENT_BOOST_GEM_AMOUNT","1x"
"TID_PROMOTE_TO_COLEADER_CONFIRMATION_TITLE","Terfi edilsin mi?"
"TID_PROMOTE_TO_COLEADER_CONFIRMATION","<name>, Klan Yardımcı Lideri olsun mu?"
"TID_DEMOTE_TO_ADMIN_CONFIRMATION_TITLE","Rütbesini indirelim mi?"
"TID_DEMOTE_TO_ADMIN_CONFIRMATION","<name>, Klan Büyüğü rütbesine indirilsin mi?"
"TID_ALLIANCE_ROLE_COLEADER","Yardımcı Lider"
"TID_ALLIANCE_WAR_PREPARATION_TIME_TITLE","Hazırlık Günü"
"TID_ALLIANCE_WAR_ATTACK_TIME_TITLE","Savaş Günü"
"TID_ALLIANCE_WAR_NOT_IN_CLAN","Klan Savaşlarında yer almak için önce bir Klana katılman gerekiyor!"
"TID_ALLIANCE_WAR_VISIT_FAILED_NOT_FOUND","Ziyaret edilemiyor, köy bulunamadı! Lütfen daha sonra tekrar dene."
"TID_ALLIANCE_WAR_VISIT_FAILED_UNAVAILABLE","Ziyaret edilemiyor, köy mevcut değil! Lütfen daha sonra tekrar dene."
"TID_ALLIANCE_WAR_VISIT_FAILED","Ziyaret edilemiyor, lütfen daha sonra tekrar dene."
"TID_ALLIANCE_WAR_SAVE_VILLAGE","Köyü Kaydet"
"TID_ALLIANCE_WAR_SNAPSHOT_FAILED","Köy kaydedilemedi, lütfen daha sonra tekrar dene!"
"TID_ALLIANCE_WAR_ATTACK_FAILED_ALL_ATTACKS_USED","Bu savaştaki tüm saldırılarını kullandın!"
"TID_ALLIANCE_WAR_ATTACK_FAILED_INVALID_TARGET","Bu köye saldıramazsın, geçersiz hedef!"
"TID_ALLIANCE_WAR_ATTACK_FAILED_TARGET_NOT_IN_WAR","Bu savaşa katılamazsın, klana savaş başladıktan sonra katıldın!"
"TID_ALLIANCE_WAR_ATTACK_FAILED_ATTACK_ONGOING","Devam eden bir saldırın var, daha sonra tekrar dene!"
"TID_ALLIANCE_WAR_ATTACK_FAILED_SNAPSHOT_NOT_AVAILABLE","Hedef köy şu anda erişilemez durumda, daha sonra tekrar dene!"
"TID_ALLIANCE_WAR_ATTACK_FAILED_TARGET_UNDER_ATTACK","Köy zaten saldırı altında, daha sonra tekrar dene!"
"TID_ALLIANCE_WAR_ATTACK_FAILED","Bu köye saldıramazsın, daha sonra tekrar dene!"
"TID_ALLIANCE_WAR_LOOKING_FOR_OPPONENT","Rakip klan aranıyor..."
"TID_ALLIANCE_WAR_WAR_STARTING","Savaş ilan edildi"
"TID_ALLIANCE_WAR_STREAM_DEFENDED","Savunuldu!"
"TID_ALLIANCE_WAR_NUM_DEFENCES","Savunuldu: <number>"
"TID_ALLIANCE_WAR_PREPARE_FOR_WAR","Savaşa hazır ol!"
"TID_ALLIANCE_WAR_IN_WAR","Savaş başladı!"
"TID_ALLIANCE_WAR_ENDED","Savaş sona erdi"
"TID_BONUS_GEMBOX","Taş Kutusu"
"TID_HERO_ABILITY_TIME","Yetenek süresi: <number> Saniye"
"TID_HERO_RECHARGE_TIME","Şarj olma süresi: <number> Saniye"
"TID_HERO_ABILITY_COOLDOWN_ACTIVE","Kahraman yeteneğini tekrar kullanabilmek için beklemen gerekiyor!"
"TID_HERO_ABILITY_USED","Yeteneği zaten kullandın!"
"TID_HERO_ABILITY_BARBARIAN_TITLE","Demir Yumruk"
"TID_HERO_ABILITY_BARBARIAN_DESC","Kral hiddetlenerek sağlığını büyük oranda yeniler, hızı ve saldırı gücü de artar. Bir grup öfkeli barbar da gelip savaşa katılır!"
"TID_HERO_ABILITY_LEVEL","Yetenek seviyesi: <number>"
"TID_HERO_ABILITY_LEVEL_UNLOCK_PROMPT","Yeteneğin kilidi <number>. seviyede açılır!"
"TID_HERO_ABILITY_UPGRADE_PROMPT_MALE","Yeteneğini geliştirmek için kahramanını <number>. seviyeye yükselt!"
"TID_HERO_ABILITY_UPGRADE_PROMPT_FEMALE","Yeteneğini geliştirmek için kahramanını <number>. seviyeye yükselt!"
"TID_HERO_ABILITY_UNLOCK_PROMPT_MALE","Bu yeteneğin kilidini açmak için kahramanını <number>. seviyeye yükselt!"
"TID_HERO_ABILITY_UNLOCK_PROMPT_FEMALE","Bu yeteneğin kilidini açmak için kahramanını <number>. seviyeye yükselt!"
"TID_HERO_ABILITY_SUMMONED_TROOP_TYPE","Çağrılan birim:"
"TID_DONATE_NOT_AVAILABLE_IN_MODE","Birlik bağışlamak için eve dön!"
"TID_REPLAY_NOT_AVAILABLE_IN_MODE","Bir oyun tekrarı izlemek için eve dön!"
"TID_ACCEPT_NOT_AVAILABLE_IN_MODE","İsteklere cevap vermek için eve dön!"
"TID_ALLIANCE_WAR_CANNOT_ATTACK","Köy hazır değil, lütfen birkaç dakika içinde tekrar dene."
"TID_HERO_ABILITY_QUEEN_TITLE","Kraliyet Pelerini"
"TID_HERO_ABILITY_QUEEN_DESC","Kraliçe gözden kaybolarak sağlığının bir kısmını yeniler ve tahrip gücü yüksek mühimmatla yıkıcı bir yaylım ateşi açar. Savunmalar onu hedef alamaz ve bir grup okçu ortaya çıkarak savunmaların dikkatini dağıtır!"
"TID_HERO_ABILITY_NUM_SUMMONED_UNITS","Çağrılan birimler: <number>"
"TID_POPUP_BOOST_HERO_REST","Kahramanın iyileştirmesi <time> süreliğine <multiplier> kat artırılsın mı?"
"TID_POPUP_HEADER_ABOUT_TO_BOOST_HERO","İyileştirme hızını artır!"
"TID_CANCEL_HERO_BOOST_CONFIRMATION","Kahramanı yükseltmek hızlandırmayı sonlandıracak. Emin misin?"
"TID_ITEM_LOCKED","<item> (Kilitli)"
"TID_HERO_ABILITY_DURATION","Yetenek süresi:"
"TID_HINT_HEROES_ABILITIES","Kahramanların 5. seviyede açılan yükseltilebilir özel yetenekleri vardır ve bu yetenekler saldırıda kullanılabilir."
"TID_ALLIANCE_WAR_TOTAL_LOOT_STOLEN","Çalınan toplam ganimet:"
"TID_ALLIANCE_WAR_ENEMY_CLAN","Düşman Klan"
"TID_ACHIEVEMENT_WAR_STARS_TITLE","Savaş Kahramanı"
"TID_ACHIEVEMENT_WAR_STARS","Klan Savaşlarında klanın için <number> Yıldız kazan"
"TID_ACHIEVEMENT_WAR_STARS_COMPLETED","Klan Savaşlarında kazanılan toplam Yıldız: <value>"
"TID_ALLIANCE_WAR_CLAN_BANK","Klan Deposu:"
"TID_ALLIANCE_WAR_RESOURCE_STORAGE_CAPACITY","<resource>: <number>"
"TID_BUTTON_CLAN_WAR_HISTORY","Savaş Günlüğü"
"TID_CLAN_WAR_PREPARE_BUTTON","Hazır ol!"
"TID_LOCAL_NOTIFICATION_WAR_PREPARATION_ENDS","Klan savaşı hazırlığı sona ermek üzere!"
"TID_LOCAL_NOTIFICATION_WAR_ENDS","Klan savaşı sona ermek üzere!"
"TID_ALLIANCE_WAR_SPECTATOR_MODE","Savaş İzleyicisi"
"TID_ALLIANCE_WAR_SPECTATOR_MESSAGE","Bu savaşa katılma hakkı kazanamadın"
"TID_ALLIANCE_WAR_STARTWAR_INFO_NOT_ENOUGH_MEMBERS","Şöhret, bonus ganimet ve Klan TP kazanmak için klana karşı klan savaşlarına katıl!\n\n\nBaşlamak için en az 10 klan üyesine ihtiyacın var."
"TID_ALLIANCE_WAR_STARTWAR_INFO_LEADER","Şöhret, bonus ganimet ve Klan TP kazanmak için klana karşı klan savaşlarına katıl!\n\n\nKlanın hazır mı? Hadi savaşa!"
"TID_ALLIANCE_WAR_STARTWAR_INFO_CLANMEMBER","Şöhret, bonus ganimet ve Klan TP kazanmak için klana karşı klan savaşlarına katıl!\n\n\nBaşlamaya hazır mısın? Bir klan liderinden bir savaş başlatmasını iste."
"TID_DRAW","Berabere"
"TID_ALLIANCE_WAR_NEW_WAR","Yeni savaş"
"TID_ALLIANCE_WAR_SCOUT","Gözcülük yap"
"TID_ALLIANCE_WAR_NO_BEST_ATTACK","Saldırıya uğramadı"
"TID_ALLIANCE_WAR_LOOT_BONUS_TITLE","Kazanma bonusu"
"TID_ALLIANCE_WAR_CANNOT_ATTACK_SPECTATOR","İzleyiciler saldıramaz!"
"TID_ALLIANCE_WAR_CANNOT_ATTACK_PREPARATION","Saldırı yapılamıyor, bu savaş henüz başlamadı!"
"TID_ALLIANCE_WAR_CANNOT_ATTACK_WAR_ENDED","Saldırı yapılamıyor, bu savaş sona erdi!"
"TID_WAR_PREPARE","Hazır ol!"
"TID_WAR_STARTS_IN","Savaşa kalan süre:"
"TID_ALLIANCE_WAR_STAT_ATTACKS","Kullanılan saldırılar"
"TID_ALLIANCE_WAR_STAT_AVG_DESTRUCTION","Ortalama yıkım"
"TID_ALLIANCE_WAR_CANNOT_SCOUT_WAR_OVER","Gözcülük yapılamıyor, bu savaş sona erdi!"
"TID_ACHIEVEMENT_WAR_LOOT_TITLE","Hazineci"
"TID_ACHIEVEMENT_WAR_LOOT","Hazineden <number> altın topla"
"TID_ACHIEVEMENT_WAR_LOOT_COMPLETED","Klan Savaşı bonuslarında toplanan toplam altın: <value>"
"TID_CANCEL_WAR_MATCHMAKING_CONFIRMATION_TITLE","Aramayı durduralım mı?"
"TID_CANCEL_WAR_MATCHMAKING_CONFIRMATION_TEXT","Aramayı durdurmak ve yeniden başlatmak arama süresini kısaltmaz ve hatta süreyi uzatabilir. Durdurmak istediğinden emin misin?"
"TID_ALLIANCE_WAR_STAT_WINS","Kazanılan saldırılar"
"TID_ALLIANCE_WAR_BEST_ATTACK_FRIENDLY","Klanın en iyi saldırısı:"
"TID_ALLIANCE_WAR_BEST_ATTACK_ENEMY","Düşmanın en iyi saldırısı:"
"TID_ALLIANCE_WAR_MY_ATTACKS","Saldırılarım:"
"TID_ALLIANCE_WAR_BEST_NO_ATTACK_FRIENDLY","Klan rekoru yok"
"TID_ALLIANCE_WAR_BEST_NO_ATTACK_ENEMY","Düşman rekoru yok"
"TID_ALLIANCE_WAR_AVAILABLE_BONUS","Kazanma bonusu"
"TID_ALLIANCE_WAR_STARS_WON","Yıldız"
"TID_ALLIANCE_WAR_PERSONAL_LOOT_RESULT","Alınan savaş bonusu"
"TID_WAR_PREPARE_ARMYCAMP_INFO","Köyünü savaşa hazırla!\n<c2>Klan kaleni</c> doldur ve klan arkadaşlarına yardım et, en iyi <c2>birliklerini</c> çağır, güçlü <c2>büyüler</c> yap ve <c2>kahramanlarının</c> savaşa hazır olduğundan emin ol!"
"TID_ALLIANCE_WAR_PERSONAL_ATTACK_1","Saldırı 1"
"TID_ALLIANCE_WAR_PERSONAL_ATTACK_2","Saldırı 2"
"TID_ALLIANCE_WAR_ATTACK_AVAILABLE","Mevcut"
"TID_ALLIANCE_WAR_UNDER_ATTACK_BY","<name> saldırı altında!"
"TID_ALLIANCE_WAR_ATTACKS_REMAINING","Kalan saldırı"
"TID_ALLIANCE_WAR_EVENTS","Savaş Etkinlikleri"
"TID_ALLIANCE_WAR_LOOT_DELIVERED","Savaş ganimeti bonusu Hazinene teslim edildi!"
"TID_ALLIANCE_WAR_LOOT_TRANSFERRED","Hazine kaynakları toplandı!"
"TID_ALLIANCE_WAR_LOOT_NOT_EXIST","Hazinende depolanan kaynak yok!"
"TID_ALLIANCE_WAR_LOOT_COLLECT_INFO","Savaş ganimet bonusunu Hazinenden alabilirsin."
"TID_ALLIANCE_WAR_FAILED_WAR_IS_ENDING","Saldırı yapılamıyor, savaş sona ermek üzere!"
"TID_ALLIANCE_WAR_FAILED_ATTACKING_SAME_TARGET","Bu hedefe zaten saldırdın!"
"TID_ALLIANCE_WAR_PREPARED_HEADER_FRIENDLY","Savaşa hazır olan klan arkadaşları:"
"TID_ALLIANCE_WAR_PREPARED_HEADER_ENEMY","Savaşa hazır olan düşmanlar:"
"TID_ALLIANCE_WAR_PREPARED_FOR_WAR","Savaşa hazır!"
"TID_ALLIANCE_WAR_NOT_PREPARED_FOR_WAR","Savaşa hazırlanılıyor..."
"TID_HINT_CLAN_WAR","Muhteşem savaşlar ve ekstra ganimet için Klan Savaşlarına katıl!"
"TID_CHAT_REPORT_CONFIRMATION_TITLE","<name> bildirilsin mi?"
"TID_CHAT_REPORT_CONFIRMATION","<name> adlı kişiyi uygunsuz davranış nedeniyle bildirmek istediğinden emin misin?"
"TID_ALLIANCE_WAR_LOOT_CONFIRMATION_TITLE","Kaynakları toplayalım mı?"
"TID_ALLIANCE_WAR_LOOT_CONFIRMATION","Tüm kaynaklarını Hazineden depolarına aktarmak istediğinden emin misin?"
"TID_WAR_BROWSE","Ayrıntılar"
"TID_ALLIANCE_WAR_HISTORY_BROWSE_UNAVAILABLE","Ayrıntılar mevcut değil"
"TID_WAR_DATA_ERROR_NO_LONGER_AVAILABLE","Bu savaşın ayrıntıları artık mevcut değil."
"TID_WAR_DATA_ERROR_INTERNAL","Savaş ayrıntıları alınamıyor, lütfen daha sonra tekrar dene."
"TID_WAR_DATA_ERROR_INVALID_WAR","Savaş ayrıntıları bulunamıyor."
"TID_ALLIANCE_WAR_DATA_NOT_AVAILABLE","Klan savaşları hala yükleniyor, lütfen tekrar dene"
"TID_CLANS_VS","X"
"TID_ALLIANCE_WAR_ATTACK_NOT_USED","Kullanılmıyor"
"TID_ALLIANCE_WAR_CLOSE_RESULTS_SCREEN","Haritayı Görüntüle"
"TID_WAR_WIN_BONUS","<percentage> Kazanma bonusu"
"TID_VILLAGE_NOT_PREPARED","Köy hazır değil"
"TID_VILLAGE_PREPARED","Köy hazır"
"TID_BEST_ATTACK","En iyi saldırı:"
"TID_VILLAGE_UNDER_ATTACK","Köy saldırı altında!"
"TID_RECOMMENDED_TARGET","Tavsiye edilen hedef"
"TID_ALLIANCE_WAR_EVENT_PREPARATION_STARTED","Hazırlık başladı"
"TID_ALLIANCE_WAR_EVENT_WAR_STARTED","Savaş başladı"
"TID_ALLIANCE_WAR_EVENT_WAR_ENDED","Savaş sona erdi"
"TID_ALLIANCE_WAR_ATTACK_CONFIRM_TITLE","Saldırıyı onayla"
"TID_ALLIANCE_WAR_ATTACK_CONFIRM_1STAR","Klanın bu köyden zaten 1 yıldız kazandı. Daha iyi bir skor almayı denemek ister misin?"
"TID_ALLIANCE_WAR_ATTACK_CONFIRM_2STARS","Klanın bu köyden zaten 2 Yıldız kazandı. Daha iyi bir skor almayı denemek ister misin?"
"TID_ALLIANCE_WAR_ATTACK_CONFIRM_3STARS","Bu köy zaten yok edildi ve klanın bu köyden daha fazla Yıldız alamaz. Saldırmak istediğinden emin misin?"
"TID_ALLIANCE_WAR_ENDING_PROMPT","Savaş Sonu"
"TID_ALLIANCE_WAR_ENDED_PROMPT","Savaş sona erdi"
"TID_BUTTON_HELP_CENTER","Daha fazla yardım"
"TID_EVENT_BOOST_COLLECTORS","Özel Etkinlik: Her biri için BİR TAŞ harcayarak tüm kaynak toplayıcılarını hızlandır!"
"TID_EVENT_BOOST_SPELL_AND_HEROES","Özel Etkinlik: Her biri için BİR TAŞ harcayarak kahramanlarını ve büyülerini güçlendir! Etkinlik 6 Mart'a kadar devam ediyor."
"TID_EVENT_BOOST_EVERYTHING","Hafta Sonu Özel: Her biri için BİR TAŞ harcayarak tüm binalarını hızlandır!"
"TID_EVENT_BOOST_ATTACKS","Saldırı Etkinliği: Her biri için BİR TAŞ harcayarak tüm kışlalarını, büyülerini ve kahramanlarını güçlendir! Etkinlik 7 Ocak'a kadar devam ediyor."
"TID_WAR_HISTORY_NOT_AVAILABLE","Klanın daha önce hiç savaşa girmedi!"
"TID_WAR_DONATE","Bağış Yap"
"TID_WAR_DONATE_MESSAGE","İstek"
"TID_WAR_DONATE_MESSAGE_SAVED","Bağış mesajı kaydedildi"
"TID_WAR_INFO","Her günü birbirinden destansı iki günlük bir savaş, en çok Yıldız alan klan tarafından kazanılıyor. Kazanan klanı bonus ganimet ve Klan TP ödülleri bekliyor. Saldırıları kazanarak bonus ganimet miktarını artır fakat klanın savaşı kaybederse kazandığının çoğunu kaybedersin! Berabere kalma durumunda saldırılardan Toplam Yıkım yüzdesi en yüksek olan kazanır."
"TID_WAR_INFO_FRIENDLYWAR_ADDITION","Her günü birbirinden destansı iki günlük bir savaş. En çok Yıldız alan klan tarafından kazanılıyor. Kazanan klanı bonus ganimet ve Klan TP ödülleri bekliyor. Saldırıları kazanarak bonus ganimet miktarını artırabilir ama klanın savaşı kaybederse kazandığının çoğunu kaybedersin! Berabere kalma durumunda saldırılardan Toplam Yıkım yüzdesi en yüksek olan kazanır.\n\nNot: Dostluk Savaşları özel süre kullanır ve ganimet ya da Klan TP vermez."
"TID_WAR_INFO_HEADLINE","Genel Bakış"
"TID_WAR_WAR_BASE_INFO","Hazırlık gününde Savaş Üsleri birlik bağışına açılır ve normal köyünün tüm parçaları kullanılarak yeniden tasarlanabilir. Bu üsler savaş sırasında savunma yapar ve kaynaklarınla kupalarının güvende kalmasını sağlar. İnşa ettiğin tüm yeni binaları yerleştirmeyi unutma!"
"TID_WAR_WAR_BASE_HEADLINE","Hazırlık Günü"
"TID_WAR_BATTLE_INFO","Herkes saldırılarını savaş gününde yapar. Her düşmana karşı yapılan saldırılardan sadece en iyisi sayılır, bu yüzden Klan stratejisi çok önemlidir! Klan savaşı saldırıları, kalkanını azaltmaz ve kupalarını etkilemez."
"TID_WAR_BATTLE_INFO_HEADLINE","Savaş Günü"
"TID_TAB_OVERVIEW","Genel Bakış"
"TID_TAB_PREPARATION","Hazırlık Günü"
"TID_TAB_BATTLE","Savaş Günü"
"TID_WAR_DONATE_DONE","Bu oyuncu için zaten maksimum miktarda birlik bağışladın!"
"TID_WAR_DONATE_FULL","Bu oyuncu başka birlik alamaz"
"TID_TUTORIAL_WAR_MAP_FRIENDLY_1","Nihayet buradasın şef! Savaş Bölgesine hoş geldin!"
"TID_TUTORIAL_WAR_MAP_FRIENDLY_2","Düşmanlarımız savaşmak için can atıyor ama bizim klanımız da burada ve savaşa hazır!"
"TID_TUTORIAL_WAR_MAP_FRIENDLY_3","Şef, şuraya bak! Düşman klanını tespit ettim!"
"TID_TUTORIAL_WAR_MAP_ENEMY_1","Aman Tanrım, düşmanın Savaş Üsleri her yerde!"
"TID_TUTORIAL_WAR_MAP_ENEMY_2","Burada saldırılar sınırlı, bu yüzden klanımızın onların hepsiyle savaşması gerekiyor."
"TID_TUTORIAL_WAR_MAP_ENEMY_3","Önce etrafa bir bakalım şef, sonra da Savaş Üslerimize bir göz atalım."
"TID_TUTORIAL_WAR_DONATE_1","Hazırlık gününde birlik bağışlayıp düşmanlarımıza gözcülük yapıyoruz."
"TID_TUTORIAL_WAR_BATTLE_1","Savaş gününde saldırıyoruz! Kupalar ve Kalkanlar burada sayılmıyor, sadece zafer sayılıyor!"
"TID_TUTORIAL_WAR_INFO_1","Daha fazlasını öğrenmek için bilgi düğmesine dokun. Klan sana güveniyor şef!"
"TID_CLAN_WARS","Klan Savaşları"
"TID_FRIENDLY_ZONE","Arkadaş Bölgesi"
"TID_ENEMY_TERRITORY","Düşman Bölgesi"
"TID_DONATE","Bağış Yap"
"TID_WARS_WON","Kazanılan Savaş:"
"TID_PREVIOUS_BEST","Önceki Rekor"
"TID_NEW_BEST","Yeni Rekor"
"TID_TRANSITION_WAR_ENDED","Savaş sona erdi"
"TID_TRANSITION_WAR_START","Savaş Günü"
"TID_TRANSITION_WAR_PREPARE","Hazırlık Günü"
"TID_PLUS_ONE_CLAN_STAR","+1 Savaş Yıldızı"
"TID_WAR_RESULTS_BUTTON","Savaş Sonuçları"
"TID_TAB_RESULTS","Savaş Sonuçları"
"TID_WAR_RESULTS_INFO","Savaşın sonunda bonus ganimet Hazinene gönderilir. Savaşı kazanman, klanın için büyük miktarda Klan TP de kazandıracak. Savaş bittikten sonra bir süre için sonuçlara ve savaş tekrarlarına yeniden bakabilirsin. Daha eski savaşlara bakmak için klanının Savaş Günlüğüne göz at!"
"TID_WAR_RESULTS_INFO_FRIENDLYWAR_ADDITION","Savaşın sonunda bonus ganimet Hazinene gönderilir. Savaşı kazanman, klanın için büyük miktarda Klan TP de kazandıracak. Savaş bittikten sonra bir süre için sonuçlara ve savaş tekrarlarına yeniden bakabilirsin. Daha eski savaşlara bakmak için klanının Savaş Günlüğüne göz at!\n\nNot: Dostluk Savaşları ganimet ya da Klan TP vermez."
"TID_WAR_RESULTS_INFO_HEADLINE","Savaş Sonuçları"
"TID_WAR_SPECTATOR_TITLE","Savaş İzleyicisi"
"TID_WAR_SPECTATOR_TEXT","Bu Savaşta yoksun. Bir sonrakine katılmak istersen Klan Liderine ya da Yardımcı Lidere seni seçmesini söyle."
"TID_ALLIANCE_WAR_HAS_ENDED","Şu anki klan savaşın sona erdi!"
"TID_NUMBER_ONE",1
"TID_NUMBER_TWO",2
"TID_NUMBER_THREE",3
"TID_NUMBER_FOUR",4
"TID_ALLIANCE_WAR_RETURN_TO_CURRENT_WAR","Şu Anki Savaş"
"TID_HOME","Ev"
"TID_ENEMY","Düşman"
"TID_BUTTON_RETURN_TO_WAR","Savaş Haritası"
"TID_ALLIANCE_WAR_PLAYER_ON_WAR_COOLDOWN","Sıradaki savaşa katılma hakkına kalan"
"TID_WAR_DONATE_SPECTATOR","İzleyiciler bağış yapamaz!"
"TID_WAR_SEARCH_CANCEL","Arama iptal ediliyor..."
"TID_GOOGLE_PLAY_ACHIEVEMENTS","Başarılar"
"TID_ALLIANCE_WAR_STAT_STARS_PER_ATTACK","Saldırı başına Yeni Yıldız"
"TID_ALLIANCE_WAR_STATS_TAB","Savaş İstatistikleri"
"TID_ALLIANCE_WAR_MOST_HEROIC_VICTORY","En kahramanca saldırı"
"TID_ALLIANCE_WAR_MOST_HEROIC_DEFENCE","En kahramanca savunma"
"TID_ALLIANCE_WAR_NO_HEROIC_VICTORY","Yok"
"TID_ALLIANCE_WAR_AVG_ATTACK_DURATION","Ortalama saldırı süresi"
"TID_ALLIANCE_WAR_LAST_MOMENT_EVENT","Son dakika!"
"TID_WAR_STREAM_ENTRY_TIME","<time> kaldı"
"TID_ALLIANCE_WAR_STAT_NUM_3STARS","3 Yıldız"
"TID_ALLIANCE_WAR_STAT_NUM_2STARS","2 Yıldız"
"TID_ALLIANCE_WAR_STAT_NUM_1STARS","1 yıldız"
"TID_ALLIANCE_WAR_STAT_ATTACKS_LOST","Kaybedilen saldırılar"
"TID_VIEW_PLAYER_ON_WAR_MAP_BUTTON","Haritada görüntüle"
"TID_POPUP_REMOVE_WAR_DONATION_TITLE","Birlikler silinsin mi?"
"TID_POPUP_REMOVE_WAR_DONATION_DESCR","Bağışlanan bu birimi kalenden silmek istediğinden emin misin?"
"TID_ALLIANCE_WAR_MOST_EXPENSIVE_ATTACK","En pahalı zafer"
"TID_GOOGLE_PLUS_SIGNIN_TUTORIAL","Zaten bir köyün var mı?"
"TID_ALLIANCE_WAR_STAT_PARTICIPATION_TOP","Kullanılan saldırılar (yukarı köyler)"
"TID_ALLIANCE_WAR_STAT_PARTICIPATION_MID","Kullanılan saldırılar (orta köyler)"
"TID_ALLIANCE_WAR_STAT_PARTICIPATION_BOTTOM","Kullanılan saldırılar (aşağı köyler)"
"TID_ALLIANCE_WAR_MEMBER_STAT_DEFENCES","Kazanılan Savunmalar:"
"TID_ALLIANCE_WAR_EVENT_25PERCENT_DESTROYED","%25'i yok edildi!"
"TID_ALLIANCE_WAR_EVENT_50PERCENT_DESTROYED","%50'si yok edildi!"
"TID_ALLIANCE_WAR_EVENT_75PERCENT_DESTROYED","%75'i yok edildi!"
"TID_ALLIANCE_WAR_EVENT_TOWN_HALL_DESTROYED","Belediye binası yok edildi!"
"TID_STREAM_EVENT_STARTED_WAR","Klan Savaşı araması başlattı"
"TID_STREAM_EVENT_CANCELLED_WAR","Klan Savaşı aramasını iptal etti"
"TID_STREAM_EVENT_WAR_NO_MATCH_FOUND","Klan Savaşı rakibi bulunamadı. Lütfen savaşı yeniden başlatmayı dene."
"TID_STREAM_EVENT_CANCELLED_ARRANGED_WAR","Dostluk Savaşı iptal edildi"
"TID_VILLAGE_EDIT_MODE_WAR","Savaş Üssü Düzenleme Modu"
"TID_WAR_BASE","Savaş Üssünü Düzenle"
"TID_FEEDBACK_INFO1","\n"
"TID_FEEDBACK_INFO2","\n"
"TID_FEEDBACK_INFO3","\n"
"TID_FEEDBACK_INFO4","\n"
"TID_FEEDBACK_INFO5","Lütfen kaybolan köyünüzle ilgili aşağıdaki bilgileri bize verin.\nKöyün tam adı:\nBelediye Binası seviyesi:\nTP seviyesi:\nKlanın adı (varsa):"
"TID_FEEDBACK_INFO6","\n"
"TID_FEEDBACK_BUTTON5","Kayıp Köy"
"TID_BUTTON_SIGN_IN","Giriş yap"
"TID_WAR_STATS_HEADER_BATTLES","Toplam Saldırı"
"TID_WAR_STATS_HEADER_BEST_ATTACKS","En İyi Saldırılar"
"TID_WAR_STATS_HEADER_WAR_STATS","Saldırı istatistikleri"
"TID_WAR_STATS_HEADER_FEATURED_BATTLES","Özel Savaşlar"
"TID_LIVE_REPLAY","Canlı İzle"
"TID_WATCH_LIVE_REPLAY","Canlı İzle"
"TID_SLOW_SPELL","Yavaş"
"TID_BOOSTDEFENCES_SPELL","Savunmaları güçlendir"
"TID_TAB_NEWS","Haberler"
"TID_TAB_SETTINGS","Ayarlar"
"TID_TAB_MORE","Daha Fazla"
"TID_HINT_NAMECHANGE","Köylülerin nerede yaşadıklarını şaşırmamaları için köyünün adını değiştiremezsin!"
"TID_LIVE_REPLAY_FAIL_GENERIC","Canlı izlenemiyor. Lütfen daha sonra tekrar dene."
"TID_LIVE_REPLAY_FAIL_NO_DATA_FOUND","Canlı izlenemiyor. Bu savaş zaten sona ermiş."
"TID_LIVE_REPLAY_FAIL_NO_FREE_SLOTS","Canlı izlenemiyor. Tüm izleyici yerleri dolu."
"TID_HASTE_DAMAGE_OFFSET","Hasar artışı: <number>"
"TID_HERO_ABILITY_HEALTH","Sağlık yenileme: <number>"
"TID_MORE_FACEBOOK","En son haberleri al! Facebook'ta bize katıl!"
"TID_MORE_YOUTUBE","Clash of Clans YouTube kanalına göz at!"
"TID_MORE_TWITTER","Bizi Twitter'da takip et! Twitter hesabımız: @clashofclans"
"TID_MORE_WEIBO","请关注新浪蓝V认证微博@部落冲突Clash-of-Clans"
"TID_MORE_FORUMS","Clash of Clans topluluğuna katıl!"
"TID_NEWS_BUTTON_GO","Hadi!"
"TID_HERO_INSTRUCTIONS_BARBARIAN","Barbarların en büyüğü ve en cesuru olan bu dev savaşçı, çok miktarda hasara dayanabilir ve yoluna çıkan her şeyi kılıcıyla yerle bir eder. Savunma sırasında köyünü canı pahasına korur."
"TID_HERO_INSTRUCTIONS_QUEEN","Diğer tüm okçulardan daha uzun boylu bu zarif avcı, tam bir yıkım ustasıdır. Çok dayanıklı olmasa da, güçlü X yayıyla hedefleri uzaktan kolayca yok eder. Savunma sırasında köyünü korumak için ne gerekiyorsa yapar."
"TID_MORE_YOUKU","请关注部落冲突（Clash of Clans）官方优酷频道。"
"TID_POPUP_UPGRADE_WALL_SECTION_TEXT","<number> <resource> için seçilen tüm duvarları yükseltmek istiyor musun?"
"TID_POPUP_UPGRADE_WALL_SECTION_TITLE","Duvarları yükselt"
"TID_POPUP_REMOVE_REINFORCEMENTS_TITLE","Takviyeler kaldırılsın mı?"
"TID_POPUP_REMOVE_REINFORCEMENTS_TEXT","Takviyeleri gerçekten kaldırmak istiyor musun? Maliyetleri iade edilmeyecek."
