"TID","PT"
"TID_ALLIANCE_WAR_XP_EARNED","XP do clã recebido"
"TID_ALLIANCE_WAR_OBJECTIVES","Objetivos do clã"
"TID_CLAN_PERK_BONUS","Bônus de vantagem"
"TID_WAR_STATS_HEADER_ALLIANCE_EXP","XP do clã"
"TID_WAR_STATS_HEADER_DEFEAT_BASES","Derrubou bases de guerra inimigas"
"TID_WAR_STATS_HEADER_DEFEAT_BASES_SHORT","Derrubou bases de guerra"
"TID_WAR_STATS_HEADER_COLLECT_STARS","Ganhou <num> estrelas"
"TID_WAR_STATS_HEADER_WIN_WAR","Venceu a guerra"
"TID_WAR_STATS_HEADER_ALLIANCE_EXP_INFO","O XP do clã é concedido ao fim da guerra."
"TID_WAR_STATS_HEADER_TOTAL","Total"
"TID_REGION_CUSTOM1",
"TID_REGION_CUSTOM2",
"TID_REGION_CUSTOM3",
"TID_REGION_CUSTOM4",
"TID_REGION_CUSTOM5",
"TID_ALLIANCE_TAB_BOOKMARKS","Favoritos"
"TID_NO_BOOKMARKS","Você não favoritou nenhum clã.\n\nÉ possível favoritar um clã na respectiva página de informações."
"TID_ERROR_BOOKMARKS_FULL","Você tem favoritos demais! Exclua um favorito para adicionar outro."
"TID_CHANGE_NAME_ALREADY_USED","Não é possível alterar o nome! A alteração só pode ser feita uma única vez e já foi usada nesta conta."
"TID_CHANGE_NAME_BUTTON","Alterar o nome"
"TID_CHANGE_NAME_TITLE","Alterar o nome"
"TID_SETTINGS_PLAYERNAME_CURRENT","Nome atual:"
"TID_SETTINGS_PLAYERNAME_ENTERNEW","Digite o novo nome:"
"TID_CONTINUE","Continuar"
"TID_NAMECHANGE_WARNING","Lembre-se de escolher um nome adequado."
"TID_CONFIRM","Confirmar"
"TID_SETTINGS_PLAYERNAME_REENTERNEW","Digite o seu novo nome mais uma vez:"
"TID_NAME_ALREADY_CHANGED","O nome só pode ser alterado uma vez."
"TID_NAME_CHANGE_TH_LEVEL_TOO_LOW","A alteração do nome desbloqueia no nível <level> do Centro da Vila."
"TID_BOOKMARKS_NOT_LOADED_YET","Não foi possível carregar os favoritos. Tente novamente mais tarde."
"TID_ALLIANCE_UNAVAILABLE","Informações do clã não disponíveis"
"TID_BOOKMARK_ADDED","Favorito adicionado"
"TID_BOOKMARK_REMOVED","Favorito excluído"
"TID_BOOKMARKS_FULL","Limite de favoritos atingido"
"TID_NAME_CHANGE_ALREADY_USED","Você já alterou seu nome uma vez"
"TID_SETTINGS_PLAYERNAME_CONFIRM_NEW","Quer mesmo alterar seu nome?\nSeu novo nome será:"
"TID_ERROR_NAMES_DONT_MATCH","Os nomes não coincidem. Tente novamente."
"TID_BUTTON_ROTATE","Girar"
"TID_NAME_CHANGED_SUCCESS","Seu nome foi alterado!"
"TID_NAME_CHANGE_IN_PROGRESS","Não foi possível alterar o nome. Uma alteração anterior está em andamento."
"TID_PLAYER_TAG","Tag do jogador"
"TID_ALLIANCE_WAR_ATTACK_CONFIRM","Confirme seu ataque"
"TID_BUTTON_WAR_ATTACK_CONFIRM_ATTACK","Atacar"
"TID_WAR_ATTACK_CONFIRM_TITLE","Atacar agora?"
"TID_WAR_ATTACK_CONFIRM_TROOPS_TEXT","Tropas: <number>"
"TID_WAR_ATTACK_CONFIRM_SPELLS_TEXT","Feitiços: <number>"
"TID_WAR_ATTACK_CONFIRM_CASTLE_TEXT","Tropas e feitiços do Castelo do Clã: <number>"
"TID_WAR_ATTACK_CONFIRM_CASTLE_TROOPS_ONLY_TEXT","Tropas do Castelo do Clã: <number>"
"TID_WAR_ATTACK_CONFIRM_HEROES","Heróis: <number>"
"TID_WAR_ATTACK_CONFIRM_INFO","Prepare-se! Se prosseguir, um dos seus ataques de guerra será usado."
"TID_AIR_BLASTER","Dispersor Aéreo"
"TID_AIR_BLASTER_INFO","Dispersores aéreos controlam o céu com rajadas de ar potentes que afugentam inimigos voadores. Só podem ser direcionados para um lado de cada vez, então gire-os para maximizar a eficácia."
"TID_STREAM_EVENT_CHANGED_SETTINGS","atualizou as configurações do clã."
"TID_KNOCKBACK","Força de deslocamento: <number> quadrados"
"TID_NEWS_UPDATE_AIR_MORTAR_TITLE",
"TID_NEWS_UPDATE_AIR_MORTAR_TEXT",
"TID_NEWS_UPDATE_BOOKMARKS_TITLE",
"TID_NEWS_UPDATE_BOOKMARKS_TEXT",
"TID_SETTINGS_CLAN_CHAT_FILTER","Filtrar bate-papo do clã"
"TID_INFO_SPELL_STORAGE","Armazenamento de feitiços:"
"TID_BUILDING_MINI_SPELL_FACTORY","Fábrica de Feitiços Sombrios"
"TID_MINI_SPELL_FACTORY_INFO","Só os mais brilhantes, ou os mais imprudentes, Mestres Magos se interessam pela preparação de elixir negro. Seus feitiços sombrios compactos exigem atenção extrema para serem dominados, mas oferecem vantagens táticas únicas."
"TID_POPUP_BOOST_MINI_SPELL_FACTORY","Acelerar a velocidade de preparação de feitiços sombrios em <multiplier>x por <time>?"
"TID_LEAGUE_CHAMPION1","Liga de Campeões I"
"TID_LEAGUE_CHAMPION2","Liga de Campeões II"
"TID_LEAGUE_CHAMPION3","Liga de Campeões III"
"TID_LEAGUE_CHAMPION1_SHORT","Campeões I"
"TID_LEAGUE_CHAMPION2_SHORT","Campeões II"
"TID_LEAGUE_CHAMPION3_SHORT","Campeões III"
"TID_LEAGUE_HERO","Titã"
"TID_LEAGUE_HERO1","Liga de Titãs I"
"TID_LEAGUE_HERO2","Liga de Titãs II"
"TID_LEAGUE_HERO3","Liga de Titãs III"
"TID_LEAGUE_HERO1_SHORT","Titãs I"
"TID_LEAGUE_HERO2_SHORT","Titãs II"
"TID_LEAGUE_HERO3_SHORT","Titãs III"
"TID_LEAGUE_LEGENDARY","Liga Lendária"
"TID_LEAGUE_LEGENDARY_SHORT","Lendária"
"TID_HINT_STORAGES_SPELL_IMMUNITY","Os depósitos de recursos são imunes a danos causados por feitiços!"
"TID_STORAGES_SPELL_IMMUNITY","Os depósitos de recursos são imunes a danos causados por feitiços!"
"TID_POPUP_ARMY_OVERVIEW","Visão geral do exército"
"TID_SPEEDUP","Feitiço de Aceleração"
"TID_SPEEDUP_INFO","Agite até as suas unidades mais pesadas!\n\nOs Feitiços de Aceleração não causam o mesmo dano que os Feitiços de Fúria, mas aceleram ainda mais a velocidade de movimento. Um espaço de armazenamento mais baixo também permite levar mais deles à batalha!"
"TID_HINT_SPELL_SPEEDUP","Feitiços de Aceleração são ótimos em tropas lentas que causam danos severos, como os Balões ou a P.E.K.K.A."
"TID_EARTHQUAKE","Feitiço de Terremoto"
"TID_EARTHQUAKE_INFO","Enfraqueça muros e estruturas com terremotos arrasadores!\n\nFeitiços de Terremoto danificam estruturas de acordo com seus pontos de vida máximos. Terremotos repetidos causam danos decrescentes às estruturas já atingidas, mas danos crescentes a muros. Nenhum muro resiste ao poder de quatro Feitiços de Terremoto!"
"TID_HINT_SPELL_EARTHQUAKE1","Feitiços de Terremoto podem causar grandes danos a grupos de estruturas muito próximas com pontos de vida altos."
"TID_HINT_SPELL_EARTHQUAKE2","Feitiços de Terremoto repetidos causam menos danos a estruturas que já estão danificadas."
"TID_POISON_CLOUD","Feitiço de Veneno"
"TID_POISON_CLOUD_INFO","Dê ao seu exército a vantagem contra tropas inimigas com este veneno mortal!\n\nUnidades de defesa que ficarem na nuvem tóxica de um Feitiço de Veneno se moverão e atacarão mais vagarosamente, e o dano recebido será cada vez maior com o passar do tempo. O Feitiço de Veneno não afeta estruturas."
"TID_HINT_SPELL_POISON_CLOUD1","Feitiços de Veneno são muito eficazes contra grandes grupos de Esqueletos inimigos."
"TID_HINT_SPELL_POISON_CLOUD2","Seu exército lutará de forma muito mais eficaz contra tropas do Castelo do Clã dentro de um Feitiço de Veneno."
"TID_HINT_CLAN_CHAT_PROFANITY_FILTER","Você pode ativar o filtro de profanidades para o bate-papo do clã no menu Configurações."
"TID_HINT_DARK_SPELLS","Os feitiços sombrios podem ocupar menos espaço de armazenamento do que feitiços normais, permitindo que você leve mais deles!"
"TID_SPELL_STORAGE_BREWING_CAPACITY","Capacidade de preparação: <number>"
"TID_ARMY_OVERVIEW_HINT_SPELLS","Disponível no Centro da Vila nível <number>."
"TID_ARMY_OVERVIEW_HINT_CLAN_CASTLE","Entre num clã para receber tropas, feitiços e máquinas de cerco do Castelo do Clã."
"TID_ARMY_OVERVIEW_HINT_HEROES","Disponível no Centro da Vila nível <number>."
"TID_INFO_TARGET_TYPE_BUILDINGS_AND_WALLS","Construções e muros"
"TID_INFO_TARGET_TYPE_UNITS","Tropas"
"TID_SPELL_DAMAGE_PERCENT","Dano: <number>%"
"TID_LEADERBOARDBANNER_PLAYERTOURNAMENTS","Torneio de Ligas Lendárias"
"TID_LEADERBOARDBANNER_PLAYER_REWARD","Melhores jogadores do último torneio:\n(toque abaixo para ver mais)"
"TID_LEADERBOARDBANNER_PLAYER_TIMELEFT","Termina em:"
"TID_LEADERBOARDBANNER_PLAYER_HISTORY_TITLE","Lendas do último torneio:"
"TID_LEADERBOARDBANNER_PLAYER_HISTORY_INFO","Jogadores com troféus suficientes retornam ao início da Liga Lendária depois de cada torneio. Os troféus deduzidos são concedidos permanentemente como troféus lendários."
"TID_PRESTIGE_TROPHIES","Troféus lendários"
"TID_LEGEND_SEASON_END_INTRO","Parabéns por seu desempenho lendário!"
"TID_LEGEND_SEASON_END_INFO","Você terminou na posição n° <rank> globalmente. Seu desempenho notável foi registrado no seu perfil de jogador para todos verem."
"TID_LEGEND_SEASON_END_INFO_WITH_PRESTIGE","Você terminou na posição n° <rank> globalmente e ganhou <prestige> troféus lendários! Seu desempenho notável foi registrado no seu perfil de jogador para todos verem."
"TID_LEGEND_SEASON_END_TROPHY_RESET","O seu número de troféus foi ajustado para <value> no início do novo Torneio de Ligas Lendárias."
"TID_LEGEND_SEASON_INFO","Termine uma temporada na Liga Lendária, e seus resultados finais aparecerão no seu perfil!"
"TID_LEGEND_SEASON_INFO_PRESTIGE","Todos os heróis lendários começam a nova temporada com <value> troféus. Os troféus subtraídos são concedidos como troféus lendários!"
"TID_PROFILE_BEST_TROHPIES","Melhor de todos os tempos:"
"TID_PROFILE_LEGEND_BEST","Melhor: temporada de <month>/<year>"
"TID_PROFILE_LEGEND_LAST","Anterior: temporada de <month>/<year>"
"TID_PROFILE_LEGEND_RANK","Posição"
"TID_PROFILE_LEGEND_RANK_INLINE","<value>ª posição"
"TID_BUTTON_EDIT","Editar"
"TID_MONTH_1","Janeiro"
"TID_MONTH_2","Fevereiro"
"TID_MONTH_3","Março"
"TID_MONTH_4","Abril"
"TID_MONTH_5","Maio"
"TID_MONTH_6","Junho"
"TID_MONTH_7","Julho"
"TID_MONTH_8","Agosto"
"TID_MONTH_9","Setembro"
"TID_MONTH_10","Outubro"
"TID_MONTH_11","Novembro"
"TID_MONTH_12","Dezembro"
"TID_SEASON_NAME","Temporada de <month>/<year>"
"TID_PROFILE_BEST_WAR_STARS","Estrelas de guerra ganhas:"
"TID_PROFILE_LEGEND_NO_LAST_RANK","Não se classificou"
"TID_PREFERRED_TARGET_EFFECT_BONUS","(Efeito x<number>)"
"TID_SETTING_CHANGE_FAILED","Erro ao alterar esta configuração. Tente novamente mais tarde."
"TID_SLOW_SPEED","Diminuição de velocidade: <number>%"
"TID_REQUIRED_DARK_SPELL_FORGE_LEVEL","Fábrica de feitiços sombrios de nível <number> necessária."
"TID_LEADERBOARDBANNER_PLAYER_NO_TOP_3","Os vencedores do Torneio de Ligas Lendárias aparecerão aqui!"
"TID_LEADERBOARDBANNER_PLAYER_NO_HISTORY","Não há registro de jogadores da Liga Lendária no último torneio."
"TID_LEGEND_SEASON_END_TIP","NOTA: a Liga Lendária tem regras e recompensas especiais de fim de temporada!"
"TID_LEGEND_SEASON_INFO_PRESTIGE_MORE","Troféus lendários são um grande símbolo de prestígio. Eles não podem ser perdidos e se acumulam após cada temporada."
"TID_NEWS_DARK_SPELLS_TITLE",
"TID_NEWS_UPDATE_DARK_SPELLS_TEXT",
"TID_NEWS_UPDATE_LEGEND_LEAGUE_TITLE",
"TID_NEWS_UPDATE_LEGEND_LEAGUE_TEXT",
"TID_NEWS_UPDATE_OTHER_TITLE","Equilíbrio do jogo"
"TID_NEWS_UPDATE_OTHER_TEXT","* Feitiços de Gelo agora também afetam tropas aéreas de defesa\n* Lava Hounds não podem ter tropas aéreas como alvo\n* Tropas de ataque poderão atacar tropas de defesa de mais longe\n* Ligas de Titãs III e Ligas de Titãs II agora podem comprar escudos de 1 semana da loja"
"TID_REMOVE_ARMY_CONFIRMATION","Confirmar edição?"
"TID_PROFILE_LEGEND","Torneio de Ligas Lendárias"
"TID_PROFILE_LEGEND_PRESTIGE","Troféus lendários"
"TID_SPELL_ALREADY_AT_MAX_LEVEL","O feitiço já está no nível máximo!"
"TID_LEGEND_SEASON_TITLE","Torneio de Ligas Lendárias de <month>/<year>"
"TID_LEGEND_SEASON_END_PRESTIGE","Troféus lendários ganhos:"
"TID_LEGEND_SEASON_INFO_TEXT","A Liga Lendária tem regras e recompensas especiais de fim de temporada!"
"TID_WAR_STATS_HEADER_TIEBREAKERS","Critérios de desempate"
"TID_ALLIANCE_WAR_TOTAL_DESTRUCTION","<friendly> Destruição total <enemy>"
"TID_ALLIANCE_WAR_TOTAL_DURATION","Duração total dos melhores ataques"
"TID_BUTTON_GENERATE_CODE","Código de vinculação"
"TID_GOOGLE_PLAY_KUNLUN_TUTORIAL_BUTTON","Ver o tutorial!"
"TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_TITLE","Atualizando para a nova versão"
"TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_MESSAGE","Estamos atualizando para uma nova versão do Clash of Clans. Sua vila estará pronta em breve. Verifique novamente daqui a pouco!"
"TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_BUTTON","Ok"
"TID_GOOGLE_PLAY_KUNLUN_LOAD_VILLAGE_TUTORIAL_BUTTON","Carregar a vila"
"TID_GOOGLE_PLAY_KUNLUN_LOAD_VILLAGE_TITLE","Carregar a vila"
"TID_BUILDING_ARTILLERY","Artilharia Águia"
"TID_ARTILLERY_INFO","A artilharia águia tem um alcance quase ilimitado e ataca inimigos fortes com projéteis explosivos, mas só é ativada quando muitas tropas são mobilizadas."
"TID_BUTTON_GENERATE_CODE_TITLE","Transferir a conta"
"TID_BUTTON_GENERATE_CODE_TEXT","Transfira a sua vila para outra Android App Store. A transferência da sua vila ajudará a salvar seus dados!"
"TID_LINK_CODE_GENERATE_CODE_TEXT","Use o código de vinculação abaixo para transferir a sua vila para outra Android App Store. Confira o tutorial para ver um guia detalhado!"
"TID_LINK_DEVICES_ENTER_CODE_KUNLUN_TEXT","Você pode conseguir um código de vinculação da sua vila em Configurações - Vincular um dispositivo. Confira o nosso tutorial para ver um guia detalhado!"
"TID_MORE_WECHAT","关注官方认证微信订阅号cocsupercell"
"TID_NEWS_ACCOUNT_TRANSFER","Obtenha a versão oficial chinesa do CoC para Android!"
"TID_NEWS_ACCOUNT_TRANSFER_TEXT","Transfira a sua vila agora para outra Android App Store para proteger sua vila, receber suporte oficial, atualizações e mais"
"TID_SLOW_SPEED_AND_ATTACK","Ataque/movimento reduzido: <number>%"
"TID_WAR_TEAM_TAB_ATTACKS","Ataques"
"TID_WAR_TEAM_TAB_DEFENSES","Defesas"
"TID_SLOW_ATTACK","Redução da taxa de ataque: <number>%"
"TID_MAX_DPS","Dano máximo por segundo: <number>"
"TID_NEWS_SPELLS_TITLE","Feitiços reformulados e recarregados"
"TID_NEWS_SPELLS_TEXT","Feitiço de Relâmpago\n* O Feitiço de Relâmpago nível 7 assola estruturas e tropas da mesma forma\n* O dano do Feitiço de Relâmpago para os níveis 5 e 6 aumentou\n* Os raios do Feitiço de Relâmpago agora surgem mais próximos uns dos outros para ter mais acertos\n\nFeitiço de Veneno\n* Agora as Tropas em Feitiços de Veneno sofrem menos dano no início, mas muito mais no decorrer do tempo\n* O dano do Feitiço de Veneno agora aumenta enormemente e permanece por mais tempo depois do feitiço acabar\n* Os Feitiços de Veneno agora também reduzem a taxa de ataque de tropas de defesa\n\nFeitiço de Terremoto\n* Os Feitiços de Terremoto causam muito mais dano, independentemente dos pontos de vida da estrutura\n* Feitiços de Terremoto repetidos agora causam dano reduzido às mesmas estruturas\n* Quatro Feitiços de Terremoto sempre destruirão qualquer nível de muro!"
"TID_MORE_WECHAT_SERVICE","关注官方认证微信服务号coc-kefu"
"TID_ERROR_POP_UP_LOGIN_FAILED_15","O progresso da sua vila pode ser acessado após a instalação e inicialização do Clash of Clans pela <APP_STORE> Android App Store."
"TID_KUNLUN_APP_STORE_360",360
"TID_KUNLUN_APP_STORE_ANZHI","Anzhi"
"TID_KUNLUN_APP_STORE_BAIDU","Baidu"
"TID_KUNLUN_APP_STORE_HUAWEI","Huawei"
"TID_KUNLUN_APP_STORE_LANDING_PAGE","Kunlun Landing Page"
"TID_KUNLUN_APP_STORE_LENOVO","Lenovo"
"TID_KUNLUN_APP_STORE_OPPO","Oppo"
"TID_KUNLUN_APP_STORE_UC","UC"
"TID_KUNLUN_APP_STORE_VIVO","Vivo"
"TID_KUNLUN_APP_STORE_WANDOUJIA","Wandoujia"
"TID_KUNLUN_APP_STORE_XIAOMI","Xiaomi"
"TID_ALLIANCE_DONATE_HEADER_TROOPS","Doar tropas:"
"TID_ALLIANCE_DONATE_HEADER_SPELLS","Doar feitiços:"
"TID_ALLIANCE_DONATE_DONATED","Tropas e feitiços doados:"
"TID_ALLIANCE_DONATE_DONATED_TROOPS","Tropas doadas:"
"TID_OBSTACLE_HALLOWEEN2015","Caldeirão do Halloween"
"TID_OBSTACLE_HALLOWEEN2016","Abóbora Sinistra"
"TID_AVATAR_MESSAGE_BUTTON_MORE_INFO","Mais informações"
"TID_AVATAR_MESSAGE_BUTTON_SUPPORT","Contatar o suporte"
"TID_AVATAR_MESSAGE_SENDER_PLAYER_SUPPORT","Suporte ao jogador"
"TID_AVATAR_MESSAGE_TEXT_GEM_REVOKE","Um reembolso solicitado para esta conta foi aprovado em <refundDate>. Ele será feito pela mesma forma de pagamento usada para a compra.\n\nUm total de <totalRevokedGems> gemas foi deduzido da sua conta, correspondendo ao valor do seu reembolso. Isso pode resultar em um saldo de gemas negativo. O saldo positivo pode ser restaurado ao fazer compras adicionais e ao coletar recursos no jogo."
"TID_AVATAR_MESSAGE_TEXT_GEM_REVOKE_PLURAL","Os reembolsos solicitados para esta conta foram aprovados em <refundDate>. Eles serão feitos pela mesma forma de pagamento usada para as compras.\n\nUm total de <totalRevokedGems> gemas foi deduzido da sua conta, correspondendo ao valor equivalente dos seus reembolsos. Isso pode resultar em um saldo de gemas negativo. O saldo positivo pode ser restaurado ao fazer compras adicionais e ao coletar recursos no jogo."
"TID_IAP_INFO_TEXT","청약철회는 구매일로부터 7일 이내 가능(단, 사용시 철회불가) 법정대리인 동의 없는 미성년자명의 결제 시 취소가능"
"TID_INFO_POP_UP_TOS_PP_TITLE","Aviso importante"
"TID_INFO_POP_UP_TOS_PP_NOTE","O Clash of Clans é grátis para jogar, mas você pode acelerar seu progresso com compras no aplicativo (é possível desativar isso nas configurações do dispositivo). Toque em OK para aceitar nossos Termos de Uso e Política de Privacidade."
"TID_INFO_POP_UP_TOS_PP_NOTE_ANDROID","O Clash of Clans é grátis para jogar, mas você pode acelerar seu progresso com compras no aplicativo (para desativar isso, defina a proteção por senha nas configurações do aplicativo Google Play Store). Toque em OK para aceitar nossos Termos de Uso e Política de Privacidade."
"TID_INFO_POP_UP_TOS_PP_NOTE_KUNLUN","O Clash of Clans é grátis para jogar, mas você pode acelerar seu progresso com compras no aplicativo. Toque em OK para aceitar nossos Termos de Uso e Política de Privacidade."
"TID_INFO_POP_UP_TOS_PP_BUTTON1","OK"
"TID_INFO_POP_UP_TOS_PP_BUTTON2","Termos de Uso"
"TID_MORE_CLASH_COM","Explore o mundo do Clash em ClashofClans.com"
"TID_ACHIEVEMENT_SPELL_DONATION_TITLE","Compartilhar é cuidar"
"TID_ACHIEVEMENT_SPELL_DONATION","Doe em feitiços o equivalente a <number>x o espaço de armazenamento de feitiços."
"TID_ACHIEVEMENT_SPELL_DONATION_COMPLETED","Total de feitiços doados: <value>"
"TID_ACHIEVEMENT_DESTROY_ARTILLERY_TITLE","Antiartilharia"
"TID_ACHIEVEMENT_DESTROY_ARTILLERY","Destrua <number> artilharias águia em batalhas multijogador."
"TID_ACHIEVEMENT_DESTROY_ARTILLERY_COMPLETED","Total de Artilharias Águias destruídas: <value>"
"TID_POPUP_BREAK_SHIELD","Remover o escudo?"
"TID_POPUP_BREAK_SHIELD_TEXT","Tem certeza de que deseja remover o escudo? Você terá a guarda sempre que o escudo acabar."
"TID_POPUP_BREAK_GUARD","Remover a guarda?"
"TID_POPUP_BREAK_GUARD_TEXT","Sem a guarda, outros jogadores poderão atacar você. Tem certeza de que deseja removê-la?"
"TID_LOCAL_NOTIFICATION_GUARD_WILL_DISAPPEAR","Chefe, nossa guarda está acabando!"
"TID_GUARD_NOT_AVAILABLE","A guarda não pode ser comprada enquanto houver um escudo ativo!"
"TID_GUARD_ON_COOLDOWN","Guarda ainda não disponível!"
"TID_ATTACK_FAIL_TARGET_HAS_GUARD","Impossível atacar: a vila tem uma guarda ativa."
"TID_GROWTH_AURA_PERCENT","Aumento de PV: <number>%"
"TID_GROWTH_AURA_MAX","Máximo de aumento de PV: <number>"
"TID_BUY_SHIELD_WHILE_GUARDED_TEXT","Tem certeza de que quer comprar <name>?\n<cff0000>NOTA: isso dispensará sua guarda ativa</c>."
"TID_HINT_GUARD_GAIN","Você ganha algumas guardas sempre que o escudo se esgota. Essa é uma ótima hora para atacar!"
"TID_HINT_GUARD_GAIN_TIME","Quanto mais alta a sua liga, mais guardas você ganha quando o escudo se esgotar!"
"TID_HINT_GUARD_LOSE","Você pode atacar o quanto quiser, sem perder nada da sua guarda ativa."
"TID_GRAND_WARDEN","Grande Guardião"
"TID_GRAND_WARDEN_INFO","O Grande Guardião é um tático veterano equipado com seu poderoso cajado mágico. Ele dá apoio às tropas que atacam vilas inimigas ou que protegem a sua vila."
"TID_HERO_INSTRUCTIONS_WARDEN","O Grande Guardião é um mestre da magia que dá apoio às tropas no ataque com rajadas de seu cajado mágico. Ele consegue andar por cima dos muros ou voar ao lado de tropas aéreas para ajudar o exército no ataque. Na defesa, ele assume a forma de uma torre poderosa."
"TID_HERO_AURA_WARDEN_TITLE","Aura de vida"
"TID_HERO_AURA_WARDEN_DESC","O cajado do Guardião irradia uma aura de recuperação de vida que melhora a cada nível. Todas as unidades aliadas próximas, em ataque ou defesa, ganharão mais pontos de vida, mas perderão a vantagem caso se afastem demais!"
"TID_HERO_ABILITY_WARDEN_TITLE","Tomo eterno"
"TID_HERO_ABILITY_WARDEN_DESC","O Guardião libera o poder total do seu tomo mágico, fazendo com que ele mesmo e todas as unidades aliadas próximas fiquem totalmente imunes a dano por um período de tempo curto!"
"TID_HINT_ARTILLERY","Uma pequena esquadra de tropas pode ajudar a preparar um ataque antes de a artilharia águia ser ativada."
"TID_HINT_ARTILLERY2","Um ataque rápido pode esmagar a artilharia águia antes que cause muitos danos."
"TID_HINT_ARTILLERY3","A artilharia águia tem uma grande zona livre de fogo à sua volta. Fique de olho para que ela cubra as suas construções mais importantes!"
"TID_HINT_HERO_GRAND_WARDEN","O Grande Guardião aproveita o poder de artefatos misteriosos para deixar as tropas próximas fortes como aço."
"TID_HINT_HERO_GRAND_WARDEN_MODE","Está usando um exército aéreo? Ative o modo aéreo do Grande Guardião!"
"TID_HINT_ARTILLERY_TARGET","A artilharia águia ataca as tropas mais resistentes do grupo maior ou mais próximo."
"TID_HINT_ARTILLERY_TARGET2","Um retículo aparece onde os tiros da artilharia águia serão lançados."
"TID_HINT_ARTILLERY_TARGET3","As unidades perto do impacto da artilharia sofrerão pequenos danos da onda de choque."
"TID_POPUP_SHIELD_REMOVAL_REVENGE","Seu escudo será reduzido se você começar um ataque de vingança. Se tiver menos do que o custo do ataque, seu escudo será removido."
"TID_HINT_GUARD","Com uma guarda ativa, você fica protegido de ataques, além de poder atacar os outros livremente!"
"TID_ERROR_POP_UP_PERSONAL_BREAK_EXTENDED_TITLE","Intervalo estendido"
"TID_ERROR_POP_UP_PERSONAL_BREAK_EXTENDED","O seu limite de intervalo pessoal não foi totalmente reinicializado porque você não adquiriu um escudo na última vez em que foi ao intervalo."
"TID_ERROR_POP_UP_PERSONAL_BREAK_FINAL_TITLE","Intervalo estendido"
"TID_ERROR_POP_UP_PERSONAL_BREAK_EXTENDED_FINAL","Seu limite de tempo do intervalo pessoal foi estendido, mas agora será reinicializado. Para evitar isso no futuro, confira se o seu Centro da Vila está protegido e tente aumentar sua contagem de troféus."
"TID_ERROR_POP_UP_PERSONAL_BREAK_MULTIPLE_FINAL","Seu limite de tempo do intervalo pessoal foi estendido várias vezes e agora será reinicializado. Para evitar isso no futuro, confira se o seu Centro da Vila está protegido e tente aumentar sua contagem de troféus."
"TID_DAMAGE_PER_HIT","Dano por projétil: <number>"
"TID_SHOCKWAVE_DAMAGE","Dano por onda de choque: <number>"
"TID_DIE_DAMAGE","Dano após destruição: <number>"
"TID_NEWS_TH11_UPDATE_OVERVIEW_TITLE","Uma das maiores atualizações do Clash até hoje!"
"TID_NEWS_TH11_UPDATE_OVERVIEW_TEXT","• O nível 11 do Centro da Vila está fazendo um sucesso danado!\n• Grande Guardião e artilharia águia: as adições mais poderosas e estratégicas até hoje!\n• Novos níveis de tropas, níveis de defesa e doações de feitiços para o clã\n• Ataque mesmo com o escudo ativo, mas não se esqueça de proteger o seu Centro de Vila!\n• Proteja as suas sessões de jogo quando o escudo estiver inativo e nunca mais seja atacado com a guarda baixa\n• Goblins atacando Centros de Vila, bônus de Liga maiores, ofertas de troféus e muito mais!"
"TID_NEWS_TH11_UPDATE_TH11_TITLE","Melhore seu Centro da Vila para o nível 11"
"TID_NEWS_TH11_UPDATE_TH11_TEXT","• Experimente o maior e mais desafiador nível de Centro da Vila até agora: o 11!\n• O novo herói, o Grande Guardião, pode tornar os exércitos quase indestrutíveis!\n• A nova defesa, a Artilharia Águia, causa uma devastação impressionante, mesmo à distância\n• Mais defesas, incluindo um canhão, Torre da Arqueira, Torre do Mago e X-Besta extras!\n• Para acompanhar, níveis 11 do servo, bruxa, Torre de Mago e mais!"
"TID_NEWS_TH11_UPDATE_HERO_TITLE","Grande Guardião: o mais novo herói do seu exército"
"TID_NEWS_TH11_UPDATE_HERO_TEXT","• Descubra novas e poderosas táticas de batalha melhorando e protegendo suas tropas.\n• O Grande Guardião reforça todas as tropas próximas e pode torná-las temporariamente invencíveis!\n• Ele pula, ele voa - inclua o Grande Guardião na sua estratégia e faça o seu exército brilhar."
"TID_NEWS_TH11_UPDATE_ARTILLERY_TITLE","Artilharia Águia: a sentinela furtiva"
"TID_NEWS_TH11_UPDATE_ARTILLERY_TEXT","• Esta arma fenomenal de longo alcance extermina exércitos mal preparados\n• Descargas de projéteis explosivos derrubam tropas resistentes e esgotam outras perto do impacto\n• A Artilharia Águia só é ativada depois que muitas tropas forem mobilizadas, deixando margem para ataques táticos e inteligentes de múltiplas fases!"
"TID_NEWS_TH11_UPDATE_SPELLS_TITLE","Escolha o seu feitiço!"
"TID_NEWS_TH11_UPDATE_SPELLS_TEXT","• Peça feitiços de reforço, não apenas tropas, a partir do Castelo do Clã nível 4.\n• Feitiços doados recebem todas as vantagens do clã possíveis.\n• O Feitiço de Gelo agora é desbloqueado no nível 9 do Centro da Vila e tem a duração ligeiramente mais longa em níveis mais baixos."
"TID_NEWS_TH11_UPDATE_SHIELDS_TITLE","Escudos - defesa flexível e justa"
