"Name","TaskType","ProgressType","Category","Set","TID","InfoTID","IconSWF","IconExportName","MinScore","MaxScore","MinDurationMinutes","MaxDurationMinutes","MinQuantity","MaxQuantity","MinQuantity2","MaxQuantity2","Data1","Data2","SelectionWeight","MinLeague","MaxLeague","Disabled"
"DestroyMortarsSmall","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_MORTARS","TID_CLANGAMES_TASK_INFO_DESTROY_MORTARS","sc/buildings.sc","mortar_lvl4",40,40,180,180,4,4,,,"Mortar",,14,0,10,
"DestroyWizardTowersSmall","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_WIZARDTOWERS","TID_CLANGAMES_TASK_INFO_DESTROY_WIZARDTOWERS","sc/buildings.sc","wizard_tower_lvl4",40,40,180,180,4,4,,,"Wizard Tower",,14,0,10,
"DestroyCannonsSmall","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_CANNONS","TID_CLANGAMES_TASK_INFO_DESTROY_CANNONS","sc/buildings.sc","basic_turret_lvl7",40,40,180,180,5,5,,,"Cannon",,14,0,10,
"DestroyArcherTowersSmall","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_ARCHERTOWERS","TID_CLANGAMES_TASK_INFO_DESTROY_ARCHERTOWERS","sc/buildings.sc","tower_turret_lvl3",40,40,180,180,5,5,,,"Archer Tower",,14,0,10,
"DestroyDarkElixirPumpsSmall","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_DARKELIXIRPUMPS","TID_CLANGAMES_TASK_INFO_DESTROY_DARKELIXIRPUMPS","sc/buildings.sc","darkelixir_pump_lvl4",40,40,180,180,2,2,,,"Dark Elixir Pump",,14,0,10,
"DestroyDarkElixirStoragesSmall","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_DARKELIXIRSTORAGES","TID_CLANGAMES_TASK_INFO_DESTROY_DARKELIXIRSTORAGES","sc/buildings.sc","darkelixir_storage_level3",40,40,180,180,1,1,,,"Dark Elixir Storage",,14,0,10,
"DestroyClanCastlesSmall","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_CLANCASTLES","TID_CLANGAMES_TASK_INFO_DESTROY_CLANCASTLES","sc/buildings.sc","alliance_castle_lvl2",40,40,180,180,1,1,,,"Alliance Castle",,14,0,10,
"DestroyLaboratoriesSmall","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_LABORATORIES","TID_CLANGAMES_TASK_INFO_DESTROY_LABORATORIES","sc/buildings.sc","laboratory_lvl6",40,40,180,180,2,2,,,"Laboratory",,5,0,10,
"DestroySpellFactoriesSmall","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_SPELLFACTORIES","TID_CLANGAMES_TASK_INFO_DESTROY_SPELLFACTORIES","sc/buildings.sc","spell_factory_lvl3",40,40,180,180,2,2,,,"Spell Forge",,5,0,10,
"DestroyDarkSpellFactoriesSmall","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_DARKSPELLFACTORIES","TID_CLANGAMES_TASK_INFO_DESTROY_DARKSPELLFACTORIES","sc/buildings.sc","mini_spell_distillery_lvl1",40,40,180,180,2,2,,,"Mini Spell Factory",,5,0,10,
"DestroyAirSweepersSmall","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_AIRSWEEPERS","TID_CLANGAMES_TASK_INFO_DESTROY_AIRSWEEPERS","sc/buildings.sc","air_mortar_lvl2",40,40,180,180,2,2,,,"Air Blaster",,14,0,10,
"DestroyAirDefensesSmall","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_AIRDEFENSES","TID_CLANGAMES_TASK_INFO_DESTROY_AIRDEFENSES","sc/buildings.sc","fireworks_tower_lvl6",40,40,180,180,3,3,,,"Air Defense",,14,0,10,
"DestroyInfernoTowersSmall","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_INFERNOTOWERS","TID_CLANGAMES_TASK_INFO_DESTROY_INFERNOTOWERS","sc/buildings.sc","dark_tower_lvl2",50,50,180,180,2,2,,,"Dark Tower",,14,0,10,
"DestroyBombTowersSmall","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_BOMBTOWERS","TID_CLANGAMES_TASK_INFO_DESTROY_BOMBTOWERS","sc/buildings.sc","bomb_tower_lvl1",50,50,180,180,2,2,,,"Bomb Tower",,14,0,10,
"DestroyTeslaTowersSmall","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_TESLATOWERS","TID_CLANGAMES_TASK_INFO_DESTROY_TESLATOWERS","sc/buildings.sc","teslatower_lvl5_setup",50,50,180,180,4,4,,,"Tesla Tower",,14,0,10,
"DestroyXbowsSmall","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_XBOWS","TID_CLANGAMES_TASK_INFO_DESTROY_XBOWS","sc/buildings.sc","rapidfire_turret_lvl1",50,50,180,180,3,3,,,"Bow",,14,0,10,
"DestroyKingAltarsSmall","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_KINGALTARS","TID_CLANGAMES_TASK_INFO_DESTROY_KINGALTARS","sc/buildings.sc","heroaltar_barbarian_king_lvl1",40,40,180,180,2,2,,,"Hero Altar Barbarian King",,5,0,10,
"DestroyQueenAltarsSmall","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_QUEENALTARS","TID_CLANGAMES_TASK_INFO_DESTROY_QUEENALTARS","sc/buildings.sc","heroaltar_archer_queen_lvl1",40,40,180,180,2,2,,,"Hero Altar Archer Queen",,5,0,10,
"DestroyWardenAltarsSmall","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_WARDENALTARS","TID_CLANGAMES_TASK_INFO_DESTROY_WARDENALTARS","sc/buildings.sc","heroaltar_elder_lvl1",40,40,180,180,2,2,,,"Hero Altar Grand Warden",,5,0,10,
"WinBuilderBattlesIntense","WinBuilderBattles","Accumulative","Battle","Intense","TID_CLANGAMES_TASK_WIN_BUILDERBATTLES","TID_CLANGAMES_TASK_INFO_WIN_BUILDERBATTLES","sc/ui.sc","Builder_Win_Battles_Icon",175,175,60,60,5,5,,,,,90,0,10,
"GetBuilderBattleStarsIntense","GetBuilderBattleStars","Accumulative","Battle","Intense","TID_CLANGAMES_TASK_GET_BUILDERBATTLESTARS","TID_CLANGAMES_TASK_INFO_GET_BUILDERBATTLESTARS","sc/ui.sc","Builder_Collect_Stars_Icon",175,175,60,60,10,10,,,"Ancient Artillery",,90,0,10,
"GetBuilderBattleDestructionIntense","GetBuilderBattleDestruction","Accumulative","Battle","Intense","TID_CLANGAMES_TASK_GET_BUILDERBATTLEDESTRUCTION","TID_CLANGAMES_TASK_INFO_GET_BUILDERBATTLEDESTRUCTION","sc/ui.sc","Builder_Get_Destruction_Icon",175,175,60,60,300,300,,,"Elixir Pump",,90,0,10,
"WinHomeBattlesIntense","WinHomeBattles","Accumulative","Battle","Intense","TID_CLANGAMES_TASK_WIN_HOMEBATTLES","TID_CLANGAMES_TASK_INFO_WIN_HOMEBATTLES","sc/ui.sc","Home_Win_Battles_Icon",250,250,60,60,3,3,,,"Gold Mine",,36,0,10,
"DestroyEagleArtilleryIntense","DestroyBuilding","Accumulative","Battle","Intense","TID_CLANGAMES_TASK_DESTROY_EAGLEARTILLERY","TID_CLANGAMES_TASK_INFO_DESTROY_EAGLEARTILLERY","sc/buildings.sc","doom_cannon_lvl2",200,200,60,60,2,2,,,"Ancient Artillery",,14,0,10,
"DestroyElixirPumpsIntense","DestroyBuilding","Accumulative","Battle","Intense","TID_CLANGAMES_TASK_DESTROY_ELIXIRPUMPS","TID_CLANGAMES_TASK_INFO_DESTROY_ELIXIRPUMPS","sc/buildings.sc","elixir_pump_lvl6",175,175,60,60,15,15,,,"Elixir Pump",,14,0,10,
"DestroyGoldMinesIntense","DestroyBuilding","Accumulative","Battle","Intense","TID_CLANGAMES_TASK_DESTROY_GOLDMINES","TID_CLANGAMES_TASK_INFO_DESTROY_GOLDMINES","sc/buildings.sc","goldmine_lvl6",175,175,60,60,15,15,,,"Gold Mine",,14,0,10,
"DestroyElixirStoragesIntense","DestroyBuilding","Accumulative","Battle","Intense","TID_CLANGAMES_TASK_DESTROY_ELIXIRSTORAGES","TID_CLANGAMES_TASK_INFO_DESTROY_ELIXIRSTORAGES","sc/buildings.sc","elixir_storage_level6",175,175,60,60,10,10,,,"Elixir Storage",,14,0,10,
"DestroyGoldStoragesIntense","DestroyBuilding","Accumulative","Battle","Intense","TID_CLANGAMES_TASK_DESTROY_GOLDSTORAGES","TID_CLANGAMES_TASK_INFO_DESTROY_GOLDSTORAGES","sc/buildings.sc","gold_storage_lvl6",175,175,60,60,10,10,,,"Gold Storage",,14,0,10,
"DestroyMortarsIntense","DestroyBuilding","Accumulative","Battle","Intense","TID_CLANGAMES_TASK_DESTROY_MORTARS","TID_CLANGAMES_TASK_INFO_DESTROY_MORTARS","sc/buildings.sc","mortar_lvl4",175,175,60,60,8,8,,,"Mortar",,14,0,10,
"DestroyWizardTowersIntense","DestroyBuilding","Accumulative","Battle","Intense","TID_CLANGAMES_TASK_DESTROY_WIZARDTOWERS","TID_CLANGAMES_TASK_INFO_DESTROY_WIZARDTOWERS","sc/buildings.sc","wizard_tower_lvl4",175,175,60,60,8,8,,,"Wizard Tower",,14,0,10,
"DestroyCannonsIntense","DestroyBuilding","Accumulative","Battle","Intense","TID_CLANGAMES_TASK_DESTROY_CANNONS","TID_CLANGAMES_TASK_INFO_DESTROY_CANNONS","sc/buildings.sc","basic_turret_lvl7",175,175,60,60,15,15,,,"Cannon",,14,0,10,
"DestroyArcherTowersIntense","DestroyBuilding","Accumulative","Battle","Intense","TID_CLANGAMES_TASK_DESTROY_ARCHERTOWERS","TID_CLANGAMES_TASK_INFO_DESTROY_ARCHERTOWERS","sc/buildings.sc","tower_turret_lvl3",175,175,60,60,15,15,,,"Archer Tower",,14,0,10,
"DestroyDarkElixirPumpsIntense","DestroyBuilding","Accumulative","Battle","Intense","TID_CLANGAMES_TASK_DESTROY_DARKELIXIRPUMPS","TID_CLANGAMES_TASK_INFO_DESTROY_DARKELIXIRPUMPS","sc/buildings.sc","darkelixir_pump_lvl4",175,175,60,60,5,5,,,"Dark Elixir Pump",,14,0,10,
"DestroyDarkElixirStoragesIntense","DestroyBuilding","Accumulative","Battle","Intense","TID_CLANGAMES_TASK_DESTROY_DARKELIXIRSTORAGES","TID_CLANGAMES_TASK_INFO_DESTROY_DARKELIXIRSTORAGES","sc/buildings.sc","darkelixir_storage_level3",175,175,60,60,2,2,,,"Dark Elixir Storage",,14,0,10,
"DestroyClanCastlesIntense","DestroyBuilding","Accumulative","Battle","Intense","TID_CLANGAMES_TASK_DESTROY_CLANCASTLES","TID_CLANGAMES_TASK_INFO_DESTROY_CLANCASTLES","sc/buildings.sc","alliance_castle_lvl2",175,175,60,60,2,2,,,"Alliance Castle",,14,0,10,
"DestroyLaboratoriesIntense","DestroyBuilding","Accumulative","Battle","Intense","TID_CLANGAMES_TASK_DESTROY_LABORATORIES","TID_CLANGAMES_TASK_INFO_DESTROY_LABORATORIES","sc/buildings.sc","laboratory_lvl6",100,100,60,60,4,4,,,"Laboratory",,5,0,10,
"DestroySpellFactoriesIntense","DestroyBuilding","Accumulative","Battle","Intense","TID_CLANGAMES_TASK_DESTROY_SPELLFACTORIES","TID_CLANGAMES_TASK_INFO_DESTROY_SPELLFACTORIES","sc/buildings.sc","spell_factory_lvl3",100,100,60,60,4,4,,,"Spell Forge",,5,0,10,
"DestroyDarkSpellFactoriesIntense","DestroyBuilding","Accumulative","Battle","Intense","TID_CLANGAMES_TASK_DESTROY_DARKSPELLFACTORIES","TID_CLANGAMES_TASK_INFO_DESTROY_DARKSPELLFACTORIES","sc/buildings.sc","mini_spell_distillery_lvl1",100,100,60,60,4,4,,,"Mini Spell Factory",,5,0,10,
"DestroyAirSweepersIntense","DestroyBuilding","Accumulative","Battle","Intense","TID_CLANGAMES_TASK_DESTROY_AIRSWEEPERS","TID_CLANGAMES_TASK_INFO_DESTROY_AIRSWEEPERS","sc/buildings.sc","air_mortar_lvl2",175,175,60,60,4,4,,,"Air Blaster",,14,0,10,
"DestroyAirDefensesIntense","DestroyBuilding","Accumulative","Battle","Intense","TID_CLANGAMES_TASK_DESTROY_AIRDEFENSES","TID_CLANGAMES_TASK_INFO_DESTROY_AIRDEFENSES","sc/buildings.sc","fireworks_tower_lvl6",175,175,60,60,8,8,,,"Air Defense",,14,0,10,
"DestroyInfernoTowersIntense","DestroyBuilding","Accumulative","Battle","Intense","TID_CLANGAMES_TASK_DESTROY_INFERNOTOWERS","TID_CLANGAMES_TASK_INFO_DESTROY_INFERNOTOWERS","sc/buildings.sc","dark_tower_lvl2",200,200,60,60,4,4,,,"Dark Tower",,14,0,10,
"DestroyBombTowersIntense","DestroyBuilding","Accumulative","Battle","Intense","TID_CLANGAMES_TASK_DESTROY_BOMBTOWERS","TID_CLANGAMES_TASK_INFO_DESTROY_BOMBTOWERS","sc/buildings.sc","bomb_tower_lvl1",200,200,60,60,4,4,,,"Bomb Tower",,14,0,10,
"DestroyTeslaTowersIntense","DestroyBuilding","Accumulative","Battle","Intense","TID_CLANGAMES_TASK_DESTROY_TESLATOWERS","TID_CLANGAMES_TASK_INFO_DESTROY_TESLATOWERS","sc/buildings.sc","teslatower_lvl5_setup",200,200,60,60,8,8,,,"Tesla Tower",,14,0,10,
"DestroyXbowsIntense","DestroyBuilding","Accumulative","Battle","Intense","TID_CLANGAMES_TASK_DESTROY_XBOWS","TID_CLANGAMES_TASK_INFO_DESTROY_XBOWS","sc/buildings.sc","rapidfire_turret_lvl1",200,200,60,60,8,8,,,"Bow",,14,0,10,
"DestroyKingAltarsIntense","DestroyBuilding","Accumulative","Battle","Intense","TID_CLANGAMES_TASK_DESTROY_KINGALTARS","TID_CLANGAMES_TASK_INFO_DESTROY_KINGALTARS","sc/buildings.sc","heroaltar_barbarian_king_lvl1",75,75,60,60,3,3,,,"Hero Altar Barbarian King",,5,0,10,
"DestroyQueenAltarsIntense","DestroyBuilding","Accumulative","Battle","Intense","TID_CLANGAMES_TASK_DESTROY_QUEENALTARS","TID_CLANGAMES_TASK_INFO_DESTROY_QUEENALTARS","sc/buildings.sc","heroaltar_archer_queen_lvl1",75,75,60,60,3,3,,,"Hero Altar Archer Queen",,5,0,10,
"DestroyWardenAltarsIntense","DestroyBuilding","Accumulative","Battle","Intense","TID_CLANGAMES_TASK_DESTROY_WARDENALTARS","TID_CLANGAMES_TASK_INFO_DESTROY_WARDENALTARS","sc/buildings.sc","heroaltar_elder_lvl1",75,75,60,60,3,3,,,"Hero Altar Grand Warden",,5,0,10,
"LootGoldIntense","LootResources","Accumulative","Battle","Intense","TID_CLANGAMES_TASK_LOOT_GOLD","TID_CLANGAMES_TASK_INFO_LOOT_GOLD","sc/ui.sc","Home_Loot_Gold",175,175,60,60,500000,500000,,,"Gold",,45,0,10,
"LootElixirIntense","LootResources","Accumulative","Battle","Intense","TID_CLANGAMES_TASK_LOOT_ELIXIR","TID_CLANGAMES_TASK_INFO_LOOT_ELIXIR","sc/ui.sc","Home_Loot_Elixir",175,175,60,60,500000,500000,,,"Elixir",,45,0,10,
"LootDarkElixirIntense","LootResources","Accumulative","Battle","Intense","TID_CLANGAMES_TASK_LOOT_DARKELIXIR","TID_CLANGAMES_TASK_INFO_LOOT_DARKELIXIR","sc/ui.sc","Home_Loot_DarkElixir",175,175,60,60,5000,5000,,,"DarkElixir",,30,0,10,
"WinHomeBattlesInRowIntense","WinHomeBattles","Consecutive","Battle","Intense","TID_CLANGAMES_TASK_WIN_HOMEBATTLESINROW","TID_CLANGAMES_TASK_INFO_WIN_HOMEBATTLESINROW","sc/ui.sc","Home_Win_Battles_Icon",175,175,60,60,2,2,,,"Bow",,24,0,10,
"WinHomeBattlesInRowEpic","WinHomeBattles","Consecutive","Battle","Epic","TID_CLANGAMES_TASK_WIN_HOMEBATTLESINROW","TID_CLANGAMES_TASK_INFO_WIN_HOMEBATTLESINROW","sc/ui.sc","Home_Win_Battles_Icon",400,400,1440,1440,5,5,,,,,24,0,10,
"DestroyEagleArtilleryEpic","DestroyBuilding","Accumulative","Battle","Epic","TID_CLANGAMES_TASK_DESTROY_EAGLEARTILLERY","TID_CLANGAMES_TASK_INFO_DESTROY_EAGLEARTILLERY","sc/buildings.sc","doom_cannon_lvl2",400,400,1440,1440,5,5,,,"Ancient Artillery",,14,0,10,
"DestroyInfernoTowersEpic","DestroyBuilding","Accumulative","Battle","Epic","TID_CLANGAMES_TASK_DESTROY_INFERNOTOWERS","TID_CLANGAMES_TASK_INFO_DESTROY_INFERNOTOWERS","sc/buildings.sc","dark_tower_lvl2",400,400,1440,1440,9,9,,,"Dark Tower",,14,0,10,
"GetHomeBattleStarsEpic","GetHomeBattleStars","Accumulative","Battle","Epic","TID_CLANGAMES_TASK_GET_HOMEBATTLESTARS","TID_CLANGAMES_TASK_INFO_GET_HOMEBATTLESTARS","sc/ui.sc","Home_Collect_Stars_Icon",400,400,1440,1440,12,12,,,,,90,0,10,
"WinHomeBattlesEpic","WinHomeBattles","Accumulative","Battle","Epic","TID_CLANGAMES_TASK_WIN_HOMEBATTLES","TID_CLANGAMES_TASK_INFO_WIN_HOMEBATTLES","sc/ui.sc","Home_Win_Battles_Icon",400,400,1440,1440,6,6,,,,,36,0,10,
"GetBuilderBattleStarsEpic","GetBuilderBattleStars","Accumulative","Battle","Epic","TID_CLANGAMES_TASK_GET_BUILDERBATTLESTARS","TID_CLANGAMES_TASK_INFO_GET_BUILDERBATTLESTARS","sc/ui.sc","Builder_Collect_Stars_Icon",400,400,1440,1440,20,20,,,,,90,0,10,
"LootGoldEpic","LootResources","Accumulative","Battle","Epic","TID_CLANGAMES_TASK_LOOT_GOLD","TID_CLANGAMES_TASK_INFO_LOOT_GOLD","sc/ui.sc","Home_Loot_Gold",400,400,1440,1440,1250000,1250000,,,"Gold",,45,0,10,
"LootElixirEpic","LootResources","Accumulative","Battle","Epic","TID_CLANGAMES_TASK_LOOT_ELIXIR","TID_CLANGAMES_TASK_INFO_LOOT_ELIXIR","sc/ui.sc","Home_Loot_Elixir",400,400,1440,1440,1250000,1250000,,,"Elixir",,45,0,10,
"LootDarkElixirEpic","LootResources","Accumulative","Battle","Epic","TID_CLANGAMES_TASK_LOOT_DARKELIXIR","TID_CLANGAMES_TASK_INFO_LOOT_DARKELIXIR","sc/ui.sc","Home_Loot_DarkElixir",400,400,1440,1440,12500,12500,,,"DarkElixir",,30,0,10,
"GetHomeBattleDestructionEpic","GetHomeBattleDestruction","Accumulative","Battle","Epic","TID_CLANGAMES_TASK_GET_HOMEBATTLEDESTRUCTION","TID_CLANGAMES_TASK_INFO_GET_HOMEBATTLEDESTRUCTION","sc/ui.sc","Home_Get_Desturction_Icon",400,400,1440,1440,400,400,,,,,90,0,10,
"GetBuilderBattleDestructionEpic","GetBuilderBattleDestruction","Accumulative","Battle","Epic","TID_CLANGAMES_TASK_GET_BUILDERBATTLEDESTRUCTION","TID_CLANGAMES_TASK_INFO_GET_BUILDERBATTLEDESTRUCTION","sc/ui.sc","Builder_Get_Destruction_Icon",400,400,1440,1440,800,800,,,,,90,0,10,
"DestroyTownHall2","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_BB_BUILDERHALL","TID_CLANGAMES_TASK_INFO_DESTROY_BB_BUILDERHALL","sc/buildings2.sc","new_TH_lvl3",100,100,480,480,5,5,,,"Town Hall2",,45,0,10,
"DestroyAirDefenseMini","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_BB_FIRECRACKERS","TID_CLANGAMES_TASK_INFO_DESTROY_BB_FIRECRACKERS","sc/buildings2.sc","airDefence_box_lvl4",100,100,480,480,10,10,,,"Air Defense Mini",,45,0,10,
"DestroyAirDefense2","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_BB_AIRBOMBS","TID_CLANGAMES_TASK_INFO_DESTROY_BB_AIRBOMBS","sc/buildings2.sc","airDefence_factory_lvl4",100,100,480,480,5,5,,,"Air Defense2",,45,0,10,
"DestroyClockTower","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_BB_CLOCKTOWER","TID_CLANGAMES_TASK_INFO_DESTROY_BB_CLOCKTOWER","sc/buildings2.sc","clocktower_lvl2",50,50,480,480,5,5,,,"Clock Tower",,45,0,10,
"DestroyCrusher","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_BB_CRUSHER","TID_CLANGAMES_TASK_INFO_DESTROY_BB_CRUSHER","sc/buildings2.sc","Crusher_lvl2",100,100,480,480,8,8,,,"Crusher",,45,0,10,
"DestroyDoubleCannon","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_BB_DOUBLECANNON","TID_CLANGAMES_TASK_INFO_DESTROY_BB_DOUBLECANNON","sc/buildings2.sc","doubleCannon_lvl2",100,100,480,480,10,10,,,"Double Cannon",,45,0,10,
"DestroyFlamer","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_BB_ROASTER","TID_CLANGAMES_TASK_INFO_DESTROY_BB_ROASTER","sc/buildings2.sc","Flamer_lvl2",100,100,480,480,5,5,,,"Flamer",,45,0,10,
"DestroyGemMine","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_BB_GEMMINE","TID_CLANGAMES_TASK_INFO_DESTROY_BB_GEMMINE","sc/buildings2.sc","gem_mine_lvl2",50,50,480,480,5,5,,,"Gem Mine",,45,0,10,
"DestroyGiantCannon","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_BB_GIANTCANNON","TID_CLANGAMES_TASK_INFO_DESTROY_BB_GIANTCANNON","sc/buildings2.sc","megaCannon_lvl4",100,100,480,480,5,5,,,"Giant Cannon",,45,0,10,
"DestroyGuardPost","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_BB_GUARDPOST","TID_CLANGAMES_TASK_INFO_DESTROY_BB_GUARDPOST","sc/buildings2.sc","GuardPost_lvl4",100,100,480,480,5,5,,,"Guard Post",,45,0,10,
"DestroyLaboratory2","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_BB_STARLABORATORY","TID_CLANGAMES_TASK_INFO_DESTROY_BB_STARLABORATORY","sc/buildings2.sc","Telescope_lvl5",50,50,480,480,5,5,,,"Laboratory2",,45,0,10,
"DestroyMultiMortar","DestroyBuilding","Accumulative","Battle","Regular","TID_CLANGAMES_TASK_DESTROY_BB_MULTIMORTAR","TID_CLANGAMES_TASK_INFO_DESTROY_BB_MULTIMORTAR","sc/buildings2.sc","multi_mortar_lvl4",100,100,480,480,5,5,,,"Multi Mortar",,45,0,10,
"DestroyTownHall2Small","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_BB_BUILDERHALL","TID_CLANGAMES_TASK_INFO_DESTROY_BB_BUILDERHALL","sc/buildings2.sc","new_TH_lvl3",40,40,180,180,1,1,,,"Town Hall2",,14,0,10,
"DestroyAirDefenseMiniSmall","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_BB_FIRECRACKERS","TID_CLANGAMES_TASK_INFO_DESTROY_BB_FIRECRACKERS","sc/buildings2.sc","airDefence_box_lvl4",40,40,180,180,2,2,,,"Air Defense Mini",,14,0,10,
"DestroyAirDefense2Small","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_BB_AIRBOMBS","TID_CLANGAMES_TASK_INFO_DESTROY_BB_AIRBOMBS","sc/buildings2.sc","airDefence_factory_lvl4",40,40,180,180,1,1,,,"Air Defense2",,14,0,10,
"DestroyClockTowerSmall","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_BB_CLOCKTOWER","TID_CLANGAMES_TASK_INFO_DESTROY_BB_CLOCKTOWER","sc/buildings2.sc","clocktower_lvl2",40,40,180,180,1,1,,,"Clock Tower",,14,0,10,
"DestroyCrusherSmall","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_BB_CRUSHER","TID_CLANGAMES_TASK_INFO_DESTROY_BB_CRUSHER","sc/buildings2.sc","Crusher_lvl2",40,40,180,180,2,2,,,"Crusher",,14,0,10,
"DestroyDoubleCannonSmall","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_BB_DOUBLECANNON","TID_CLANGAMES_TASK_INFO_DESTROY_BB_DOUBLECANNON","sc/buildings2.sc","doubleCannon_lvl2",40,40,180,180,2,2,,,"Double Cannon",,14,0,10,
"DestroyFlamerSmall","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_BB_ROASTER","TID_CLANGAMES_TASK_INFO_DESTROY_BB_ROASTER","sc/buildings2.sc","Flamer_lvl2",40,40,180,180,1,1,,,"Flamer",,14,0,10,
"DestroyGemMineSmall","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_BB_GEMMINE","TID_CLANGAMES_TASK_INFO_DESTROY_BB_GEMMINE","sc/buildings2.sc","gem_mine_lvl2",40,40,180,180,1,1,,,"Gem Mine",,14,0,10,
"DestroyGiantCannonSmall","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_BB_GIANTCANNON","TID_CLANGAMES_TASK_INFO_DESTROY_BB_GIANTCANNON","sc/buildings2.sc","megaCannon_lvl4",40,40,180,180,1,1,,,"Giant Cannon",,14,0,10,
"DestroyGuardPostSmall","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_BB_GUARDPOST","TID_CLANGAMES_TASK_INFO_DESTROY_BB_GUARDPOST","sc/buildings2.sc","GuardPost_lvl4",40,40,180,180,1,1,,,"Guard Post",,14,0,10,
"DestroyLaboratory2Small","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_BB_STARLABORATORY","TID_CLANGAMES_TASK_INFO_DESTROY_BB_STARLABORATORY","sc/buildings2.sc","Telescope_lvl5",40,40,180,180,1,1,,,"Laboratory2",,14,0,10,
"DestroyMultiMortarSmall","DestroyBuilding","Accumulative","Battle","Small","TID_CLANGAMES_TASK_DESTROY_BB_MULTIMORTAR","TID_CLANGAMES_TASK_INFO_DESTROY_BB_MULTIMORTAR","sc/buildings2.sc","multi_mortar_lvl4",40,40,180,180,1,1,,,"Multi Mortar",,14,0,10,
"DestroyTownHall2Intense","DestroyBuilding","Accumulative","Battle","Intense","TID_CLANGAMES_TASK_DESTROY_BB_BUILDERHALL","TID_CLANGAMES_TASK_INFO_DESTROY_BB_BUILDERHALL","sc/buildings2.sc","new_TH_lvl3",175,175,60,60,5,5,,,"Town Hall2",,14,0,10,
"DestroyAirDefenseMiniIntense","DestroyBuilding","Accumulative","Battle","Intense","TID_CLANGAMES_TASK_DESTROY_BB_FIRECRACKERS","TID_CLANGAMES_TASK_INFO_DESTROY_BB_FIRECRACKERS","sc/buildings2.sc","airDefence_box_lvl4",175,175,60,60,10,10,,,"Air Defense Mini",,14,0,10,
