"TID","EN","AR","CN","CNT","DE","ES","FA","FI","FR","ID","IT","JP","KR","MS","NL","NO","PT","RU","TH","TR","VI"
"TID_GEAR_RESOURCE_RARE_INFO","Glowy Ore helps upgrade Equipment. You can find it in the Star Bonus or Clan Wars.","يساعد المعدن المتوهج على ترقية المعدات. يمكنك العثور عليه في مكافأة النجوم أو حروب القبائل.","璀璨矿石可用于升级装备。\n您可以通过胜利之星奖励或部落对战获取。","輝光礦石可用於升級裝備。\n可以透過勝利之星獎勵或參加部落對戰獲取。","Mit Glimmerz kannst du Ausrüstung verbessern. Du bekommst es mit dem Sternebonus oder in Clankriegen.","Los minerales radiantes ayudan a mejorar el equipo. Puedes encontrarlos en el bonus estelar o en las guerras de clanes.","سنگ معدن درخشان به ارتقای تجهیزات کمک می‌کند. می‌توانید آن را در پاداش ستاره یا جنگ‌های قبیله‏‌ای پیدا کنید.","Hohtomalmia käytetään varusteiden päivittämiseen. Saat sitä tähtipalkinnoista ja klaanisodan palkinnoista.","Les minerais luisants permettent d'améliorer l'équipement. Vous pouvez en obtenir dans les bonus étoiles ou les guerres de clans.","Mineral Gemilang berfungsi untuk meningkatkan Peralatan dan bisa diraih dari Bonus Bintang atau Perang Klan.","I minerali raffinati servono a migliorare l'equipaggiamento degli eroi e li puoi accumulare ottenendo il Bonus stella o partecipando alle guerre tra clan.","装備のアップグレードに使用できます。星ボーナスかクラン対戦で入手可能です。","은은한 광석은 장비를 업그레이드 하는 데 사용됩니다. 별 보너스나 클랜전에서 획득할 수 있습니다.","Bijih Bercahaya membantu menaik taraf pelengkapan. Anda boleh menemuinya dalam bonus bintang atau Perang Klan.","Glimmend erts helpt om uitrustingen te upgraden. Je kunt het vinden in de sterbonus of via clanoorlogen.","Skinnende malm bidrar til å oppgradere utstyr. Du finner den i stjernebonusen eller klankriger.","O minério brilhante ajuda a melhorar equipamentos. Pode ser obtido no bônus de estrela e na Guerra de Clãs.","Сияющая руда нужна для улучшения снаряжения. Ее можно найти в звездном бонусе и получить в войнах кланов.","แร่เรืองรองช่วยอัปเกรดอุปกรณ์ ท่านสามารถหาแร่ได้ในโบนัสดาวหรือสงครามแคลน","Işıltılı cevher, ekipmanları yükseltmede kullanılır. Yıldız bonusundan ve klan savaşlarından alınabilir.","Quặng lấp lánh giúp nâng cấp Trang bị. Bạn có thể nhận được chúng từ Thưởng Sao hoặc Hội Chiến."
"TID_GEAR_TITLE_LIFE_GEM","Life Gem","جوهرة الحياة","生命宝石","生命寶石","Lebensstein","Gema vital","جواهر زندگی","Elämän jalokivi","Gemme de vie","Permata Kehidupan","Gemma vitale","ライフジェム","생명의 보석","Permata Kehidupan","Levensedelsteen","Livsjuvel","Gema da Vida","Кристалл жизни","อัญมณีแห่งชีวิต","Hayat Taşı","Ngọc sinh mệnh"
"TID_GP_PURCHASE_COUNTDOWN","Pass sales end in <time>","يتوقف بيع التذكرة بعد <time>","令牌限时购：<time>后截止","通行證可購時限：<time>後截止","Pass nicht mehr verfügbar in <time>","El pase dejará de estar disponible dentro de <time>.","فروش «بلیت» در <time> تمام می‌شود","Passin myyntiaika päättyy <time> kuluttua.","Fin de la vente du pass : <time>","Penjualan Tiket berakhir dalam <time>","Il pass sarà acquistabile ancora per <time>.","パスの販売終了まで：<time>","패스 판매 종료까지: <time>","Jualan pas tamat dalam <time>","Gulden-kaartaanbieding eindigt over <time>.","Passalgene avsluttes om <time>","As vendas do bilhete se encerrarão em <time>.","Пропуск в продаже еще <time>","การขายบัตรจะสิ้นสุดใน <time>","Bilet indirimlerinin bitmesine <time> kaldı.","Ưu đãi Vé kết thúc sau <time>"
"TID_HERO_GEAR_UNLOCKED","<gear> Unlocked!","تم فتح <gear>!","已解锁<gear>！","已解鎖<gear>！","<gear> freigeschaltet!","¡Refuerzo <gear> desbloqueado!","قفل <gear> باز شد!","<gear> avattu!","Débloqué : <gear> !","<gear> Terbuka!","Equipaggiamento \q<gear>\q sbloccato!","<gear>をアンロックしました！","<gear> 잠금 해제!","<gear> dibuka!","<gear> ontgrendeld!","<gear> låst opp!","<gear> disponível!","Открыто снаряжение «<gear>»!","<gear> ปลดล็อคแล้ว!","<gear> Açıldı!","Đã mở khóa <gear>!"
"TID_MEGA_TESLA_INFO_SHORT","The \qMega\q stands for \qMegavolt\q.","«ميجا» مقصود بها «ميجا فولت».","\q超级\q指的是\q超级高压\q。","「超級」是「超級高壓電」的意思。","„Mega“ steht hier für „Megavolt“.","El \qmega\q es de \qmegarrayo\q.","«مگا» مخفف «مگاولت» است.","\qMega\q viittaa megavoltteihin.","C'est \qméga\q pour \qmégavolt\q.","\qMega\q di sini adalah singkatan untuk \qMegavolt\q.","Quel \qmega\q significa \qmegavolt\q.","「メガテスラ」の「メガ」は「メガボルト」の略です。","'메가'는 메가 볼트를 뜻합니다.","\qMega\q bermakna \qMegavolt\q.","De 'mega' staat voor 'megavolt'.","«Mega» står for «megavolt».","O \qmega\q significa \qmegavolt\q.","«Мега» в данном случае — это сокращение от «мегавольт».","คำว่า “เมก้า” ย่อมาจาก “เมก้าโวลต์”","\qMega\q kısmı \qMegavolt\q anlamında.","Cấm lại gần! Điện áp cao, nguy hiểm chết người!"
"TID_PET_ABILITY_INFO_SPIRIT_FOX","Periodically turns itself and its hero invisible.","يجعل نفسه وبطله مختفيين.","每隔一段时间使自己和跟随的英雄隐身。","每隔一段時間使自己和跟隨的英雄隱身。","Macht sich und seinen Helden unsichtbar.","Se hace invisible a sí mismo y a su héroe.","به‌طور متناوب خود و قهرمانش را نامرئی می‌کند.","Muuttaa silloin tällöin itsensä ja sankarinsa näkymättömäksi.","Régulièrement, se rend invisible lui et son héros.","Secara berkala membuat diri sendiri dan Pahlawan menjadi tak terlihat.","Rende periodicamente invisibili se stessa e il suo eroe.","一定時間ごとに自身とヒーローを透明化","주기적으로 자신과 영웅을 투명하게 합니다.","Membuatkan diri dan wira halimunan secara berkala.","Maakt zichzelf en je held regelmatig onzichtbaar.","Gjør periodevis seg selv og helten usynlig.","Periodicamente fica invisível e deixa o herói invisível.","Периодически делает себя и своего героя невидимыми.","ทำให้ตัวเองและผู้กล้าล่องหน","Belirli aralıklarla kendini ve kahramanını görünmez yapar.","Tự biến mình và Tướng thành tàng hình theo chu kỳ."
"TID_PET_SPIRIT_FOX","Spirit Fox","الثعلب الشبحي","灵狐","靈狐","Geisterfuchs","Zorro espiritual","روباه روح","Aavekettu","Renard spirituel","Rubah Roh","Volpe degli spiriti","スピリットフォックス","스피릿 폭스","Roh Rubah","Vossengeest","Ånderev","Raposa Espiritual","Призрачная лиса","จิ้งจอกแห่งจิตวิญญาณ","Ruh Tilkisi","Cáo linh hồn"
"TID_PET_SPIRIT_FOX_INFO","An extremely shy creature, who's happiest alone in the woods outside the Village. When called to battle, Spirit Fox fights fiercely alongside their hero and helps them with a little invisibility.","مخلوق خجول للغاية، يفضل العيش سعيدًا بمفرده في الغابة خارج القرية. عند استدعائه للمعركة، يقاتل الثعلب الشبحي بشراسة بجانب بطله ويساعده عن طريق الاختفاء.","灵狐生性极其害羞，最喜欢独自待在村庄外的树林里。被召唤到战场时，灵狐会与它的英雄并肩作战，并帮助其隐身。","靈狐生性害羞，牠最喜歡獨自待在村莊外的樹林裡。被召喚到戰場時，靈狐會與牠的英雄並肩作戰，並提供一些隱形效果。","Diese überaus scheue Kreatur fühlt sich besonders wohl, wenn sie alleine durch die Wälder außerhalb des Dorfs streift. Wird der Geisterfuchs in den Kampf gerufen, kämpft er nicht nur verbissen an der Seite seines Helden, sondern unterstützt ihn auch mit vorübergehender Unsichtbarkeit.","Un animal muy tímido que está más feliz cuando está solo en el bosque, fuera de la aldea. Al llevarlo a la batalla, el zorro espiritual lucha con ferocidad junto a su héroe y lo ayuda a volverse invisible.","موجودی بسیار خجالتی که شادترین حالتش هنگام تنها بودن در جنگل‌های بیرون دهکده است. روباه روح وقتی به نبرد احضار می‌شود، به‌شدت در کنار قهرمان خود می‌جنگد و با کمی نامرئی کردن به او کمک می‌کند.","Aavekettu on uskomattoman ujo olento, joka nauttii yksinolosta ja viettää päivänsä kylää ympäröivässä metsässä. Kun se kutsutaan taisteluun, se taistelee armotta sankarinsa rinnalla ja auttaa tätä pysymään näkymättömänä.","Une créature très timide qui préfère s'isoler dans les bois à l'extérieur du village. Pendant la bataille, le renard spirituel combat aux côtés de son héros et lui confère un peu d'invisibilité.","Makhluk pemalu ini sangat senang menyendiri di hutan di pinggiran Desa. Saat dipanggil ke medan tempur, Rubah Roh akan berjuang sekuat tenaga bersama Pahlawan dan memberikan sedikit efek penghilang.","La volpe degli spiriti è una creatura maestosa, ma anche un po' schiva, che preferisce vivere in solitudine nel bosco vicino al villaggio. Se il suo eroe ha bisogno di lei, questo famiglio lo aiuterà attaccando gli avversari e rendendolo invisibile per un breve periodo.","村の外の森でひっそりと暮らす孤高の動物です。とてもシャイな性格をしていますが、戦闘ではヒーローと共に勇敢に戦い、透明化の能力で勝利に貢献します。","수줍음이 많아 마을 밖 숲속에서 혼자 지내기를 좋아하는 동물입니다. 전투에 소환하면 영웅과 함께 맹렬히 싸우며 투명 능력으로 지원합니다.","Makhluk ini pemalu dan suka hidup bersendirian di dalam hutan di luar kampung. Apabila diseru ke medan pertempuran, Roh Rubah bertarung kuat di samping wira dan menjadikannya halimunan untuk seketika.","Een enorm verlegen wezen dat het gelukkigst is als het zich alleen bevindt in de bossen naast het dorp. De vossengeest vecht aan de zijde van je helden en helpt ze door onzichtbaar te worden.","En ekstremt folkesky skapning som trives best i skogen utenfor landsbyen. Når åndereven blir kalt ut i strid, kjemper den innbitt sammen med helten sin og bidrar med litt usynlighet.","Uma criatura extremamente tímida que prefere ficar sozinha na floresta nos arredores da vila. Quando chamada para a batalha, a Raposa Espiritual luta ao lado do herói dando um pouco de invisibilidade.","Робкое существо, которое любит бродить в одиночестве в лесу за деревней, но будет отважно сражаться за своего героя в бою и даже ненадолго  сделает его невидимым.","สิ่งมีชีวิตแสนขี้อายซึ่งมีความสุขกับการอยู่ตัวเดียวในป่านอกหมู่บ้าน แต่เมื่อเรียกให้เข้าร่วมสงคราม จิ้งจอกแห่งจิตวิญญาณก็ต่อสู้อย่างอาจหาญเคียงข้างผู้กล้าของมันและช่วยให้ผู้กล้าล่องหนได้เล็กน้อย","Köyün dışındaki ormanlarda tek başına takılmaktan hoşlanan, son derece utangaç bir yaratık. Savaşa çağırıldığında kahramanının yanında acımasızca savaşır ve kahramanına görünmezlik konusunda yardım eder.","Một sinh vật cực kỳ nhút nhát và chỉ thích sống một mình trong khu rừng bên ngoài Làng. Nhưng khi được triệu hồi tham chiến, Cáo linh hồn sẽ dũng mãnh xông pha cùng Tướng và giúp Tướng tàng hình trong khoảng thời gian ngắn."
"TID_POPUP_UPGRADE_WALL_TEXT","Use <num> x <booster> to upgrade this Wall?","أتريد استخدام <num> من <booster> لترقية هذا الجدار؟","要使用<num>x<booster>升级该城墙吗？","要使用<num>x<booster>升級該城牆嗎？","<booster> (<num>x) verwenden, um diese Mauer zu verbessern?","¿Quieres usar <booster> (x<num>) para mejorar este muro?","از <num> x <booster> برای ارتقای این دیوار استفاده شود؟","Käytetäänkö <num> x <booster> muurin päivittämiseen?","Utiliser <num> x <booster> pour améliorer ce rempart ?","Gunakan <num>x <booster> untuk meningkatkan Tembok ini?","Vuoi usare <num> unità di \q<booster>\q per migliorare il muro?","<booster>を<num>個使用して、この壁をアップグレードしますか？","<booster> <num>개를 사용해 이 장벽을 업그레이드할까요?","Guna <num> <booster> untuk naik taraf benteng ini?","Wil je <num>x een <booster> gebruiken om deze muur te upgraden?","Bruke <num>x <booster> for å oppgradere denne muren?","Usar <num>x <booster> para melhorar o muro?","<booster> (<num>): использовать для улучшения этой стены?","ใช้ <booster> <num> อันเพื่ออัปเกรดกำแพงนี้หรือไม่?","Bu duvar <num> <booster> kullanılarak yükseltilsin mi?","Sử dụng <num> x <booster> để nâng cấp Tường thành này?"
"TID_POPUP_UPGRADE_WALL_TITLE","Upgrade Wall!","قم بترقية الجدار","升级城墙！","升級城牆！","Mauer verbessern!","Mejorar muro","دیوار را ارتقا دهید!","Päivitä muuri!","Améliorer le rempart !","Tingkatkan Tembok!","Miglioramento del muro","壁のアップグレード！","장벽 업그레이드!","Naik taraf benteng!","Muur upgraden","Oppgrader muren!","Melhorar muro","Улучшение стены","อัปเกรดกำแพง!","Duvar yükseltmesi!","Nâng cấp Tường thành!"
"TID_PTE_REWARD_LOCKED_NOT_ENOUGH_POINTS_AND_NEED_PREMIUM","You need <num> more <soft_currency>, and the Event Pass to unlock this reward.","تحتاج إلى <num> أكثر من <soft_currency> وتذكرة الحدث لفتح هذه الجائزة.","您还需要<num><soft_currency>并启用活动令牌才能解锁该奖励。","你還需要<num><soft_currency>和活動通行證才能解鎖這項獎勵。","Du brauchst noch <num> <soft_currency> und den Ereignispass, um diese Belohnung freizuschalten.","Necesitas <num> <soft_currency> más y el pase de evento para desbloquear esta recompensa.","برای باز کردن قفل این جایزه به <num>‏ <soft_currency> دیگر و بلیت رویداد نیاز دارید.","Tämän palkinnon avaamiseen tarvitaan vielä <soft_currency> x <num> ja tapahtumapassi.","Il vous faut encore <num> <soft_currency> et le pass d'événement pour débloquer cette récompense.","Perlu Tiket Acara dan <num> <soft_currency> lagi untuk membuka hadiah ini.","Ti servono il pass dell'evento e altro <soft_currency> (<num> unità) per sbloccare la ricompensa.","この報酬をアンロックするにはイベントパスと<soft_currency>があと<num>必要です。","해당 보상을 잠금 해제하려면 이벤트 패스와 <soft_currency> <num>개가 더 필요합니다.","Anda perlukan <num> <soft_currency> lagi dan Pas Acara untuk membuka ganjaran ini.","Je hebt nog <num> <soft_currency> en de Event Pass nodig om deze beloning te ontgrendelen.","Du må ha <num> til <soft_currency> og hendelsespasset for å låse opp denne belønningen.","Você precisa de mais <num>x <soft_currency> e do bilhete de evento para liberar esta recompensa.","<soft_currency>: нужно еще <num> ед. и пропуск события, чтобы открыть эту награду.","ท่านต้องมี <soft_currency> อีก <num> หน่วยและบัตรอีเวนท์เพื่อปลดล็อครางวัลนี้","Bu ödülü açmak için etkinlik bileti ve <num> <soft_currency> daha gerekiyor.","Bạn cần có thêm <num> <soft_currency> cùng với Vé Sự kiện để mở khóa phần thưởng này."
"TID_REENGAGEMENT_CHALLENGES_FINISHED_1","Good work, Chief! Now you're ready to continue the Journey!","أحسنت أيها الزعيم! أنت الآن جاهز لمواصلة الرحلة!","干得漂亮，首领！您现在可以继续您的征程啦！","幹得漂亮，首領！你現在可以繼續你的征程囉！","Gute Arbeit, Häuptling! Jetzt kannst du deine Reise fortsetzen!","¡Buen trabajo, jefe! Ya lo tienes todo listo para seguir con tu aventura.","آفرین رئیس! حالا آماده ادامه این سفر هستید!","Hyvää työtä, päällikkö! Olet nyt valmis jatkamaan matkaa!","Bien joué, chef ! Vous pouvez continuer votre aventure !","Kerja bagus, Chief! Bersiaplah untuk melanjutkan petualanganmu!","Ben fatto! Ora puoi proseguire l'avventura!","さすがです！冒険を続ける準備は万端ですね！","잘하셨어요, 대장님! 이제 여정을 계속할 준비가 되었습니다!","Bagus, Ketua! Anda sudah bersedia untuk meneruskan perjalanan!","Goed gedaan, Chief! Nu ben je klaar om je reis verder te zetten!","Bra jobba, høvding! Nå er du klar til å fortsette reisen!","Mandou bem, chefe! Agora você já pode continuar a aventura!","Отличная работа, вождь! Можно двигаться дальше!","เก่งมาก ท่านหัวหน้า! ตอนนี้ท่านก็พร้อมที่จะออกเดินทางต่อแล้ว!","Tebrikler şef! Şimdi yola devam etmeye hazırsın!","Tốt lắm! Chỉ huy hiện đã sẵn sàng để tiếp tục cuộc hành trình!"
"TID_SCENERY_GINGERBREAD","Gingerbread Scenery","منظر كعك الزنجبيل","姜饼世界","薑餅世界","Lebkuchenszenerie","Paisaje de jengibre","منظره شیرینی زنجبیلی","Piparkakkumaisema","Décor pain d'épices","Latar Kue Jahe","Villaggio di pan di zenzero","ジンジャーブレッド","진저브레드 배경","Latar Biskut Halia","Peperkoekomgeving","Pepperkakelandskap","Paisagem de biscoito","Пряничное оформление","ฉากขนมปังขิง","Kurabiye Arka Planı","Phong cảnh Bánh quy gừng"
"TID_SPELL_BAG_OF_FROSTMITES","Bag of Frostmites","حقيبة كريات الصقيع","袋装小冰怪","袋裝小霜怪","Flöckchenbeutel","Bolsa de ácaros glaciales","کیسه‌ای از فسقلی‌های برفکی","Pussillinen kuurapalloja","Bourse de mites polaires","Kantong Kutu Es","Sacco di polarini","フロストマイトの小袋","베이비 프로스티 주머니","Beg Fros Mini","Zak vol ijsmormels","Sekk med frostmidd","Saco de Flocos","Мешок снежных блох","ถุงฟรอสตี้จิ๋ว","Buzul Böceği Sürüsü","Túi Rệp băng"
