"TID","FR"
"TID_EARTHQUAKE_INFO","Des séismes ravageurs affaiblissent remparts et bâtiments !\n\nLes sorts sismiques endommagent les structures selon leurs points de santé maximum. Les séismes répétés infligent de moins en moins de dégâts aux mêmes bâtiments, mais de plus en plus aux mêmes remparts. Aucun rempart ne peut résister à la puissance de quatre sorts sismiques !"
"TID_HINT_SPELL_EARTHQUAKE1","Les sorts sismiques peuvent sérieusement endommager les groupes de bâtiments rapprochés aux points de santé élevés."
"TID_HINT_SPELL_EARTHQUAKE2","Les sorts sismiques lancés à répétition sur les mêmes bâtiments leur infligent moins de dégâts."
"TID_POISON_CLOUD","Sort d'empoisonnement"
"TID_POISON_CLOUD_INFO","Aidez votre armée à prendre l'avantage sur les troupes ennemies avec ce poison mortel !\n\nLes unités de défense qui s'attardent dans le nuage toxique d'un sort d'empoisonnement se déplacent et attaquent moins vite, et subissent des dégâts continus de plus en plus sévères. Les sorts d'empoisonnement ne touchent pas les bâtiments."
"TID_HINT_SPELL_POISON_CLOUD1","Les sorts d'empoisonnement sont très efficaces contre les grands groupes de squelettes ennemis."
"TID_HINT_SPELL_POISON_CLOUD2","Votre armée se battra plus efficacement contre les troupes du château de clan prises dans un sort d'empoisonnement."
"TID_HINT_CLAN_CHAT_PROFANITY_FILTER","Pour éviter les grossièretés dans le chat de clan, activez le filtre dans le menu Paramètres."
"TID_HINT_DARK_SPELLS","Les sorts noirs sont plus compacts que les sorts classiques, pour en emporter davantage au combat !"
"TID_SPELL_STORAGE_BREWING_CAPACITY","Capacité de concoction : <number>"
"TID_ARMY_OVERVIEW_HINT_SPELLS","Disponible au niveau <number> de l'hôtel de ville"
"TID_ARMY_OVERVIEW_HINT_CLAN_CASTLE","Rejoignez un clan pour recevoir des troupes, des sorts et des engins de siège dans votre château de clan."
"TID_ARMY_OVERVIEW_HINT_HEROES","Disponible au niveau <number> de l'hôtel de ville"
"TID_INFO_TARGET_TYPE_BUILDINGS_AND_WALLS","Bâtiments et remparts"
"TID_INFO_TARGET_TYPE_UNITS","Troupes"
"TID_SPELL_DAMAGE_PERCENT","Dégâts : <number> %"
"TID_LEADERBOARDBANNER_PLAYERTOURNAMENTS","Tournoi de la ligue légendes"
"TID_LEADERBOARDBANNER_PLAYER_REWARD","Meilleurs joueurs du dernier tournoi :\n(touchez ci-dessous pour développer)"
"TID_LEADERBOARDBANNER_PLAYER_TIMELEFT","Fin dans :"
"TID_LEADERBOARDBANNER_PLAYER_HISTORY_TITLE","Légendes du dernier tournoi :"
"TID_LEADERBOARDBANNER_PLAYER_HISTORY_INFO","Les joueurs ayant suffisamment de trophées retournent au début de la ligue légendes après chaque tournoi. Les trophées prélevés deviennent des trophées légendaires permanents."
"TID_PRESTIGE_TROPHIES","Trophées légendaires"
"TID_LEGEND_SEASON_END_INTRO","Félicitations pour votre performance légendaire !"
"TID_LEGEND_SEASON_END_INFO","Vous avez fini au rang <rank> du classement général. Cette fantastique performance figure dans votre profil de joueur, à la vue de tous."
"TID_LEGEND_SEASON_END_INFO_WITH_PRESTIGE","Vous avez fini au rang <rank> du classement général et gagné <prestige> trophées légendaires ! Cette fantastique performance figure dans votre profil de joueur, à la vue de tous."
"TID_LEGEND_SEASON_END_TROPHY_RESET","Vos trophées sont redescendus à <value> pour le début du nouveau tournoi de la ligue légendes."
"TID_LEGEND_SEASON_INFO","Terminez une saison dans la ligue légendes pour que vos résultats figurent dans votre profil."
"TID_LEGEND_SEASON_INFO_PRESTIGE","Toutes les légendes reviennent à <value> trophées pour que chaque saison reparte sur de nouvelles bases. Les trophées déduits sont convertis en trophées légendaires."
"TID_PROFILE_BEST_TROHPIES","Record absolu :"
"TID_PROFILE_LEGEND_BEST","Record : Saison <month> <year>"
"TID_PROFILE_LEGEND_LAST","Précédent : Saison <month> <year>"
"TID_PROFILE_LEGEND_RANK","Rang"
"TID_PROFILE_LEGEND_RANK_INLINE","Rang <value>"
"TID_BUTTON_EDIT","Modifier l'armée"
"TID_MONTH_1","Janvier"
"TID_MONTH_2","Février"
"TID_MONTH_3","Mars"
"TID_MONTH_4","Avril"
"TID_MONTH_5","Mai"
"TID_MONTH_6","Juin"
"TID_MONTH_7","Juillet"
"TID_MONTH_8","Août"
"TID_MONTH_9","Septembre"
"TID_MONTH_10","Octobre"
"TID_MONTH_11","Novembre"
"TID_MONTH_12","Décembre"
"TID_SEASON_NAME","Saison <month> <year>"
"TID_PROFILE_BEST_WAR_STARS","Étoiles de guerre gagnées :"
"TID_PROFILE_LEGEND_NO_LAST_RANK","Hors classement"
"TID_PREFERRED_TARGET_EFFECT_BONUS","(Effet x<number>)"
"TID_SETTING_CHANGE_FAILED","Erreur de modification de ce paramètre. Réessayez plus tard."
"TID_SLOW_SPEED","Réduction de la vitesse : <number> %"
"TID_REQUIRED_DARK_SPELL_FORGE_LEVEL","Usine de sorts noirs de niveau <number> nécessaire"
"TID_LEADERBOARDBANNER_PLAYER_NO_TOP_3","Les gagnants du tournoi de la ligue légendes seront affichés ici !"
"TID_LEADERBOARDBANNER_PLAYER_NO_HISTORY","Aucun joueur de la ligue légendes n'a marqué assez de points lors du dernier tournoi."
"TID_LEGEND_SEASON_END_TIP","REMARQUE : la ligue légendes a ses propres règles et récompenses de fin de saison !"
"TID_LEGEND_SEASON_INFO_PRESTIGE_MORE","Les trophées légendaires sont le summum du prestige. Ils ne peuvent pas être perdus et s'additionnent à chaque saison."
"TID_NEWS_DARK_SPELLS_TITLE",""
"TID_NEWS_UPDATE_DARK_SPELLS_TEXT",""
"TID_NEWS_UPDATE_LEGEND_LEAGUE_TITLE",""
"TID_NEWS_UPDATE_LEGEND_LEAGUE_TEXT",""
"TID_NEWS_UPDATE_OTHER_TITLE","Équilibrage du jeu"
"TID_NEWS_UPDATE_OTHER_TEXT","* Les sorts de gel affectent désormais les troupes de défense aériennes.\n* Les molosses de lave ne peuvent plus cibler les troupes aériennes.\n* Les troupes attaquantes engageront désormais le combat avec les troupes défensives de plus loin.\n* Les ligues des titans II et III permettent d'acheter un bouclier d'une semaine dans le magasin."
"TID_REMOVE_ARMY_CONFIRMATION","Confirmer la modification ?"
"TID_PROFILE_LEGEND","Tournoi de la ligue légendes"
"TID_PROFILE_LEGEND_PRESTIGE","Trophées légendaires"
"TID_SPELL_ALREADY_AT_MAX_LEVEL","Ce sort est déjà au niveau maximum !"
"TID_LEGEND_SEASON_TITLE","Tournoi de la ligue légendes <month> <year>"
"TID_LEGEND_SEASON_END_PRESTIGE","Trophées légendaires gagnés :"
"TID_LEGEND_SEASON_INFO_TEXT","La ligue légendes a ses propres règles et récompenses de fin de saison."
"TID_WAR_STATS_HEADER_TIEBREAKERS","En cas d'égalité"
"TID_ALLIANCE_WAR_TOTAL_DESTRUCTION","<friendly> Total de destruction <enemy>"
"TID_ALLIANCE_WAR_TOTAL_DURATION","Durée totale des meilleures attaques"
"TID_BUTTON_GENERATE_CODE","Code d'association"
"TID_GOOGLE_PLAY_KUNLUN_TUTORIAL_BUTTON","Voir le didacticiel !"
"TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_TITLE","Mise à jour du jeu"
"TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_MESSAGE","Nous procédons à une mise à jour de Clash of Clans. Votre village sera bientôt prêt. Revenez dans un petit instant !"
"TID_NATIVE_DIALOG_VERSION_NOT_UP_TO_DATE_STORE_NOT_READY_BUTTON","OK"
"TID_GOOGLE_PLAY_KUNLUN_LOAD_VILLAGE_TUTORIAL_BUTTON","Charger le village"
"TID_GOOGLE_PLAY_KUNLUN_LOAD_VILLAGE_TITLE","Charger le village"
"TID_BUILDING_ARTILLERY","Aigle artilleur"
"TID_ARTILLERY_INFO","Doté d'une portée quasiment illimitée, l'aigle artilleur tire des obus explosifs sur les ennemis coriaces. Il ne s'active cependant que lorsque de nombreuses troupes sont déployées."
"TID_BUTTON_GENERATE_CODE_TITLE","Transfert de compte"
"TID_BUTTON_GENERATE_CODE_TEXT","Transférez votre village vers une autre boutique d'applications Android. Ce transfert vous aidera à sauvegarder vos données !"
"TID_LINK_CODE_GENERATE_CODE_TEXT","Utilisez le code d'association ci-dessous pour transférer votre village vers une autre boutique d'applications Android. Regardez le didacticiel pour des instructions détaillées !"
"TID_LINK_DEVICES_ENTER_CODE_KUNLUN_TEXT","Vous pouvez obtenir un code d'association dans votre village via Paramètres > Associer un appareil. Regardez notre didacticiel pour des instructions détaillées !"
"TID_MORE_WECHAT","关注官方认证微信订阅号cocsupercell"
"TID_NEWS_ACCOUNT_TRANSFER","Procurez-vous la version chinoise officielle de CoC pour Android !"
"TID_NEWS_ACCOUNT_TRANSFER_TEXT","Transférez votre village vers une boutique d'applications Android prise en charge pour le sauvegarder et accéder au service d'assistance officiel, aux mises à jour et plus encore !"
"TID_SLOW_SPEED_AND_ATTACK","Ralentissement déplacement/attaque : <number> %"
"TID_WAR_TEAM_TAB_ATTACKS","Attaques"
"TID_WAR_TEAM_TAB_DEFENSES","Défenses"
"TID_SLOW_ATTACK","Diminution taux d'attaques : <number> %"
"TID_MAX_DPS","Dégâts max. par seconde : <number>"
"TID_NEWS_SPELLS_TITLE","Sorts retravaillés et rechargés"
"TID_NEWS_SPELLS_TEXT","Sort de foudre\n* Le sort de foudre de niveau 7 dévaste les bâtiments comme les troupes.\n* Les dégâts des sorts de foudre de niveaux 5 et 6 sont plus élevés.\n* Les éclairs lancés par les sorts de foudre sont plus rapprochés pour une meilleure précision.\n\nSort d'empoisonnement\n* Les troupes prises dans un sort d'empoisonnement subissent des dégâts accrus avec le temps.\n* Les dégâts des sorts d'empoisonnement peuvent désormais augmenter énormément et persistent après avoir quitté la zone.\n* Les sorts d'empoisonnement peuvent également réduire le taux d'attaques des troupes défensives.\n\nSort sismique\n* Les sorts sismiques infligent beaucoup plus de dégâts, quels que soient les points de santé des bâtiments.\n* Les sorts sismiques à répétition infligent désormais de moins en moins de dégâts aux mêmes bâtiments.\n* Quatre sorts sismiques suffisent toujours à détruire les remparts de tout niveau !"
"TID_MORE_WECHAT_SERVICE","关注官方认证微信服务号coc-kefu"
"TID_ERROR_POP_UP_LOGIN_FAILED_15","Pour accéder à la progression de votre village, installez puis lancez Clash of Clans depuis le Google Play Store<APP_STORE>."
"TID_KUNLUN_APP_STORE_360","360"
"TID_KUNLUN_APP_STORE_ANZHI","Anzhi"
"TID_KUNLUN_APP_STORE_BAIDU","Baidu"
"TID_KUNLUN_APP_STORE_HUAWEI","Huawei"
"TID_KUNLUN_APP_STORE_LANDING_PAGE","Kunlun Landing Page"
"TID_KUNLUN_APP_STORE_LENOVO","Lenovo"
"TID_KUNLUN_APP_STORE_OPPO","Oppo"
"TID_KUNLUN_APP_STORE_UC","UC"
"TID_KUNLUN_APP_STORE_VIVO","Vivo"
"TID_KUNLUN_APP_STORE_WANDOUJIA","Wandoujia"
"TID_KUNLUN_APP_STORE_XIAOMI","Xiaomi"
"TID_ALLIANCE_DONATE_HEADER_TROOPS","Donner des troupes :"
"TID_ALLIANCE_DONATE_HEADER_SPELLS","Donner des sorts :"
"TID_ALLIANCE_DONATE_DONATED","Donner des troupes et des sorts :"
"TID_ALLIANCE_DONATE_DONATED_TROOPS","Troupes données :"
"TID_OBSTACLE_HALLOWEEN2015","Chaudron d'Halloween"
"TID_OBSTACLE_HALLOWEEN2016","Citrouille sinistre"
"TID_AVATAR_MESSAGE_BUTTON_MORE_INFO","Plus d'infos"
"TID_AVATAR_MESSAGE_BUTTON_SUPPORT","Contacter l'assistance"
"TID_AVATAR_MESSAGE_SENDER_PLAYER_SUPPORT","Service d'assistance"
"TID_AVATAR_MESSAGE_TEXT_GEM_REVOKE","Un remboursement demandé pour ce compte a été autorisé le <refundDate>. Le remboursement sera effectué via la méthode de paiement utilisée lors de l'achat.\n\nAu total, <totalRevokedGems> gemmes ont été retirées de votre compte, ce qui correspond à la valeur de votre remboursement. Ceci peut entraîner un solde négatif de gemmes. Votre solde redeviendra positif lorsque vous effectuerez d'autres commandes ou que vous récupérerez des ressources en jeu."
"TID_AVATAR_MESSAGE_TEXT_GEM_REVOKE_PLURAL","Des remboursements demandés pour ce compte ont été autorisés le <refundDate>. Les remboursements seront effectués via la méthode de paiement utilisée lors de l'achat.\n\nAu total, <totalRevokedGems> gemmes ont été retirées de votre compte, ce qui correspond à la valeur de vos remboursements. Ceci peut entraîner un solde négatif de gemmes. Votre solde redeviendra positif lorsque vous effectuerez d'autres commandes ou que vous récupérerez des ressources en jeu."
"TID_IAP_INFO_TEXT","청약철회는 구매일로부터 7일 이내 가능(단, 사용시 철회불가) 법정대리인 동의 없는 미성년자명의 결제 시 취소가능 (자세히보기)"
"TID_INFO_POP_UP_TOS_PP_TITLE","Informations importantes"
"TID_INFO_POP_UP_TOS_PP_NOTE","Clash of Clans est gratuit, mais les achats intégrés vous permettent de progresser plus rapidement (vous pouvez désactiver cette fonction dans les paramètres de votre appareil). Appuyez sur OK pour accepter nos Conditions d'utilisation et notre Politique de confidentialité."
"TID_INFO_POP_UP_TOS_PP_NOTE_ANDROID","Clash of Clans est gratuit, mais les achats intégrés vous permettent de progresser plus rapidement (pour désactiver cette fonction, activez la protection par mot de passe dans les paramètres des applications de Google Play Store). Appuyez sur OK pour accepter nos Conditions d'utilisation et notre Politique de confidentialité."
"TID_INFO_POP_UP_TOS_PP_NOTE_KUNLUN","Clash of Clans est gratuit, mais les achats intégrés vous permettent de progresser plus rapidement. Appuyez sur OK pour accepter nos Conditions d'utilisation et notre Politique de confidentialité."
"TID_INFO_POP_UP_TOS_PP_BUTTON1","OK"
"TID_INFO_POP_UP_TOS_PP_BUTTON2","Conditions d'utilisation"
"TID_MORE_CLASH_COM","Explorez l'univers de Clash sur ClashofClans.com"
"TID_ACHIEVEMENT_SPELL_DONATION_TITLE","Partager, c'est s'engager"
"TID_ACHIEVEMENT_SPELL_DONATION","Donner des sorts à hauteur de <number> fois la capacité de stockage de sorts"
"TID_ACHIEVEMENT_SPELL_DONATION_COMPLETED","Total de capacités de sorts données : <value>"
"TID_ACHIEVEMENT_DESTROY_ARTILLERY_TITLE","Anti-artillerie"
"TID_ACHIEVEMENT_DESTROY_ARTILLERY","Détruire <number> aigles artilleurs lors de batailles multijoueur"
"TID_ACHIEVEMENT_DESTROY_ARTILLERY_COMPLETED","Total d'aigles artilleurs détruits : <value>"
"TID_POPUP_BREAK_SHIELD","Supprimer le bouclier ?"
"TID_POPUP_BREAK_SHIELD_TEXT","Voulez-vous vraiment supprimer le bouclier ? Vous obtiendrez de la protection à chaque fois qu'un bouclier disparaît."
"TID_POPUP_BREAK_GUARD","Supprimer la protection ?"
"TID_POPUP_BREAK_GUARD_TEXT","Sans protection, vous serez vulnérable aux attaques ennemies. Voulez-vous vraiment la supprimer ?"
"TID_LOCAL_NOTIFICATION_GUARD_WILL_DISAPPEAR","Chef, notre protection est sur le point de disparaître !"
"TID_GUARD_NOT_AVAILABLE","Impossible d'acheter une protection tant qu'un bouclier est actif !"
"TID_GUARD_ON_COOLDOWN","Protection non disponible !"
"TID_ATTACK_FAIL_TARGET_HAS_GUARD","Attaque impossible. Ce village dispose d'une protection."
"TID_GROWTH_AURA_PERCENT","Augmentation des PV : <number> %"
"TID_GROWTH_AURA_MAX","Augmentation du max. de PV : <number>"
"TID_BUY_SHIELD_WHILE_GUARDED_TEXT","Voulez-vous vraiment acheter <name> ?\n<cff0000>REMARQUE : votre protection sera désactivée.</c>"
"TID_HINT_GUARD_GAIN","Vous obtenez de la protection à chaque fois qu'un bouclier disparaît. C'est le moment rêvé pour attaquer !"
"TID_HINT_GUARD_GAIN_TIME","Plus votre ligue est élevée, plus vous obtenez de protection quand un bouclier disparaît !"
"TID_HINT_GUARD_LOSE","Vous pouvez attaquer autant que vous voulez sans perdre votre protection active."
"TID_GRAND_WARDEN","Grand gardien"
"TID_GRAND_WARDEN_INFO","Le Grand gardien est un tacticien vétéran. Armé de son bâton magique et de son grimoire, il renforce les troupes qui attaquent les villages ennemis ou qui protègent le vôtre."
"TID_HERO_INSTRUCTIONS_WARDEN","Le gardien suit les groupes de troupes alliées afin de les faire profiter de son aura de vie. En attaque, il peut enjamber les remparts ou voler. En défense, il se transforme en tour. Débloquez sa capacité, grimoire éternel, pour immuniser les troupes à proximité contre les dégâts."
"TID_HERO_AURA_WARDEN_TITLE","Aura de vie"
"TID_HERO_AURA_WARDEN_DESC","Le bâton du gardien diffuse en continu une aura revigorante qui s'amplifie à chaque niveau. Toutes les unités amies à proximité, en attaque ou en défense, bénéficieront de points de vie supplémentaires, mais elles perdront cet avantage si elles s'éloignent trop."
"TID_HERO_ABILITY_WARDEN_TITLE","Grimoire éternel"
"TID_HERO_ABILITY_WARDEN_DESC","Le gardien déchaîne toute la puissance de son grimoire pour s'immuniser lui-même ainsi que les unités amies à proximité contre les dégâts pendant un court laps de temps !"
"TID_HINT_ARTILLERY","Un petit escadron de troupes peut participer à la préparation d'une attaque avant l'activation de l'aigle artilleur."
"TID_HINT_ARTILLERY2","Une frappe rapide peut écraser l'aigle artilleur avant qu'il ne fasse trop de dégâts."
"TID_HINT_ARTILLERY3","L'aigle artilleur est entouré d'une vaste zone sécurisée. Faites en sorte qu'elle couvre vos bâtiments les plus importants !"
"TID_HINT_HERO_GRAND_WARDEN","Le Grand gardien exploite de mystérieux artefacts pour transformer les troupes à proximité en véritables durs à cuire."
"TID_HINT_HERO_GRAND_WARDEN_MODE","Vous utilisez des troupes aériennes ? Essayez le Grand gardien en mode aérien !"
"TID_HINT_ARTILLERY_TARGET","L'aigle artilleur cible les unités les plus coriaces parmi le groupe le plus proche ou le plus grand."
"TID_HINT_ARTILLERY_TARGET2","Une mire de visée apparaît à l'endroit où les obus de l'aigle artilleur vont atterrir."
"TID_HINT_ARTILLERY_TARGET3","Les unités à proximité d'un aigle artilleur sont blessées par son onde de choc."
"TID_POPUP_SHIELD_REMOVAL_REVENGE","La durée de votre bouclier sera réduite si vous lancez une attaque de vengeance. Si sa durée restante ne couvre pas le coût de l'attaque, il sera supprimé."
"TID_HINT_GUARD","Une protection active vous protège contre les attaques mais vous laisse attaquer librement !"
"TID_ERROR_POP_UP_PERSONAL_BREAK_EXTENDED_TITLE","Pause étendue"
"TID_ERROR_POP_UP_PERSONAL_BREAK_EXTENDED","Votre période de pause n'a pas été entièrement réinitialisée parce que vous n'avez pas obtenu de bouclier lors de votre pause précédente."
"TID_ERROR_POP_UP_PERSONAL_BREAK_FINAL_TITLE","Pause étendue"
"TID_ERROR_POP_UP_PERSONAL_BREAK_EXTENDED_FINAL","Après avoir été étendue, la limite de temps de votre période de pause va être réinitialisée. Pour éviter que cela se reproduise, protégez votre hôtel de ville et essayez d'augmenter votre nombre de trophées."
"TID_ERROR_POP_UP_PERSONAL_BREAK_MULTIPLE_FINAL","Après avoir été étendue plusieurs fois, la limite de temps de votre période de pause va être réinitialisée. Pour éviter que cela se reproduise, protégez votre hôtel de ville et essayez d'augmenter votre nombre de trophées."
"TID_DAMAGE_PER_HIT","Dégâts par coup : <number>"
"TID_SHOCKWAVE_DAMAGE","Dégâts de l'onde de choc : <number>"
"TID_DIE_DAMAGE","Dégâts lors de sa destruction : <number>"
"TID_NEWS_TH11_UPDATE_OVERVIEW_TITLE","L'une des plus grandes mises à jour de tous les temps !"
"TID_NEWS_TH11_UPDATE_OVERVIEW_TEXT","• L'hôtel de ville de niveau 11 débarque ! BOUM !\n• Le Grand gardien et l'aigle artilleur : les nouveautés les plus puissantes et les plus stratégiques de l'histoire du jeu !\n• Nouveaux niveaux de troupe, nouveaux niveaux de défense et nouveau don de sort de clan\n• Attaquez à tout moment au travers du bouclier, mais protégez bien votre hôtel de ville !\n• Protégez vos sessions de jeu en l'absence de bouclier et ne soyez plus jamais pris au dépourvu !\n• Des gobelins attaquant les hôtels de ville, des bonus de ligue, des offres de trophées supérieures et beaucoup d'autres choses encore !"
"TID_NEWS_TH11_UPDATE_TH11_TITLE","Passez à l'hôtel de ville de niveau 11"
"TID_NEWS_TH11_UPDATE_TH11_TEXT","• Découvrez un hôtel de ville plus grand, plus dément et plus palpitant que jamais avec l'hôtel de ville de niveau 11 !\n• Avec le Grand gardien, le nouveau héros de l'hôtel de ville de niveau 11, on n'arrête plus vos armées !\n• Le nouvel aigle artilleur de l'hôtel de ville de niveau 11 fait souffler un vent de dévastation et de terreur à distance\n• Plus de défenses avec un canon, une tour d'archères, une tour de sorciers et un arc-X supplémentaires !\n• Nouveaux niveaux pour les gargouilles, les sorcières et la tour de sorciers avec l'hôtel de ville de niveau 11, et bien plus encore !"
"TID_NEWS_TH11_UPDATE_HERO_TITLE","Le Grand gardien : le tout nouveau héros de votre armée"
"TID_NEWS_TH11_UPDATE_HERO_TEXT","• Déployez de nouvelles tactiques de combat en accélérant vos troupes et en les protégeant\n• Le Grand gardien renforce les troupes proches et peut même les rendre provisoirement invincibles !\n• Il saute, il vole - il s'adapte à toutes les stratégies pour faire briller votre armée !"
"TID_NEWS_TH11_UPDATE_ARTILLERY_TITLE","L'aigle artilleur : la sentinelle veille"
"TID_NEWS_TH11_UPDATE_ARTILLERY_TEXT","• Cette arme massive à longue portée anéantit les ennemis mal préparés\n• Des volées d'éclats explosifs s'abattent sur les troupes et font des dégâts alentour\n• L'aigle artilleur n'est actif que lorsqu'un certain nombre de troupes sont déployées, ce qui vous permet de jolis coups tactiques et des attaques multiphases méthodiques !"
"TID_NEWS_TH11_UPDATE_SPELLS_TITLE","Du nouveau sur les sorts"
"TID_NEWS_TH11_UPDATE_SPELLS_TEXT","• Demandez des sorts de renfort - et pas uniquement des troupes ! - à partir du château de clan de niveau 4\n• Les sorts donnés profitent de tous les avantages de clan !\n• Le sort de gel est désormais débloqué à l'hôtel de ville de niveau 9 et dure un peu plus longtemps aux niveaux inférieurs."
"TID_NEWS_TH11_UPDATE_SHIELDS_TITLE","Les boucliers - Une défense flexible et juste"
"TID_NEWS_TH11_UPDATE_SHIELDS_TEXT","• La destruction de l'hôtel de ville ne vous accorde plus de bouclier - protégez votre hôtel de ville en le plaçant au cœur de votre village !\n• Vous pouvez attaquer à tout moment quand vous êtes protégé par le bouclier moyennant une petite réduction de protection\n• Paramétrez votre bouclier sur 30 % de destruction, voire 60 %, mais seulement en cas d'attaque d'une armée ultra imposante."
"TID_NEWS_TH11_UPDATE_GUARD_TITLE","Protection - Pour jouer à l'abri des ennemis"
"TID_NEWS_TH11_UPDATE_GUARD_TEXT","• La protection vous met à l'abri des attaques et vous permet d'attaquer à l'envi\n• Obtenez une protection gratuite lorsque le bouclier disparaît et jouez tranquillement sans vous soucier d'éventuelles attaques\n• Les ligues de haut niveau disposent de plus de protection gratuite - Les joueurs de la ligue des titans I et de la ligue légendes sont couverts à 100 % !\n• 2 heures de protection supplémentaire sont disponibles à la boutique tous les jours."
"TID_NEWS_TH11_UPDATE_LOOT_TITLE","Des raids plus juteux : butins et trophées"
"TID_NEWS_TH11_UPDATE_LOOT_TEXT","• Les hôtels de ville disposent désormais de nombreux butins - détruisez les HDV pour remporter le gros lot !\n• Les bonus de ligue sont plus généreux que jamais, mais ils tiennent compte du pourcentage de destruction\n• Plus votre ligue est élevée, plus les offres de trophée augmentent et plus les pertes de trophées diminuent !"
"TID_NEWS_TH11_UPDATE_GAMEPLAY_TITLE","Équilibrage du gameplay"
"TID_NEWS_TH11_UPDATE_GAMEPLAY_TEXT","• La durée maximum des batailles a été augmentée de 30 secondes\n• Les gobelins attaquent désormais l'hôtel de ville et le château de clan pour 2 fois plus de dégâts\n• Le coût de réarmement des pièges a été drastiquement réduit\n• Le coût de rechargement des arcs-X a été drastiquement réduit\n• Un grand nombre de guérisseuses disposent désormais d'une efficacité réduite sur une même unité\n• Les améliorations des armées ont été réduites à 5 gemmes pour 1 heure de boost\n• Le coût de recherche de partie et de \qSuivant\q a été réduit pour HDV 10\n• Le jour de préparation de la guerre des clans a été réduit à 23 heures\n• L'IA des combats de troupe et de repérage a été améliorée et affinée\n• Le pourcentage de butin disponible de l'hôtel de ville des niveaux 6 à 10 a été légèrement augmenté\n• Les villages d'un niveau HDV inférieur rapportent un butin légèrement moindre\n• Le terrain de jeu et la zone de déploiement des troupes ont été agrandis (les obstacles de délimitation ont été automatiquement déplacés)"
"TID_NEWS_TH11_UPDATE_OTHER_TITLE","Autres équilibrages et améliorations"
"TID_NEWS_TH11_UPDATE_OTHER_TEXT","• Deux nouveaux succès ont été ajoutés : Anti-artillerie et Partager, c'est s'engager\n• L'interface de don d'unité/de sort a été remodelée pour afficher les dons existants\n• Les troupes des casernes peuvent désormais être mises en attente, comme dans l'usine de sorts\n• Le bouton Guerre de clans s'anime désormais lorsqu'une attaque de guerre commence\n• Le bouclier actif ou la protection peuvent désormais être manuellement désactivés via l'icône\n• Vous pouvez désormais rester hors ligne un peu plus longtemps avant de risquer de subir une attaque\n• Un son spécial se déclenche quand vous trouvez une cible multijoueur après 10 secondes de recherche\n• Un son spécial se déclenche lorsqu'aucune cible multijoueur n'est trouvée et que la recherche est annulée\n• La période de pause a été réduite à 3 heures\n• La limite de la période de pause est désormais étendue au lieu d'être réinitialisée dans certains cas\n• La recherche d'affrontements multijoueurs vous propose moins d'adversaires dont le niveau est inférieur à celui de votre hôtel de ville (en-dessous de la Ligue Champion seulement)"
"TID_NEWS_TOS_UPDATE","Nous avons mis à jour nos conditions d'utilisation et notre politique de confidentialité ! Veuillez en prendre connaissance (disponibles en ligne à côté des paramètres). Ces documents importants gouvernent votre relation à nos jeux, et contiennent des informations indispensables à tous les joueurs. Plus pour d'informations, veuillez consulter nos forums."
"TID_SHIELD_POPUP_SHIELD_TIP","On est sains et saufs pour le moment. Détendez-vous ou attaquez !"
"TID_SHIELD_POPUP_GUARD_TIP","La protection disparaîtra bientôt. Préparez-vous !"
"TID_SHIELD_POPUP_NONE_TIP","Nous ne sommes plus protégés ! Érigez les défenses !"
"TID_SHIELD_POPUP_SHIELD_DESCRIPTION_1","Les boucliers bloquent les attaques venues de l'extérieur. Ils ne sont pas affectés par les recherches de cibles en multijoueur ou vengeance, mais ils seront abrégés si vous lancez une attaque."
"TID_SHIELD_POPUP_GUARD_DESCRIPTION_1","Les protections sont le dernier rempart contre vos assaillants. Vous pouvez attaquer sans malus, mais attention : la protection ne dure pas longtemps !"
"TID_SHIELD_POPUP_NONE_DESCRIPTION_1","Sans bouclier ou protection, vous pouvez subir une attaque à tout moment. Défendez l'hôtel de ville à tout prix ! Pièges, héros et troupes de votre château de clan maximisent votre défense."
"TID_SHIELD_POPUP_PERSONAL_BREAK","Remarque : les villageois auront besoin d'une courte pause après avoir été longtemps sans bouclier."
"TID_SHIELD_POPUP_PERSONAL_BREAK_REMAINING","Temps restant avant votre période de pause :"
"TID_SHIELD_POPUP_SHIELD_TITLE","Bouclier actif"
"TID_SHIELD_POPUP_GUARD_TITLE","Protection active"
"TID_SHIELD_POPUP_NONE_TITLE","Bouclier inactif"
"TID_SHIELD_POPUP_REMOVE_BUTTON","Supprimer"
"TID_SHIELD_SHIELD","Bouclier"
"TID_SHIELD_GUARD","Protéger"
"TID_BUTTON_TREASURY","Trésorerie"
"TID_MULTIPLAYER_STAR_BONUS","Bonus étoiles"
"TID_MULTIPLAYER_BONUS_AVAILABLE_AGAIN","Prochain bonus dans : <time>"
"TID_STAR_BONUS_WINDOW_TITLE","Bonus étoiles"
"TID_STARBONUS_WINDOW_AWARD","Bonus étoiles reçu !"
"TID_STARBONUS_WINDOW_AWARD_EVENT","Bonus étoiles x<c66CC00><num> reçu !</c>"
"TID_STARBONUS_WINDOW_TREASURY","Le bonus de butin a été déposé dans la trésorerie."
"TID_LOOT_CART","Charrette à butin"
