"TID","AR"
"TID_LEAGUE_GOLD1","الدوري الذهبي I"
"TID_LEAGUE_GOLD2","الدوري الذهبي II"
"TID_LEAGUE_GOLD3","الدوري الذهبي III"
"TID_LEAGUE_MASTER1","دوري الأساتذة I"
"TID_LEAGUE_MASTER2","دوري الأساتذة II"
"TID_LEAGUE_MASTER3","دوري الأساتذة III"
"TID_LEAGUE_SILVER1","الدوري الفضي I"
"TID_LEAGUE_SILVER2","الدوري الفضي II"
"TID_LEAGUE_SILVER3","الدوري الفضي III"
"TID_LEAGUE_CHAMPION","دوري الأبطال"
"TID_LEAGUE_UNRANKED","غير مصنف"
"TID_LEAGUE_TITLE1","لست في دوري!"
"TID_LEAGUE_TITLE2","يستمر موسم كل دوري لمدة شهر. في بداية الموسم، هاجم قرية أي لاعب لرؤية الدوري الجديد ومكافأة الغنيمة."
"TID_NEXT_LEAGUE","الدوري التالي:"
"TID_LEAGUE_PASSED","تم الاجتياز"
"TID_LEAGUE_SHUFLES","ينتهي الموسم خلال: <league_shufle_time>"
"TID_MATCH_VICTORY_BONUS","الحد الأقصى لمكافأة الغنيمة:"
"TID_LEAGUE_I","I"
"TID_LEAGUE_II","II"
"TID_LEAGUE_III","III"
"TID_LEAGUE_IV","IV"
"TID_LEAGUE_V","V"
"TID_LEAGUE_BRONZE","برونزي"
"TID_LEAGUE_SILVER","فضي"
"TID_LEAGUE_GOLD","ذهبي"
"TID_LEAGUE_CRYSTAL","كريستالي"
"TID_LEAGUE_MASTER","الأساتذة"
"TID_LEAGUE_BRONZE1_SHORT","البرونزي I"
"TID_LEAGUE_BRONZE2_SHORT","البرونزي II"
"TID_LEAGUE_BRONZE3_SHORT","البرونزي III"
"TID_LEAGUE_CRYSTAL1_SHORT","الكريستالي I"
"TID_LEAGUE_CRYSTAL2_SHORT","الكريستال II"
"TID_LEAGUE_CRYSTAL3_SHORT","الكريستال III"
"TID_LEAGUE_GOLD1_SHORT","الذهبي I"
"TID_LEAGUE_GOLD2_SHORT","الذهبي II"
"TID_LEAGUE_GOLD3_SHORT","الذهبي III"
"TID_LEAGUE_MASTER1_SHORT","الأساتذة I"
"TID_LEAGUE_MASTER2_SHORT","الأساتذة II"
"TID_LEAGUE_MASTER3_SHORT","الأساتذة III"
"TID_LEAGUE_SILVER1_SHORT","الفضي I"
"TID_LEAGUE_SILVER2_SHORT","الفضي II"
"TID_LEAGUE_SILVER3_SHORT","الفضي III"
"TID_LEAGUE_CHAMPION_SHORT","الأبطال"
"TID_LEAGUE_INFO_REMEMBER","ارتقِ في مراتب الدوري للحصول على غنيمة أكبر!"
"TID_LEAGUE_INFO_LOOT_BONUS","في دوري الجبابرة I، مكافأة الغنيمة القصوى هي:"
"TID_LEAGUE_INFO_LOOT_BONUS_PROMO","في الدوري الجديد، فإن الفوز بمباراة سيمنحك مكافأة حد أقصى للغنيمة من:"
"TID_LEAGUES_LEAGUE_ORDER","مستويات الدوري"
"TID_LEAGUES_DIVISIONS","الأقسام"
"TID_LEAGUES_I","I"
"TID_LEAGUES_II","II"
"TID_LEAGUES_III","III"
"TID_LEAGUES_IV","IV"
"TID_LEAGUES_V","V"
"TID_LEAGUES_GET_MORE_TROPHIES","اجمع <number> من الكؤوس للانضمام إلى دوري"
"TID_LEAGUES_UNRANKED_AFTER_SHUFFLE","انتهى موسم الدوري. قم بمهاجمة أي قرية للانضمام إلى دوري جديد!"
"TID_LEAGUE_DIVISIONS","الأقسام"
"TID_BONUS","<percentage> مكافأة:"
"TID_HINT LOOT_BONUS","أتريد غنيمة أكبر؟ انضم إلى دوري واحصل على غنيمة مكافأةً على كل هجوم ناجح!"
"TID_HINT LEAGUE_PLACEMENT","إن كانت لديك كؤوس كافية، فإن مهاجمة أي قرية ستضعك تلقائيًا في بطولة دوري."
"TID_HINT LEAGUE_PROMOTION","اربح المزيد من الكؤوس للتقدم إلى مستوى دوري أعلى. تمنحك بطولات الدوري الأعلى مستوى مكافآت وغنيمة أكبر!"
"TID_HINT LEAGUE_DEMOTION","إن فقدت الكثير من الكؤوس، يمكن تخفيض رتبتك إلى بطولة دوري أقل. قاتل من أجل هذه الكؤوس!"
"TID_HINT LEAGUE_SHUFFLING","يستمر موسم كل دوري لشهر."
"TID_HINT TOURNAMENT","تتم إعادة تعيين بطولة القبيلة وحساب تبرع القوات كل شهر."
"TID_LEAGUE_INFO_LOOT_BONUS3","الاشتراك في الدوري سيمنحك غنيمة إضافية على كل انتصار!"
"TID_LEAGUE_INFO_PLACEMENT_HEADLINE","قم بمهاجمة قرية أي لاعب للاشتراك في دوري"
"TID_LEAGUE_INFO_PLACEMENT","عدد كؤوسك بعد المباراة سيحدد مستوى الدوري"
"TID_HINT_LEAGUE_SHUFFLING2","يستمر موسم كل دوري لشهر."
"TID_BATTLE_LOG_OFFENSE","سجل الهجوم"
"TID_BATTLE_LOG_DEFENSE","سجل الدفاع"
"TID_XP_TITLE_PUZZLEANDDRAGONS","ذات صدى كبير في اليابان!"
"TID_XP_TEXT_PUZZLEANDDRAGONS","وصلت اللعبة الشعبية الأولى في اليابان إلى المملكة المتحدة. قم بتنزيلها مجانًا من App Store!"
"TID_XP_BUTTON_PUZZLEANDDRAGONS","مجانًا"
"TID_ALLIANCE_MAIL_NOTIFICATION","لديك رسالة جديدة من القبيلة!"
"TID_REQUESTED_FROM_CLAN","القوات المتلقاة:"
"TID_XP_TITLE_UNLOCK_PUZZLEANDDRAGONS","أحسنت أيها الزعيم!"
"TID_XP_TEXT_UNLOCK_PUZZLEANDDRAGONS","يمكنك الآن إلغاء قفل Clash of Clans Dungeon في الألغاز والتنانين! اضغط الزر في الأسفل لفتح اللعبة وإلغاء القفل."
"TID_XP_BUTTON_UNLOCK_PUZZLEANDDRAGONS","إلغاء القفل"
"TID_BUILDING_DARK_TOWER","برج النار"
"TID_DARK_TOWER_INFO","سلّط لهب برج النار الذي يتخذ من إكسير الظلام وقودًا له على أهداف فردية لتلحق بها ضررًا هائلاً، أو على أهداف متعددة لتتفحم على الفور."
"TID_ATTACK_WON","لقد ربحت"
"TID_ATTACK_LOST","لقد خسرت"
"TID_ALLIANCE_DEFAULT_TROOP_REQUEST_MESSAGE","أحتاج إلى تعزيزات"
"TID_PURCHASE_LIMIT_TITLE","تأكيد الشراء"
"TID_PURCHASE_LIMIT_TEXT","لتجنب عمليات الشراء غير المقصودة، سيكون بمقدورك الشراء مرة أخرى خلال:"
"TID_PURCHASE_LIMIT_CONFIRM","اكتب من فضلك \q<CONFIRM>\q واضغط زر الموافقة لشراء <ITEM> مقابل <PRICE>."
"TID_ERROR_POP_UP_PERSONAL_BREAK_TITLE","الاستراحة الشخصية"
"TID_ERROR_POP_UP_PERSONAL_BREAK","يحتاج القرويون إلى فترة استراحة قصيرة بسبب البقاء طويلاً دون درع"
"TID_ERROR_POP_UP_PERSONAL_BREAK_BUTTON","إعادة التحميل"
"TID_DARKTOWER_AMMO_FILL_CONFIRMATION","برج النار محمل الآن!"
"TID_DARKTOWER_AMMO_ALREADY_FULL","برج النار محمل بالكامل!"
"TID_ARTILLERY_AMMO_FILL_CONFIRMATION","مدفعية النسر محملة الآن!"
"TID_ARTILLERY_AMMO_ALREADY_FULL","مدفعية النسر محملة بالكامل!"
"TID_PERSONAL_BREAK_ATTACK_DISABLED","يجب أن تنتظر لما بعد الاستراحة الشخصية لبدء الهجوم."
"TID_PERSONAL_BREAK_STARTED","أنت بلا درع منذ فترة طويلة وسيتم طردك قريبًا لبضع دقائق."
"TID_ALLIANCE_JOIN_CLAN","انضم إلى قبيلة أو أنشئ واحدة لتصبح أكثر قوة.\n\nيساعد الزملاء في القبيلة بعضهم ويمكنهم إرسال قوات التعزيز والتعويذات."
"TID_BUTTON_APPBANK","دليل AppBank"
"TID_INVALID_DESCRIPTION","وصف غير صالح! الرجاء استخدام وصف آخر."
"TID_TITLE_REQUEST_TROOPS","طلب التعزيزات"
"TID_TITLE_CLAN_MAIL_SEND","إرسال البريد"
"TID_SPEED_UP_TROOP_REQUEST_HEADER","اطلب الآن!"
"TID_SPEED_UP_TROOP_REQUEST_TEXT","هل ترغب في تجاوز الانتظار وطلب التعزيزات الآن؟"
"TID_TROOP_REQUEST_SPEED_UP_SUCCESS","قلعة القبيلة جاهزة لطلب التعزيزات!"
"TID_BUTTON_SPEED_UP_REQUEST_TROOPS","اطلب الآن!"
"TID_FREEZE_SPELL","تعويذة التجميد"
"TID_FREEZE_SPELL_INFO","عندما تشتعل المعركة، حافظ على برود أعصابك!\n\nتعويذة التجميد ترسل ضربة مجمدة تشل قوات العدو مؤقتًا وتعطل المباني الدفاعية داخل مداها."
"TID_POPUP_REVENGE_CLEAR_TITLE","الانتقام"
"TID_POPUP_REVENGE_CLEAR","يمكنك اختيار الانتقام مرة واحدة فقط لكل إدخال في سجل الدفاع. هل أنت واثق من أنك مستعد؟"
"TID_SPELL_TIME","مدة التعويذة:<number> ثوانٍ"
"TID_TROOP_REQUEST_SPEED_UP_FAILED_FULL","قلعة القبيلة ممتلئة بالفعل!"
"TID_HINT_SPELL_JUMP_DURATION","قم بترقية تعويذة القفز لمنح وحداتك المزيد من الوقت للقفز فوق الجدران."
"TID_HINT_SPELL_FREEZE","تعويذة التجميد تمنع المباني والقوات من الدفاع داخل مداها."
"TID_HINT_SPELL_FREEZE_DURATION","قم بترقية تعويذة التجميد لتعطيل الدفاعات والقوات لمدة أطول."
"TID_HINT_INFERNO_TOWER_TARGETS_1","يمكن لبرج النار أن يسبب ضررًا مدمرًا للوحدات التي يستمر في التركيز عليها."
"TID_HINT_INFERNO_TOWER_TARGETS_2","تتم إعادة تعيين معدل ضرر برج النار للحد الأدنى في كل مرة يستبدل فيها الأهداف."
"TID_HINT_INFERNO_TOWER_AMMO","برج النار يحرق إكسير الظلام لتزويد نيرانه بالطاقة. احرص على أن تجعله محملاً بالكامل!"
"TID_HINT_ACCOUNT_SECURITY_1","لا تُعطِ بيانات معرّف Supercell ID لأي شخص على الإطلاق."
"TID_HINT_ACCOUNT_SECURITY_2","لن يطلب موظفو Supercell بيانات Supercell ID منك أبدًا."
"TID_JUMP_SPELL_INFO","هل تعطلك الجدران؟ حاول اتخاذ طريق مختصر!\n\nقم بإلقاء هذه التعويذة بالقرب من جدران العدو لإنشاء طريق مباشر فوقها. ستقفز قواتك فوق قطع الجدار المتأثرة كما لو كانت غير موجودة!"
"TID_MUTE_PLAYER_BUTTON","كتم الصوت"
"TID_PLAYER_MUTED","تم كتم صوت اللاعب!"
"TID_STREAM_REPLAY_TEXT_ATTACK","هجوم ضد:"
"TID_STREAM_REPLAY_TEXT_DEFENSE","دفاع ضد:"
"TID_SHARE","مشاركة إعادة العرض"
"TID_REPLAY_SHARED_SUCCESS","تمت مشاركة إعادة العرض!"
"TID_REPLAY_SHARED_FAIL","لقد شاركت بإعادة عرض بالفعل. شارك ثانيةً خلال <time>."
"TID_ELDER_KICK_FAIL_COOLDOWN","لقد طردت عضو قبيلة مؤخرًا. حاول ثانيةً خلال <time>."
"TID_STREAM_REPLAY_BUTTON","إعادة العرض"
"TID_HUD_ATTACKER","مهاجم"
"TID_HUD_DEFENDER","مدافع"
"TID_REPLAY_FAILED","حدث خطأ ما في عرض إعادة العرض."
"TID_FAQ_EXTERNAL_BUTTON","فاميتزو"
"TID_CHARACTER_INFO_WARLOCK","لا تحارب الساحرة وحدها أبدًا، تحيي المحاربين الموتى باستمرار من معارك الماضي لقيادة هجماتها. الساحرات المترقيات تحيي المزيد من الهياكل العظمية في كل مرة."
"TID_WARLOCK","ساحرة"
"TID_HINT_WARLOCK_INFO_1","قد تكون قذيفة الساحرة ضعيفة، لكن هياكلها المستدعاة يمكنها صرف انتباه الدفاعات بلا هوادة"
"TID_HINT_WARLOCK_INFO_2","تصبح الساحرة ضعيفة للغاية بعد تدمير كل هياكلها"
"TID_POPUP_ANDROID_EXIT_TITLE","تأكيد الخروج"
"TID_POPUP_ANDROID_EXIT","هل تريد الخروج من اللعبة؟"
"TID_MULTIDEVICE_INFO_ANDROID","سجل الدخول باستخدام حساب Supercell ID لحماية تقدمك واللعب على عدة أجهزة."
"TID_MULTIDEVICE_INFO_KUNLUN","للعب على العديد من الأجهزة التي تعمل بنظام التشغيل Android، قم بتنزيل Clash of Clans من متجر تطبيقات Android نفسه وسجّل الدخول باستخدام الحساب نفسه."
"TID_LINK_NEW_DEVICE_TITLE","ربط جهاز"
"TID_LINK_NEW_DEVICE_TEXT","إذا أردت اللعب على جهازين أو كنت ترغب في نقل حسابك إلى جهاز جديد، فيمكنك القيام بذلك هنا."
"TID_LINK_NEW_DEVICE_TEXT2","للبدء انقر على الرقم واحد:"
"TID_LINK_NEW_DEVICE_GAME_CENTER_NOTE","ملاحظة: إذا كنت تلعب فقط على أجهزة تعمل بنظام تشغيل iOS، وكنت تستخدم حسابك على Game Center، فلن تضطر إلى ربط أجهزتك. كل ما عليك هو تسجيل الدخول باستخدام حساب Game Center نفسه."
"TID_LINK_NEW_DEVICE_OLD_BUTTON","هذا هو\nالجهاز القديم"
"TID_LINK_NEW_DEVICE_NEW_BUTTON","هذا هو\nالجهاز الجديد"
"TID_LINK_CODE_TITLE","رمز الربط"
"TID_LINK_CODE_TEXT","والآن اترك هذه الشاشة مفتوحة. وفي الجهاز الآخر، انتقل إلى شاشة الربط وانقر على الزر \qهذا هو الجهاز الجديد\q."
"TID_LINK_CODE_TEXT2","أدخل هذا الرمز في جهازك الجديد:"
"TID_DEVICE_LINK_CODE_VALID_TIME","رمز صالح:"
"TID_LINK_CODE_WARNING_TEXT","تحذير: لا تعط هذا الرمز لأي شخصٍ آخر أبدًا! لأنه للاستخدام الشخصي فقط. لاحظ أن هذا الربط سيكون دائمًا."
"TID_CONFIRM_DEVICE_LINKING","تأكيد الربط"
"TID_CONFIRM_DEVICE_LINK_TEXT","هل تريد بالتأكيد حذف القرية الحالية واستبدالها بـ:"
"TID_LINK_DEVICES_ENTER_CODE_TITLE","أدخل رمز الربط"
"TID_LINK_DEVICES_ENTER_CODE_TEXT","(للحصول على رمز الربط: في الجهاز الآخر، انتقل إلى شاشة الربط وانقر على الزر \qهذا هو الجهاز القديم\q.)"
"TID_LINK_DEVICES_ENTER_CODE_TEXT2","أدخل رمز الربط هنا:"
"TID_DEVICE_LINK_ERROR_GAME_CENTER","لم يتم تسجيل الدخول إلى Game Center"
"TID_DEVICE_LINK_ERROR_GAME_CENTER_TEXT","يُرجى تسجيل الدخول إلى Game Center لإجراء الربط بالجهاز، ثم إعادة المحاولة."
"TID_DEVICE_LINK_ERROR_GAME_CENTER_ANDROID","لم يتم تسجيل الدخول إلى Google Play"
"TID_DEVICE_LINK_ERROR_GAME_CENTER_TEXT_ANDROID","يُرجى تسجيل الدخول إلى Google Play لإجراء الربط بالجهاز. للقيام بذلك، انقر فوق زر تسجيل الدخول إلى Google Play في شاشة الإعدادات. ثم حاول مرة أخرى."
"TID_DEVICE_LINK_ERROR_TIMEOUT","انتهت صلاحية رمز الربط"
"TID_DEVICE_LINK_ERROR_TIMEOUT_TEXT","انتهت صلاحية رمز الربط. يجب إدخال الرمز إلى الجهاز الجديد خلال <time>.\n\nيمكنك الحصول على رمز جديد بسهولة عن طريق إعادة الدخول إلى شاشة رمز الربط."
"TID_DEVICE_LINK_ERROR_TOO_MANY_DEVICES","يوجد عدد كبير من الأجهزة المرتبطة"
"TID_DEVICE_LINK_ERROR_TOO_MANY_DEVICES_TEXT","لقد قمت بالفعل بربط 10 أجهزة، وهذا هو أقصى عدد مسموح به.\n\nإذا أردت حذف بعض الأجهزة القديمة، يُرجى الاتصال بنا من خلال صفحة التعليمات والدعم."
"TID_DEVICE_LINK_ERROR_INVALID_LINK_CODE","رمز ربط غير صالح"
"TID_DEVICE_LINK_ERROR_INVALID_LINK_CODE_TEXT","الرمز الذي أدخلته غير صالح أو انتهت صلاحيته. تأكد بحرص من إدخال الرمز بدقة كما هو معروض على الجهاز الآخر.\n\nيُرجى النقر فوق سهم العودة للمحاولة مرة أخرى.\n\nملاحظة: لا يمكن استخدام الرمز سوى مرة واحدة وستنتهي صلاحيته في <time>. يمكنك دائمًا الحصول على رمز جديد عن طريق الخروج والدخول إلى شاشة الربط مرة أخرى."
"TID_DEVICE_LINK_ERROR_OLD_DEVICE_NOT_ACTIVE","الجهاز القديم غير نشط"
"TID_DEVICE_LINK_ERROR_OLD_DEVICE_NOT_ACTIVE_TEXT","لربط أجهزتك بنجاح، يجب تنشيط الجهاز القديم، وعرض شاشة رمز الربط."
"TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_TITLE","انقطع الاتصال"
"TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE","هناك جهاز آخر يتصل بهذه القرية."
"TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_BUTTON","إعادة التحميل"
"TID_ALLIANCE_INVITATION_FAILED_AVATAR_HAS_TOO_MANY_INVITES","لا يمكن دعوة اللاعب لأن صندوق بريده الوارد ممتلئ!"
"TID_DEVICE_LINKED_MAIL_ITEM","تم ربط جهاز جديد بقريتك."
"TID_TITLE_SHARE_REPLAY","مشاركة إعادة العرض"
"TID_LOOT_GAINED","الغنائم المستحوذ عليها:"
"TID_IAP_NOT_AVAILABLE","يُرجى تمكين عمليات الشراء داخل التطبيق في إعدادات التقييد في جهازك."
"TID_IAP_NOT_AVAILABLE_ANDROID","الشراء غير متاح! احرص على استخدامك لحساب Google صالح وأن تكون وسيلة الدفع الرئيسية لديك محدّثة."
"TID_IAP_NOT_AVAILABLE_OLD_GOOGLE_PLAY","عمليات الشراء غير متاحة! يجب تحديث متجر تطبيقات Google Play Store."
"TID_KICK_FAIL_VISITING","لا يمكنك طرد اللاعبين أثناء الزيارة."
"TID_SKELETON","هيكل عظمي"
"TID_CHARACTER_INFO_SKELETON","لا يمثل هذا الميت الحي تهديدًا كبيرًا في حد ذاته. لكنه لا يحارب وحده أبدًا؛ فالساحرة تستطيع استدعاء عدد لا حصر له من الهياكل العظمية لمواجهة عدوك!"
"TID_CHARACTER_INFO_SKELETON2","لا يمثل هذا المخلوق الميت الحي تهديدًا كبيرًا في حد ذاته. لكنه لا يحارب وحده أبدًا؛ فمنطاد الإسقاط يستطيع تسليط حشد هياكل عظمية لا حصر له على أعدائك!"
"TID_GOLEM_SEC","غولم صغير"
"TID_CHARACTER_INFO_GOLEM_SEC","كائنات الغولم الصغيرة هي مثل غولم صغير تم تشييده داخل مخلوق عملاق. عند تدمير غولم، فإن كائنات الغولم الصغيرة تنبثق إلى الحياة وتستمر في القتال!"
"TID_MAX_SUMMONED_UNITS","أقصى وحدات مستدعاة: <number>"
"TID_IAP_TRANSACTION_PENDING","يُرجى الانتظار. العملية قيد الانتظار."
"TID_ACHIEVEMENT_LEAGUE_TITLE","دوري النجوم"
"TID_ACHIEVEMENT_LEAGUE_PROGRESS_1","انضم إلى الدوري الكريستالي"
"TID_ACHIEVEMENT_LEAGUE_PROGRESS_2","الوصول إلى دوري الأساتذة"
"TID_ACHIEVEMENT_LEAGUE_PROGRESS_3","كن بطلاً!"
"TID_VIEW_ALLIANCE_TAB","عرض القبيلة"
"TID_VIEW_PROFILE_TAB","ملف اللاعب الشخصي"
"TID_ACHIEVEMENT_DESTROY_XBOW_TITLE","مبيد الأقواس"
"TID_ACHIEVEMENT_DESTROY_XBOW","تدمير <number> من الأقواس في معارك متعددة اللاعبين"
"TID_ACHIEVEMENT_DESTROY_XBOW_ONE","تدمير قوس واحد في معركة متعددة اللاعبين"
"TID_ACHIEVEMENT_DESTROY_INFERNO_TITLE","خبير إطفاء"
"TID_ACHIEVEMENT_DESTROY_INFERNO","تدمير <number> من أبراج النار في معارك متعددة اللاعبين"
"TID_TOWN_HALL_UPGRADE_WARNING","ملاحظة: ستقلل الترقية غنيمتك من الخصوم بقاعة المدينة من المستوى <number> وما أقل."
"TID_SHARE_REPLAY_FAILED","تمت مشاركة إعادة العرض بالفعل من قِبل لاعب آخر"
"TID_SHARE_REPLAY_FAILED2","تمت مشاركة إعادة العرض بالفعل"
"TID_ACHIEVEMENT_GOLDSTORAGE_COMPLETED","أعلى مستوى لمخزن الذهب: <value>"
"TID_ACHIEVEMENT_NPC_STARS_COMPLETED","النجوم في خريطة الحملة: <value>"
"TID_ACHIEVEMENT_TOWN_HALL_COMPLETED","مستوى قاعة المدينة الحالي: <value>"
"TID_ACHIEVEMENT_CLEAR_OBSTACLES_COMPLETED","إجمالي العوائق المزالة: <value>"
"TID_ACHIEVEMENT_LOOT_GOLD_COMPLETED","إجمالي الذهب المسروق: <value>"
"TID_ACHIEVEMENT_LOOT_ELIXIR_COMPLETED","إجمالي الإكسير المسروق: <value>"
"TID_ACHIEVEMENT_VICTORY_POINTS_COMPLETED","سجل الكؤوس: <value>"
"TID_ACHIEVEMENT_CASTLE_COMPLETED","مستوى قلعة القبيلة الحالي: <value>"
"TID_ACHIEVEMENT_DESTROY_WALLS_COMPLETED","إجمالي الجدران المحطمة: <value>"
"TID_ACHIEVEMENT_DESTROY_TOWNHALL_COMPLETED","إجمالي قاعات المدينة المحطمة: <value>"
"TID_ACHIEVEMENT_DESTROY_BUILDER_COMPLETED","إجمالي أكواخ البنّاء المحطمة: <value>"
"TID_ACHIEVEMENT_PVP_ATTACKS_COMPLETED","إجمالي المعارك متعددة اللاعبين التي فزت بها: <value>"
"TID_ACHIEVEMENT_PVP_DEFENSES_COMPLETED","إجمالي الدفاعات التي تم الفوز بها: <value>"
"TID_ACHIEVEMENT_DONATE_UNITS_COMPLETED","إجمالي السعة المتبرع بها: <value>"
"TID_ACHIEVEMENT_DESTROY_MORTARS_COMPLETED","إجمالي مدافع الهاون المحطمة: <value>"
"TID_ACHIEVEMENT_LOOT_DARK_ELIXIR_COMPLETED","إجمالي إكسير الظلام المسروق: <value>"
"TID_ACHIEVEMENT_DESTROY_XBOW_COMPLETED","إجمالي الأقواس المحطمة: <value>"
"TID_ACHIEVEMENT_DESTROY_INFERNO_COMPLETED","إجمالي أبراج النار المحطمة: <value>"
"TID_LINK_DEVICE_BUTTON","ربط جهاز"
"TID_OPEN_GAMECENTER_BUTTON","فتح Game Center"
"TID_LINK_TARGET_IOS_BUTTON","أرغب في الربط\nبجهاز iPhone، أو iPad أو iPod"
"TID_LINK_TARGET_IOS_BUTTON_ANDROID","أرغب في الربط\nبجهاز Android"
"TID_LINK_TARGET_OTHER_BUTTON","أرغب في الربط\nبجهاز آخر"
"TID_LINK_TARGET_DEVICE_TYPE","الجهاز الهدف"
"TID_LINK_TARGET_DEVICE_TEXT","اختر نوع الجهاز الذي ترغب ربطه بـ:"
"TID_ANDROID_BILLING_PRODUCT_NOT_AVAILABLE_PRICE","اضغط للتفاصيل"
"TID_ALLIANCE_INVITATION_FAILED_NO_RIGHTS","يمكن للأعضاء المميزين والقادة فقط دعوة أعضاء جدد"
"TID_GOOGLE_SERVICE_CONNECT_TITLE","يُنصح بتسجيل الدخول إلى Google Play"
"TID_GOOGLE_SERVICE_CONNECT_TEXT","أيها الزعيم!\n<c2>قم بحماية تقدمك الآن</c> بتسجيل الدخول باستخدام حساب Google Play.\n\nبعد ذلك، <c2>ستكون قادرًا دائمًا على استعادة قريتك على أي جهاز يعمل بنظام Android</c>في أي وقت تسجل الدخول فيه ثانيةً باستخدام حساب Google Play نفسه."
"TID_GOOGLE_SERVICE_CONNECT_BUTTON","اتصال"
"TID_ACCOUNT","أجهزة"
"TID_LINK_SAME_PLATFORM_TITLE","المزامنة مع Game Center"
"TID_LINK_SAME_PLATFORM_TITLE_ANDROID","المزامنة مع حساب Google"
"TID_LINK_SAME_PLATFORM_TITLE_KUNLUN","المزامنة مع حسابك"
"TID_LINK_SAME_PLATFORM","للعب على العديد من الأجهزة التي تعمل بنظام تشغيل iOS، يُرجى التأكد من تسجيل الدخول إلى Game Center على هذا الجهاز.\n\nثم سجّل الدخول إلى Game Center باستخدام الجهاز الآخر. وستتم مزامنة تقدمك تلقائيًا."
"TID_LINK_SAME_PLATFORM_ANDROID","للعب على العديد من الأجهزة التي تعمل بنظام تشغيل Android، تأكد من تسجيل الدخول إلى حساب Google الخاص بك في إعدادات اللعبة.\n\nثم سجّل الدخول باستخدام حساب Google الخاص بك أيضًا على الجهاز الآخر. وستتم مزامنة تقدمك تلقائيًا."
"TID_LINK_SAME_PLATFORM_KUNLUN","للعب على العديد من الأجهزة التي تعمل بنظام التشغيل Android، قم بتنزيل Clash of Clans من متجر تطبيقات Android نفسه وسجّل الدخول باستخدام الحساب نفسه. ستتم مزامنة تقدمك تلقائيًا."
"TID_DEVICE_LINK_ERROR_NOT_ATTACHED_TITLE","ليس ملحقًا بـ Game Center"
"TID_DEVICE_LINK_ERROR_NOT_ATTACHED","لم يتم ربط قريتك بحساب على Game Center. يُرجى التأكد من تسجيل الدخول إلى حساب Game Center بدون قرية حالية مرتبطة وإعادة تشغيل اللعبة.\n\nسيتم سؤالك ما إذا كنت ترغب في ربط القرية الحالية بحساب Game Center. أجب بـ \qنعم\q.\n\nتحذير: سيكون ربط القرية دائمًا ولا يمكن تغييره بعد ذلك."
"TID_DEVICE_LINK_ERROR_NOT_ATTACHED_TITLE_ANDROID","ليس ملحقًا بـ Google Play"
"TID_DEVICE_LINK_ERROR_NOT_ATTACHED_ANDROID","لم يتم ربط قريتك بحساب Google. يُرجى الرجوع إلى شاشة الإعدادات وتسجيل الدخول بواسطة Google Play بدون قرية حالية مرتبطة.\n\nتحذير: سيكون ربط القرية دائمًا ولا يمكن تغييره بعد ذلك."
"TID_DEVICE_LINK_WRONG_ACCOUNT_TITLE","تم تسجيل الدخول إلى حساب خاطئ"
"TID_DEVICE_LINK_WRONG_ACCOUNT","القرية الحالية مرتبطة بحساب آخر على Game Center غير الحساب الذي سجلت الدخول إليه.\n\nيُرجى تسجيل الخروج من تطبيق Game Center وتسجيل الدخول مرة أخرى باستخدام الحساب المرتبط بهذه القرية.\n\nثم حاول الربط مرة أخرى."
"TID_DEVICE_LINK_WRONG_ACCOUNT_ANDROID","القرية الحالية مرتبطة بحساب Google آخر غير الحساب الذي سجلت الدخول إليه.\n\nيُرجى تسجيل الخروج من حساب Google الحالي من شاشة الإعدادات وتسجيل الدخول باستخدام الحساب المرتبط بهذه القرية.\n\nثم حاول الربط مرة أخرى."
"TID_DEVICE_LINK_ERROR_ALREADY_BOUND_TO_ALL_PLATFORMS_TITLE","تم الربط بالفعل"
"TID_DEVICE_LINK_ERROR_ALREADY_BOUND_TO_ALL_PLATFORMS","تم ربط القرية الحالية بالفعل. يمكن إجراء الربط مرة واحدة فحسب."
"TID_LINK_CANCELLED_TITLE","تم إلغاء الربط"
"TID_LINK_CANCELLED","لقد قمت بإلغاء الربط. لم يتم ربط أي أجهزة."
"TID_DEVICE_LINK_ERROR_CODE_CURRENT_VILLAGE_TOO_HIGH","لا يمكن استبدال القرية"
"TID_DEVICE_LINK_ERROR_CODE_CURRENT_VILLAGE_TOO_HIGH_TEXT","ترتبط قريتك بشكل دائم بالفعل بحسابك على Game Center الذي سجلت الدخول بواسطته.\n\nلأن القرية يوجد بها تقدم بالفعل (مستوى قاعة المدينة <level> أو عملية الشراء التي تمت)، لذا لا يمكن استبدالها بأية حال."
"TID_DEVICE_LINK_ERROR_CODE_CURRENT_VILLAGE_TOO_HIGH_TEXT_ANDROID","ترتبط قريتك بشكل دائم بالفعل بحسابك على Google الذي سجلت الدخول بواسطته.\n\nلأن القرية يوجد بها تقدم بالفعل (مستوى قاعة المدينة <level> أو عملية الشراء التي تمت)، لذا لا يمكن استبدالها بأية حال."
