"TID","NL"
"TID_NEWS_ECONOMY_TEXT3","\n• De trainingskosten voor sommige troepen zijn verminderd\n• De trainingskosten voor sommige spreuken zijn verminderd\n• De trainingskosten voor sommige troepen en spreuken zijn verminderd"
"TID_HINT_STAR_BONUS_LEAGUE","Verdien grotere sterbonussen in hogere divisies!"
"TID_NEWS_ROYALE","Clash Royale is nu verkrijgbaar!"
"TID_NEWS_ROYALE_INFO","Clash Royale is een gloednieuw, realtime, een-tegen-een gevechtsspel in het Clash-universum.\nWelkom in de arena!"
"TID_NEWS_ROYALE_BUTTON","Nu spelen!"
"TID_ALLIANCE_WAR_REPLAY_PERSONAL_ATTACK_1","Herhaling 1"
"TID_ALLIANCE_WAR_REPLAY_PERSONAL_ATTACK_2","Herhaling 2"
"TID_AVATAR_MESSAGE_TEXT_LAYOUTS_SCRAMBLED","De indelingen van je dorp zijn opnieuw ingesteld vanwege een ongepaste indeling. Verdere overtredingen leiden tot een langere schorsing!\nTik hieronder voor meer informatie over ongepaste dorpsindelingen."
"TID_ALLIANCE_WAR_REPLAY_PERSONAL_DEFENSE","Herhaling"
"TID_WAR_INFO_BUTTON","Oorlogs-\ngegevens"
"TID_STREAM_CLAN_WARS_ENTRY_VS","tegen"
"TID_CLAN_WIN_STREAK","Zegereeks gewonnen oorlogen:"
"TID_PLAYER_PROFILE_TROOPS","Troepen"
"TID_PLAYER_PROFILE_SPELLS","Spreuken"
"TID_PLAYER_PROFILE_HEROES","Helden"
"TID_ALL_BUILDERS_AVAILABLE","Alle upgrades voltooid"
"TID_NEWS_NEW_TROOP_TITLE",""
"TID_NEWS_NEW_TROOP_TEXT",""
"TID_NEWS_UPGRADES_TITLE",""
"TID_NEWS_UPGRADES_TEXT",""
"TID_NEWS_BALANCING_TITLE",""
"TID_NEWS_BALANCING_TEXT",""
"TID_NEWS_OTHER_TITLE",""
"TID_NEWS_OTHER_TEXT",""
"TID_BOWLER","Bowler"
"TID_CHARACTER_INFO_BOWLER","Deze grote blauwe gast houdt van de eenvoudige dingen in het leven: duister-elixir drinken en met stenen gooien. Zijn reusachtige keien stuiteren van hun doelwit naar het erachter liggende doelwit. Dubbel zo effectief!"
"TID_IAP_NOT_AVAILABLE_CAFE_BAZAAR","Aankopen niet beschikbaar! Zorg dat de Cafe Bazaar-app is geïnstalleerd op je apparaat."
"TID_STREAM_EVENT_ALLIANCE_LEVEL_UP_NO_PERKS","Clan heeft level <value> bereikt!"
"TID_EDIT_MODE_MOVE_ALL","Alles verplaatsen"
"TID_EDIT_MODE_WALLS_ONLY","Muren weergeven"
"TID_EDIT_MODE_VIEW_AS_ENEMY","Verkennings-\nweergave"
"TID_EDIT_MODE_PHOTO_MODE","Fotomodus"
"TID_CHALLENGE_BUTTON","Uitdagen"
"TID_CHALLENGE_TITLE","Vriendschappelijk gevecht"
"TID_CHALLENGE_HEADER","Daag je clangenoot uit om je dorp aan te vallen"
"TID_CHALLENGE_DEFAULT_INPUT","Kun jij mijn dorp verslaan?"
"TID_CHALLENGE_CLOSED","Het dorp wordt al aangevallen!"
"TID_CANCELLING","Annuleren..."
"TID_LIVE_SPECTATOR_COUNT","<num> toeschouwers"
"TID_ALLIANCE_WAR_STAT_NUM_0STARS","0 sterren"
"TID_HERO_SLEEPING","Slapen"
"TID_CHALLENGE_NOT_AVAILABLE_IN_MODE","Ga terug naar huis om een vriendschappelijk gevecht te starten!"
"TID_REQUEST_NOT_AVAILABLE_IN_MODE","Keer terug naar huis om versterkingen te vragen!"
"TID_ARMY_FULL","Leger vol"
"TID_TRAINING_FULL","Wachtrij is vol!"
"TID_ALLIANCE_DATA_FAILED_GENERIC","Claninfo kan niet worden geladen.\n\nProbeer het later opnieuw."
"TID_ALLIANCE_DATA_FAILED_NOT_FOUND","Clan kan niet worden gevonden."
"TID_ALLIANCE_DATA_FAILED_LOAD_FAILED","Claninfo kan niet worden geladen.\n\nProbeer het later opnieuw."
"TID_ALLIANCE_DATA_FAILED_DELETED","Deze clan is verwijderd en kan niet worden geladen."
"TID_ALLIANCE_DONATE_DONATE_INSTANTLY","Doneer onmiddellijk:"
"TID_ALLIANCE_DONATE_BUTTON_QUICK","Snel doneren"
"TID_ALLIANCE_DONATE_BUTTON_RETURN","Ga terug"
"TID_TRAINING_SCREEN_QUEUE","Wachtrij"
"TID_LOCAL_NOTIFICATION_YOUR_ARMY_IS_READY_ALL","Je leger is klaar om ten strijde te trekken!"
"TID_LOCAL_NOTIFICATION_TRAINING_HAS_STOPPED","Je leger staat klaar!"
"TID_ERROR_POP_UP_BANNED_ARTICLE_BUTTON","Meer info"
"TID_VS","tegen"
"TID_COPY_ACTION_BUTTON","Kopiëren"
"TID_PASTE_ACTION_BUTTON","Plakken"
"TID_COPIED_TO_DEVICE_CLIPBOARD","Label gekopieerd naar klembord van apparaat!"
"TID_NOTHING_TO_PASTE","Er valt niets te plakken."
"TID_RECORDING_CANT_GO_HOME","Je kunt niet naar huis. Stop eerst met opnemen!"
"TID_RECORDING_CANT_GO_MAP","Je kunt niet naar de oorlogskaart. Stop eerst met opnemen!"
"TID_TRAIN_TROOPS_QUEUE_SIZE","Train troepen: <num>/<max>"
"TID_TRAIN_SPELLS_QUEUE_SIZE","Brouw spreuken: <num>/<max>"
"TID_TRAINING_QUEUE_IS_EMPTY","Trainingswachtrij is leeg"
"TID_SPELL_QUEUE_IS_EMPTY","Spreukenwachtrij is leeg"
"TID_DUPLICATE_SPELL","Kloonspreuk"
"TID_DUPLICATE_SPELL_INFO","Deze spreuk stampt een pop-upleger uit de grond!\n\nKloonspreuken creëren een cirkel waarbinnen eenheden worden gekloond in tijdelijke kopieën. Het maximale aantal huisvestingsplaatsen van de spreuk geldt."
"TID_SPELL_DUPLICATE_HOUSING","Klooncapaciteit: <number>"
"TID_WAR_HISTORY_NOT_AVAILABLE_OTHER","Deze clan heeft nog nooit oorlog gevoerd!"
"TID_WAR_STATS_TITLE","Oorlogs-\nstatistieken"
"TID_WAR_STATS_WINS","Gewonnen:"
"TID_WAR_STATS_LOSSES","Verloren:"
"TID_WAR_STATS_TIES","Gelijkgespeeld:"
"TID_WAR_STATS_TOTAL","Totaal:"
"TID_AVATAR_MESSAGE_GEM_DONATION","Je hebt een edelsteendonatie ontvangen. Tik op Ophalen om ze te krijgen."
"TID_AVATAR_MESSAGE_BUTTON_CLAIM","Ophalen"
"TID_AVATAR_MESSAGE_BUTTON_ALREADY_CLAIMED","Al opgehaald"
"TID_TRAP_EJECT_HOUSING","Veercapaciteit: <number>"
"TID_SPRING_SIZE_FOR_UNIT","Veergewicht:"
"TID_MAINTENANCE_UPDATE_TITLE","Er komt een update aan!"
"TID_MAINTENANCE_UPDATE_TEXT","De meest recente update van Clash of Clans komt eraan, dus bereid je voor op een nieuwe eenheid en nog veel meer!"
"TID_MAINTENANCE_NORMAL_TITLE","Onderbreking wegens onderhoud"
"TID_MAINTENANCE_NORMAL_TEXT","Speel een potje Clash Royale terwijl je wacht!"
"TID_MAINTENANCE_ESTIMATED_LONG","Probeer het over een aantal uren opnieuw."
"TID_MAINTENANCE_ESTIMATED_TWO_HOURS","Probeer het over een paar uur opnieuw."
"TID_MAINTENANCE_ESTIMATED_HOUR_AND_HALF","Probeer het over ongeveer anderhalf uur opnieuw."
"TID_MAINTENANCE_ESTIMATED_HOUR","Probeer het over ongeveer een uur opnieuw."
"TID_MAINTENANCE_ESTIMATED_MINUTES","Probeer het over ongeveer <value> minuten opnieuw."
"TID_MAINTENANCE_ESTIMATED_SOON","Probeer het over een paar minuten opnieuw."
"TID_MAINTENANCE_ESTIMATED_UNKNOWN","Probeer het later opnieuw."
"TID_CHALLENGE_CHOOSE_LAYOUT","Indeling kiezen"
"TID_FRIENDLY_WAR_CHOOSE_LAYOUT","Indeling kiezen"
"TID_CREATE_SKELETONS_SPELL","Skeletspreuk"
"TID_CREATE_SKELETONS_SPELL_INFO","Zet op een willekeurige plek op het slagveld een skeletleger neer!\n\nEen paar extra zwaarden komen goed van pas in het heetst van de strijd. Skeletten activeren geen vallen."
"TID_ALLIANCE_CREATE_SHOW_LOG","Openbaar oorlogslogboek"
"TID_AVATAR_MESSAGE_SUBJECT_GEM_DONATION","<amount> edelstenen ontvangen"
"TID_UI_TOP_VIEWERS_TITLE","Toeschouwers:"
"TID_CANT_START_PVP_VILLAGE_EDIT_OPEN","Sluit eerst de bewerkingsmodus voor je dorp."
"TID_ARMY_USED","Gebruikt leger:"
"TID_NEWS_CHALLENGE_BOOST_TEXT","Bereid je voor op de update met een grondstoffenboost voor 1 edelsteen!"
"TID_NEWS_CHALLENGE_PREVIEW_TITLE","Binnenkort verwacht: vriendschappelijke gevechten!"
"TID_NEWS_CHALLENGE_PREVIEW_TEXT","• Daag wanneer je wilt clangenoten uit om je dorp aan te vallen\n• Voer vriendschappelijke aanvallen uit zonder je leger te verliezen\n• Deel je resultaten en herhalingen en organiseer zelfs clanwedstrijden"
"TID_NEWS_CHALLENGE_PREVIEW_BUTTON","Meer informatie"
"TID_CHALLENGE_FAIL_SERVER","Uitdaging kan niet worden gestart. Probeer het opnieuw."
"TID_VS_ATTACK_CONFIRM_INFO","Zorg dat je voorbereid bent voordat je een vriendschappelijk gevecht start!"
"TID_SPELL_SUMMON_TROOP_COUNT","Aantal <name>eenheden: <number>"
"TID_BABY_DRAGON_ENRAGE_SPEED_INCREASE","Bonusschade door woede:"
"TID_BABY_DRAGON","Babydraak"
"TID_BABY_DRAGON_INFO","Deze vliegende dreumes is niet op zijn gemak in de buurt van andere luchteenheden. Vliegt hij echter apart van de rest, dan krijgt hij een woedeaanval waardoor hij meer schade veroorzaakt en sneller aanvalt."
"TID_MINER","Mijnwerker"
"TID_MINER_INFO","Deze stiekeme schoffelaars graven tunnels, ook onder muren door, en komen vlakbij hun doelwitten weer boven de grond. Ondergronds kunnen mijnwerkers geen schade oplopen en activeren ze ook geen vallen, maar ze krijgen wel bonussen door spreuken."
"TID_CHALLENGE_CANCELLED","Uitdagen is niet langer beschikbaar!"
"TID_SCOUT_BUTTON","Verkennen"
"TID_TOP_HUD_FRIENDLY_BATTLE","Vriendschappelijk gevecht"
"TID_TOP_HUD_WATCH_LIVE_BUTTON","Live kijken"
"TID_STREAM_BUTTON_SCOUT","Verkennen"
"TID_STREAM_BUTTON_ATTACK","Aanvallen"
"TID_WAIT_A_WHILE_BEFORE_RETRY_CHALLENGE","Je hebt recent een uitdaging gestart. Probeer het opnieuw over <time>."
"TID_CHALLENGE_FAIL_SERVER_ALREADY_IN_PROGRESS","Vriendschappelijk gevecht kan niet worden gestart. Het vorige gevecht is nog bezig."
"TID_LAYOUTS_LAST_USED","Laatst gebruikt"
"TID_LAYOUT_CHANGED_ERROR","Deze indeling is recent bewerkt. Je kunt het weer gebruiken over <time>."
"TID_CHALLENGE_NOT_AVAILABLE_IN_MODE_REPLAY","Keer terug naar huis om een herhaling te bekijken!"
"TID_CHALLENGE_NOT_AVAILABLE_IN_MODE_CANCEL","Keer terug naar huis om het vriendschappelijk gevecht te annuleren!"
"TID_CHALLENGE_NOT_AVAILABLE_IN_MODE_ATTACK","Keer terug naar huis om aan te vallen!"
"TID_CHALLENGE_NOT_AVAILABLE_IN_MODE_SCOUT","Keer terug naar huis om te verkennen!"
"TID_CHALLENGE_NOT_AVAILABLE_IN_MODE_LIVE","Keer terug naar huis om live te kijken!"
"TID_CHALLENGE_CHANGE_LAYOUT","Indeling veranderen"
"TID_CHALLENGE_CHANGE_LAYOUT_BUTTON","Veranderen"
"TID_CHALLENGE_LAYOUT","Indeling"
"TID_CHALLENGE_SWITCH_LAYOUT","Gekozen indeling"
"TID_CHALLENGE_CHOOSE_NEW_LAYOUT","Kies een nieuwe indeling voor vriendschappelijk gevechten"
"TID_FRIENDLY_WAR_CHOOSE_NEW_LAYOUT","Nieuwe indeling voor vriendschappelijke oorlog kiezen"
"TID_CHALLENGE_ALREADY_CLOSED","Vriendschappelijk gevecht is al gesloten"
"TID_SCOUT_PREP_DAY_INFO","De oorlogsbasisindelingen van je tegenstander worden weergegeven tijdens de gevechtsdag."
"TID_REPLACE_LAYOUT","Indeling vervangen"
"TID_INFOBUBBLE_BUILDER_INPROGRESS","Upgrades aan de gang:"
"TID_INFOBUBBLE_BUILDER_SUGGESTION","Voorgestelde upgrades:"
"TID_INFOBUBBLE_BUILDER_EXTRA_SUGGESTION","Andere upgrades:"
"TID_SEARCH_TAB_CLANS","Clans zoeken"
"TID_SEARCH_TAB_PLAYERS","Spelers"
"TID_SEARCH_TAB","Zoeken"
"TID_PLAYER_SEARCH_HINT","Typ de speler-ID van de speler die je wilt zoeken"
"TID_PROFILE_BUTTON_ADD_FRIEND","Vriend toevoegen"
"TID_PLAYER_SEARCH","Zoeken naar speler:"
"TID_HASH","#"
"TID_PRESET_SAVE_OK","Leger is opgeslagen!"
"TID_PRESET_LOAD_OK","Leger is toegevoegd aan trainingswachtrijen!"
"TID_PRESET_SAVE_FAIL","Leger opslaan mislukt. Probeer het later opnieuw."
"TID_PRESET_LOAD_FAIL","Onvoldoende ruimte in de trainingswachtrijen"
"TID_PRESET_LOAD_FAIL_LOCKED_TROOP","Het vereiste trainingsgebouw is in aanbouw"
"TID_PRESET_FULL","Vol!"
"TID_PRESET_EMPTY","Geen leger voorbereid"
"TID_AVATAR_SEARCH_INVALID_TAG","Speler-ID is ongeldig. Controleer deze alsjeblieft."
"TID_AVATAR_SEARCH_TAG_NOT_FOUND","Geen speler gevonden met deze speler-ID."
"TID_PROFILE_FRIEND_REQUEST_SENT","Vriendenverzoek verzonden"
"TID_PROFILE_FRIENDS","Vrienden"
"TID_PROFILE_FRIEND_REQUEST_QUERY","Vriend toevoegen?"
"TID_FRIENDLIST_FILTER","Filter:"
"TID_FRIEND_LIST_ITEM_PENDING","Vriend toevoegen?"
"TID_INVITE_FRIEND_CONFIRMATION_TITLE","Vriend toevoegen?"
"TID_INVITE_FRIEND_CONFIRMATION","Clash-vriendenverzoek sturen naar <name>?"
"TID_ACCEPT_FRIEND_CONFIRMATION_TITLE","Vriend toevoegen?"
"TID_ACCEPT_FRIEND_CONFIRMATION","Wil je <name> toevoegen als Clash-vriend?"
"TID_REMOVE_FRIEND_CONFIRMATION_TITLE","Vriend verwijderen?"
"TID_REMOVE_FRIEND_CONFIRMATION","Weet je zeker dat je <name> wilt verwijderen uit je Clash-vrienden?"
"TID_REMOVE_FRIEND_INVITE_CONFIRMATION_TITLE","Vriendenverzoek annuleren?"
"TID_REMOVE_FRIEND_INVITE_CONFIRMATION","Weet je zeker dat je je Clash-vriendenverzoek aan <name> wilt annuleren?"
"TID_REJECT_FRIEND_CONFIRMATION_TITLE","Vriendenverzoek weigeren?"
"TID_REJECT_FRIEND_CONFIRMATION","Weet je zeker dat je het vriendenverzoek van <name> wilt weigeren?"
"TID_FRIEND_FILTER_ADDABLE","Vriendenverzoeken"
"TID_FRIEND_FILTER_INGAME","Vrienden"
"TID_FRIEND_FILTER_REQUESTS","Spelers zoeken"
"TID_ATTACK_FRIEND_BUTTON","Uitdagen"
"TID_USE_ATTACK_CODE_BUTTON","Uitdagingscode gebruiken"
"TID_FRIEND_LIST_ITEM_NEW","Nieuw!"
"TID_REMOVE_FRIEND_BUTTON","Vriend verwijderen"
"TID_BOOST_POPUP_TITLE","Productie boost geven!"
"TID_BOOST_THIS_BUILDING","<building> boost geven"
"TID_BOOST_BARRACKS_POPUP_TITLE","Troepentraining boost geven!"
"TID_BOOST_ALL_DARK_BARRACKS","Alle duistere kazernes"
"TID_BOOST_SPELLS_POPUP_TITLE","Brouwen boost geven!"
"TID_BOOST_ALL_POPUP_TITLE","Trainen en brouwen boost geven!"
"TID_BOOST_ALL_HEROES","Alle helden"
"TID_BOOST_ALL_ELIXIR","Alle elixirpompen"
"TID_BOOST_ALL_DARK_ELIXIR","Alle duister-elixirboren"
"TID_BOOST_ALL_GOLD","Alle goudmijnen"
"TID_BOOST_ALL_RESOURCES","Alle grondstofgebouwen"
"TID_BOOST_ALL_ATTACK","Alle legergebouwen"
"TID_PLAYER_NOT_FOUND","Geen speler gevonden met opgegeven ID."
"TID_PLAYER_SEARCH_INTERNAL_ERROR","Zoeken naar speler mislukt. Probeer het later opnieuw."
"TID_PLAYER_SEARCH_GENERIC","Er is iets misgegaan. Probeer het later opnieuw."
"TID_BOOST_POPUP_TITLE_RESUME","Boost hervatten!"
"TID_FRIEND_LIST_ITEM_SENT","Verzoek verzonden"
"TID_BOOST_POPUP_ITEM_RESUME","Hervatten"
"TID_OPEN_CHALLENGE","Uitdaging starten"
"TID_CHALLENGE_FRIEND_TITLE","Een vriend uitdagen"
"TID_CHALLENGE_WAIT_TITLE","Vriendschappelijk gevecht"
"TID_CHALLENGE_WAIT_HEADER","Wachten op een clangenoot om aan te vallen."
"TID_CHALLENGE_ATTACK_CODE","Aanvalscode:"
"TID_CHALLENGE_ATTACK_CODE_HINT","Gebruik deze code om een vriend uit te dagen je dorp aan te vallen! Je Clash-vrienden kunnen deze uitdaging ook rechtstreeks accepteren via hun vriendenlijst."
"TID_CHALLENGE_FRIEND_CONTENT","Daag een vriend uit om je dorp aan te vallen"
"TID_CHALLENGE_CANT_REQUEST","Sluit je aan bij een clan om troepen, spreuken en belegeringsmachines voor je clankasteel te vragen."
"TID_WAITING_FOR_BATTLE_CODE","Wachten op code..."
"TID_POPUP_BOOST_RESOURCES","Door grondstofgebouwen een boost te geven, verdubbel je hun grondstofproductie gedurende <time>."
"TID_POPUP_BOOST_ATTACK","Door legergebouwen een boost te geven, versnel je hun productie <multiplier>x gedurende <time>."
"TID_POPUP_RESUME_BOOST_TEXT","Je boost werd gepauzeerd tijdens het onderhoud."
"TID_ALLIANCE_WAR_COOLDOWN","Je clan mag gedurende <time> geen clanoorlogen voeren."
"TID_ADD_FRIENDS_INFO_CLASH","Voeg spelers toe als Clash-vrienden om vriendschappelijke uitdagingen te starten en ze te volgen in Clash of Clans!"
"TID_BUTTON_TRAIN_PRESETS","Snel trainen"
"TID_CHALLENGE_WAS_ACCEPTED","Vriendschappelijke uitdaging geaccepteerd!"
"TID_CHALLENGE_WAITING_TO_JOIN_LIVE","Wil je een liveherhaling zien om te weten hoe je vriend ervoor staat?"
"TID_CLANS_SELECTOR_BOOKMARKS","Bladwijzers"
"TID_CLANS_SELECTOR_SEARCH","Zoeken"
"TID_ALLIANCE_TAB_CLANS","Clans"
"TID_BUTTON_CLAN_WAR_MATCHED_START","Uitdagen"
"TID_ARRANGED_WAR_START_BUTTON","Uitdaging versturen"
"TID_PREPARATION_DAY_DURATION","Voorbereidingsperiode"
"TID_WAR_DAY_DURATION","Gevechtsperiode"
"TID_WAR_SIZE_TEXT","Grootte:"
"TID_PREPARE_DURATION","Voorbereiding:"
"TID_WAR_DURATION","Gevecht:"
"TID_ARRANGED_WAR_REQUEST_SENT","Oorlogsverzoek verzonden"
"TID_SENT_WAR_REQUEST_TO","Oorlogsuitdaging verstuurd naar <clan>!"
"TID_RECEIVED_WAR_REQUEST_FROM","Oorlogsuitdaging van <clan>!"
"TID_CLAN_WAR_CHALLENGE_ACCEPTED","Geaccepteerd door <name>"
"TID_CLAN_WAR_CHALLENGE_REJECTED","Geweigerd door <name>"
"TID_CLAN_WAR_CHALLENGE_CANCELLED","Geannuleerd door <name>"
"TID_CLAN_WAR_CHALLENGE_REJECTED_AUTOMATICALLY","Uitdaging is geweigerd"
"TID_TRAINING_SCREEN_TAB_OVERVIEW","Legers"
"TID_TRAINING_SCREEN_TAB_TROOPS","Troepen trainen"
"TID_TRAINING_SCREEN_TAB_SPELLS","Spreuken brouwen"
"TID_TRAINING_SCREEN_TAB_PRESETS","Snel trainen"
"TID_TRAINING_SCREEN_BARRACKS","Kazerne"
"TID_TRAINING_SCREEN_DARK_BARRACKS","Duistere kazerne"
"TID_TRAINING_SCREEN_SPELLS","Spreukenfabriek"
"TID_TRAINING_SCREEN_DARK_SPELLS","Duistere-spreukenfabriek"
"TID_TRAINING_SCREEN_TIME_LEFT","Resterende tijd:"
"TID_TRAINING_SCREEN_CAPACITY","Capaciteit:"
"TID_OVERVIEW_TROOPS_TITLE","Troepen"
"TID_OVERVIEW_HEROES_TITLE","Helden"
"TID_TRAINING_SCREEN_ELIXIR","Elixir:"
"TID_TRAINING_SCREEN_DARK_ELIXIR","Duister-elixir:"
"TID_TRAINING_BUTTON_BOOST","Boost"
"TID_ALLIANCE_WAR_MATCHED_WAITING_OPPONENT","Wachten tot tegenstander accepteert"
"TID_WAIT_BEFORE_ARRANGING_WAR_AGAIN","Je kunt nog een uitdaging versturen over <time>"
"TID_CANCEL_WAR_ARRANGED_MATCHMAKING_CONFIRMATION_TITLE","Uitdaging annuleren?"
"TID_CANCEL_WAR_ARRANGED_MATCHMAKING_CONFIRMATION_TEXT","Weet je zeker dat je de uitdaging voor een vriendschappelijke oorlog wilt annuleren?"
"TID_ADD_FRIENDS_INFO_REQUESTS","Voeg Clash-vrienden toe via hun spelersprofiel. Game Center- en Supercell ID-vrienden worden automatisch weergegeven nadat je je hebt aangemeld."
"TID_ADD_FRIENDS_INFO_REQUESTS_ANDROID","Voeg Clash-vrienden toe via hun spelersprofiel. Supercell ID-vrienden worden automatisch weergegeven nadat je je hebt aangemeld."
"TID_OVERVIEW_TRAIN_PREVIOUS","Trainen"
"TID_BUTTON_TRAIN_PRESET","Trainen"
"TID_BUTTON_EDIT_PRESET","Bewerken"
"TID_BUTTON_CREATE_PRESET","Creëren"
"TID_BUTTON_CANCEL_PRESET","Annuleren"
"TID_BUTTON_SAVE_PRESET","Opslaan"
"TID_PRESET_RESOURCES","Kosten"
"TID_PRESET_TIME","Tijd"
"TID_TRAINING_SPELLS_INFO","Spreuken zijn beschikbaar vanaf stadhuislevel 5"
"TID_TRAINING_SPELLS_INFO_BUILD","Bouw de spreukenfabriek om spreuken te ontgrendelen!"
"TID_SEARCH_TAB_BOOKMARKS","Bladwijzers"
"TID_TRAINING_RESOURCES","Grondstoffen"
"TID_ADD_FRIEND_ERROR_GENERIC","Vriendenverzoek versturen mislukt. Probeer het later opnieuw."
"TID_ADD_FRIEND_ERROR_DOES_NOT_EXIST","De speler die je probeert toe te voegen, bestaat niet."
"TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_YOU","Je hebt te veel vriendenverzoeken verzonden. Verwijder er een en probeer het opnieuw."
"TID_ADD_FRIEND_ERROR_TOO_MANY_REQUESTS_OTHER","Je vriend heeft te veel verzoeken uitstaan. Probeer het later opnieuw."
"TID_ADD_FRIEND_ERROR_OWN_AVATAR","Je kunt jezelf niet uitnodigen als vriend!"
"TID_ADVANCED_SEARCH_BUTTON_MORE","Geavanceerde opties"
"TID_ADVANCED_SEARCH_BUTTON_LESS","Geavanceerde opties verbergen"
"TID_ALLIANCE_CREATE_ARRANGED_WARS","Vriendschappelijke oorlogen"
"TID_CREATE_CLAN_ARRANGED_WARS_INFO","Andere clans toestaan om je uitdagingen voor een vriendschappelijke oorlog te sturen?"
"TID_CREATE_CLAN_PUBLISH_WAR_LOG","Andere spelers toestaan de resultaten van je oorloggevechten te bekijken via het clanprofiel van je clan"
"TID_DECORATION_BK_STATUE","Machtig heldenstandbeeld"
"TID_AVATAR_MESSAGE_CLAN_WAR_COOLDOWN_WARNING","Wegens een strafmaatregel kunnen je clan en je spelaccount tijdelijk niet deelnemen aan clanoorlogen."
"TID_BUTTON_SELECT","Start!"
"TID_BUTTON_EQUIP","Gebruiken"
"TID_PRESET_UNLOCK_INFO","Snel trainen is beschikbaar vanaf stadhuislevel <number>!"
"TID_CREATE_PRESET_INFO","Voeg troepen en spreuken toe en sla het leger daarna op."
"TID_PRESET_INFO","Maak een legerplan, zodat je makkelijker kunt trainen!"
"TID_PREVIOUS_ARMY_INFO","Train het vorige leger na het uitvoeren van een aanval!"
"TID_BUILDING_CONSTRUCTION_PREVENTS","Beschikbaar nadat de bouw is voltooid!"
"TID_TITLE_RENAME_PRESET","Leger hernoemen"
"TID_PREVIOUS_ARMY","Vorige leger"
"TID_ARMY_SLOT_DEFAULT_NAME","Leger <num>"
"TID_DIAMOND_BUNDLE_BUILDER","Bouwvakkerspakket"
"TID_DIAMOND_BUNDLE_TH4","Stadhuis 4-pakket"
"TID_DIAMOND_BUNDLE_TH5","Stadhuis 5-pakket"
"TID_DIAMOND_BUNDLE_TH6","Stadhuis 6-pakket"
"TID_DIAMOND_BUNDLE_TH7","Stadhuis 7-pakket"
"TID_DIAMOND_BUNDLE_TH8","Stadhuis 8-pakket"
"TID_DIAMOND_BUNDLE_TH9","Stadhuis 9-pakket"
"TID_DIAMOND_BUNDLE_TH10","Stadhuis 10-pakket"
"TID_DIAMOND_BUNDLE_TH11","Stadhuis 11-pakket"
"TID_VILLAGE_OBJECT_SHIP","Boot"
"TID_CLAN_IS_ALREADY_IN_WAR","Clan voert al oorlog"
"TID_CLAN_HAS_REQUEST_ALREADY","Clan heeft een uitdaging voor een vriendschappelijke oorlog uitstaan"
"TID_CLAN_HAS_TOO_FEW_MEMBERS","Clan heeft onvoldoende leden"
"TID_YOUR_CLAN_IS_ALREADY_IN_WAR","Je clan is al oorlog aan het voeren"
"TID_OFFER_PURCHASE_PENDING","Kopen..."
"TID_OFFER_PURCHASE_PENDING_ERROR","Je aankoop wordt verwerkt."
"TID_ACCEPT_FRIENDLY_WAR_NOT_AVAILABLE_IN_MODE","Keer terug naar huis om de uitdaging voor een vriendschappelijke oorlog te accepteren!"
"TID_BUILDING_BOMB_TOWER","Bomtoren"
"TID_BUILDING_BOMB_TOWER_INFO","Bomtorens bombarderen omringende grondtroepen en exploderen met een grote KNAL als ze worden vernietigd! Mêleetroepen kunnen maar beter afstand houden!"
"TID_DIAMOND_BUNDLE_HERO","Held"
"TID_CAPACITY_LEFT_INDICATOR_TEXT","Over"
"TID_FRIENDLY_WAR","Vriendschappelijke oorlog"
"TID_HELP_TRAINING_PRESET_PREVIOUS_ARMY","Train snel het laatste leger dat je hebt gebruikt in een gevecht!"
"TID_HELP_TRAINING_TROOPS_HELP_POPUP","Je kunt extra troepen trainen en ze hier laten tot er ruimte is in je leger.\n\nOpmerking: je troepen trainen langzamer wanneer een kazerne in aanbouw is."
"TID_HELP_TRAINING_SPELLS_HELP_POPUP","Je kunt extra spreuken brouwen en ze hier laten tot er ruimte is in je leger."
"TID_DIAMOND_BUNDLE_BUILDER_INFO","Dit bouwvakkerspakket bevat <gems> edelstenen en een gratis bouwvakker!"
"TID_DIAMOND_BUNDLE_TH4_INFO","• <gems> edelstenen\n• <res0> goud\n• Luchtafweer level 1\n\nGeen bouwtijd, geen opslaglimieten!\n\nMis deze <cffec78><value>x zo voordelige</c> en EENMALIGE aanbieding niet!"
"TID_DIAMOND_BUNDLE_TH5_INFO","• <gems> edelstenen\n• <res0> goud\n• Tovenaarstoren level 1\n\nGeen bouwtijd, geen opslaglimieten!\n\nMis deze <cffec78><value>x zo voordelige</c> en EENMALIGE aanbieding niet!"
"TID_DIAMOND_BUNDLE_TH6_INFO","• <gems> edelstenen\n• <res0> goud\n• Windmachine level 1\n\nGeen bouwtijd, geen opslaglimieten!\n\nMis deze <cffec78><value>x zo voordelige</c> en EENMALIGE aanbieding niet!"
"TID_DIAMOND_BUNDLE_TH7_INFO","• <gems> edelstenen\n• Barbarenkoning\n• Verborgen Tesla level 2\n\nGeen bouwtijd!\n\nMis deze <cffec78><value>x zo voordelige</c> en EENMALIGE aanbieding niet!"
"TID_DIAMOND_BUNDLE_TH8_INFO","• <gems> edelstenen\n• <res0> goud\n• Bomtoren level 1\n\nGeen bouwtijd, geen opslaglimieten!\n\nMis deze <cffec78><value>x zo voordelige</c> en EENMALIGE aanbieding niet!"
