"TID","RU"
"TID_DEVICE_LINK_ERROR_CODE_SAME_PLATFORM_TEXT","Для того чтобы играть на разных устройствах iOS, код привязки не нужен.\n\nЧтобы играть на другом устройстве iOS, войдите на нем в ту же учетную запись Game Center, что и на предыдущем устройстве.\n\nВаши игровые данные синхронизируются автоматически посредством учетной записи Game Center."
"TID_DEVICE_LINK_ERROR_CODE_SAME_PLATFORM_TEXT_ANDROID","Для того чтобы играть на разных устройствах Android, код привязки не нужен.\n\nЧтобы играть на другом устройстве Android, войдите на нем в ту же учетную запись Google Play (это можно сделать в настройках игры), что и на предыдущем устройстве.\n\nВаши игровые данные синхронизируются автоматически."
"TID_DEVICE_LINK_ERROR_CODE_SAME_PLATFORM_TEXT_KUNLUN","Чтобы играть на разных устройствах Android, код привязки не нужен.\n\nЧтобы играть на другом устройстве Android, загрузите Clash of Clans из Android App Store и войдите в ту же учетную запись.\n\nВаши игровые данные синхронизируются автоматически."
"TID_DEVICE_LINK_SUCCESFULL_TITLE","Все получилось!"
"TID_DEVICE_LINK_SUCCESFULL_NEW","Устройство успешно привязано к вашей учетной записи. Чтобы начать играть, нажмите \qОК\q, и все загрузится. Наслаждайтесь!"
"TID_DEVICE_LINK_SUCCESFULL_OLD_NO_DEVICE","Новое устройство привязано к вашей учетной записи!"
"TID_DEVICE_LINK_SUCCESFULL_OLD","Следующие устройства привязаны к вашей учетной записи:"
"TID_DEVICE_LINK_ERROR_CODE_ERROR_0_TITLE","Произошла ошибка (100)"
"TID_DEVICE_LINK_ERROR_CODE_ERROR_0","Что-то пошло не так. Пожалуйста, попробуйте снова!"
"TID_DEVICE_LINK_ERROR_CODE_ERROR_1_TITLE","Произошла ошибка (101)"
"TID_DEVICE_LINK_ERROR_CODE_ERROR_1","Что-то пошло не так. Пожалуйста, попробуйте снова!"
"TID_DEVICE_LINK_ERROR_CODE_ERROR_2_TITLE","Произошла ошибка (102)"
"TID_DEVICE_LINK_ERROR_CODE_ERROR_2","Что-то пошло не так. Пожалуйста, попробуйте снова!"
"TID_ACCEPT_FRIEND_ERROR_BANNED","Игрок заблокирован, нельзя добавить в список друзей."
"TID_ACCEPT_FRIEND_ERROR_TOO_MANY_FRIENDS","Не удалось добавить друга, список полон!"
"TID_ACCEPT_FRIEND_ERROR_GENERIC","Не удалось добавить друга, попробуйте позже."
"TID_EDIT_MODE_CANNOT_SAVE","Это активная планировка, ее нельзя закончить позже"
"TID_EDIT_MODE_SAVE_FIRST","Сначала закончите изменение деревни"
"TID_POPUP_EDIT_MODE_SAVE_TITLE","Сохранить изменения"
"TID_POPUP_EDIT_MODE_SAVE","Вы точно хотите сохранить изменения?"
"TID_POPUP_EDIT_MODE_DISCARD_TITLE","Отменить изменения?"
"TID_POPUP_EDIT_MODE_DISCARD","Вы уверены, что хотите выйти из режима изменения и отменить все внесенные изменения?"
"TID_POPUP_EDIT_MODE_COLLECT_TITLE","Собрать все"
"TID_POPUP_EDIT_MODE_COLLECT","Вы точно хотите собрать все здания?"
"TID_EDIT_MODE_SAVE_BUTTON","Сохранить"
"TID_EDIT_MODE_CANCEL_BUTTON","Отмена"
"TID_EDIT_MODE_COPY_BUTTON","Скопировать\nпланировку"
"TID_EDIT_MODE_ERASE_ON","Стирание вкл."
"TID_EDIT_MODE_ERASE_OFF","Стирание выкл."
"TID_EDIT_MODE_REMOVE_ALL_BUTTON","Удалить все"
"TID_VILLAGE_EDIT_MODE","Режим изменения деревни"
"TID_EDIT_MODE_TIP1","Отправьте строение в инвентарь, используя \qУдалить все\q или \qРежим стирания\q"
"TID_EDIT_MODE_TIP2","Перетащите строения из инвентаря, чтобы выбрать для них место."
"TID_DEVICE_LINK_CONFIRMATION_TOWNHALL_LEVEL","Ратуша <level>-го уровня"
"TID_EDIT_MODE_REMOVE_BUTTON","Удалить"
"TID_EDIT_MODE_TIP_WALLS","Тяните от стрелки, чтобы наметить стены."
"TID_OPEN_GAMECENTER_BUTTON_ANDROID","Войти в Google Play"
"TID_GOOGLE_SERVICE_SIGN_IN","Войти"
"TID_BUTTON_REPAIR_TRAP","Перезарядить"
"TID_BUTTON_REPAIR_TRAP_ALL","Перезарядить все"
"TID_TRAP_DAMAGE","Урон: <number>"
"TID_TRAP_TRIGGER_RADIUS","Радиус активации:"
"TID_CREDITS_BUTTON","О программе"
"TID_TERMS_OF_SERVICE_BUTTON","Условия пользования"
"TID_PRIVACY_POLICY_BUTTON","Политика конфиденц."
"TID_ABOUT_TITLE","О программе"
"TID_TRAP_REPAIR_COST","Цена перезарядки: <number>"
"TID_TRAP_BROKEN","<item> (не заряжена)"
"TID_TRAP_DAMAGE_RADIUS","Область действия: <number> клет."
"TID_ALLIANCE_INVITATION_FAILED_USER_BANNED","Невозможно пригласить: игрок заблокирован в вашем клане!"
"TID_CLAN_JOIN_FAIL_BANNED","Невозможно вступить, так как вас заблокировали в этом клане!"
"TID_ACCOUNT_LOCKED_TITLE","Учетная запись заблокирована"
"TID_ACCONT_LOCKED_TEXT","Ваша учетная запись заблокирована из соображений безопасности. Введите код разблокировки для ее восстановления."
"TID_ACCOUNT_LOCKED_TEXT2","Введите код разблокировки:"
"TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE_TITLE","Разблокировка учетной записи недоступна"
"TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE","Разблокировка учетной записи недоступна. Пожалуйста, попробуйте позже!"
"TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE_BUTTON","Попробуйте снова"
"TID_ACCOUNT_LOCKED_INVALID_CODE","Неверный код разблокировки!"
"TID_ABOUT_WEIBO","Weibo"
"TID_ABOUT_FACEBOOK","Facebook"
"TID_ABOUT_TWITTER","Twitter"
"TID_VILLAGE_EDIT_SAVE_FAILED","Не удалось сохранить деревню. Пожалуйста, попробуйте снова."
"TID_DECO_CAP_REACHED","Добавлено максимальное количество этих украшений."
"TID_TRAP_CAP_REACHED","Максимальное число этих ловушек уже построено."
"TID_XP_TITLE_HAYDAY","Играть в Hay Day!"
"TID_XP_TEXT_HAYDAY","Вернитесь к корням: вспомните, что есть еще на свете спокойная, простая жизнь. Обрабатывайте землю и выращивайте животных."
"TID_XP_BUTTON_HAYDAY","Бесплатно"
"TID_ERROR_POP_UP_PURCHASE_FAILED_TITLE","Покупка не удалась"
"TID_ERROR_POP_UP_PURCHASE_FAILED","Сервер оплаты не отвечает. Пожалуйста, попробуйте позже."
"TID_ERROR_POP_UP_PURCHASE_FAILED_BUTTON","ОК"
"TID_GOOGLE_ACCOUNT_ALREADY_BOUND","Не удалось войти в Google Play! Ваша учетная запись Google уже привязана к другой игре."
"TID_BUTTON_ATTACK_MODE_SINGLE","Одиночная"
"TID_BUTTON_ATTACK_MODE_MULTIPLE","Несколько"
"TID_HINT_AIR_MINE_MINION","Мины воздушного поиска не обнаруживают миньонов."
"TID_HINT_VILLAGE_EDIT_MODE","Расстановку строений в деревне можно легко поменять в режиме изменения деревни."
"TID_HINT_TRAP_REPAIR","Ловушки и бомбы нужно перезарядить, после того как они были использованы."
"TID_HINT_TRAP_UPGRADING","Обязательно улучшите ловушки, чтобы держать незваных гостей на расстоянии."
"TID_HINT_SAFEGUARD_PROGRESS","Войдите в игру с Supercell ID, чтобы сохранить свои достижения."
"TID_START_WAR","Начать войну!"
"TID_START_WAR_FAILED_ALREADY_IN_WAR","Невозможно начать войну: ваш клан уже воюет!"
"TID_START_WAR_FAILED_NO_RIGHTS","Лишь глава и соруководитель клана могут начать войну!"
"TID_START_WAR_FAILED_NOT_ENOUGH_MEMBERS","Начать войну невозможно: не хватает соклановцев!"
"TID_START_WAR_FAILED_GENERIC_ERROR","Невозможно начать войну, попробуйте позже!"
"TID_START_WAR_FAILED_NOT_IN_ALLIANCE","Невозможно начать войну. Для этого вы должны быть в клане!"
"TID_START_WAR_FAILED_PENDING_REQUEST_EXISTS","Нельзя начать войну, есть неотвеченные запросы"
"TID_START_WAR_FAILED_ENEMY_HAS_TOO_MANY_REQUESTS_PENDING","Нельзя начать войну, слишком много неотвеченных запросов"
"TID_START_WAR_FAILED_WAR_REQUEST_REJECTED","Невозможно вызвать на дружескую войну, этот клан недавно отклонил ваш вызов. Попробуйте позже."
"TID_START_WAR_FAILED_WAR_REQUEST_NO_LONGER_EXISTS","Нельзя начать войну, запрос недоступен"
"TID_START_WAR_FAILED_WAR_COOLDOWN_ACTIVE","Нельзя начать войну, идет перерыв"
"TID_CLAN_STAT_VICTORIES","Побед:"
"TID_CLAN_STAT_DEFEATS","Поражений:"
"TID_LAST_WAR","Последняя война:"
"TID_PUSH_WAR_0","Объявлена война, противник — <data>!"
"TID_PUSH_WAR_1","Время подготовки к войне почти закончилось!"
"TID_PUSH_WAR_2","Началась война! Противник — <data>!"
"TID_PUSH_WAR_3","<data> скоро закончит войну."
"TID_PUSH_WAR_4","Война (противник — <data>) закончилась."
"TID_ALLIANCE_WAR_VICTORY","Победа"
"TID_ALLIANCE_WAR_DEFEAT","Поражение"
"TID_OBSTACLE_XMASPRESENT","Подарок"
"TID_TRAP_SANTA","Удар Санты"
"TID_TRAP_SANTA_INFO","Оставьте особый подарок своим врагам. Ваше благородство будет вознаграждено!"
"TID_NUMBER_TARGETS","Целей: <number>"
"TID_INFO_DAMAGE_TYPE_MULTIPLE","Несколько целей"
"TID_VILLAGE_EDIT_SUCCESS","Ваша деревня сохранена."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_LONG","Приносим свои извинения, на сервере ведутся технические работы. Пожалуйста, попробуйте через несколько часов."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_TWO_HOURS","Приносим свои извинения, на сервере ведутся технические работы. Пожалуйста, попробуйте через пару часов."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR_AND_HALF","Приносим свои извинения, на сервере ведутся технические работы. Пожалуйста, попробуйте через полтора часа."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_HOUR","Приносим свои извинения, на сервере ведутся технические работы. Пожалуйста, попробуйте через час."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_MINUTES","Приносим свои извинения, на сервере ведутся технические работы. Пожалуйста, попробуйте через <value> мин."
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_ESTIMATED_SOON","Приносим свои извинения, на сервере ведутся технические работы. Пожалуйста, попробуйте через несколько минут."
"TID_EVENT_BOOST_BARRACKS","Специальное предложение на Рождество: ускорьте работу всех казарм и сборщиков эликсира, отдавая всего один кристалл за строение! Предложение действует до 7 января."
"TID_EDIT_MODE_NEED_TO_FINISH","Ваше последнее изменение деревни восстановлено"
"TID_TRAINING_CAPACITY","Количество для тренировки: <number>"
"TID_EVENT_BOOST_GEM_AMOUNT","1х"
"TID_PROMOTE_TO_COLEADER_CONFIRMATION_TITLE","Повысить?"
"TID_PROMOTE_TO_COLEADER_CONFIRMATION","Повысить игрока <name> до соруководителя?"
"TID_DEMOTE_TO_ADMIN_CONFIRMATION_TITLE","Понизить?"
"TID_DEMOTE_TO_ADMIN_CONFIRMATION","Понизить игрока <name> до старейшины клана?"
"TID_ALLIANCE_ROLE_COLEADER","Соруководитель"
"TID_ALLIANCE_WAR_PREPARATION_TIME_TITLE","День подготовки"
"TID_ALLIANCE_WAR_ATTACK_TIME_TITLE","День сражения"
"TID_ALLIANCE_WAR_NOT_IN_CLAN","Прежде чем участвовать в войне кланов, нужно вступить в клан!"
"TID_ALLIANCE_WAR_VISIT_FAILED_NOT_FOUND","Невозможно посетить: деревня не найдена! Пожалуйста, попробуйте позже."
"TID_ALLIANCE_WAR_VISIT_FAILED_UNAVAILABLE","Невозможно посетить: деревня недоступна! Пожалуйста, попробуйте позже."
"TID_ALLIANCE_WAR_VISIT_FAILED","Невозможно посетить. Пожалуйста, попробуйте позже."
"TID_ALLIANCE_WAR_SAVE_VILLAGE","Сохранить деревню"
"TID_ALLIANCE_WAR_SNAPSHOT_FAILED","Не получилось сохранить, пожалуйста, попробуйте позже!"
"TID_ALLIANCE_WAR_ATTACK_FAILED_ALL_ATTACKS_USED","Вы уже использовали все атаки в этой войне!"
"TID_ALLIANCE_WAR_ATTACK_FAILED_INVALID_TARGET","На эту деревню нельзя напасть: неверная цель!"
"TID_ALLIANCE_WAR_ATTACK_FAILED_TARGET_NOT_IN_WAR","Невозможно напасть: вы вступили в клан после начала войны!"
"TID_ALLIANCE_WAR_ATTACK_FAILED_ATTACK_ONGOING","Вы уже атаковали, попробуйте позже!"
"TID_ALLIANCE_WAR_ATTACK_FAILED_SNAPSHOT_NOT_AVAILABLE","Деревня сейчас недоступна! Повторите попытку позже."
"TID_ALLIANCE_WAR_ATTACK_FAILED_TARGET_UNDER_ATTACK","На деревню уже напали, попробуйте позже!"
"TID_ALLIANCE_WAR_ATTACK_FAILED","Невозможно напасть на деревню, попробуйте позже!"
"TID_ALLIANCE_WAR_LOOKING_FOR_OPPONENT","Подбор вражеского клана..."
"TID_ALLIANCE_WAR_WAR_STARTING","Объявлена война"
"TID_ALLIANCE_WAR_STREAM_DEFENDED","Атака отбита!"
"TID_ALLIANCE_WAR_NUM_DEFENCES","Атак отбито: <number>"
"TID_ALLIANCE_WAR_PREPARE_FOR_WAR","Готовьтесь к войне!"
"TID_ALLIANCE_WAR_IN_WAR","Война началась!"
"TID_ALLIANCE_WAR_ENDED","Война окончена!"
"TID_BONUS_GEMBOX","Ящик c кристаллами"
"TID_HERO_ABILITY_TIME","Действие способности: <number> с."
"TID_HERO_RECHARGE_TIME","Время перезарядки: <number> с."
"TID_HERO_ABILITY_COOLDOWN_ACTIVE","Придется подождать, прежде чем снова использовать способности героя!"
"TID_HERO_ABILITY_USED","Способность уже была использована!"
"TID_HERO_ABILITY_BARBARIAN_TITLE","Железный кулак"
"TID_HERO_ABILITY_BARBARIAN_DESC","Король впадает в ярость, мгновенно исцеляясь. Его скорость и сила атаки увеличиваются. Он также призывает группу разъяренных варваров, которые тут же бросаются в бой."
"TID_HERO_ABILITY_LEVEL","Уровень способности: <number>"
"TID_HERO_ABILITY_LEVEL_UNLOCK_PROMPT","Способность откроется на <number>-м уровне!"
"TID_HERO_ABILITY_UPGRADE_PROMPT_MALE","Повысьте уровень героя до <number>-го, чтобы улучшить эту способность!"
"TID_HERO_ABILITY_UPGRADE_PROMPT_FEMALE","Повысьте уровень героя до <number>-го, чтобы улучшить эту способность!"
"TID_HERO_ABILITY_UNLOCK_PROMPT_MALE","Повысьте уровень героя до <number>-го, чтобы открыть эту способность!"
"TID_HERO_ABILITY_UNLOCK_PROMPT_FEMALE","Повысьте уровень героя до <number>-го, чтобы открыть эту способность!"
"TID_HERO_ABILITY_SUMMONED_TROOP_TYPE","Призываемый воин"
"TID_DONATE_NOT_AVAILABLE_IN_MODE","Вернитесь домой, чтобы пожертвовать войска!"
"TID_REPLAY_NOT_AVAILABLE_IN_MODE","Вернитесь домой, чтобы посмотреть повтор."
"TID_ACCEPT_NOT_AVAILABLE_IN_MODE","Вернитесь домой, чтобы ответить на запрос."
"TID_ALLIANCE_WAR_CANNOT_ATTACK","Деревня не готова. Пожалуйста, повторите через несколько минут."
"TID_HERO_ABILITY_QUEEN_TITLE","Королевская мантия"
"TID_HERO_ABILITY_QUEEN_DESC","Королева исчезает, чтобы восстановить здоровье и подготовить разрушительное оружие. Защитные сооружения теряют ее из виду, а на поле боя появляется группа лучниц, чтобы их отвлечь!"
"TID_HERO_ABILITY_NUM_SUMMONED_UNITS","Призывает воинов: <number>"
"TID_POPUP_BOOST_HERO_REST","Увеличить скорость исцеления героя в <multiplier> р. на <time>?"
"TID_POPUP_HEADER_ABOUT_TO_BOOST_HERO","Ускорить исцеление!"
"TID_CANCEL_HERO_BOOST_CONFIRMATION","Улучшение героя отменит ускорение. Вы уверены?"
"TID_ITEM_LOCKED","<item> (заблокировано)"
"TID_HERO_ABILITY_DURATION","Действие способности"
"TID_HINT_HEROES_ABILITIES","У героев есть особые способности, которые открываются на 5 уровне. Их можно использовать во время атаки."
"TID_ALLIANCE_WAR_TOTAL_LOOT_STOLEN","Украдено добычи:"
"TID_ALLIANCE_WAR_ENEMY_CLAN","Вражеский клан"
"TID_ACHIEVEMENT_WAR_STARS_TITLE","Герой войны"
"TID_ACHIEVEMENT_WAR_STARS","Заработайте <number> звезд в войнах кланов"
"TID_ACHIEVEMENT_WAR_STARS_COMPLETED","Заработано звезд в сражениях войн кланов: <value>"
"TID_ALLIANCE_WAR_CLAN_BANK","Склад клана:"
"TID_ALLIANCE_WAR_RESOURCE_STORAGE_CAPACITY","<resource>: <number>"
"TID_BUTTON_CLAN_WAR_HISTORY","Ход войны"
"TID_CLAN_WAR_PREPARE_BUTTON","Приготовьтесь!"
"TID_LOCAL_NOTIFICATION_WAR_PREPARATION_ENDS","Подготовка клана к войне почти закончена!"
"TID_LOCAL_NOTIFICATION_WAR_ENDS","Война кланов почти закончена!"
"TID_ALLIANCE_WAR_SPECTATOR_MODE","Наблюдение за войной"
"TID_ALLIANCE_WAR_SPECTATOR_MESSAGE","Вы не готовы к этой войне"
"TID_ALLIANCE_WAR_STARTWAR_INFO_NOT_ENOUGH_MEMBERS","Сражайтесь против кланов за славу, добычу и опыт!\n\n\nДля начала нужно минимум 10 соклановцев."
"TID_ALLIANCE_WAR_STARTWAR_INFO_LEADER","Сражайтесь против кланов за славу, добычу и опыт!\n\n\nГотовы начать? Ведите соклановцев в бой!"
"TID_ALLIANCE_WAR_STARTWAR_INFO_CLANMEMBER","Сражайтесь против кланов за славу, добычу и опыт!\n\n\nВы уже готовы? Предложите главе клана начать войну."
"TID_DRAW","Ничья"
"TID_ALLIANCE_WAR_NEW_WAR","Новая война"
"TID_ALLIANCE_WAR_SCOUT","Шпионить"
"TID_ALLIANCE_WAR_NO_BEST_ATTACK","Не атаковали"
"TID_ALLIANCE_WAR_LOOT_BONUS_TITLE","Бонус за победу"
"TID_ALLIANCE_WAR_CANNOT_ATTACK_SPECTATOR","Наблюдатели не могут нападать!"
"TID_ALLIANCE_WAR_CANNOT_ATTACK_PREPARATION","Напасть нельзя: война еще не началась!"
"TID_ALLIANCE_WAR_CANNOT_ATTACK_WAR_ENDED","Напасть нельзя: война уже закончилась!"
"TID_WAR_PREPARE","Приготовьтесь!"
"TID_WAR_STARTS_IN","Война через:"
"TID_ALLIANCE_WAR_STAT_ATTACKS","Атак использовано"
"TID_ALLIANCE_WAR_STAT_AVG_DESTRUCTION","Средний урон"
"TID_ALLIANCE_WAR_CANNOT_SCOUT_WAR_OVER","Шпионить невозможно: война окончена!"
"TID_ACHIEVEMENT_WAR_LOOT_TITLE","Хранитель сокровищ"
"TID_ACHIEVEMENT_WAR_LOOT","Заберите <number> золотых из сокровищницы"
"TID_ACHIEVEMENT_WAR_LOOT_COMPLETED","Получено как бонус в войне кланов: <value>"
"TID_CANCEL_WAR_MATCHMAKING_CONFIRMATION_TITLE","Остановить поиск?"
"TID_CANCEL_WAR_MATCHMAKING_CONFIRMATION_TEXT","Остановка и повторный запуск поиска не только не сократит его время, но и может сделать его длиннее. Хотите остановить поиск?"
"TID_ALLIANCE_WAR_STAT_WINS","Успешных атак"
"TID_ALLIANCE_WAR_BEST_ATTACK_FRIENDLY","Лучшая атака клана:"
"TID_ALLIANCE_WAR_BEST_ATTACK_ENEMY","Лучшая атака оппонента:"
"TID_ALLIANCE_WAR_MY_ATTACKS","Мои атаки:"
"TID_ALLIANCE_WAR_BEST_NO_ATTACK_FRIENDLY","Лучшего в клане нет"
"TID_ALLIANCE_WAR_BEST_NO_ATTACK_ENEMY","Лучшего врага нет"
"TID_ALLIANCE_WAR_AVAILABLE_BONUS","Бонус за победу"
"TID_ALLIANCE_WAR_STARS_WON","Звезды"
"TID_ALLIANCE_WAR_PERSONAL_LOOT_RESULT","Военный бонус"
"TID_WAR_PREPARE_ARMYCAMP_INFO","Готовьте деревню к войне!\nЗаполните<c2>крепость клана</c> и помогите соклановцам, соберите лучших <c2>воинов</c>, создайте могущественные <c2>заклинания</c> и убедитесь, что <c2>герои</c> готовы к сражению!"
"TID_ALLIANCE_WAR_PERSONAL_ATTACK_1","Атака 1"
"TID_ALLIANCE_WAR_PERSONAL_ATTACK_2","Атака 2"
"TID_ALLIANCE_WAR_ATTACK_AVAILABLE","Доступно"
"TID_ALLIANCE_WAR_UNDER_ATTACK_BY","<name> атакует!"
"TID_ALLIANCE_WAR_ATTACKS_REMAINING","Атак осталось"
"TID_ALLIANCE_WAR_EVENTS","Военные события"
"TID_ALLIANCE_WAR_LOOT_DELIVERED","Военная добыча доставлена в сокровищницу!"
"TID_ALLIANCE_WAR_LOOT_TRANSFERRED","Ресурсы собраны из сокровищницы!"
"TID_ALLIANCE_WAR_LOOT_NOT_EXIST","В сокровищнице пусто!"
"TID_ALLIANCE_WAR_LOOT_COLLECT_INFO","Забрать бонус военной добычи можно из сокровищницы."
"TID_ALLIANCE_WAR_FAILED_WAR_IS_ENDING","Невозможно напасть: война почти окончена!"
"TID_ALLIANCE_WAR_FAILED_ATTACKING_SAME_TARGET","Вы уже нападали на эту цель!"
"TID_ALLIANCE_WAR_PREPARED_HEADER_FRIENDLY","Готовые к войне соклановцы:"
"TID_ALLIANCE_WAR_PREPARED_HEADER_ENEMY","Готовые к войне враги:"
"TID_ALLIANCE_WAR_PREPARED_FOR_WAR","К войне готовы!"
"TID_ALLIANCE_WAR_NOT_PREPARED_FOR_WAR","Подготовка к войне..."
"TID_HINT_CLAN_WAR","Вступайте в войны кланов, ведите захватывающие битвы и получайте еще больше добычи!"
"TID_CHAT_REPORT_CONFIRMATION_TITLE","Сообщить об игроке <name>?"
"TID_CHAT_REPORT_CONFIRMATION","Вы точно хотите сообщить о неприемлемом поведении игрока <name>?"
"TID_ALLIANCE_WAR_LOOT_CONFIRMATION_TITLE","Собрать ресурсы?"
"TID_ALLIANCE_WAR_LOOT_CONFIRMATION","Вы точно хотите перенести все ресурсы из сокровищницы в хранилища?"
"TID_WAR_BROWSE","Подробности"
"TID_ALLIANCE_WAR_HISTORY_BROWSE_UNAVAILABLE","Подробности недоступны"
"TID_WAR_DATA_ERROR_NO_LONGER_AVAILABLE","Подробности этой войны недоступны."
"TID_WAR_DATA_ERROR_INTERNAL","Невозможно узнать подробнее о войне, пожалуйста, попробуйте позже."
"TID_WAR_DATA_ERROR_INVALID_WAR","Невозможно узнать подробнее о войне!"
"TID_ALLIANCE_WAR_DATA_NOT_AVAILABLE","Войны кланов загружаются, повторите попытку еще раз."
"TID_CLANS_VS","ПРОТИВ"
"TID_ALLIANCE_WAR_ATTACK_NOT_USED","Не использовано"
"TID_ALLIANCE_WAR_CLOSE_RESULTS_SCREEN","Просмотр карты"
"TID_WAR_WIN_BONUS","<percentage> бонус за победу в войне"
"TID_VILLAGE_NOT_PREPARED","Деревня не готова"
"TID_VILLAGE_PREPARED","Деревня готова"
"TID_BEST_ATTACK","Лучшая атака:"
"TID_VILLAGE_UNDER_ATTACK","Деревню атакуют!"
"TID_RECOMMENDED_TARGET","Рекомендованная цель"
"TID_ALLIANCE_WAR_EVENT_PREPARATION_STARTED","Подготовка началась!"
"TID_ALLIANCE_WAR_EVENT_WAR_STARTED","Война началась"
"TID_ALLIANCE_WAR_EVENT_WAR_ENDED","Война окончена"
"TID_ALLIANCE_WAR_ATTACK_CONFIRM_TITLE","Подтверждение атаки"
"TID_ALLIANCE_WAR_ATTACK_CONFIRM_1STAR","В сражении с этой деревней ваш клан уже получил 1 звезду. Попробуете улучшить результат?"
"TID_ALLIANCE_WAR_ATTACK_CONFIRM_2STARS","В сражении с этой деревней ваш клан уже получил 2 звезды. Попробуете улучшить результат?"
"TID_ALLIANCE_WAR_ATTACK_CONFIRM_3STARS","Эта деревня уже уничтожена, и клан больше не получит за нее звезд. Точно хотите напасть?"
"TID_ALLIANCE_WAR_ENDING_PROMPT","Конец войны"
"TID_ALLIANCE_WAR_ENDED_PROMPT","Война окончена!"
"TID_BUTTON_HELP_CENTER","Дополнительная помощь"
"TID_EVENT_BOOST_COLLECTORS","Особое событие: вы можете ускорить все сборщики ресурсов, заплатив всего ОДИН КРИСТАЛЛ за каждый!"
"TID_EVENT_BOOST_SPELL_AND_HEROES","Особое событие: усилить героев и заклинания можно всего за ОДИН КРИСТАЛЛ! Событие продлится до 6 марта."
"TID_EVENT_BOOST_EVERYTHING","Спецпредложение на выходные: ускоряйте работу зданий, заплатив всего ОДИН КРИСТАЛЛ за каждое!"
"TID_EVENT_BOOST_ATTACKS","Улучшайте казармы, усиливайте заклинания и наращивайте мощь героев ЗА ОДИН КРИСТАЛЛ! Событие продлится до 7 января."
"TID_WAR_HISTORY_NOT_AVAILABLE","Ваш клан еще ни разу не воевал!"
"TID_WAR_DONATE","Жертвовать"
"TID_WAR_DONATE_MESSAGE","Запрос"
"TID_WAR_DONATE_MESSAGE_SAVED","Сообщение о пожертвовании сохранено"
"TID_WAR_INFO","В каждой двухдневной войне побеждает клан, набравший больше звезд. Победивший клан получает бонусную добычу и опыт клана. Выигрывая сражения, вы увеличиваете размер бонуса, а поражение в войне приведет к потере большей его части! В случае ничьей побеждает клан, нанесший больше разрушений в своих лучших атаках."
"TID_WAR_INFO_FRIENDLYWAR_ADDITION","В каждой двухдневной войне побеждает клан, набравший больше звезд. Победивший клан получает бонусную добычу и опыт клана. Выигрывая сражения, вы увеличиваете размер бонуса, а поражение в войне приведет к потере большей его части! В случае ничьей побеждает клан, нанесший больше разрушений в своих лучших атаках.\n\nПомните: вы можете выбрать длительность дружеских войн, но они не принесут вам ни опыта клана, ни добычи."
"TID_WAR_INFO_HEADLINE","Обзор"
"TID_WAR_WAR_BASE_INFO","В день подготовки военные базы открыты для пожертвования войск. Планировку баз можно изменить, используя части вашей обычной деревни. Во время войны эти базы защищаются и хранят ваши ресурсы и трофеи в безопасности. Не забудьте разместить недавно построенные вами здания!"
"TID_WAR_WAR_BASE_HEADLINE","День подготовки"
"TID_WAR_BATTLE_INFO","Все атаки проходят в день сражения. Засчитывается только лучшая атака, поэтому стратегия очень важна! Атака в войне кланов не повлияет на ваш щит или трофеи."
"TID_WAR_BATTLE_INFO_HEADLINE","День сражения"
"TID_TAB_OVERVIEW","Обзор"
"TID_TAB_PREPARATION","День подготовки"
"TID_TAB_BATTLE","День сражения"
"TID_WAR_DONATE_DONE","Вы уже отдали этому игроку максимальное количество воинов!"
"TID_WAR_DONATE_FULL","Игрок не может принять больше воинов."
"TID_TUTORIAL_WAR_MAP_FRIENDLY_1","Наконец-то вы с нами, вождь! Добро пожаловать в зону боевых действий!"
"TID_TUTORIAL_WAR_MAP_FRIENDLY_2","Наши враги жаждут войны, и наш клан готов к бою!"
"TID_TUTORIAL_WAR_MAP_FRIENDLY_3","Взгляните туда, вождь! Я вижу вражеский клан!"
"TID_TUTORIAL_WAR_MAP_ENEMY_1","Ничего себе, их военные базы повсюду!"
"TID_TUTORIAL_WAR_MAP_ENEMY_2","Число атак ограничено, поэтому нам понадобится помощь клана, чтобы справиться с врагом."
"TID_TUTORIAL_WAR_MAP_ENEMY_3","Осмотритесь здесь, вождь, а потом займемся нашими военными базами."
"TID_TUTORIAL_WAR_DONATE_1","В день подготовки мы жертвуем войска и проводим разведку деревней противников."
"TID_TUTORIAL_WAR_BATTLE_1","В день боя — нападаем! Трофеи и щиты не имеют значения, важна лишь победа!"
"TID_TUTORIAL_WAR_INFO_1","Коснитесь кнопки информации, чтобы узнать больше. Клан рассчитывает на вас, вождь!"
"TID_CLAN_WARS","Войны кланов"
"TID_FRIENDLY_ZONE","Дружеская территория"
"TID_ENEMY_TERRITORY","Вражеская территория"
"TID_DONATE","Жертвовать"
"TID_WARS_WON","Выиграно войн:"
"TID_PREVIOUS_BEST","Прошлый рекорд"
