"TID","FA"
"TID_XMAS_PACK_INFO","• <gems> جواهر\n• <c80d8e8>هدایای قبیله:</c>\n<giftgems> جواهر برای هر نفر\n\nشامل هدایایی برای حداکثر <giftmates> هم قبیله‌ای می‌شود!"
"TID_USE_TROOP_EVENT_ACHIEVEMENT_NAME","از <unit>‌ها استفاده کنید"
"TID_USE_TROOP_EVENT_ACHIEVEMENT_DESC_PLURAL","چالش رویداد: نبرد چندنفره را ببرید!\n<cffec78>• باید از <usecount><unit>ها استفاده کنید</c>"
"TID_USE_TROOP_EVENT_ACHIEVEMENT_DESC","رویداد چالش: نبردهای چند نفره را ببرید!\n<cffec78>• باید از 1 <unit></c> استفاده کنید"
"TID_GIFT_DIAMOND_PACK_2","کیسه جواهرات و هدایا"
"TID_GIFT_DIAMOND_PACK_3","ساک جواهرات و هدایا"
"TID_GIFT_DIAMOND_PACK_4","جعبه جواهرات و هدایا"
"TID_GIFT_DIAMOND_PACK_5","صندوق جواهرات و هدایا"
"TID_YOU_GOT_REWARD","دریافت کردید:"
"TID_TOO_MANY_ALLIANCE_CHAT_REPORTS_SENT","لطفاً پیش از ارسال یک گزارش دیگر صبر کنید"
"TID_ONGOING_EVENTS","رویدادهای امروز"
"TID_EVENT_ARMY_BOOST","تسریع آموزش با 1 جواهر"
"TID_EVENT_TIME_LEFT","زمان باقیمانده:"
"TID_EVENT_ARMY_BOOST_INFO","نیروها را 4 برابر سریع‌تر آموزش دهید!\n\nآموزش نیروها را تنها با 1 جواهر تسریع کنید."
"TID_ACHIEVEMENTS_PROGRESS","پیشرفت"
"TID_OPEN_TRAIN_TROOPS","آموزش"
"TID_EVENT_COLLECTOR_BOOST","تقویت جمع‌کننده با 1 جواهر"
"TID_COLLECTOR_BOOST_INFO","تولید منابع خود را دو برابر کنید!\n\nهریک از جمع‌کننده‌های منابع خود را،تنها با 1 جواهر تقویت کنید."
"TID_EVENT_CW_TITLE","2 برابر Clan XP"
"TID_EVENT_CW_INFO","ارتقاء سطح قبیله با دو برابر سرعت!\n\nجنگ‌های قبیله ای انجام شده در طول این رویداد دوبرابر Clan XP دریافت میکنند."
"TID_EVENT_CHRISTMAS","رویداد تعطیلات"
"TID_EVENT_CHRISTMAS_INFO",""
"TID_EVENT_STAR_BONUS","<starbonus>برابر پاداش ستاره"
"TID_EVENT_STAR_BONUS_INFO","خزانه خود را سریع‌تر پر کنید!\n\nجایزه پاداش ستاره <starbonus>برابر غنیمت در طول این رویداد."
"TID_EVENT_CHRISTMAS_SPELL","ویژه کلش کریسمس: سورپرایز بابانوئل"
"TID_EVENT_CHRISTMAS_SPELL_INFO","نابودی کامل را به دشمنانتان هدیه کنید!\n\nبا سوپرایز بابانوئل می‌توانید برای مدت محدود طلسم بسازید."
"TID_OPEN_TRAIN_SPELLS","طلسم‌سازی"
"TID_EVENT_CHRISTMAS_TRAP","ویژه کلش کریسمس: تله منجمد"
"TID_EVENT_CHRISTMAS_TRAP_INFO","مهاجمین را در مسیرشان متوقف کنید!\n\nتله‌های منجمد اینجا هستند، اما در پایان رویداد آب خواهند شد."
"TID_OPEN_SHOP_TRAPS","ساختن"
"TID_EVENT_CHRISTMAS_UNIT","ویژه کلش کریسمس: جادوگر یخی"
"TID_EVENT_CHRISTMAS_UNIT_INFO","با این نیروهای افسانه‌ای دشمنان خود را متوقف کنید!\n\nجاودگرهای یخی اینجا هستند تا برای زمان محدودی آموزش بدهند!"
"TID_UPCOMING_EVENTS","رویدادهای پیش‌رو"
"TID_GIFT_AVAILABLE_STREAM_TEXT","یک هم قبیله‌ای هدایایی فرستاده lست!"
"TID_TRAP_FREEZE","تله منجمد"
"TID_TRAP_FREEZE_INFO","مهاجمین را با یک سرمای استخوان‌سوز در مسیرشان متوقف می‌کند.\n\nتنها برای زمان محدودی قابل استفاده است"
"TID_EVENT_TIME_UNTIL_START","شروع در:"
"TID_EVENT_UPCOMING_TIME","<number> روز"
"TID_EVENT_ARMYSPELL_BOOST","تقویت ارتش با 1 جواهر"
"TID_EVENT_ARMYSPELL_BOOST_INFO","4 برابر سریع‌تر ارتش کامل بسازید!\n\nاین موارد را تنها با 1 جواهر تقویت کنید:\n• قهرمانان\n• آموزش نیروها\n• ساخت طلسم"
"TID_DIAMOND_BUNDLE_GOLD_ELIXIR_DARK_ELIXIR_INFO","• <gems> جواهر\n• <res0> طلا\n• <res1> اکسیر\n• <res2> اکسیر سیاه\n\nاز محدوده ذخیره بیشتر می‌شود!\n\n<cffec78>بهترین</c> پیشنهاد یک باره ما - آن را از دست ندهید!"
"TID_UPGRADE_DENIED_UPGRADE_COUNT_LIMIT","شما تا حداکثر مقدار این ساختمان‌ها را ارتقاء داده‌اید!"
"TID_UPGRADE_COUNT_LIMITED","می‌توانید <num> ساختمان بیشتر از این دست را ارتقاء دهید"
"TID_UPGRADE_COUNT_LIMIT_HIT","<c2>نمی‌توانید تعداد بیشتری از این ساختمان‌ها را ارتقاء دهید</c>"
"TID_WIZARD2","جادوگر یخی"
"TID_CHARACTER_INFO_WIZARD2","جاودگر افسانه‌ای با پرتاب تکه یخ‌های ویران‌کننده سرعت نیروهای دفاعی دشمن را کم می‌کند!\n\nفقط برای زمان محدودی در دسترس است."
"TID_WATCH","تماشای ویدیو"
"TID_EVENT_SPELL_BOOST","تسریع طلسم‌سازی با 1 جواهر"
"TID_EVENT_SPELL_BOOST_INFO","طلسم‌ها را 4 برابر سریع‌تر بسازید!\n\nطلسم‌سازی را تنها با 1 جواهر تسریع کنید."
"TID_EVENT_TROOP","<troop> رویداد"
"TID_EVENT_TROOP_INFO","<troop>ها را با تخفیف آموزش دهید و چالش رویداد را تکمیل کنید!"
"TID_EVENT_SPELL","<troop> رویداد"
"TID_EVENT_SPELL_INFO","<troop>ها را با تخفیف بسازید!"
"TID_REDUCE_COST","تخفیف هزینه:"
"TID_EVENT_ACHIEVEMENT_COMPLETE","رویداد کامل شد!"
"TID_LOCAL_NOTIFICATION_EVENT_TROOP_DISCOUNT","رئیس، یک رویداد نیرو شروع شده است!"
"TID_LOCAL_NOTIFICATION_EVENT_SPELL_DISCOUNT","رئیس، یک رویداد طلسم شروع شده است!"
"TID_LOCAL_NOTIFICATION_EVENT_TROOP_TRAINING_BOOST","رئیس، یک رویداد تقویت آموزش با 1 جواهر شروع شده است!"
"TID_LOCAL_NOTIFICATION_EVENT_SPELL_BREWING_BOOST","رئیس، یک رویداد تقویت طلسم‌سازی با 1 جواهر شروع شده است!"
"TID_LOCAL_NOTIFICATION_EVENT_ALL_ARMY_BOOST","رئیس، یک رویداد تقویت ارتش با 1 جواهر شروع شده است!"
"TID_LOCAL_NOTIFICATION_EVENT_ALL_COLLECTORS_BOOST","رئیس، یک رویداد تقویت جمع‌کننده با 1 جواهر شروع شده است!"
"TID_LOCAL_NOTIFICATION_EVENT_STAR_BONUS","رئیس، یک رویداد پاداش ستاره شروع شده است!"
"TID_LOCAL_NOTIFICATION_EVENT_CLAN_XP","رئیس، یک رویداد Clan XP شروع شده است!"
"TID_LOCAL_NOTIFICATION_EVENT_SPECIAL_TROOP","رئیس، یک نیروی ویژه برای مدتی محدود اینجاست!"
"TID_LOCAL_NOTIFICATION_EVENT_SPECIAL_SPELL","رئیس، یک طلسم ویژه برای مدتی محدود اینجاست!"
"TID_LOCAL_NOTIFICATION_EVENT_SPECIAL_TRAP","رئیس، یک تله ویژه برای مدتی محدود اینجاست!"
"TID_LOCAL_NOTIFICATION_EVENT_SPECIAL_OFFER","رئیس، یک پیشنهاد با ارزش برای مدتی محدود فروخته می‌شود!"
"TID_GIFT_GIVEN_STREAM_TEXT","شما هدایای قبیله‌ای ارسال کردید!"
"TID_YOU_HAVE_ALREADY_CLAIMED_THE_GIFT","قبلاً این هدیه را دریافت کرده‌اید!"
"TID_HOLIDAY_PACK","بسته تعطیلات"
"TID_GIFT_NOT_AVAILABLE_IN_MODE","برای دریافت هدایا به خانه برگردید!"
"TID_EVENT_ACHIEVEMENT_REWARD_CLAIMED","رویداد تکمیل شد! شماه <gem> جواهر و <xp> تجربه دریافت کردید!"
"TID_EVENT_ACHIEVEMENT_REWARD_CLAIMED_BOOSTER","رویداد تکمیل شد! <name> را دریافت کردید!"
"TID_EVENT_CHRISTMAS_SPELL_UPCOMING","اولین روز کلش کریسمس!"
"TID_EVENT_CHRISTMAS_TRAP_UPCOMING","دومین روز کلش کریسمس!"
"TID_EVENT_CHRISTMAS_UNIT_UPCOMING","سومین روز کلش کریسمس!"
"TID_SHOP_GIFTS_ALLIANCE_GIFTS","+ هدیه قبیله"
"TID_MULTIPLAYER_STAR_BONUS_EVENT_ACTIVE","<c66CC00><num>برابر رویداد پاداش ستاره</c>"
"TID_NO_EVENTS_TITLE",""
"TID_NO_EVENTS_CONTENT","در حال حاضر هیچ رویدادی برنامه‌ریزی نشده است.\nبعداً بررسی کنید!"
"TID_FEEDBACK_BUTTON6","حساب قفل شد"
"TID_LOCAL_NOTIFICATION_EVENT_XMAS_1","رئیس، کریسمس قبیله را با تقویت‌های 1 جواهری و سوپرایز بابانوئل جشن بگیرید!"
"TID_LOCAL_NOTIFICATION_EVENT_XMAS_2","رئیس، کریسمس قبیله با تله منجمد ادامه پیدا می‌کند - اکنون آن را بررسی کنید!"
"TID_LOCAL_NOTIFICATION_EVENT_XMAS_3","رئیس، جادوگرهای یخی را در طی روزهای آخر کریسمس قبیله آموزش دهید!"
"TID_QQ_LOGIN_BUTTON","ورودی QQ"
"TID_WECHAT_LOGIN_BUTTON","ورودی WeChat"
"TID_GUEST_LOGIN_BUTTON","ورود مهمان"
"TID_WECHAT_LOGGED_IN","به WeChat وارد شد"
"TID_QQ_LOGGED_IN","به QQ وارد شد"
"TID_WECHAT_LOGOUT_BUTTON","خروج"
"TID_WECHAT_NOT_INSTALLED","هنوز WeChat را نصب نکرده‌اید"
"TID_SHARE_DIALOG_TITLE","‌اشتراک‌گذاری"
"TID_TENCENT_CREATE_NEW_ACCOUNT_CONFIRM_TITLE","حساب بازی جدید"
"TID_TENCENT_CREATE_NEW_ACCOUNT_CONFIRM","پیشرفت فعلی شما به حساب دیگری متصل است. مطمئنید که می‌خواهید وارد سیستم شوید و با این حساب QQ/WeChat یک بازی جدید ایجاد کنید؟"
"TID_TENCENT_BOUND_TO_OTHER_ACCOUNT","آیا می‌خواهید دهکده رئیس <name>را با سطح تالار شهر سطح <number> بارگذاری کنید؟"
"TID_INFO_POP_UP_IAP_NOTE_TENCENT","بازی Clash of Clans رایگان است، اما می‌توانید سرعت پیشرفتتان را با خریدهای درون‌برنامه‌ای افزایش دهید."
"TID_MULTIDEVICE_INFO_TENCENT","برای بازی روی چندین دستگاه Android، با حساب WeChat یا QQ یکسان وارد سیستم شوید."
"TID_LINK_SAME_PLATFORM_TITLE_TENCENT","همگام‌سازی با حساب شما"
"TID_LINK_SAME_PLATFORM_TENCENT","برای بازی روی چندین دستگاه Android، لطفاً مطمئن شوید که در تنظیمات بازی با یک حساب WeChat یا QQ وارد سیستم شده‌اید.\n\nسپس، با همان حساب WeChat یا QQ در دستگاه دیگر نیز وارد حساب شوید. پیشرفت شما به طور خودکار همگام‌سازی خواهد شد."
"TID_DEVICE_LINK_ERROR_CODE_CURRENT_VILLAGE_TOO_HIGH_TEXT_TENCENT","دهکده شما قبلاً به طور دائم به حسابی که با آن وارد سیستم شده‌اید، ضمیمه شده است.\n\nچون دهکده قبلاً پیشرفت داشته است (سطح <level> تالار شهر یا انجام یک خرید)، نمی‌توان دیگر آن را بازنویسی کرد."
"TID_DEVICE_LINK_ERROR_CODE_SAME_PLATFORM_TEXT_TENCENT","برای بازی روی دستگاه Android دیگر، Clash of Clans را از فروشگاه برنامه Tencent دانلود کنید و با استفاده از همان حساب WeChat یا QQ وارد سیستم شوید.\n\nپیشرفت شما به طور خودکار همگام‌سازی خواهد شد."
"TID_ADD_FRIENDS_INFO_REQUESTS_TENCENT","دوستان قبیله را از نمایه بازیکن آنها اضافه کنید. دوستان WeChat یا QQ زمانی که وارد سیستم شوید، به طور خودکار نشان داده می‌شوند."
"TID_INFO_POP_UP_TOS_PP_NOTE_TENCENT","بازی Clash of Clans رایگان است، اما می‌توانید سرعت پیشرفتتان را با خریدهای درون‌برنامه‌ای افزایش دهید. برای پذیرش شرایط و حریم خصوصی، روی «تأیید» ضربه بزنید."
"TID_POPUP_CONFLICTING_ACCOUNT_TITLE","حساب متناقض"
"TID_ATTATID_POPUP_CONFLICTING_ACCOUNT_TEXT","حسابی که سعی می‌کنید وارد آن شوید با حسابی که ذخیره کرده‌اید متفاوت است؛ آیا می‌خواهید به حساب جدید منتقل شوید؟"
"TID_BUTTON_CONFLICTING_ACCOUNT_YES","بله، می‌خواهم به حساب فعلی منتقل شوم."
"TID_BUTTON_CONFLICTING_ACCOUNT_NO","خیر، از حساب اصلی استفاده می‌کنم."
"TID_ACHIEVEMENT_ACCOUNT_BOUND","برای ایمن نگه داشتن دستاوردهای خود، حساب‌تان را به یک شبکه اجتماعی متصل کنید."
"TID_ACHIEVEMENT_ACCOUNT_BOUND_TITLE","دهکده‌تان را امن نگه دارید"
"TID_ACHIEVEMENT_ACCOUNT_BOUND_COMPLETED","کامل شد!"
"TID_ACHIEVEMENT_ACCOUNT_BOUND_GAME_CENTER","اتصال به Game Center"
"TID_ACHIEVEMENT_ACCOUNT_BOUND_KUNLUN","دهکده‌تان تحت حفاظت است"
"TID_ACHIEVEMENT_ACCOUNT_BOUND_TENCENT","اتصال به WeChat یا QQ"
"TID_ACHIEVEMENT_ACCOUNT_BOUND_TENCENT_AND_GAME_CENTER","اتصال به WeChat، QQ یا Game Center"
"TID_NEWS_IOS7_TITLE","پایان پشتیبانی از دستگاه‌های دارای سیستم iOS‏ 5 و 6"
"TID_NEWS_IOS7_TEXT","در به‌روزرسانی بعدی Clash of Clans، دستگاه‌های Apple دارای سیستم iOS نسخه‌های 5 و 6 دیگر پشتیبانی نخواهند شد. برای اینکه بتوانید به بازی Clash of Clans ادامه دهید، لطفاً سیستم عامل دستگاه خود را به iOS 7 یا بالاتر ارتقاء دهید. برای اطلاعات بیشتر، روی گزینه زیر ضربه بزنید!"
"TID_NEWS_IOS7_BUTTON","اطلاعات بیشتر"
"TID_LOCAL_NOTIFICATION_EVENT_HERO_BOOST","رئیس! یک رویداد تقویت قهرمان با 1 جواهر آغاز شده است!"
"TID_LOCAL_NOTIFICATION_EVENT_STAR_BONUS_4X","رئیس! یک رویداد 4 برابر پاداش ستاره آغاز شده است!"
"TID_EVENT_HERO_BOOST_ALT","رویداد تقویت قهرمان"
"TID_EVENT_ARMY_GOWIWI","رویداد GoWiWi"
"TID_EVENT_ARMY_GOWIWI_INFO","با استراتژی کلاسیک غول سنگی-جادوگر-ساحره، دهکده‌ها را تخریب کنید! هر واحد اکنون 50% ارزان‌تر شده است!"
"TID_CNY_PACK","بسته سال نوی قمری"
"TID_LOCAL_NOTIFICATION_EVENT_ARMY_DISCOUNT","رئیس! یک رویداد ویژه ارتش آغاز شده است!"
"TID_OFFER_CW_TITLE","بسته جنگ‌های قبیله"
"TID_NEWS_CW_BD_GIFTS_TITLE","هدایای قبیله!"
"TID_ATTACK_SPEED","سرعت حمله: <number>"
"TID_SUMMON_SPEED","سرعت استقرار: <number>"
"TID_PLACEMENT_HINT_TUTORIAL3","نیروهات رو مستقر کن!"
"TID_WAITING_FOR_ENEMY","در انتظار حریف"
"TID_DEFENCE_TROOP_COUNT","نیروهای دفاعی: <number>"
"TID_CLOCK_TOWER_BOOST_DURATION","مدت تقویت: <number>"
"TID_DIAMOND_BUNDLE_RED","(بسته قهرمان)RED"
"TID_DIAMOND_BUNDLE_RED_INFO","• <gems> جواهرات\n• مجسمه عظیم قهرمان\n• پادشاه بربرها در لباس (RED) برای مدت محدود\n\n100% درآمد حاصل از فروش به (RED) برای مبارزه با ایدز اختصاص خواهد یافت."
"TID_BUILDING_CLOCK_TOWER","برج ساعت"
"TID_CLOCK_TOWER_BOOST_TIME","مدت تقویت: <number> ثانیه"
"TID_ARMY_CAMP_VILLAGE2","اردوگاه <num>"
"TID_BUILDING_DOUBLE_CANNON","توپ دولول"
"TID_BUTTON_CHANGE_VILLAGE","سفر"
"TID_BUILDING_MULTI_MORTAR","خمپاره‌انداز چندتایی"
"TID_OBSTACLE_OLD_BARBARIAN_STATUE","مجسمه قدیمی بربر"
"TID_BUILDING_TELESCOPE","آزمایشگاه نجوم"
"TID_UNIT_COUNT","واحدها:"
"TID_TRAINING_TIME2","زمان آموزش:"
"TID_FILL_ARMY_CAMPS","انتخاب ارتش"
"TID_ATTACK_VILLAGE2_ATTACK_USED","حمله ناموفق بود، حمله استفاده‌شده است!"
"TID_ATTACK","حمله"
"TID_LOOT_AVAILABLE","غرامت در دسترس:"
"TID_LOOT_RECEIVED","غرامت دریافت‌شده:"
"TID_FIND_MATCH_HEADER","یافتن یک حریف؟"
"TID_HOUSING_VILLAGE2","تعداد در هر اردوگاه:"
"TID_SPECIAL_UNLOCKS_AT_LEVEL","توانایی ویژه در سطح <number> فعال می‌شود"
"TID_UPGRADE_INFO_START","افزایش"
"TID_UPGRADE_INFO_ITEM_SPACER","<old> و"
"TID_UPGRADE_INFO_HP","<old> تحمل ضربه (+<num>)"
"TID_UPGRADE_INFO_DAMAGE","<old> آسیب (<num>+)"
"TID_UPGRADE_INFO_DPS","<old> آسیب در ثانیه (+<num>)"
"TID_UPGRADE_INFO_ATTACK_SPEED","<old> سرعت حمله (<num> ثانیه)"
"TID_UPGRADE_INFO_SPAWNED_UNITS","<old> تعداد واحد تولیدشده (+<num>)"
"TID_UPGRADE_INFO_HOUSING","<old> تعداد واحد در هر اردوگاه نظامی (+<num>)"
"TID_UPGRADE_INFO_SPAWNING","<old> سرعت تولید (+20%) <name>"
"TID_UPGRADE_INFO_SPECIAL_ABILITY","توانایی ویژه را فعال می‌کند: <name>!"
"TID_UPGRADE_INFO_SPECIAL_ABILITY_IMPROVED","توانایی <name> را بهتر می‌کند!"
"TID_UPGRADE_INFO_DEPLOY_UNIT","<old> سرعت استقرار (+15%) <name>"
"TID_NEXT_LEVEL","سطح بعدی"
"TID_REQUIRED_STAR_LABORATORY_LEVEL","نیازمند آزمایشگاه نجوم سطح <number>"
"TID_ABILITY","توانایی ویژه"
"TID_BARB2_ABILITY_NAME","عصبانیت"
"TID_BARB2_ABILITY_HELP","سرعت و آسیب در <num> ثانیه نخست افزایش می‌یابد"
"TID_ARCHER2_ABILITY_NAME","شنل"
"TID_ARCHER2_ABILITY_HELP","پنهان از چشم مدافعین در <num> ثانیه اول"
"TID_GIANT_ABILITY_NAME","مشت قدرتی"
"TID_GIANT_ABILITY_HELP","اولین حمله <num> آسیب وارد می‌کند"
"TID_CANNON_ABILITY_NAME","مقاومت آخر"
"TID_CANNON_ABILITY_HELP","پس از تخریب ارابه، توپ موقتا با تحمل ضربه <num2> به شلیک ادامه می‌دهد."
"TID_PEKKA2_ABILITY_NAME","شارژ زیادی"
"TID_PEKKA2_ABILITY_HELP","بعد از تخریبش، منفجر می‌شود و <num> آسیب وارد می‌کند"
"TID_BALLOON2_ABILITY_NAME","بمب اسکلتی"
"TID_BALLOON2_ABILITY_HELP","هنگام فعال شدن، <num2> آسیب وارد می‌کند، دیوارها را نابود و <num> اسکلت تکثیر می‌کند"
"TID_GARG2_ABILITY_NAME","شلیک قدرتی"
"TID_GARG2_ABILITY_HELP","<num> حمله اول سریع‌تر هستند، از فاصله دورتری پرتاب می‌شوند و <num3> آسیب وارد می‌کنند"
"TID_BOMBER_ABILITY","بمب جهنده"
"TID_BOMBER_ABILITY_HELP","دو بار می‌جهد و با هر بار فرود آمدن <num> آسیب وارد می‌کند"
"TID_POPUP_BOOST_VILLAGE_SPEEDUP","جمع‌آوری منابع، پژوهش و ساختن را برای <multiplier>، <time> برابر تسریع کنید!"
"TID_POPUP_HEADER_ABOUT_TO_BOOST_VILLAGE_SPEEDUP","تقویت دهکده؟"
"TID_POPUP_BOOST_VILLAGE","جمع‌آوری منابع، پژوهش و ساخت‌و‌ساز را تا <multiplier> برابر، به مدت <time> تسریع کنید!\n\nمی‌توانید هر <cooldown> یکبار رایگان تقویت کنید!"
"TID_POPUP_HEADER_ABOUT_TO_BOOST_VILLAGE","تقویت رایگان!"
"TID_BUTTON_CLOCKTOWER_SPEEDUP","الآن تقویت کنید!"
"TID_BUTTON_CLOCK_TOWER_BOOST","تقویت رایگان!"
"TID_CLOCK_TOWER_UPGRADE_NOTE","تقویت را <time> ماندگارتر می‌کند"
"TID_CLOCK_TOWER_INFO","برج ساعت به رخدادها در دهکده‌تان سرعت می‌بخشد! جمع‌آوری منابع، پژوهش و ساخت‌و‌ساز را تسریع کنید."
"TID_BOOST","تقویت"
"TID_BUILD_TRAINING_GROUNDS","اول اردوگاه نظامی بسازید"
"TID_NO_FREE_TRAINING_SLOT_AVAILABLE","ابتدا واحدهای فعلی را حذف کنید"
"TID_BUTTON_ATTACK_MODE_FAR_SLOW","دوربُرد"
"TID_BUTTON_ATTACK_MODE_NEAR_FAST","حمله سریع"
"TID_BUTTON_ATTACK_MODE_BURST","انفجاری"
"TID_BUTTON_ATTACK_MODE_NORMAL","عادی"
"TID_RESOURCE_MAX","حداکثر:"
"TID_RESOURCE_PRODUCTION","تولید در ساعت:"
"TID_RESOURCE_IN_TREASURY","در خزانه:"
"TID_FIND_NEW_MATCH","یافتن حریف جدید"
"TID_BUTTON_FIND_NOW","الآن پیدا کنید!"
"TID_TIME_LEFT","زمان باقیمانده:"
"TID_YOUR_ATTACK","حمله شما:"
"TID_WAITING_FOR_ATTACK","حریف در حال حمله است!"
"TID_DOUBLE_CANNON_INFO","توپ دو برابر، شلیک دو برابر از هر توپ، به عبارتی دردسر چندین و چند برابر"
"TID_BUILDING_GUARD_POST","پست نگهبانی"
"TID_GUARD_POST_INFO","نیروهایت را اسکان بده تا در وقت دفاع همکاری کنند! این جماعت هیجان‌زده، دشمن را کند می‌کنند."
"TID_BUILDING_MEGA_TESLA","مگا تسلا"
"TID_MEGA_TESLA_INFO","وقتی تسلا تبدیل به مگا می‌شود، چه اتفاقی می‌افتد؟ ضربه قدرتمندش به مقاوم‌ترین واحدها هم آسیب شدیدی وارد می‌کند!"
"TID_GRASS","علف بلند"
"TID_DUEL_NOTIFICATION","نبرد سازنده در برابر <attacker> شروع شده است!"
"TID_STONE_PATH","سنگفرش"
"TID_REPAIR_BUILDING_TITLE","تعمیر ساختمان؟"
"TID_REPAIR_HERO_TITLE","بازسازی قهرمان؟"
"TID_REPAIR_BUILDING_HEADER","<name>"
"TID_BUILDING_AIR_DEFENSE_SMALL","ترقه‌ها"
"TID_AIR_DEFENSE_SMALL_INFO","با جرقه‌های این ترقه‌های کوچیک، آفات پرنده را دور نگه دارید! شبیه حشره‌کش اند، اما قشنگ‌تر."
"TID_BUILDING_ARCHER_TOWER2","برج کماندار"
"TID_ARCHER_TOWER2_INFO","هیچ دشمنی نمی‌تواند از تیرهای کماندار فرار کند. این برج دو حالت دارد: می‌توانید بین حمله دوربُرد یا سریع، انتخاب کنید!"
"TID_BUILDING_CANNON2","توپ"
"TID_CANNON2_INFO","دفاع زمینی نمادین، مقاوم و ماندگار. این سلاح کلاسیک، همیشه استاد سازنده را کمی احساساتی می‌کند."
"TID_BUILDING_TESLA_TOWER2","تسلای مخفی"
"TID_TESLA_TOWER2_INFO","قسمتی برج و قسمتی تله: کاملاً شوکه‌کننده! با قدرت علم، دشمنان هوایی و زمینی را منهدم می‌کند!"
"TID_TUTORIAL_SHIP","رئیس! حالا می‌توانیم قایق به گل نشسته در ساحلمان را، بازسازی کنیم!"
"TID_TUTORIAL_SHIP_LOAD_SHIP","رئیس، قایق و سرنشینانش آماده حرکتند!"
"TID_TUTORIAL_SHIP_READY","نگران گم شدن نباشید. راه برگشت را به خاطر می‌سپاریم!"
"TID_TUTORIAL_SHIP_ARRIVE","خشکی! این جا دیگر کجاست؟"
"TID_TUTORIAL_SHIP_ARRIVE_FIX_VILLAGE","شانس آوردیم، رئیس! می‌توانیم خرابه‌ها را به عنوان سر‌پناه بازسازی کنیم!"
"TID_TUTORIAL_VILLAGERS_MOVE_OUT","آخیش! می‌توانیم امشب اینجا بمانیم. اینجا خانه دوم ما است!"
"TID_TUTORIAL_MEET_NEW_BUILDER","خر... پف..."
"TID_TUTORIAL_MEET_NEW_BUILDER2","چی؟ مهمان داریم! هورا!"
"TID_TUTORIAL_MEET_NEW_BUILDER3","وای! شما از کجا پیدایتان شد؟"
"TID_TUTORIAL_MEET_NEW_BUILDER4","خانه‌ام! شما که... کاملاً آن را تمیز کرده‌اید! پس باید کل خانه را به شما نشان بدهم!"
"TID_TUTORIAL_LOOK_LABORATORY","من یک استاد سازنده‌ام. می‌خواهید ساختمان مورد علاقه مرا ببینید؟ این ساختمان به نیروها توانایی‌های ویژه می‌دهد!"
"TID_TUTORIAL_LOOK_LABORATORY_DO","البته برای اینکه بهترین سازنده این حوالی مشخص شود، به نیروها نیاز داریم!"
"TID_TUTORIAL_LOOK_FINISH","به‌کارگیری نیروها؟ رئیس! مهارت‌های شما اینجا به درد می‌خورد!"
"TID_TUTORIAL_ATTACK","واقعاً؟ اگر مهارتتان در جنگ به اندازه مهارتتان در تمیزکاری باشد، هم‌تیمی خوبی برایم می‌شوید!"
"TID_TUTORIAL_ATTACK_DONE","اوه نه! آن‌ها هم دارند به ما حمله می‌کنند؟!"
"TID_TUTORIAL_ATTACK_DONE2","ما مشکلات را اینطور حل می‌کنیم! بهترین حمله جایزه را می‌برد. دزدی ممنوع! این بی‌ادبی است."
"TID_TUTORIAL_ATTACK_DONE3","رئیس! حمله شما برنده شد. غرامت جایزه گرفتیم!"
"TID_TUTORIAL_WORKER_MENU","هورا! ایده‌های خیلی زیادی برای ساخت‌و‌ساز دارم. به فهرست برنامه‌هام نگاه کن!"
"TID_TUTORIAL_WORKER_MENU2","من همیشه ایده‌هایی دارم. اما تو واقعاً کاربلد هستی. پس خودت انتخاب کن!"
"TID_TUTORIAL_WORKER_MENU3","عالیست! حالا ما یک تیم هستیم! شاید حتی یک روز به خانه‌ات بیایم و ... خر... پف..."
"TID_TUTORIAL_WORKER_MENU4","رئیس، به نظر می‌رسد خیلی کار داریم. باید حواسمان به دهکده‌مان هم باشد!"
"TID_WARMACHINE","ماشین نبرد"
"TID_WAITING_FOR_DUEL_NOTIFICATION","یک بازیکن برای نبرد سازنده آماده است!"
"TID_UPGRADE_UNITS2","ارتقاء واحدها"
"TID_RESEARCH2_TITLE","ارتقا مزایا:"
"TID_RESERARCH2_SWIPE","برای مشاهده ارتقاءهای بیشتر، انگشتتان را به چپ/راست بکشید"
"TID_VILLAGE2_PVP_LOOT","پیروزی‌ها"
"TID_BUTTON_START_MATCHMAKE","الآن پیدا کنید!"
"TID_START_MATCHMAKE_HINT","هم حمله کنید و هم دفاع! برای کسب پاداش غنیمت، در نبرد سازنده پیروز شوید!"
"TID_SEARCHING","در حال جستجو..."
"TID_NEWVILLAGE_LOG_INFO","منتظر بمانید تا حریف حمله را تمام کند. بهترین حمله برنده خواهد شد!"
"TID_BALLOON_CARRIER","بالون اسکلت‌انداز"
"TID_SUPER_CHARGED_PEKKA","P.E.K.K.A قدرتی"
"TID_IRONFIST_GIANT","غول مشت‌زن"
"TID_TOXIC_MINION","مینیون بتا"
"TID_SNEAKY_ARCHER","کماندار زیرک"
"TID_RAGED_BARBARIAN","بربر عصبانی"
"TID_MOVING_CANNON","ارابه توپ"
"TID_BOMBER","بمب‌گذار"
"TID_RESEARCH2_ABILITY_TITLE","توانایی ویژه"
"TID_BUILDING_CRUSHER","سنگ‌شکن"
