"TID","FI"
"TID_FAQ_TITLE_HEROES","Mitä sankariyksiköt ovat ja miten niitä käytetään?"
"TID_FAQ_TEXT_HEROES","Kun olet päivittänyt päärakennuksesi tarpeeksi korkealle tasolle, voit värvätä sankareita kaupan valikosta. Sankarit voivat hyökätä viholliskyliin tai suojella kylääsi vihollisen hyökkäyksiltä.\nSankarit ovat kuolemattomia, mutta he voivat haavoittua ja heidät on parannettava. Voit parantaa sankarisi antamalla heidän levätä tai käyttämällä Paranna-painiketta."
"TID_HINT_WELCOME","Tapahtuipa kerran maagisen metsän aukealla..."
"TID_HINT_UPGRADE_CANNONS","Päivitä tykkisi parantaaksesi puolustustasi tunkeilijoita vastaan."
"TID_HINT_SHIELD","Pidätkö taukoa Clash of Clansin pelaamisesta? Osta kilpi suojataksesi pokaalisi!"
"TID_HINT_UPGRADE_TROOPS","Paranna armeijaasi! Rakenna laboratorio ja päivitä joukkojasi."
"TID_HINT_UPGRADE_MINES","Loppuuko kulta? Päivitä kultakaivoksesi."
"TID_HINT_BUY_TROOP_HOUSING","Päivitä leirisi luodaksesi voittamattoman armeijan!"
"TID_HINT_UPGRADE_WALLS","Päivitä muurisi hidastaaksesi vihollisen etenemistä."
"TID_HINT_CANNON_UPGRADE_NOT_FUNCTIONING","Puolustusrakennukset, kuten tykit, eivät voi ampua, kun niitä päivitetään."
"TID_HINT_RESOURCE_UPGRADE_NOT_FUNCTIONING","Kultakaivokset ja eliksiiripumput eivät tuota resursseja, kun niitä päivitetään."
"TID_HINT_RESOURCE_LOSSES","Vaikka kyläsi tuhottaisiin täysin, sinulle jää aina hieman kultaa ja eliksiiriä."
"TID_HINT_DEFENSE","Hyvän puolustuksen rakentaminen on yhtä tärkeää kuin aggressiivinen hyökkääminen."
"TID_HINT_BARBARIAN_TARGET","Barbaarit hyökkäävät aina lähimpään kohteeseen, oli se mikä rakennus tahansa."
"TID_HINT_ARCHER_TARGET","Jousiampujat hyökkäävät minkä tahansa kantamansa alueella olevan vihollisen kimppuun."
"TID_HINT_GOBLIN_TARGET","Hiidet rakastavat kultaa ja eliksiiriä. Heidän suosikkikohteitaan ovat resurssirakennukset."
"TID_HINT_GOBLIN_DAMAGE","Hiidet tekevät tuplatuhoa resurssirakennuksille."
"TID_HINT_GIANT_TARGET","Jätit hyökkäävät mieluiten puolustusrakennusten, kuten tykkien, kimppuun."
"TID_HINT_GIANT_DEPLOY","Jätit voivat ottaa vastaan paljon iskuja. Aloita hyökkäys jäteillä vetääksesi puolustuksen huomio heihin."
"TID_HINT_WALLBREAKER_TARGET","Muurinmurtajat räjäyttävät reikiä muureihin, ja avaavat tien vihollisen rakennusten luo."
"TID_HINT_WALLBREAKER_DAMAGE","Muurinmurtajat tekevät suurta tuhoa vihollisen muureille, mutta räjähtävät itsekin taivaan tuuliin pomminsa mukana."
"TID_HINT_BALLOON_TARGET","Kuumailmapallot hyökkäävät ensisijaisesti vihollisen puolustusrakennusten, kuten tykkien, kimppuun."
"TID_HINT_BALLOON_AIR","Kuumailmapallot ovat ilmayksiköitä, joten tykit ja mörssärit eivät voi ampua niitä."
"TID_HINT_WIZARD_INFO","Velhot tekevät paljon tuhoa, mutta eivät itse kestä montaa iskua."
"TID_HINT_HEALER_INFO","Parantajat parantavat maajoukkojasi, mutta eivät hyökkää vihollisen kimppuun."
"TID_HINT_HEALER_AIR","Parantaja on lentävä yksikkö. Ilmatorjunta ja jousiampujatornit voivat ampua hänet alas silmänräpäyksessä."
"TID_HINT_DRAGON_AIR","Lohikäärme on mahtava lentävä yksikkö, joka voi hyökätä sekä maa- että ilmakohteiden kimppuun."
"TID_HINT_PEKKA_INFO","Onko P.E.K.K.A ritari, samurai vai kenties robotti? Kukaan ei oikein tiedä!"
"TID_HINT_PEKKA_TRAP","P.E.K.K.A:n haarniska on niin raskas, että heittoansa ei pysty heittämään häntä."
"TID_HINT_CANNON_TARGET","Tykit voivat ampua vain maajoukkoja."
"TID_HINT_MORTAR_TARGET","Mörssärit voivat ampua vain maajoukkoja."
"TID_HINT_MORTAR_DAMAGE","Mörssärit tekevät aluetuhoa kaikille maajoukoille, jotka ovat sen osumaetäisyydellä."
"TID_HINT_ARCHER_TOWER_TARGET","Jousiampujatornit voivat ampua sekä ilma- että maayksiköitä."
"TID_HINT_AIR_DEFENSE_TARGET","Ilmatorjunta ampuu raketeillaan vain ilmajoukkoja."
"TID_HINT_WIZARD_TOWER_DAMAGE","Velhotorni tekee tuhoa kaikenlaisille kohteille, jotka ovat sen vaikutusalueella."
"TID_HINT_WIZARD_TOWER_TARGET","Velhotorni voi ampua sekä maa- että ilmajoukkoja."
"TID_HINT_TESLA_HIDDEN","Kätketty tesla pysyy piilossa, kunnes vihollinen tulee tarpeeksi lähelle."
"TID_HINT_TESLA_TARGET","Kätketty tesla voi ampua sekä maa- että ilmajoukkoja."
"TID_HINT_TRAPS_TARGET","Ansat pysyvät vihollisilta piilossa, kunnes ne tulevat tarpeeksi lähelle."
"TID_HINT_OBSTACLES","Raivaamalla esteitä, kuten kiviä ja puita, saatat löytää jalokiviä."
"TID_HINT_BATTLE_LOG","Taisteluloki sisältää tietoja kylääsi tehdyistä hyökkäyksistä."
"TID_HINT_REPLAY","Taistelulokissa voit katsella uusintoja taisteluista."
"TID_HINT_ENEMY_TOWN_HALL","Tuhoamalla vihollisen päärakennuksen saat aina yhden tähden."
"TID_HINT_CLAN_CASTLE","Klaanilinnan joukot puolustavat kylääsi."
"TID_HINT_CAMP","Leireissä olevia joukkoja käytetään ainoastaan hyökkäämiseen. Ne eivät puolusta kylääsi."
"TID_HINT_SHIELD2","Aktiivinen kilpi suojelee kylääsi hyökkäyksiltä. Jos hyökkäät, kilven aikaa lyhennetään."
"TID_HINT_SHIELD_GAIN","Saat ilmaisen kilven, jos vihollinen tuhoaa kyläsi."
"TID_HINT_SHIELD_GAIN_TIME","Saat pidempiaikaisen kilven, jos kyläsi kärsii paljon tuhoa."
"TID_HINT_SHIELD_LOSE","Jos hyökkäät vihollisen kylään, kun kylälläsi on aktiivinen kilpi, kilven aikaa lyhennetään muutamalla tunnilla."
"TID_HINT_SHIELD_SINGLE_PLAYER","Voit hyökätä hiisikylään (pelata yksinpeliä) menettämättä aktiivista kilpeäsi."
"TID_HINT_SINGLE_PLAYER_REWARDS","Tarvitsetko hieman lisää kultaa päivityksen tekemiseen? Ryöstä se hiisiltä yksinpelissä!"
"TID_HINT_TROPHY_COUNT","Voittamasi pokaalit vähennetään vihollisen pokaalimäärästä."
"TID_HINT_ACHIEVEMENT_GEMS","Suorita saavutuksia ansaitaksesi ilmaisia vihreitä jalokiviä."
"TID_HINT_UNLOCKS","Päivitä päärakennustasi avataksesi uusia rakennuksia ja uusia päivityksiä nykyisille rakennuksillesi."
"TID_HINT_REBUILD_CLANCASTLE","Kunnosta raunioitunut klaanilinna yhdistääksesi voimasi toisten pelaajien kanssa."
"TID_HINT_CLAN_REINFORCEMENTS","Klaanilinnan kautta voit pyytää vahvistusjoukkoja klaanikavereiltasi."
"TID_HINT_CLAN_TROOP_DEPLOY","Klaanilinnan vahvistusjoukot voivat puolustaa kylääsi vihollisten hyökkäyksissä. Voit myös käyttää niitä hyökätessäsi."
"TID_HINT_SPELL_LIGTHNING","Salamaloitsu vahingoittaa joukkoja ja rakennuksia pienellä alueella."
"TID_HINT_SPELL_HEALING","Parannusloitsu muodostaa renkaan, joka parantaa sisällään olevia joukkojasi."
"TID_HINT_SPELL_RAGE","Raivoloitsu muodostaa renkaan, joka tekee sen sisällä olevista joukoista vahvempia ja nopeampia."
"TID_HINT_SPELL_JUMP","Hyppyloitsu muodostaa joukoillesi väliaikaisen polun vihollisen muurien yli."
"TID_HINT_SPELL_JUMP_2","Kokeile käyttää hyppyloitsua ohjataksesi muuria vastaan taistelevat lähikontaktijoukot toisaalle."
"TID_HINT_FORUMS","Liity keskusteluun Clash of Clans -foorumilla."
"TID_HINT_LABORATORY","Tee joukoistasi parempia ja vahvempia päivittämällä niitä laboratoriossa."
"TID_HINT_DPS","Armeijan ja puolustuksen tiedoissa näkyvien tuhotilastojen yksikkö on tuho sekuntia kohden."
"TID_HINT_LABORATORY_UPGRADES","Et voi perua laboratoriossa jo aloitettuja päivityksiä, joten suunnittele pelisi tarkasti!"
"TID_HINT_USABLE_WHILE_UPGRADING","Leirit, klaanilinna ja varastot toimivat, vaikka ne olisivat päivitettävänä."
"TID_HINT_END_BATTLE","Voit keskeyttää taistelun ja silti olla voitokas, jos olet voittanut taistelussa vähintään yhden tähden."
"TID_HINT_CHAT_REPORT","Jos näet chatissa loukkaavan viestin, napauta sitä ja valitse \qIlmianna\q ilmiantaaksesi kyseisen pelaajan."
"TID_HINT_CHAT_REPORT_LIMIT","Pysy kohtuuden rajoissa ja käytä chatin ilmiantopainiketta vain tarvittaessa."
"TID_HINT_REVENGE_OF_REVENGE","Kostotoiminto ei ole saatavilla pelaajille, joita vastaan sinä hyökkäsit ensin."
"TID_HINT_BATTLE_ENDS","Taistelu päättyy, kun olet käyttänyt kaikki joukkosi, klaanin vahvistusjoukot ja tuhoa tekevät loitsut."
"TID_HINT_XBOW_LVL_8","Päivittämällä päärakennuksesi saat mahdollisuuden ostaa uuden puolustusaseen, varsijousen."
"TID_HINT_XBOW_TARGETS_1","Voit asettaa varsijousen hyökkäämään lyhyellä kantamalla sekä maa- että ilmajoukkoja vastaan."
"TID_HINT_XBOW_TARGETS_2","Voit asettaa varsijousen hyökkäämään pitkällä kantamalla vain maajoukkoja vastaan."
"TID_HINT_XBOW_AMMO","Varsijousi käyttää ammuksenaan eliksiiriä. Muista ladata se jokaisen vihollishyökkäyksen jälkeen!"
"TID_HINT_BOOST_RESOURCES","Voit tehostaa kultakaivosten ja eliksiiripumppujen tuotantoa jalokivillä, kun olet päivittänyt ne tasolle 5."
"TID_HINT_BOOST_SPELLS","Voit tehostaa loitsukattilan tuotantoa jalokivillä."
"TID_HINT_BOOST_TRAINING","Voit tehosta parakkien koulutusnopeutta jalokivillä."
"TID_HINT_USE_SPELLS","Loitsuilla voi olla suuri vaikutus siihen, miten taistelu päättyy. Ota niistä kaikki hyöty irti!"
"TID_HINT_DARK_ELIXIR_USAGE","Voit käyttää mustaa eliksiiriä kutsuaksesi sotaan valtakunnan mahtavimmat sankarit!"
"TID_HINT_DARK_ELIXIR_BUILDINGS","Mustaa eliksiiriä voi pumpata ja varastoida sekä käyttää mustan eliksiirin joukkoihin päärakennuksen tasolta 7 lähtien."
"TID_HINT_DARK_ELIXIR_LOOT","Voit viedä mustaa eliksiiriä vihollisten kylistä heti, kun olet rakentanut sille säiliön."
"TID_HINT HEROES_USE","Sankarisi voi hyökätä viholliskyliin tai suojella joukkojasi vihollisen hyökätessä kylääsi."
"TID_HINT HEROES_DIE","Sankarit ovat kuolemattomia. Ne voivat kuitenkin haavoittua, ja ne on parannettava ennen uutta taistelua."
"TID_HINT HEROES_REGENERATE","Paranna sankarisi antamalla hänen levätä tai käyttämällä Paranna-painiketta."
"TID_HINT HERO_BARBARIAN_KING","Barbaarikuningas on sankareista mahtavin. Hän on juonut niin paljon mustaa eliksiiriä, että hän on kasvanut jopa jättejä suuremmaksi."
"TID_HINT HERO_ARCHER_QUEEN","Jousikuningatar on haukkasilmäinen soturi, jonka aseena on muokattu pienoisvarsijousi."
"TID_BUTTON_FBPAGE","Tuoreimmat päivitykset"
"TID_BUILDING_SPELL_FORGE","Loitsukattila"
"TID_SPELL_FORGE_INFO","Loitsukattilaa hämmentävät veteraanivelhot, jotka sopivat paremmin loihtimaan maagisia aseita kuin taistelemaan etulinjassa. Käytä heidän tehokkaita loitsujaan hyödyksesi taistelutantereella."
"TID_OTHER_SPELL_LEFT","Valitse jokin toinen loitsu."
"TID_ALL_SPELLS_USED","Ei yhtään loitsua"
"TID_TRAIN_SPELL_STORAGE_FULL","Loitsuvarasto on täynnä!"
"TID_TRAIN_SPELL_STORAGE_FULL_INFO","Päivitä loitsukattila lisätäksesi loitsukapasiteettia."
"TID_SPELLS_INSIDE","Loitsuvaraston kapasiteetista käytetty: <number>/<number2>"
"TID_SPELL_CAPACITY_AFTER_TRAIN","Loitsuvaraston kapasiteetti valmistuksen jälkeen:"
"TID_SPELL_STORAGE_CAPACITY","Loitsuvaraston kapasiteetti: <number>"
"TID_SPELL_DAMAGE","Kokonaistuho: <number>"
"TID_INFO_FORGING_TIME","Valmistusaika:"
"TID_FORGE_COST","Kulut: <number> x <resource>"
"TID_SPELL_SPEED_UP_SUCCESS","Loitsu valmistettu!"
"TID_NOT_ENOUGH_SPELL_STORAGE","Loitsuvarastosi on täynnä!"
"TID_LIGHTNING_STORM","Salamaloitsu"
"TID_HEALING_WAVE","Parannusloitsu"
"TID_HASTE","Raivoloitsu"
"TID_HASTE_DAMAGE","Tuho kasvaa: <number> %"
"TID_REQUIRED_SPELL_FORGE_LEVEL","Vaatii tason <number> loitsukattilan"
"TID_UNLOCK_SPELL_FORGE_SPELL","<name> avautuu"
"TID_POPUP_UPGRADE_ALREADY_IN_PROGRESS","Päivitä tämä prosessi"
"TID_TIP_SPELL_FORGE","Valmista tehokkaita loitsuja, joita voit käyttää hyökkäyksissä."
"TID_POPUP_FORGE_TITLE","Valmista loitsuja <limit>"
"TID_CANCLE_TRAINING_INFO","Huomaathan, että jonosta poistettujen joukkojen kuluista saa takaisin vain <number> %."
"TID_CANCLE_SPELL_INFO","Huomaathan, että jonosta poistettujen loitsujen kuluista saa takaisin vain <number> %."
"TID_HASTE_SPEED","Nopeudenlisäys: <number>"
"TID_INFO_EFFECT_TYPE","Vaikutustyyppi:"
"TID_TOTAL_HEAL","Kokonaisparannus: <number>"
"TID_REPLAY_BUTTON_FAIL","Uusinta ei ole enää saatavilla."
"TID_ACHIEVEMENT_CHALLENGE_BUTTON","Haasta kaverisi"
"TID_NAME_INSTRUCTIONS","Valitse haluamasi nimi. Tämä nimi näkyy muille pelaajille. Et voi vaihtaa sitä myöhemmin!"
"TID_BUTTON_REPLAY","Katsele"
"TID_BUTTON_WATCH","Katsele"
"TID_REPLAY_TIME","Uusinta päättyy:"
"TID_GC_CHALLENGE","Haasta kaverisi"
"TID_GC_NOCHALLENGE","Avoimia saavutuksia"
"TID_POPUP_HEADER_ABOUT_TO_SPEED_UP","Viimeistele nyt!"
"TID_POPUP_SPEED_UP_UPGRADE","Haluatko viimeistellä kohteen <item> päivityksen <number> jalokivellä?"
"TID_POPUP_SPEED_UP_CONSTRUCTION","Haluatko viimeistellä kohteen <item> rakentamisen <number> jalokivellä?"
"TID_POPUP_SPEED_UP_UPGRADE_SLOWDOWN","Kohteen <item> päivittäminen hidastaa armeijan koulutusta. Haluatko viimeistellä sen nyt <number> jalokivellä?"
"TID_POPUP_SPEED_UP_CONSTRUCTION_SLOWDOWN","Kohteen <item> rakentaminen hidastaa armeijan koulutusta. Haluatko viimeistellä sen nyt <number> jalokivellä?"
"TID_BUTTON_CREATE_SPELL","Valmista"
"TID_REVENGE_NOT_AVAILABLE","Et voi kostaa."
"TID_REPLAY_NOT_AVAILABLE","Uusinta ei ole saatavilla."
"TID_RESTART_REPLAY_BUTTON","Aloita uudelleen"
"TID_REPLAY_REPLAY","Katsele"
"TID_REPLAY_SPEED","Katselunopeus:"
"TID_REPLAY_PLAY_AGAIN","Toista uudelleen"
"TID_UPGRADE_FINISH_NOW","Viimeistele päivitys:"
"TID_FINISH_SPELL","Viimeistele nyt:"
"TID_TARGET_ALREADY_IN_ALLIANCE","Pelaaja on jo jonkin klaanin jäsen."
"TID_LIGHTNING_STORM_INFO","Kärvennä vihollisesi salamaniskuilla!\n\nVahingoita loitsulla viholliskylän rakennuksia ja joukkoja pienellä alueella."
"TID_HEALING_WAVE_INFO","Paranna joukkosi pitääksesi heidät mukana taistelussa!\n\nMuodosta tällä loitsulla rengas, joka parantaa sisällään olevat joukkosi."
"TID_HASTE_INFO","Raivostuta joukkosi tehdäksesi niistä suurempia, nopeampia ja vahvempia!\n\nLoihdi joukkojesi ympärille raivorengas, joka antaa niille lisää nopeutta ja hyökkäysvoimaa."
"TID_COMING_SOON","Tulossa pian..."
"TID_UNIT_STORAGE_CAPACITY_ALL","Joukkokapasiteetti: <number>"
"TID_TOTAL_CAPACITY_AFTER_TRAIN","Joukkokapasiteetti koulutuksen jälkeen:"
"TID_BUILDING_TEXT_RESEARCH","Päivitä"
"TID_IF_LOST","Tappio:"
"TID_POPUP_HEADER_ABOUT_TO_CANCEL_SPELL","Oletko varma?"
"TID_POPUP_ABOUT_TO_CANCEL_SPELL","Jonosta poistettujen loitsujen kuluista saa takaisin vain <number> %."
"TID_ALLIANCE_REJECT_DEFAULT_MESSAGE","Valitettavasti päätimme olla ottamatta sinua klaanin jäseneksi."
"TID_ALLIANCE_REJECT_MESSAGE_TITLE","Hylkää: <name>"
"TID_KICK_DEFAULT_MESSAGE","Valitettavasti päätimme poistaa sinut klaanista."
"TID_KICK_MESSAGE_TITLE","Erota: <name>?"
"TID_KICKED_FROM_ALLIANCE","Sinut on erotettu klaanista: <msg>"
"TID_CLAN_CASTLE_TROOPS_INSIDE","Vahvistusjoukot:"
"TID_ALLIANCE_CREATE_TROPHY_COUNT","Liittymiseen vaaditut pokaalit:"
"TID_ALLIANCE_SCORE_LIMIT_NONE","0"
"TID_CLAN_MINIMUM_TROPHYS","Vaaditut pokaalit:"
"TID_STREAM_EVENT_ACCEPTED","hyväksyttiin klaaniin pelaajan <name> toimesta."
"TID_STREAM_EVENT_DEMOTED","alennettiin pelaajan <name> toimesta."
"TID_STREAM_EVENT_PROMOTED","ylennettiin pelaajan <name> toimesta."
"TID_STREAM_EVENT_JOINED","liittyi klaaniin."
"TID_STREAM_EVENT_KICKED","erotettiin klaanista pelaajan <name> toimesta."
"TID_STREAM_EVENT_LEFT","poistui klaanista."
"TID_FEEDBACK_BUTTON1","Osto-ongelma"
"TID_FEEDBACK_BUTTON2","Yhteysvirhe"
"TID_FEEDBACK_BUTTON3","Muu virhe"
"TID_FEEDBACK_BUTTON4","Palaute"
"TID_FEEDBACK_MAIL_TEXT","\n\n\n---------DO NOT DELETE!---------\n<tags>\n------------------------------\n"
"TID_CLAN_JOIN_FAIL_CLOSED","Klaani on suljettu!"
"TID_CLAN_JOIN_FAIL_ALREADY_SENT","Odota ennen uuden liittymispyynnön lähettämistä."
"TID_CLAN_JOIN_FAIL_NO_SCORE","Sinulla ei ole tarpeeksi pokaaleita liittyäksesi tähän klaaniin."
"TID_CLAN_JOIN_FAIL_ALREADY_IN_CLAN","Olet jo jonkin klaanin jäsen."
"TID_CLAN_JOIN_FAIL_FULL","Klaani on täynnä!"
"TID_CLAN_JOIN_FAIL_GENERIC","Klaaniin liittyminen epäonnistui."
"TID_CLAN_JOIN_FAIL_TOO_MANY_PENDING_REQUESTS","Klaaniin liittyminen epäonnistui tällä kertaa. Yritä myöhemmin uudelleen."
"TID_REPORT_PLAYER_BUTTON","Ilmianna"
"TID_PLAYER_REPORTED_SUCCESSFULLY","Pelaaja ilmiannettu!"
"TID_PLAYER_ALREADY_REPORTED","Olet jo ilmiantanut tämän pelaajan!"
"TID_TOO_MANY_REPORTS_SENT","Päivittäinen ilmiantorajasi on tullut täyteen."
"TID_CONFIRM_MERGE","Oletko varma?"
"TID_CONFIRM_ARE_YOU_SURE","Haluatko varmasti poistaa nykyisen kyläsi ja korvata sen tällä:"
"TID_CONFIRM_CONFIRM","Kirjoita \q<confirmword>\q, ja napauta OK-painiketta suorittaaksesi toiminnon."
"TID_BUTTON_CONFIRM","OK"
"TID_CHAT_UNAVAILABLE","Chat ei ole käytettävissä!"
"TID_CHAT_BANNED_REASON","Muut pelaajat ovat ilmiantaneet sinut loukkaavien kommenttien takia."
"TID_CHAT_BANNED_PERIOD_OF","Sinut on mykistetty yleisessä chatissa tästä syystä:"
"TID_CHAT_INFO","Jos haluat ilmoittaa sopimattomasta käytöksestä, napauta loukkaavaa viestiä ja valitse \qIlmianna\q."
"TID_CHAT_WELCOME","Tervetuloa yleiseen chattiin.\n\nOlethan huomaavainen ja kohtelias muita pelaajia kohtaan. Loukkaavaa käytöstä ei hyväksytä.\n\nÄlä jaa chatissa mitään henkilökohtaisia tietojasi (sähköpostia, puhelinnumeroa, osoitetta, salasanoja)."
"TID_CONFIRM_WORD","VAHVISTA"
"TID_CHAT_FAIL_BANNED","Sinut on mykistetty väliaikaisesti yleisessä chatissa."
"TID_CHAT_JUST_BANNED","Toiset pelaajat ovat ilmiantaneet sopimattomat kommenttisi. Sinut on siksi mykistetty yleisessä chatissa."
"TID_ATTACK_COOLDOWN_AFTER_MAINTENANCE","Hyökkääminen toisia pelaajia vastaan on väliaikaisesti estetty."
"TID_BUILDING_BOW","Varsijousi"
"TID_BOW_INFO","Varsijousi ampuu mystisiä nuolia, joilla on pelottavia voimia. Lataa varsijousi eliksiirillä, niin se toimii automaagisesti! Voit asettaa sen hyökkäämään maajoukkoja vastaan pitkällä kantamalla tai kaikkia joukkoja vastaan lyhyemmällä kantamalla."
"TID_BUTTON_LOAD","Lataa"
"TID_BUTTON_ATTACK_MODE_AIR","Ilma"
"TID_BUTTON_ATTACK_MODE_GROUND","Maa"
"TID_BUTTON_ATTACK_MODE_AIR_AND_GROUND","Ilma ja maa"
"TID_AMMO_ALREADY_FULL","Varsijousi on ladattu!"
"TID_ALLIANCE_BUTTON_SEARCH","Hae"
"TID_ALLIANCE_SEARCH","Hae klaaneja:"
"TID_ALLIANCE_SEARCH_HINT","Kirjoita klaanin nimi tai tunniste."
"TID_ALLIANCE_TAB_NAME","Hae klaaneja"
"TID_BUILDING_TEXT_LOW_AMMO","Ammukset vähissä"
"TID_BUILDING_TEXT_NO_AMMO","Tyhjä"
"TID_JUMP_SPELL","Hyppyloitsu"
"TID_AMMO_FILL_CONFIRMATION","Varsijousi on nyt ladattu!"
"TID_CLAN_SEARCH_RESULTS","Hakutulokset nimelle \q<name>\q"
"TID_CLAN_SEARCH_NO_RESULTS","Ei hakutuloksia"
"TID_TRAP_HALLOWEENBOMB","Kurpitsapommi"
"TID_TRAP_HALLOWEENBOMB_INFO","Böö! Tämä kauhistuttava pommi on saatavilla vain rajoitetun ajan."
"TID_BUTTON_RETRY","Yritä uudelleen"
"TID_SEARCH_STATUS","Etsitään vastustajaa..."
"TID_ATTACK_FAIL_GENERIC","Hyökkäys epäonnistui! Yritä myöhemmin uudelleen."
"TID_BUTTON_BOOST","Tehosta"
"TID_POPUP_HEADER_ABOUT_TO_BOOST","Tehosta tuotantoa!"
"TID_POPUP_BOOST_GOLD_MINE","Tuplaa kullan tuotanto <time> ajaksi?"
"TID_POPUP_BOOST_ELIXIR_COLLECTOR","Tuplaa eliksiirin tuotanto <time> ajaksi?"
"TID_POPUP_BOOST_BARRACKS","Tehosta joukkojen koulutusnopeutta <multiplier>-kertaiseksi <time> ajaksi?"
"TID_POPUP_BOOST_SPELL_FACTORY","Tehosta loitsujen valmistusnopeutta <multiplier>-kertaiseksi <time> ajaksi?"
"TID_ALREADY_BOOSTED","Tätä rakennusta tehostetaan jo!"
"TID_BOOST_LEFT","Tehostusta:"
"TID_BUILDING_TEXT_CREATE_SPELL","Valmista"
"TID_DECORATION_PEKKA_STATUE","P.E.K.K.A-patsas"
"TID_CANCEL_BOOST_CONFIRMATION_TITLE","Lopeta tehostus?"
"TID_CANCEL_BOOST_CONFIRMATION","Rakennuksen päivittäminen päättää tehostuksen. Oletko varma?"
"TID_XMAS_SPELL","Joulupukin yllätys"
"TID_XMAS_SPELL_INFO","Pyydä pukilta maailman parasta lahjaa: vihollistesi totaalista tuhoa!"
"TID_OBSTACLE_XMASTREE","Joulukuusi"
"TID_NEXT_REQUEST","Seuraava pyyntö:"
"TID_CASTLE_FULL","Linna on täynnä."
"TID_BARBARIAN_KING","Barbaarikuningas"
"TID_BARBARIAN_KING_INFO","Barbaarikuningas on valtakunnan kovin ja häijyin barbaari, jonka ehtymätön mustan eliksiirin himo on tehnyt hänestä jättiläismäisen soturin. Hän hyökkää vihollisten kyliin tai suojelee kylääsi."
"TID_HERO_INSTRUCTIONS","Tällä viehkeällä saalistajalla on uskomattomat tuhovoimat, vaikka hän ei ole kovin kestävä taistelija. Puolustaessaan hän ampuu alueelleen erehtyviä vihollisia, ja hyökätessään hän levittää kauhua sekä saa aikaan karmivaa tuhoa, kun hänen kuninkaallinen viittansa on avattu."
"TID_ARCHER_QUEEN","Jousikuningatar"
"TID_ARCHER_QUEEN_INFO","Jousikuningatar on haukkasilmäinen soturi. Hänellä on aseenaan muokattu pienoisvarsijousi, jonka hallitsemisesta monet miehet voivat vain haaveilla. Hän voi hyökätä viholliskyliin tai suojella kylääsi."
"TID_DARK_ELIXIR","mustaa eliksiiriä"
"TID_RESOURCE_CAP_FULL_DARK_ELIXIR","Rakenna lisää tai päivitä nykyisiä mustan eliksiirin säiliöitä!"
"TID_BUILDING_DARK_ELIXIR_PUMP","Mustan eliksiirin pora"
"TID_BUTTON_HERO_PATROL","Suoja"
"TID_BUTTON_HERO_SLEEP","Lepää"
"TID_DARK_ELIXIR_PUMP_INFO","Alkemistimme ovat vihdoin löytäneet keinon uuttaa puhdasta mustaa eliksiiriä, tuon maagisen aineen harvinaisinta muotoa."
"TID_BUILDING_DARK_ELIXIR_STORAGE","Mustan eliksiirin säiliö"
"TID_DARK_ELIXIR_STORAGE_INFO","Mustan eliksiirin voimia ei voitu sulkea tavallisen muotoiseen eliksiirisäiliöön, sillä se on kolme kertaa vahvempaa. Jouduimme siis tekemään sille kuutionmuotoisen säiliön."
"TID_DONATED_TO_CLAN","Lahjoitetut joukot:"
"TID_DARK_ELIXIR_SHOP_PACK","<number> mustaa eliksiiriä"
"TID_RESOURCE_PACK_DARK_ELIXIR_FULL","Täytä mustan eliksiirin säiliöt"
"TID_RESOURCE_PACK_DARK_ELIXIR_10","Täytä 10 % varastoista"
"TID_RESOURCE_PACK_DARK_ELIXIR_50","Täytä varastot puolilleen"
"TID_XBOW_LOADING_COST","Latauskulut: <number> <resource>"
"TID_SPEED_UP_HERO_HEALTH_HEADER","Paranna nyt!"
"TID_SPEED_UP_HERO_HEALTH_TEXT","Haluatko parantaa täyteen elinvoimaansa tämän: <item>?"
"TID_BUTTON_ENERGIZE","Paranna"
"TID_POPUP_BOOST_DARK_ELIXIR_COLLECTOR","Tuplaa mustan eliksiirin tuotanto <time> ajaksi?"
"TID_FULLY_LOADED","Täynnä"
"TID_SHIELD_SCORE_LIMIT","Ei saatavilla, jos pokaaleita on enemmän kuin <number>."
"TID_SHOP_NEW_ITEM","Uusi"
"TID_BUTTON_LOCAL_HIGHSCORE","Paikallinen"
"TID_BUTTON_GLOBAL_HIGHSCORE","Yleinen"
"TID_TRAP_AIR","Ilmapommi"
"TID_TRAP_AIR_INFO","Uusinta uutta lentävien tuholaisten torjunnassa: Tämä ansa ampuu useita ilmayksiköitä pienellä alueella."
"TID_TRAP_AIR_MEGA","Hakeutuva ilmapommi"
"TID_TRAP_AIR_MEGA_INFO","Onko se lintu vai lentokone? Eipä sen niin väliä, sillä hakeutuva ilmapommi räjäyttää vihollisen taivaan tuuliin. Tämä ansa tekee uskomatonta tuhoa yhdelle ilmayksikölle."
"TID_LOCAL_NOTIFICATION_HERO_HAS_FULL_HEALTH","<name> on valmiina uuteen taistoon!"
"TID_INFO_POP_UP_IAP_NOTE_TITLE","Pelinsisäiset ostot"
"TID_INFO_POP_UP_IAP_NOTE","Clash of Clansia voi pelata ilmaiseksi, mutta voit myös nopeuttaa etenemistäsi pelinsisäisten ostojen avulla. Halutessasi voit estää ostot laitteesi asetuksissa. Sinun täytyy olla yli 13-vuotias, jotta voit pelata."
