"TID","NO"
"TID_CHAT_JUST_BANNED","Andre spillere har rapportert deg på grunn av upassende kommentarer. Du kan ikke delta i den globale chatten inntil videre."
"TID_ATTACK_COOLDOWN_AFTER_MAINTENANCE","Angrep mot andre spillere er midlertidig slått av!"
"TID_BUILDING_BOW","X-bue"
"TID_BOW_INFO","X-buen skyter mystiske stråler med skrekkinngytende krefter. Lad X-buen med eliksir, så aktiveres den automatisk. Du kan angripe bakkeenheter på lang avstand, og alle mål på kortere hold."
"TID_BUTTON_LOAD","Last"
"TID_BUTTON_ATTACK_MODE_AIR","Luft"
"TID_BUTTON_ATTACK_MODE_GROUND","Bakke"
"TID_BUTTON_ATTACK_MODE_AIR_AND_GROUND","Luft og bakke"
"TID_AMMO_ALREADY_FULL","X-buen er fulladet!"
"TID_ALLIANCE_BUTTON_SEARCH","Søk"
"TID_ALLIANCE_SEARCH","Søk etter klaner:"
"TID_ALLIANCE_SEARCH_HINT","Skriv inn klannavn eller klantagg"
"TID_ALLIANCE_TAB_NAME","Søk etter klaner"
"TID_BUILDING_TEXT_LOW_AMMO","Lite ammo"
"TID_BUILDING_TEXT_NO_AMMO","Tom"
"TID_JUMP_SPELL","Hoppeformel"
"TID_AMMO_FILL_CONFIRMATION","X-buen er ladet!"
"TID_CLAN_SEARCH_RESULTS","Viser søkeresultater for \q<name>\q"
"TID_CLAN_SEARCH_NO_RESULTS","Ingen søkeresultater"
"TID_TRAP_HALLOWEENBOMB","Gresskarbombe"
"TID_TRAP_HALLOWEENBOMB_INFO","Bø! Denne skumle bomben er kun tilgjengelig i en begrenset periode."
"TID_BUTTON_RETRY","Prøv igjen"
"TID_SEARCH_STATUS","Søker etter motstandere ..."
"TID_ATTACK_FAIL_GENERIC","Kan ikke angripe landsbyen! Prøv igjen senere."
"TID_BUTTON_BOOST","Forsterk"
"TID_POPUP_HEADER_ABOUT_TO_BOOST","Øk produksjonen!"
"TID_POPUP_BOOST_GOLD_MINE","Doble gullproduksjonen i <time>?"
"TID_POPUP_BOOST_ELIXIR_COLLECTOR","Doble eliksirproduksjonen i <time>?"
"TID_POPUP_BOOST_BARRACKS","Vil du øke hastigheten på troppetreningen med <multiplier>x i <time>?"
"TID_POPUP_BOOST_SPELL_FACTORY","Vil du øke hastigheten på formelbryggingen med <multiplier>x i <time>?"
"TID_ALREADY_BOOSTED","Denne bygningen er allerede forsterket!"
"TID_BOOST_LEFT","Forsterkning igjen:"
"TID_BUILDING_TEXT_CREATE_SPELL","Brygg"
"TID_DECORATION_PEKKA_STATUE","Statue av P.E.K.K.A"
"TID_CANCEL_BOOST_CONFIRMATION_TITLE","Avbryte forsterkning?"
"TID_CANCEL_BOOST_CONFIRMATION","Hvis du oppgraderer bygningen, avbrytes forsterkningen. Er du sikker?"
"TID_XMAS_SPELL","Nissens overraskelse"
"TID_XMAS_SPELL_INFO","Ønsk deg noe fint fra nissen! Hva med et regn av ødeleggelse som skyller over fiendene?"
"TID_OBSTACLE_XMASTREE","Juletre"
"TID_NEXT_REQUEST","Neste forespørsel:"
"TID_CASTLE_FULL","Slott fullt"
"TID_BARBARIAN_KING","Barbarkonge"
"TID_BARBARIAN_KING_INFO","Barbarkongen er den sterkeste av alle barbarer i kongeriket, og appetitten hans på mørk eliksir har gjort ham stor som en kjempe. Han kan angripe fiendelandsbyer eller vokte landsbyen din."
"TID_HERO_INSTRUCTIONS","Denne elegante jegerkvinnen kan ødelegge alt i nærheten, men hun har bare moderat med helse. Hun angriper mål fra avstand og i skjul når hun er i forsvar, og kan snike seg frem og påføre grufulle skader i angrep når den kongelige kappen er låst opp!"
"TID_ARCHER_QUEEN","Bueskytterdronning"
"TID_ARCHER_QUEEN_INFO","Bueskytterdronningen er en kriger med falkeblikk. Yndlingsvåpenet hennes er en modifisert X-bue som få andre har makt til å bruke. Hun kan angripe fiendelandsbyer eller vokte landsbyen din."
"TID_DARK_ELIXIR","Mørk eliksir"
"TID_RESOURCE_CAP_FULL_DARK_ELIXIR","Bygg flere, eller oppgrader eksisterende lagre for mørk eliksir!"
"TID_BUILDING_DARK_ELIXIR_PUMP","Drill for mørk eliksir"
"TID_BUTTON_HERO_PATROL","Hold vakt"
"TID_BUTTON_HERO_SLEEP","Sov"
"TID_DARK_ELIXIR_PUMP_INFO","Alkymister har klart å frembringe ren, mørk eliksir, den sjeldneste formen av det magiske stoffet."
"TID_BUILDING_DARK_ELIXIR_STORAGE","Lager for mørk eliksir"
"TID_DARK_ELIXIR_STORAGE_INFO","Mørk eliksir er så kraftig at den ikke kan oppbevares i en vanlig eliksirtank. Fordi den er tre ganger så sterk som vanlig eliksir, måtte vi finne opp en kubeformet beholder!"
"TID_DONATED_TO_CLAN","Soldater gitt bort:"
"TID_DARK_ELIXIR_SHOP_PACK","<number> mørk eliksir"
"TID_RESOURCE_PACK_DARK_ELIXIR_FULL","Fyll lagre med mørk eliksir"
"TID_RESOURCE_PACK_DARK_ELIXIR_10","Fyll lagrene 10 %"
"TID_RESOURCE_PACK_DARK_ELIXIR_50","Fyll lagrene halvfulle"
"TID_XBOW_LOADING_COST","Pris for lading: <number> <resource>"
"TID_SPEED_UP_HERO_HEALTH_HEADER","Helbred nå!"
"TID_SPEED_UP_HERO_HEALTH_TEXT","Vil du helbrede <item> til full helse?"
"TID_BUTTON_ENERGIZE","Helbred"
"TID_POPUP_BOOST_DARK_ELIXIR_COLLECTOR","Doble produksjonen av mørk eliksir i <time>?"
"TID_FULLY_LOADED","Fullladet"
"TID_SHIELD_SCORE_LIMIT","Ikke tilgjengelig ved flere enn <number> trofeer"
"TID_SHOP_NEW_ITEM","Nytt"
"TID_BUTTON_LOCAL_HIGHSCORE","Lokal"
"TID_BUTTON_GLOBAL_HIGHSCORE","Global"
"TID_TRAP_AIR","Luftbombe"
"TID_TRAP_AIR_INFO","Det siste nye innen flygende skadedyrkontroll. Denne fellen kan sprenge flere luftenheter på et lite område."
"TID_TRAP_AIR_MEGA","Målsøkende luftmine"
"TID_TRAP_AIR_MEGA_INFO","Er det en fugl? Er det et fly? Uansett hva det er, så vil den målsøkende luftminen sprenge det i fillebiter. Denne fellen påfører en enkelt luftenhet store skader."
"TID_LOCAL_NOTIFICATION_HERO_HAS_FULL_HEALTH","<name> er klar til en ny kamp!"
"TID_INFO_POP_UP_IAP_NOTE_TITLE","Kjøp i app"
"TID_INFO_POP_UP_IAP_NOTE","Clash of Clans er gratis å spille, men du kan oppnå raskere fremgang ved å kjøpe ting i appen. Du kan skru av mulighet for kjøp i apper i enhetens innstillinger. Du må dessuten være 13+ år for å spille."
"TID_INFO_POP_UP_IAP_NOTE_ANDROID","Clash of Clans er gratis å spille, men du kan øke farten på fremgangen din ved å foreta kjøp i appen. Du kan passordbeskytte kjøp i apper i innstillingene til Google Play Store. Du må dessuten være 13+ år for å spille."
"TID_INFO_POP_UP_IAP_NOTE_KUNLUN","Det er gratis å spille Clash of Clans, men du kan få raskere fremgang ved å foreta kjøp i appen."
"TID_INFO_POP_UP_IAP_NOTE_BUTTON","OK"
"TID_NEW_CLAN_MEMBER","Nytt"
"TID_UNABLE_TO_LOCATE_COUNTRY_FOR_SCORES","Finner ikke lokale ledertavler for ditt sted."
"TID_LOCAL_NOTIFICATION_YOUR_ARMY_IS_READY","Soldatene dine er klare til kamp!"
"TID_DARK_ELIXIR_BARRACK","Mørke brakker"
"TID_DARK_ELIXIR_BARRACK_INFO","De mørke brakkene vil gi deg tilgang til skapninger som er skapt av mørk eliksir. Oppgrader brakkene for å låse opp flere soldater med unike kampferdigheter."
"TID_WARRIORGIRL","Valkyrie"
"TID_BOARRIDER","Villsvinrytter"
"TID_GARGOYLE","Lakei"
"TID_GOLEM","Golem"
"TID_LABORATORY_UPGRADING","Oppgraderer:"
"TID_LABORATORY_HINT","Velg hva du vil oppgradere"
"TID_LABORATORY_HINT2","Sveip på skjermen for å se hele listen med oppgraderinger"
"TID_POPUP_UPGRADE_NOT_AVAILABLE_TITLE","<character> nivå <number>"
"TID_BUTTON_SELECT_MORE","Velg rad"
"TID_SINGLE_PLAYER_AVAILABLE_LOOT","Tilgjengelig utbytte:"
"TID_CHARACTER_INFO_BARBARIAN","Denne fryktløse krigeren setter sin lit til de svulmende musklene og den stilige barten når han skal utradere fiendtlige landsbyer. Slipp løs en horde av barbarer, og se hvordan kaoset bryter ut!"
"TID_CHARACTER_INFO_ARCHER","Disse skarpskytterne liker å holde avstand både på slagmarken og i livet ellers. Ingenting gjør dem lykkeligere enn å eliminere et mål helt på egen hånd."
"TID_CHARACTER_INFO_GOBLIN","Disse små, plagsomme skapningene har bare øye for én ting: RIKDOMMER! De er kjappere enn en sprettfelle, og de har en umettelig hunger etter ressurser."
"TID_CHARACTER_INFO_GIANT","Disse digre karene virker kanskje rolige, men viser du dem et gevær eller en kanon, vil du få se den ville siden deres! De er langsomme, men hardføre, og egner seg best til å tiltrekke seg skudd."
"TID_CHARACTER_INFO_WALLBREAKER","Ingenting varmer en mubrekkers kalde, vandøde hjerte mer enn å sprenge murer. En styrke med disse vil rydde vei for bakkestyrkene dine, og de gjør det med et SMELL!"
"TID_CHARACTER_INFO_BALLOON","Disse høythengende skjelettene elsker å ødelegge forsvarsverker. Utplasser dem for å utradere plagsomme mortere og kanoner!"
"TID_CHARACTER_INFO_WIZARD","Trollmannen er en fryktinngytende tilstedeværelse på slagmarken. Bruk flere trollmenn samtidig for å bruke konsentrerte, ødeleggende sprengladninger mot alle motstandere, både på bakken og i luften!"
"TID_CHARACTER_INFO_HEALER","Denne majestetiske skapningen lever og ånder for å beskytte og hjelpe medsoldatene sine. En hær kan dra stor nytte av de helbredende egenskapene hennes, men sørg for å beskytte henne mot luftangrep!"
"TID_CHARACTER_INFO_DRAGON","Dragenes enorme styrke er viden kjent. Den skjelldekte, flygende skapningen kjenner ingen nåde, og ingenting vil unnslippe ildspruten dens."
"TID_CHARACTER_INFO_PEKKA","Er P.E.K.K.A en ridder? En samurai? En robot? Ingen vet! P.E.K.K.A.s rustning tåler selv de kraftigste eksplosjoner."
"TID_CHARACTER_INFO_MINION","Denne flygende svøpen har sitt opphav i mørk eliksir. Lakeiene oppdages ikke av målsøkende luftminer, men de er sårbare i vår verden."
"TID_CHARACTER_INFO_RIDER","Villsvinrytterne har temmet det hoppende villsvinet, og de viser ingen nåde overfor dem som gjemmer seg bak ynkelige murer! Disse krigerne sluker mørk eliksir og har aldri kjent smaken av nederlag!"
"TID_CHARACTER_INFO_VALKYRIE","Denne heltemodige krigeren er en mester med tohåndsøks. Hun løper mellom nærliggende bygninger og knuser flere tropper eller bygninger samtidig med virvelvindslaget!"
"TID_CHARACTER_INFO_GOLEM","Den mektige Golem elsker å ta imot skade! Når den ødelegges, eksploderer den og splittes i to. Golemittene som oppstår, har en femdel av Golems styrke og treffpoeng."
"TID_BUTTON_CLAN_MAIL_SEND","Send melding"
"TID_BUTTON_CLAN_MAIL_NEXT","Neste melding om:"
"TID_SPECIAL_PACK_BUILDER","Startpakke"
"TID_BUILDING_TEXT_REQUEST","Forespørsel"
"TID_ALLIANCE_DEFAULT_MAIL_MESSAGE","Til alle klanmedlemmer:"
"TID_ALLIANCE_MAIL_FAIL_COOLDOWN","Du må vente før du kan sende en melding igjen"
"TID_ATTACK_PERCENTAGE","Angrep vunnet:"
"TID_DEFENCE_PERCENTAGE","Forsvarsverker vunnet:"
"TID_LEAGUE_LEADERBOARDS","Min liga"
"TID_BUTTON_ROTATE_MORE","Roter rad"
"TID_LOCAL_NOTIFICATION_LABORATORY_UPGRADE_DONE","<item> oppgradert til nivå <level>"
"TID_PLACED_AFTER_SHUFFLE_POPUP_TITLE","Du har blitt plassert i en liga!"
"TID_PROMOTE_POPUP_TITLE","Du er blitt forfremmet!"
"TID_DEMOTE_POPUP_TITLE","Å nei! Du har blitt degradert!"
"TID_LEAGUE_CHANGE_TEXT","Liganivå: <league>"
"TID_LEAGUE_DROP_OUT_OF_LEAGUE","Du er ikke lenger med i en liga."
"TID_LEAGUE_BRONZE1","Bronseliga I"
"TID_LEAGUE_BRONZE2","Bronseliga II"
"TID_LEAGUE_BRONZE3","Bronseliga III"
"TID_LEAGUE_CRYSTAL1","Krystall-liga I"
"TID_LEAGUE_CRYSTAL2","Krystall-liga II"
"TID_LEAGUE_CRYSTAL3","Krystall-liga III"
"TID_LEAGUE_GOLD1","Gull-liga I"
"TID_LEAGUE_GOLD2","Gull-liga II"
"TID_LEAGUE_GOLD3","Gull-liga III"
"TID_LEAGUE_MASTER1","Mesterliga I"
"TID_LEAGUE_MASTER2","Mesterliga II"
"TID_LEAGUE_MASTER3","Mesterliga III"
"TID_LEAGUE_SILVER1","Sølvliga I"
"TID_LEAGUE_SILVER2","Sølvliga II"
"TID_LEAGUE_SILVER3","Sølvliga III"
"TID_LEAGUE_CHAMPION","Stormesterliga"
"TID_LEAGUE_UNRANKED","Urangert"
"TID_LEAGUE_TITLE1","Du er ikke med i en liga!"
"TID_LEAGUE_TITLE2","Hver ligasesong varer i en måned. Ved starten av en sesong kan du angripe en annens spillers landsby for å se den nye ligaen og de nye bonusene."
"TID_NEXT_LEAGUE","Neste liga:"
"TID_LEAGUE_PASSED","Godkjent"
"TID_LEAGUE_SHUFLES","Sesongen slutter om: <league_shufle_time>"
"TID_MATCH_VICTORY_BONUS","Maks utbyttebonus:"
"TID_LEAGUE_I","I"
"TID_LEAGUE_II","II"
"TID_LEAGUE_III","III"
"TID_LEAGUE_IV","IV"
"TID_LEAGUE_V","V"
"TID_LEAGUE_BRONZE","Bronse"
"TID_LEAGUE_SILVER","Sølv"
"TID_LEAGUE_GOLD","Gull"
"TID_LEAGUE_CRYSTAL","Krystall"
"TID_LEAGUE_MASTER","Mester"
"TID_LEAGUE_BRONZE1_SHORT","Bronse I"
"TID_LEAGUE_BRONZE2_SHORT","Bronse II"
"TID_LEAGUE_BRONZE3_SHORT","Bronse III"
"TID_LEAGUE_CRYSTAL1_SHORT","Krystall I"
"TID_LEAGUE_CRYSTAL2_SHORT","Krystall II"
"TID_LEAGUE_CRYSTAL3_SHORT","Krystall III"
"TID_LEAGUE_GOLD1_SHORT","Gull I"
"TID_LEAGUE_GOLD2_SHORT","Gull II"
"TID_LEAGUE_GOLD3_SHORT","Gull III"
"TID_LEAGUE_MASTER1_SHORT","Mester I"
"TID_LEAGUE_MASTER2_SHORT","Mester II"
"TID_LEAGUE_MASTER3_SHORT","Mester III"
"TID_LEAGUE_SILVER1_SHORT","Sølv I"
"TID_LEAGUE_SILVER2_SHORT","Sølv II"
"TID_LEAGUE_SILVER3_SHORT","Sølv III"
"TID_LEAGUE_CHAMPION_SHORT","Stormester"
"TID_LEAGUE_INFO_REMEMBER","Klatre i ligaene for å få større bonus!"
"TID_LEAGUE_INFO_LOOT_BONUS","I Titan I-ligaen er maksimal utbyttebonus:"
"TID_LEAGUE_INFO_LOOT_BONUS_PROMO","Når du vinner en kamp i den nye ligaen, er maksimal utbyttebonus:"
"TID_LEAGUES_LEAGUE_ORDER","Liganivåer"
"TID_LEAGUES_DIVISIONS","Divisjoner"
"TID_LEAGUES_I","I"
"TID_LEAGUES_II","II"
"TID_LEAGUES_III","III"
"TID_LEAGUES_IV","IV"
"TID_LEAGUES_V","V"
"TID_LEAGUES_GET_MORE_TROPHIES","Samle <number> trofeer for å bli med i en liga"
"TID_LEAGUES_UNRANKED_AFTER_SHUFFLE","Ligasesongen er over. Angrip en landsby for å bli plassert i en ny liga!"
"TID_LEAGUE_DIVISIONS","Divisjoner"
"TID_BONUS","<percentage> bonus:"
"TID_HINT LOOT_BONUS","Vil du ha mer utbytte? Bli med i en liga for å få bonus for hvert vellykket angrep!"
"TID_HINT LEAGUE_PLACEMENT","Hvis du har nok trofeer, blir du automatisk plassert i en liga når du angriper en landsby."
"TID_HINT LEAGUE_PROMOTION","Vinn flere trofeer, og rykk opp til en høyere liga. I ligaer på høyere nivåer får du bedre bonuser!"
"TID_HINT LEAGUE_DEMOTION","Hvis du mister for mange trofeer, kan du rykke ned til en lavere liga. Kjemp for trofeene dine!"
"TID_HINT LEAGUE_SHUFFLING","Hver ligasesong varer i en måned."
"TID_HINT TOURNAMENT","Klanturneringer og troppedonasjoner nullstilles hver måned."
"TID_LEAGUE_INFO_LOOT_BONUS3","Når du er med i en liga, får du en bonus hver gang du vinner en kamp!"
"TID_LEAGUE_INFO_PLACEMENT_HEADLINE","Angrip landsbyen til en annen spiller for å bli med i en liga"
"TID_LEAGUE_INFO_PLACEMENT","Liganivået er basert på hvor mange trofeer du har etter kampen"
"TID_HINT_LEAGUE_SHUFFLING2","Hver ligasesong varer i en måned."
"TID_BATTLE_LOG_OFFENSE","Angrepslogg"
"TID_BATTLE_LOG_DEFENSE","Forsvarslogg"
"TID_XP_TITLE_PUZZLEANDDRAGONS","Stort i Japan!"
"TID_XP_TEXT_PUZZLEANDDRAGONS","Det mest populære spillet i Japan er endelig tilgjengelig i Norge. Last ned spillet gratis fra App Store!"
"TID_XP_BUTTON_PUZZLEANDDRAGONS","Gratis"
"TID_ALLIANCE_MAIL_NOTIFICATION","Du har fått en ny klanmelding!"
"TID_REQUESTED_FROM_CLAN","Soldater mottatt:"
"TID_XP_TITLE_UNLOCK_PUZZLEANDDRAGONS","Bra jobbet, høvding!"
"TID_XP_TEXT_UNLOCK_PUZZLEANDDRAGONS","Du kan nå låse opp Clash of Clans-dungeonen i Puzzle & Dragons! Trykk på knappen nedenfor for å åpne spillet og låse den opp."
"TID_XP_BUTTON_UNLOCK_PUZZLEANDDRAGONS","Lås opp"
"TID_NEWS_UPDATE_INFO_TITLE","Legenden om den siste lavavalpen"
"TID_NEWS_UPDATE_INFO_TEXT","Den storslagne historien om lavavalpen som nektet å gi seg. Inspirert av en sann Clash-historie fra CamaroBro."
"TID_BUILDING_DARK_TOWER","Infernotårn"
"TID_DARK_TOWER_INFO","Infernotårnets flamme får næring av mørk eliksir, og kan benyttes til å påføre enkeltmål ufattelige skader, eller til å steke flere mål samtidig. Helbredende effekter blokkeres av den intense varmen!"
"TID_ATTACK_WON","Du vant"
"TID_ATTACK_LOST","Du tapte"
"TID_ALLIANCE_DEFAULT_TROOP_REQUEST_MESSAGE","Jeg trenger forsterkninger"
"TID_PURCHASE_LIMIT_TITLE","Bekreft kjøp"
"TID_PURCHASE_LIMIT_TEXT","For å unngå utilsiktede kjøp vil du først kunne handle igjen om:"
"TID_PURCHASE_LIMIT_CONFIRM","Skriv \q<CONFIRM>\q og trykk på OK-knappen for å kjøpe <ITEM> for <PRICE>."
"TID_ERROR_POP_UP_PERSONAL_BREAK_TITLE","Personlig pause"
"TID_ERROR_POP_UP_PERSONAL_BREAK","Landsbyboere trenger en kort pause siden de har vært for lenge uten skjold."
"TID_ERROR_POP_UP_PERSONAL_BREAK_BUTTON","Last inn på nytt"
"TID_DARKTOWER_AMMO_FILL_CONFIRMATION","Infernotårnet er ladet!"
"TID_DARKTOWER_AMMO_ALREADY_FULL","Infernotårnet er fulladet!"
"TID_ARTILLERY_AMMO_FILL_CONFIRMATION","Ørneartilleriet er ladet!"
"TID_ARTILLERY_AMMO_ALREADY_FULL","Ørneartilleriet er fulladet!"
"TID_PERSONAL_BREAK_ATTACK_DISABLED","Du må vente til den personlige pausen er over før du kan starte et angrep."
"TID_PERSONAL_BREAK_STARTED","Du har vært uten skjold for lenge og vil snart bli kastet ut i noen minutter."
"TID_ALLIANCE_JOIN_CLAN","Bli sterkere ved å slutte deg til eller opprette en klan.\n\nKlanmedlemmer kan hjelpe hverandre og sende hverandre ekstra tropper og formler."
"TID_BUTTON_APPBANK","AppBank-veiledning"
"TID_INVALID_DESCRIPTION","Ugyldig beskrivelse! Prøv en annen."
"TID_TITLE_REQUEST_TROOPS","Be om forsterkninger:"
"TID_TITLE_CLAN_MAIL_SEND","Send melding"
"TID_SPEED_UP_TROOP_REQUEST_HEADER","Spør nå!"
"TID_SPEED_UP_TROOP_REQUEST_TEXT","Vil du slippe å vente, og heller be om forsterkninger nå?"
"TID_TROOP_REQUEST_SPEED_UP_SUCCESS","Klanslott klart for forespørsler om forsterkninger!"
"TID_BUTTON_SPEED_UP_REQUEST_TROOPS","Spør nå!"
"TID_FREEZE_SPELL","Fryseformel"
"TID_FREEZE_SPELL_INFO","Hold hodet kaldt når det går hett for seg!\n\nFryseformelen forårsaker en kryo-eksplosjon som lamslår fiendestyrker i en begrenset periode og deaktiverer forsvarsbygninger innenfor en viss radius."
"TID_POPUP_REVENGE_CLEAR_TITLE","Hevn"
"TID_POPUP_REVENGE_CLEAR","Du kan bare velge Hevn én gang for hver oppføring i forsvarsloggen. Er du sikker på at du er klar?"
"TID_SPELL_TIME","Formelens varighet: <number> sekunder"
"TID_TROOP_REQUEST_SPEED_UP_FAILED_FULL","Klanslottet er allerede fullt!"
"TID_HINT_SPELL_JUMP_DURATION","Oppgrader hoppeformelen for å gi enhetene mer tid til å hoppe over murer."
"TID_HINT_SPELL_FREEZE","Fryseformelen hindrer fiendens bygninger og tropper i å forsvare seg innenfor formelens virkeområde."
"TID_HINT_SPELL_FREEZE_DURATION","Oppgrader fryseformelen for å deaktivere forsvarsverk og tropper i lengre tid."
"TID_HINT_INFERNO_TOWER_TARGETS_1","Infernotårnet kan volde store skader når angrepet fokuseres på enkeltenheter."
"TID_HINT_INFERNO_TOWER_TARGETS_2","Skaderaten til Infernotårnet tilbakestilles til minimum hver gang det angriper et nytt mål."
"TID_HINT_INFERNO_TOWER_AMMO","Infernotårnet brenner mørk eliksir for å holde liv i flammen. Sørg for at den alltid har nok drivstoff!"
"TID_HINT_ACCOUNT_SECURITY_1","Oppgi aldri Game Center-passordet ditt til noen."
"TID_HINT_ACCOUNT_SECURITY_1_ANDROID","Oppgi aldri påloggingsinformasjonen til Google-kontoen din til noen."
"TID_HINT_ACCOUNT_SECURITY_2","Supercell-ansatte vil aldri spørre deg om passordet til Game Center-kontoen din."
"TID_HINT_ACCOUNT_SECURITY_2_ANDROID","Supercell-ansatte vil aldri spørre deg om passordet til Google-kontoen din."
"TID_JUMP_SPELL_INFO","Blir fremrykkingen forsinket av murer? Prøv å lage en snarvei!\n\nBruk denne formelen i nærheten av fiendens murer for å lage en vei rett over dem. Troppene dine vil hoppe over murer som påvirkes av formelen, som om murene ikke var der!"
"TID_MUTE_PLAYER_BUTTON","Demp"
"TID_PLAYER_MUTED","Spiller dempet!"
"TID_STREAM_REPLAY_TEXT_ATTACK","Angrep mot:"
"TID_STREAM_REPLAY_TEXT_DEFENSE","Forsvar mot:"
"TID_SHARE","Del reprise"
"TID_REPLAY_SHARED_SUCCESS","Reprise delt!"
"TID_REPLAY_SHARED_FAIL","Du har delt en reprise. Del igjen om <time>."
"TID_ELDER_KICK_FAIL_COOLDOWN","Du har nylig sparket ut et klanmedlem. Prøv igjen om <time>."
"TID_STREAM_REPLAY_BUTTON","Reprise"
"TID_HUD_ATTACKER","Angriper"
"TID_HUD_DEFENDER","Forsvarer"
"TID_REPLAY_FAILED","Noe gikk feil da reprisen skulle vises."
"TID_FAQ_EXTERNAL_BUTTON","Famitsu"
"TID_CHARACTER_INFO_WARLOCK","Heksen kjemper aldri alene. Hun maner hele tiden frem døde krigere som leder angrepene hennes. Oppgraderte hekser kan mane frem flere skjeletter samtidig."
"TID_WARLOCK","Heks"
"TID_HINT_WARLOCK_INFO_1","Heksens angrep er ikke så kraftig, men skjelettene som hun tilkaller, distraherer forsvaret uten stans"
"TID_HINT_WARLOCK_INFO_2","Heksen er svært sårbar når alle skjelettene hennes er beseiret"
"TID_POPUP_ANDROID_EXIT_TITLE","Bekreft avslutning"
"TID_POPUP_ANDROID_EXIT","Er du sikker på at du vil avslutte spillet?"
"TID_MULTIDEVICE_INFO_ANDROID","Logg på Google Play for å beskytte fremdriften og spille på flere Android-enheter."
"TID_MULTIDEVICE_INFO_KUNLUN","Hvis du vil spille på flere Android-enheter, kan du laste ned Clash of Clans fra samme Android App Store og logge på med samme konto."
"TID_LINK_NEW_DEVICE_TITLE","Knytt til en enhet"
"TID_LINK_NEW_DEVICE_TEXT","Hvis du vil spille på to enheter, eller vil overføre kontoen din til en ny enhet, kan du gjøre det her."
"TID_LINK_NEW_DEVICE_TEXT2","Du starter ved å trykke på en:"
"TID_LINK_NEW_DEVICE_GAME_CENTER_NOTE","MERK: Hvis du kun spiller på iOS-enheter og bruker Game Center-kontoen din, trenger du ikke å knytte sammen enhetene. Bare logg inn med den samme Game Center-kontoen."
"TID_LINK_NEW_DEVICE_OLD_BUTTON","Dette er den\nGAMLE ENHETEN"
"TID_LINK_NEW_DEVICE_NEW_BUTTON","Dette er den\nNYE ENHETEN"
"TID_LINK_CODE_TITLE","Kode for tilknytting"
"TID_LINK_CODE_TEXT","La denne skjermen være åpen. På den andre enheten går du til skjermen for tilknytting og trykker på \qDette er den NYE enheten\q-knappen."
"TID_LINK_CODE_TEXT2","Skriv inn denne koden på den nye enheten:"
"TID_DEVICE_LINK_CODE_VALID_TIME","Kode gyldig:"
"TID_LINK_CODE_WARNING_TEXT","ADVARSEL: Du må aldri gi denne koden til noen andre! Den er kun til personlig bruk. Merk at tilknytting er permanent."
"TID_CONFIRM_DEVICE_LINKING","Bekreft tilknytting"
"TID_CONFIRM_DEVICE_LINK_TEXT","Er du sikker på at du vil slette den nåværende landsbyen og erstatte den med:"
"TID_LINK_DEVICES_ENTER_CODE_TITLE","Skriv inn tilknyttingskoden"
"TID_LINK_DEVICES_ENTER_CODE_TEXT","(Slik får du en tilknyttingskode: På den gamle enheten går du til skjermen for tilknytting og trykker på \qDette er den GAMLE enheten\q-knappen.)"
"TID_LINK_DEVICES_ENTER_CODE_TEXT2","Skriv inn tilknyttingskoden her:"
"TID_DEVICE_LINK_ERROR_GAME_CENTER","Ikke logget på Game Center"
"TID_DEVICE_LINK_ERROR_GAME_CENTER_TEXT","Logg på Game Center for å knytte til enheten. Prøv deretter en gang til."
"TID_DEVICE_LINK_ERROR_GAME_CENTER_ANDROID","Ikke logget på Google Play"
"TID_DEVICE_LINK_ERROR_GAME_CENTER_TEXT_ANDROID","Logg deg inn på Google Play for å knytte til enheten. Trykk på Logg på Google Play-knappen i innstillingsskjermen. Prøv deretter på nytt."
"TID_DEVICE_LINK_ERROR_TIMEOUT","Kode for tilknytting utløpt"
"TID_DEVICE_LINK_ERROR_TIMEOUT_TEXT","Koden for tilknytting har utløpt. Koden må skrives inn på den nye enheten innen <time>.\n\nDu kan enkelt få en ny kode ved å gå tilbake til skjermen med tilknyttingskoder."
"TID_DEVICE_LINK_ERROR_TOO_MANY_DEVICES","For mange tilknyttede enheter"
"TID_DEVICE_LINK_ERROR_TOO_MANY_DEVICES_TEXT","Du har allerede knyttet sammen 10 enheter, som er det maksimale antallet.\n\nHvis du vil fjerne noen av de gamle enhetene, kan du kontakte oss gjennom Hjelp og støtte-siden."
"TID_DEVICE_LINK_ERROR_INVALID_LINK_CODE","Ugyldig kode for tilknytting"
"TID_DEVICE_LINK_ERROR_INVALID_LINK_CODE_TEXT","Koden du skrev inn, er feil eller har utløpt. Pass på at du skriver inn koden nøyaktig som den vises på den andre enheten.\n\nTrykk på tilbakepilen for å prøve igjen.\n\nMerk: En kode kan bare brukes én gang, og utløper etter <time>. Du kan få en ny kode ved å lukke og gå til skjermen for tilknytting igjen."
"TID_DEVICE_LINK_ERROR_OLD_DEVICE_NOT_ACTIVE","Gammel enhet ikke aktiv"
"TID_DEVICE_LINK_ERROR_OLD_DEVICE_NOT_ACTIVE_TEXT","Hvis du skal knytte sammen enhetene, må den gamle enheten være aktiv og vise skjermen med koden for tilknytting."
"TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_TITLE","Forbindelse brutt"
