"TID","ES"
"TID_FAQ_TITLE_REPLAY","¿Por qué no están disponibles las repeticiones de las batallas?"
"TID_FAQ_TEXT_REPLAY","La cantidad de reproducciones que puedes almacenar a la vez en el sistema de juego tiene límite, así que te recomendamos que las veas tan pronto como puedas. Además, se pueden perder tras una actualización del juego o al llevar a cabo tareas de mantenimiento."
"TID_FAQ_TITLE_MULTIACCOUNT","¿Puedo jugar con varias cuentas en un mismo dispositivo?"
"TID_FAQ_TEXT_MULTIACCOUNT","Clash of Clans solo admite una cuenta por dispositivo."
"TID_FAQ_TITLE_MULTIDEVICE","¿Puedo enlazar varios dispositivos a la misma cuenta?"
"TID_FAQ_TEXT_MULTIDEVICE","Se puede jugar a una misma partida en varios dispositivos, pero asegúrate de conectar cada dispositivo con la misma cuenta de Game Center. Si inicias sesión en Game Center, tu aldea se enlazará a esa cuenta de Game Center y podrás cargar tu partida en cualquier dispositivo."
"TID_FAQ_TEXT_MULTIDEVICE_ANDROID","¡Sí! Primero conecta con Google Play y asegúrate de haber enlazado tu aldea a tu cuenta de Google. Si ya lo has hecho, podrás cargarla en otros dispositivos Android con solo conectar con la misma cuenta desde el menú de ajustes del juego."
"TID_FAQ_TITLE_TEXTSIZE","¿Puedo aumentar el tamaño del texto?"
"TID_FAQ_TEXT_TEXTSIZE","Por desgracia no se puede aumentar el tamaño del texto. Para disfrutar de la mejor experiencia de juego en Clash of Clans, recomendamos jugar con un dispositivo iOS de última generación, como iPad 2, iPhone 4 o iPod 4.ª generación.\n\nEl juego también es compatible con dispositivos anteriores, pero el rendimiento podría no ser tan óptimo."
"TID_FAQ_TEXT_TEXTSIZE_ANDROID","Por desgracia no se puede aumentar el tamaño del texto en estos momentos, pero estamos trabajando para mejorar el juego, incluyendo mejoras en los textos."
"TID_FAQ_TITLE_CHANGENAME","¿Puedo cambiar el nombre de mi aldea?"
"TID_FAQ_TEXT_CHANGENAME","Lo sentimos, pero no puedes cambiarle el nombre a tu aldea, sino tus aldeanos no sabrían dónde viven."
"TID_FAQ_TITLE_DISCONNECTED","He perdido la conexión y me han desaparecido trofeos. ¿Me los podéis devolver?"
"TID_FAQ_TEXT_DISCONNECTED","Si has perdido trofeos debido a una desconexión, a una derrota o a un ataque sufrido, no podemos devolvértelos bajo ninguna circunstancia debido al sistema de puntuación de Clash of Clans. Cada trofeo que pierdes se transfiere a otro jugador y no podemos devolvértelos sin desequilibrar el sistema.\n\nPara evitar perder trofeos debido a problemas de red, te recomendamos que ataques a otros jugadores solo cuando tengas una buena conexión (preferiblemente wifi)."
"TID_FAQ_TITLE_TROPHIES","¿Cómo funciona el sistema de trofeos?"
"TID_FAQ_TEXT_TROPHIES","Cuando ataques o te defiendas del ataque de otros jugadores, ganarás o perderás trofeos según el resultado de la batalla. El número de trofeos que ganes o pierdas dependerá de lo bien que hayas atacado o defendido. Si vences a un rival que tenga una cantidad mayor de trofeos, ganarás más que al vencer a un rival con menos trofeos."
"TID_FAQ_TITLE_MATCHMAKING","¿Cómo funciona \qBuscar batalla\q?"
"TID_FAQ_TEXT_MATCHMAKING","El emparejamiento de jugadores se basa únicamente en la cantidad de trofeos y no en el nivel de experiencia o de liga. Esto significa que puedes atacar o recibir ataques de jugadores que tengan aproximadamente la misma cantidad de trofeos que tú. Esta cantidad es lo suficientemente amplia como para que encuentres siempre una aldea a la que asaltar."
"TID_FAQ_TITLE_SPELLS","¿Qué son los hechizos y cómo puedo usarlos?"
"TID_FAQ_TEXT_SPELLS","Para usar los hechizos, primero debes mejorar tu ayuntamiento al nivel 5, así desbloquearás una nueva construcción: el caldero de hechizos. Este funciona de una forma bastante parecida al cuartel. En el caldero puedes elaborar hechizos, pero su capacidad de almacenamiento es limitada. Si lo mejoras, desbloquearás hechizos nuevos y podrás almacenar más para el combate.\n\nLos hechizos solo se pueden usar al atacar a otros jugadores, y se hace de una forma parecida al despliegue de tropas en combate. Basta con que selecciones el hechizo en la barra de la parte inferior de la pantalla y toques el punto en que quieras lanzarlo. A diferencia de las tropas, se pueden lanzar hechizos en cualquier lugar del campo de batalla."
"TID_FAQ_TITLE_UPGRADES","¿Cómo mejoro mis edificios?"
"TID_FAQ_TEXT_UPGRADES","Puedes mejorar tus edificios tocándolos y seleccionando la opción \qMejorar\q. Mejora tu ayuntamiento para desbloquear nuevos edificios y poder mejorar aún más los que ya tienes.\n\nLos edificios dejarán de estar operativos mientras se mejoran. Esto significa que las minas y los recolectores de elixir no generarán recursos, y que los cañones y las torres no dispararán a los enemigos mientras dure el proceso de mejora."
"TID_FAQ_TITLE_CHATBAN","Me han expulsado del chat general. ¿Qué puedo hacer?"
"TID_FAQ_TEXT_CHATBAN","Espera a que el tiempo de expulsión termine. No te pongas en contacto con el servicio de asistencia por este motivo, ya que ellos no podrán solucionarlo."
"TID_FAQ_TITLE_HEROES","¿Qué son los héroes y cómo se usan?"
"TID_FAQ_TEXT_HEROES","Cuando tu ayuntamiento alcance un nivel alto, podrás reclutar héroes en el menú de la tienda. Puedes usarlos para atacar aldeas enemigas o para proteger la tuya propia en caso de ataque.\nLos héroes son inmortales, pero pueden resultar heridos y deben ser curados. Para ello, ponlos a dormir o toca el botón de curación."
"TID_HINT_WELCOME","Érase una vez, en el claro de un bosque mágico..."
"TID_HINT_UPGRADE_CANNONS","Mejora tus cañones para reforzar tu defensa contra los intrusos."
"TID_HINT_SHIELD","¿Vas a dejar de jugar durante un tiempo? Compra un escudo para proteger tus trofeos."
"TID_HINT_UPGRADE_TROOPS","¡Fortalece tu ejército! Construye el laboratorio y mejora tus tropas."
"TID_HINT_UPGRADE_MINES","¿Se te ha acabado el oro? Prueba a mejorar tus minas de oro."
"TID_HINT_BUY_TROOP_HOUSING","Mejora los campamentos para aumentar la capacidad de tu ejército."
"TID_HINT_UPGRADE_WALLS","Mejora tus muros para frenar al enemigo."
"TID_HINT_CANNON_UPGRADE_NOT_FUNCTIONING","Las construcciones defensivas, como los cañones, no pueden disparar mientras se están mejorando."
"TID_HINT_RESOURCE_UPGRADE_NOT_FUNCTIONING","Las minas de oro y los recolectores de elixir no generan recursos mientras están siendo mejorados."
"TID_HINT_RESOURCE_LOSSES","Siempre conservarás algo de oro y elixir aunque tu aldea sea destruida por completo."
"TID_HINT_DEFENSE","Una buena defensa es tan importante como un buen ataque."
"TID_HINT_BARBARIAN_TARGET","Los bárbaros tienden a atacar las unidades más cercanas independientemente de su clase."
"TID_HINT_ARCHER_TARGET","Las arqueras atacan todo a su alcance."
"TID_HINT_GOBLIN_TARGET","Los duendes son avariciosos con el oro y el elixir, así que sus objetivos favoritos son los edificios de recursos."
"TID_HINT_GOBLIN_DAMAGE","Los duendes infligen el doble de daño a los edificios de recursos."
"TID_HINT_GIANT_TARGET","Los gigantes prefieren atacar a estructuras defensivas, como por ejemplo los cañones."
"TID_HINT_GIANT_DEPLOY","Los gigantes pueden absorber mucho daño, así que despliégalos a ellos primero para atraer el fuego enemigo."
"TID_HINT_WALLBREAKER_TARGET","Los rompemuros hacen agujeros en los muros enemigos."
"TID_HINT_WALLBREAKER_DAMAGE","Los rompemuros causan graves daños a los muros enemigos, pero se revientan a sí mismos en el proceso."
"TID_HINT_BALLOON_TARGET","Los globos bombásticos atacan las defensas enemigas, tales como cañones."
"TID_HINT_BALLOON_AIR","El globo bombástico es una unidad aérea, por lo que cañones y morteros no pueden derribarlo."
"TID_HINT_WIZARD_INFO","Los magos pueden hacer mucho daño, pero son bastante vulnerables."
"TID_HINT_HEALER_INFO","Las curanderas pueden curar a tus unidades terrestres, pero no atacarán a los enemigos."
"TID_HINT_HEALER_AIR","La curandera es una unidad voladora muy vulnerable a los cohetes de defensa y a las torres de arqueras."
"TID_HINT_DRAGON_AIR","El dragón es una poderosa unidad voladora que ataca objetivos terrestres y aéreos."
"TID_HINT_PEKKA_INFO","¿Qué es el P.E.K.K.A., un samurái o un robot? ¡Nadie lo sabe!"
"TID_HINT_PEKKA_TRAP","La armadura del P.E.K.K.A. pesa tanto que la trampa con muelle no funciona con él."
"TID_HINT_CANNON_TARGET","Los cañones solo pueden disparar a unidades terrestres."
"TID_HINT_MORTAR_TARGET","El mortero solo dispara a objetivos terrestres."
"TID_HINT_MORTAR_DAMAGE","El mortero inflige daño de área a todas las unidades terrestres cercanas."
"TID_HINT_ARCHER_TOWER_TARGET","Las torres de arqueras atacan a unidades tanto aéreas como terrestres."
"TID_HINT_AIR_DEFENSE_TARGET","Los cohetes de defensa solo atacan a las unidades aéreas."
"TID_HINT_WIZARD_TOWER_DAMAGE","La torre de mago inflige daño a todas las unidades que se encuentren en la zona objetivo."
"TID_HINT_WIZARD_TOWER_TARGET","La torre de mago ataca a unidades tanto aéreas como terrestres."
"TID_HINT_TESLA_HIDDEN","La torre Tesla permanece oculta hasta que los atacantes se acercan lo suficiente."
"TID_HINT_TESLA_TARGET","La torre Tesla puede atacar a unidades terrestres y aéreas."
"TID_HINT_TRAPS_TARGET","Las trampas permanecen ocultas hasta que los atacantes se acercan lo suficiente."
"TID_HINT_OBSTACLES","Puedes conseguir gemas al eliminar obstáculos como rocas y árboles."
"TID_HINT_BATTLE_LOG","El registro de batallas muestra información sobre los ataques que ha recibido tu aldea."
"TID_HINT_REPLAY","Puedes ver repeticiones de las batallas desde el registro de batallas."
"TID_HINT_ENEMY_TOWN_HALL","Destruir un ayuntamiento enemigo siempre te da una estrella."
"TID_HINT_CLAN_CASTLE","Las tropas del castillo del clan defenderán tu aldea."
"TID_HINT_CAMP","Las tropas de los campamentos solo sirven para realizar ataques, no para defender tu aldea."
"TID_HINT_SHIELD2","Un escudo activo te protege de los ataques, pero si atacas, su duración se reducirá."
"TID_HINT_SHIELD_GAIN","Recibirás un escudo gratis si un atacante destruye tu aldea."
"TID_HINT_SHIELD_GAIN_TIME","Si tu aldea sufre mucho daño, obtendrás un escudo que durará más tiempo."
"TID_HINT_SHIELD_LOSE","Si atacas a otro jugador mientras tienes un escudo activo, su duración se reducirá unas cuantas horas."
"TID_HINT_SHIELD_SINGLE_PLAYER","Tu escudo no se desactivará al atacar a los duendes en el modo de un jugador."
"TID_HINT_SINGLE_PLAYER_REWARDS","¿Necesitas más oro para realizar mejoras? ¡Róbaselo a los duendes en las batallas de un jugador!"
"TID_HINT_TROPHY_COUNT","Los trofeos que ganas se restan del total de trofeos de tu rival."
"TID_HINT_ACHIEVEMENT_GEMS","Consigue logros y te llevarás gemas gratis."
"TID_HINT_UNLOCKS","Mejora tu ayuntamiento para desbloquear nuevos edificios y niveles de mejora para los que ya tienes."
"TID_HINT_REBUILD_CLANCASTLE","Reconstruye el castillo del clan y une fuerzas con otros jugadores."
"TID_HINT_CLAN_REINFORCEMENTS","Pide tropas de refuerzo a tus aliados a través del castillo del clan."
"TID_HINT_CLAN_TROOP_DEPLOY","Las tropas de refuerzo del castillo del clan defenderán tu aldea de enemigos, aunque también puedes usarlas al atacar."
"TID_HINT_SPELL_LIGTHNING","El hechizo de rayo daña a las unidades y a los edificios de un área reducida."
"TID_HINT_SPELL_HEALING","El hechizo curativo crea un círculo de sanación que cura a tus unidades mientras se encuentren en su interior."
"TID_HINT_SPELL_RAGE","El hechizo de furia crea un círculo que fortalece y agiliza a las unidades que se encuentren en su interior."
"TID_HINT_SPELL_JUMP","El hechizo de salto abre una ruta temporal por encima de los muros enemigos para que tus unidades avancen."
"TID_HINT_SPELL_JUMP_2","Prueba el hechizo de salto para redirigir a las tropas de melé que estén atacando un muro."
"TID_HINT_FORUMS","¡Únete a los foros de Clash of Clans! Consulta el apartado Más en Ajustes."
"TID_HINT_LABORATORY","Puedes mejorar tus tropas en el laboratorio para que sean mejores y más fuertes."
"TID_HINT_DPS","La tasa de daño de cualquier unidad y torreta se mide en daño por segundo."
"TID_HINT_LABORATORY_UPGRADES","Las mejoras del laboratorio no se pueden cancelar una vez iniciadas, así que planifícalas con tiempo."
"TID_HINT_USABLE_WHILE_UPGRADING","Los campamentos, los castillos del clan y los almacenes siguen siendo funcionales mientras se mejoran."
"TID_HINT_END_BATTLE","Ganarás una batalla aunque solo consigas una estrella."
"TID_HINT_CHAT_REPORT","Si ves un mensaje ofensivo en el chat, tócalo y selecciona Denunciar para denunciar al jugador."
"TID_HINT_CHAT_REPORT_LIMIT","Denuncia a jugadores del chat solo cuando sea necesario, ¡no te emociones!"
"TID_HINT_REVENGE_OF_REVENGE","No puedes vengarte contra jugadores a los que tú hayas atacado primero."
"TID_HINT_BATTLE_ENDS","La batalla terminará cuando hayas perdido todas tus tropas, refuerzos del clan y hechizos de ataque."
"TID_HINT_XBOW_LVL_8","Si mejoras tu ayuntamiento, tendrás acceso a una nueva arma defensiva: la ballesta."
"TID_HINT_XBOW_TARGETS_1","Puedes configurar la ballesta para que ataque a objetivos terrestres o aéreos a corta distancia."
"TID_HINT_XBOW_TARGETS_2","Puedes configurar la ballesta para que ataque solo a objetivos terrestres a larga distancia."
"TID_HINT_XBOW_AMMO","La ballesta necesita elixir como munición, así que recuerda recargarla tras los ataques enemigos."
"TID_HINT_BOOST_RESOURCES","Puedes acelerar la producción de las minas de oro y de los recolectores de elixir con gemas cuando los hayas mejorado al nivel 5."
"TID_HINT_BOOST_SPELLS","Puedes acelerar la producción del caldero de hechizos con gemas."
"TID_HINT_BOOST_TRAINING","Puedes acelerar la velocidad de entrenamiento de tus tropas en el cuartel con gemas."
"TID_HINT_USE_SPELLS","Los hechizos pueden influir enormemente en el resultado de una batalla, así que ¡no dudes en usarlos!"
"TID_HINT_DARK_ELIXIR_USAGE","Puedes utilizar el elixir oscuro para convocar a los héroes más poderosos del reino."
"TID_HINT_DARK_ELIXIR_BUILDINGS","El elixir oscuro se puede producir y almacenar a partir del nivel 7 de ayuntamiento, junto con las tropas de elixir oscuro."
"TID_HINT_DARK_ELIXIR_LOOT","Podrás comenzar a recoger elixir oscuro en cuanto hayas construido un almacén para guardarlo."
"TID_HINT HEROES_USE","Tus héroes pueden atacar aldeas enemigas o defender la tuya contra los ataques de los demás."
"TID_HINT HEROES_DIE","Los héroes son inmortales, pero pueden resultar heridos y deben ser curados antes de poder combatir otra vez."
"TID_HINT HEROES_REGENERATE","Cura a tus héroes dejándoles dormir o usando el botón de curación."
"TID_HINT HERO_BARBARIAN_KING","El rey bárbaro es el más fuerte de todos. El consumo de elixir oscuro le ha hecho crecer más que los gigantes."
"TID_HINT HERO_ARCHER_QUEEN","La reina arquera es una guerrera con vista de águila que lleva una ballesta de mano."
"TID_BUTTON_FBPAGE","Novedades"
"TID_BUILDING_SPELL_FORGE","Caldero de hechizos"
"TID_SPELL_FORGE_INFO","Alrededor del caldero de hechizos se reúnen los magos más sabios, que están mejor capacitados para crear armas mágicas que para el combate en el frente. Usa sus potentes hechizos de ataque para inclinar la balanza a tu favor en las batallas."
"TID_OTHER_SPELL_LEFT","Selecciona un hechizo distinto."
"TID_ALL_SPELLS_USED","Sin hechizos"
"TID_TRAIN_SPELL_STORAGE_FULL","¡Almacén de hechizos lleno!"
"TID_TRAIN_SPELL_STORAGE_FULL_INFO","Mejora el caldero de hechizos para aumentar su capacidad."
"TID_SPELLS_INSIDE","Capacidad de almacenaje de hechizos usada: <number>/<number2>"
"TID_SPELL_CAPACITY_AFTER_TRAIN","Capacidad de almacenaje de hechizos después de la elaboración:"
"TID_SPELL_STORAGE_CAPACITY","Capacidad de almac. de hechizos: <number>"
"TID_SPELL_DAMAGE","Daño total: <number>"
"TID_INFO_FORGING_TIME","Tiempo de elaboración:"
"TID_FORGE_COST","Coste: <number> de <resource>"
"TID_SPELL_SPEED_UP_SUCCESS","¡Elaboración de hechizo finalizada!"
"TID_NOT_ENOUGH_SPELL_STORAGE","El almacén de hechizos está a su máxima capacidad."
"TID_LIGHTNING_STORM","Hechizo de rayo"
"TID_HEALING_WAVE","Hechizo curativo"
"TID_HASTE","Hechizo de furia"
"TID_HASTE_DAMAGE","Aumento de daño: <number> %"
"TID_REQUIRED_SPELL_FORGE_LEVEL","Requiere caldero de hechizos de nivel <number>."
"TID_UNLOCK_SPELL_FORGE_SPELL","Desbloquea esta tropa: <name>"
"TID_POPUP_UPGRADE_ALREADY_IN_PROGRESS","Mejora en progreso"
"TID_TIP_SPELL_FORGE","Elabora poderosos hechizos y úsalos en los ataques."
"TID_POPUP_FORGE_TITLE","Elaborar hechizos <limit>"
"TID_CANCLE_TRAINING_INFO","¡Cuidado! Al eliminar tropas de la cola solo recuperarás el <number> % del coste."
"TID_CANCLE_SPELL_INFO","¡Cuidado! Al eliminar hechizos de la cola solo recuperarás el <number> % del coste."
"TID_HASTE_SPEED","Aumento de velocidad: <number>"
"TID_INFO_EFFECT_TYPE","Tipo de efecto:"
"TID_TOTAL_HEAL","Curación total: <number>"
"TID_REPLAY_BUTTON_FAIL","La repetición ya no está disponible."
"TID_ACHIEVEMENT_CHALLENGE_BUTTON","Desafiar a amigos"
"TID_NAME_INSTRUCTIONS","Elige un nombre que te guste; es el que verán los demás jugadores y no podrás cambiarlo."
"TID_BUTTON_REPLAY","Repetición"
"TID_BUTTON_WATCH","Ver"
"TID_REPLAY_TIME","La repetición termina en:"
"TID_GC_CHALLENGE","Desafiar a amigos"
"TID_GC_NOCHALLENGE","Abrir logros"
"TID_POPUP_HEADER_ABOUT_TO_SPEED_UP","Terminar ya"
"TID_POPUP_SPEED_UP_UPGRADE","¿Quieres terminar la mejora de tu <item> por <number> gemas?"
"TID_POPUP_SPEED_UP_CONSTRUCTION","¿Quieres terminar la construcción de tu <item> por <number> gemas?"
"TID_POPUP_SPEED_UP_UPGRADE_SLOWDOWN","La mejora de tu <item> está ralentizando el entrenamiento de tu ejército. ¿Quieres finalizarla ahora por <number> gemas?"
"TID_POPUP_SPEED_UP_CONSTRUCTION_SLOWDOWN","La construcción de tu <item> está ralentizando el entrenamiento de tu ejército. ¿Quieres finalizarla ahora por <number> gemas?"
"TID_BUTTON_CREATE_SPELL","Elaborar"
"TID_REVENGE_NOT_AVAILABLE","Venganza no disponible"
"TID_REPLAY_NOT_AVAILABLE","Repetición no disponible"
"TID_RESTART_REPLAY_BUTTON","Reiniciar"
"TID_REPLAY_REPLAY","Repetición"
"TID_REPLAY_SPEED","Velocidad de repetición:"
"TID_REPLAY_PLAY_AGAIN","Volver a reproducir"
"TID_UPGRADE_FINISH_NOW","Terminar mejora:"
"TID_FINISH_SPELL","Terminar ya:"
"TID_TARGET_ALREADY_IN_ALLIANCE","Este jugador ya está en un clan."
"TID_LIGHTNING_STORM_INFO","¡Electrocuta a tus enemigos con rayos!\n\nUsa este hechizo contra la aldea enemiga para dañar edificios y unidades en un área reducida."
"TID_HEALING_WAVE_INFO","¡Cura a tus tropas y mantenlas luchando!\n\nUsa este hechizo para crear un círculo de sanación y curar a tus unidades mientras se encuentren en su interior."
"TID_HASTE_INFO","¡Enfurece a tus unidades para que sean más grandes, rápidas y fuertes!\n\nUsa este hechizo para crear un círculo de furia en el que tus unidades ganarán velocidad y fuerza de ataque."
"TID_COMING_SOON","Próximamente..."
"TID_UNIT_STORAGE_CAPACITY_ALL","Capacidad total de tropas: <number>"
"TID_TOTAL_CAPACITY_AFTER_TRAIN","Capacidad de tropas tras el entrenamiento:"
"TID_BUILDING_TEXT_RESEARCH","Investigar"
"TID_IF_LOST","Derrota:"
"TID_POPUP_HEADER_ABOUT_TO_CANCEL_SPELL","¿Seguro?"
"TID_POPUP_ABOUT_TO_CANCEL_SPELL","Al cancelar los hechizos de la cola solo recuperarás el <number> % del coste."
"TID_ALLIANCE_REJECT_DEFAULT_MESSAGE","Lo sentimos, hemos decidido no aceptarte en el clan."
"TID_ALLIANCE_REJECT_MESSAGE_TITLE","Rechazar a <name>"
"TID_KICK_DEFAULT_MESSAGE","Lo sentimos, hemos decidido expulsarte del clan."
"TID_KICK_MESSAGE_TITLE","¿Expulsar a <name>?"
"TID_KICKED_FROM_ALLIANCE","Te han expulsado del clan: <msg>"
"TID_CLAN_CASTLE_TROOPS_INSIDE","Refuerzos:"
"TID_ALLIANCE_CREATE_TROPHY_COUNT","Mínimo de trofeos para unirse:"
"TID_ALLIANCE_SCORE_LIMIT_NONE","0"
"TID_CLAN_MINIMUM_TROPHYS","Trofeos requeridos:"
"TID_STREAM_EVENT_ACCEPTED","ha sido aceptado en el clan por <name>."
"TID_STREAM_EVENT_DEMOTED","ha sido degradado por <name>."
"TID_STREAM_EVENT_PROMOTED","ha sido ascendido por <name>."
"TID_STREAM_EVENT_JOINED","se ha unido al clan."
"TID_STREAM_EVENT_KICKED","ha sido expulsado del clan por <name>."
"TID_STREAM_EVENT_LEFT","ha abandonado el clan."
"TID_FEEDBACK_BUTTON1","Problema con las compras"
"TID_FEEDBACK_BUTTON2","Problema de conexión"
"TID_FEEDBACK_BUTTON3","Otro problema"
"TID_FEEDBACK_BUTTON4","Comentarios"
"TID_FEEDBACK_MAIL_TEXT","\n\n\n---------¡NO BORRAR!---------\n<tags>\n------------------------------\n"
"TID_CLAN_JOIN_FAIL_CLOSED","¡El clan está cerrado!"
"TID_CLAN_JOIN_FAIL_ALREADY_SENT","Espera antes de enviar otra petición para unirte a este clan."
"TID_CLAN_JOIN_FAIL_NO_SCORE","No tienes trofeos suficientes para unirte a este clan."
"TID_CLAN_JOIN_FAIL_ALREADY_IN_CLAN","¡Ya perteneces a un clan!"
"TID_CLAN_JOIN_FAIL_FULL","¡El clan está lleno!"
"TID_CLAN_JOIN_FAIL_GENERIC","No has podido unirte al clan."
"TID_CLAN_JOIN_FAIL_TOO_MANY_PENDING_REQUESTS","No has podido unirte al clan. Inténtalo de nuevo más tarde."
"TID_REPORT_PLAYER_BUTTON","Denunciar"
"TID_PLAYER_REPORTED_SUCCESSFULLY","Jugador denunciado"
"TID_PLAYER_ALREADY_REPORTED","Ya has denunciado a este jugador."
"TID_TOO_MANY_REPORTS_SENT","Has excedido tu límite de denuncias diarias."
"TID_CONFIRM_MERGE","¿Seguro?"
"TID_CONFIRM_ARE_YOU_SURE","Piensa bien si quieres eliminar la aldea actual y reemplazarla por esta otra:"
"TID_CONFIRM_CONFIRM","Introduce <confirmword> y pulsa el botón Vale para completar la acción."
"TID_BUTTON_CONFIRM","Vale"
"TID_CHAT_UNAVAILABLE","Chat no disponible"
"TID_CHAT_BANNED_REASON","Algunos jugadores te han denunciado debido a tus comentarios inapropiados."
"TID_CHAT_BANNED_PERIOD_OF","Se te ha silenciado en el chat general durante:"
"TID_CHAT_INFO","Para informar de un comportamiento inadecuado, toca el mensaje ofensivo y selecciona \qDenunciar\q."
"TID_CHAT_WELCOME","¡Te damos la bienvenida al chat global!\n\nPor favor, trata a los demás con respeto y educación. No se tolerará ningún comportamiento ofensivo.\n\nNo compartas con nadie tu información personal (correo, teléfono, dirección, contraseñas)."
"TID_CONFIRM_WORD","CONFIRMAR"
"TID_CHAT_FAIL_BANNED","Se te ha silenciado temporalmente en el chat general."
"TID_CHAT_JUST_BANNED","Algunos jugadores te han denunciado por tus comentarios inapropiados, por eso se te ha silenciado en el chat general."
"TID_ATTACK_COOLDOWN_AFTER_MAINTENANCE","Se ha desactivado temporalmente el ataque a otros jugadores."
"TID_BUILDING_BOW","Ballesta"
"TID_BOW_INFO","Esta ballesta lanza rayos místicos con un poder terrorífico. Cárgala de elixir y funcionará automágicamente. Puedes configurarla para que ataque a unidades terrestres a larga distancia o a objetivos a una distancia reducida."
"TID_BUTTON_LOAD","Cargar"
"TID_BUTTON_ATTACK_MODE_AIR","Aéreos"
"TID_BUTTON_ATTACK_MODE_GROUND","Terrestres"
"TID_BUTTON_ATTACK_MODE_AIR_AND_GROUND","Tierra y aire"
"TID_AMMO_ALREADY_FULL","La ballesta está totalmente cargada."
"TID_ALLIANCE_BUTTON_SEARCH","Buscar"
"TID_ALLIANCE_SEARCH","Busca un clan:"
"TID_ALLIANCE_SEARCH_HINT","Escribe el nombre del clan o su código."
"TID_ALLIANCE_TAB_NAME","Otros clanes"
"TID_BUILDING_TEXT_LOW_AMMO","Poca munición"
"TID_BUILDING_TEXT_NO_AMMO","Vacío"
"TID_JUMP_SPELL","Hechizo de salto"
"TID_AMMO_FILL_CONFIRMATION","La ballesta ya está cargada."
"TID_CLAN_SEARCH_RESULTS","Resultados de búsqueda de \q<name>\q"
"TID_CLAN_SEARCH_NO_RESULTS","Sin resultados"
"TID_TRAP_HALLOWEENBOMB","Bomba calabaza"
"TID_TRAP_HALLOWEENBOMB_INFO","¡Buu! Solo disponible durante un tiempo limitado."
"TID_BUTTON_RETRY","Reintentar"
"TID_SEARCH_STATUS","Buscando rivales..."
"TID_ATTACK_FAIL_GENERIC","No se ha podido atacar esta aldea. Inténtalo más tarde."
"TID_BUTTON_BOOST","Acelerar"
"TID_POPUP_HEADER_ABOUT_TO_BOOST","¡Acelera la producción!"
"TID_POPUP_BOOST_GOLD_MINE","¿Quieres duplicar la producción de oro durante <time>?"
"TID_POPUP_BOOST_ELIXIR_COLLECTOR","¿Quieres duplicar la producción de elixir durante <time>?"
"TID_POPUP_BOOST_BARRACKS","¿Quieres multiplicar por <multiplier> la velocidad de entrenamiento durante <time>?"
"TID_POPUP_BOOST_SPELL_FACTORY","¿Quieres multiplicar por <multiplier> la velocidad de elaboración de hechizos durante <time>?"
"TID_ALREADY_BOOSTED","Este edificio ya se ha acelerado."
"TID_BOOST_LEFT","Aceleración restante:"
"TID_BUILDING_TEXT_CREATE_SPELL","Elaborar"
"TID_DECORATION_PEKKA_STATUE","Estatua del P.E.K.K.A."
"TID_CANCEL_BOOST_CONFIRMATION_TITLE","Terminar aceleración"
"TID_CANCEL_BOOST_CONFIRMATION","Si mejoras el edificio, se detendrá la aceleración. ¿Seguro que quieres continuar?"
"TID_XMAS_SPELL","La sorpresa de Papá Noel"
"TID_XMAS_SPELL_INFO","Pídele a Papá Noel el mejor regalo que existe: ¡una ráfaga de destrucción sobre tus enemigos!"
"TID_OBSTACLE_XMASTREE","Árbol de Navidad"
"TID_NEXT_REQUEST","Siguiente solicitud:"
"TID_CASTLE_FULL","Castillo lleno"
"TID_BARBARIAN_KING","Rey bárbaro"
"TID_BARBARIAN_KING_INFO","El rey bárbaro es la unidad más fuerte y cruel de todo el reino, cuyo apetito por el elixir oscuro le ha hecho crecer como un gigante. Puede tanto atacar aldeas enemigas como proteger tu propia aldea."
"TID_HERO_INSTRUCTIONS","Aunque no goza de mucha salud, esta hábil cazadora domina una fuerza destructiva sin parangón. Cuando defiende su territorio, dispara a escondidas contra sus enemigos y, con su habilidad Manto real desbloqueada, es capaz de infligir terribles daños con sus sigilosos ataques."
"TID_ARCHER_QUEEN","Reina arquera"
"TID_ARCHER_QUEEN_INFO","La reina arquera es una guerrera con vista de águila. Lleva una ballesta de mano que pocos hombres se atreverían a manejar. Puede tanto atacar aldeas enemigas como proteger tu propia aldea."
"TID_DARK_ELIXIR","Elixir oscuro"
"TID_RESOURCE_CAP_FULL_DARK_ELIXIR","Construye más almacenes de elixir oscuro o mejora los que tienes."
"TID_BUILDING_DARK_ELIXIR_PUMP","Extractor de elixir oscuro"
"TID_BUTTON_HERO_PATROL","Proteger"
"TID_BUTTON_HERO_SLEEP","Dormir"
"TID_DARK_ELIXIR_PUMP_INFO","Nuestros alquimistas han encontrado finalmente la manera de extraer elixir oscuro puro, la forma más extraña de esta sustancia mágica."
"TID_BUILDING_DARK_ELIXIR_STORAGE","Almacén de elixir oscuro"
"TID_DARK_ELIXIR_STORAGE_INFO","El poder del elixir oscuro no se puede almacenar en una tinaja cualquiera. Al ser tres veces más potente que el elixir normal, hemos tenido que inventar una nueva forma de almacenamiento."
"TID_DONATED_TO_CLAN","Tropas donadas:"
"TID_DARK_ELIXIR_SHOP_PACK","<number> de elixir oscuro"
"TID_RESOURCE_PACK_DARK_ELIXIR_FULL","Almacenes al 100 %"
