"TID","EN"
"TID_LEAGUE_MASTER3_SHORT","Master III"
"TID_LEAGUE_SILVER1_SHORT","Silver I"
"TID_LEAGUE_SILVER2_SHORT","Silver II"
"TID_LEAGUE_SILVER3_SHORT","Silver III"
"TID_LEAGUE_CHAMPION_SHORT","Champion"
"TID_LEAGUE_INFO_REMEMBER","Climb up the Leagues for a bigger Loot Bonus!"
"TID_LEAGUE_INFO_LOOT_BONUS","In Titan I League, the maximum Loot Bonus is:"
"TID_LEAGUE_INFO_LOOT_BONUS_PROMO","In your new League, winning a match can give a maximum Loot Bonus of:"
"TID_LEAGUES_LEAGUE_ORDER","League levels"
"TID_LEAGUES_DIVISIONS","Divisions"
"TID_LEAGUES_I","I"
"TID_LEAGUES_II","II"
"TID_LEAGUES_III","III"
"TID_LEAGUES_IV","IV"
"TID_LEAGUES_V","V"
"TID_LEAGUES_GET_MORE_TROPHIES","Collect <number> trophies to join a League"
"TID_LEAGUES_UNRANKED_AFTER_SHUFFLE","League Season has ended. Attack any village to get placed in a new League!"
"TID_LEAGUE_DIVISIONS","Divisions"
"TID_BONUS","<percentage> Bonus:"
"TID_HINT LOOT_BONUS","Want more loot? Join a League and get a Loot Bonus for every successful attack!"
"TID_HINT LEAGUE_PLACEMENT","If you have enough trophies, attacking any village will automatically place you in a League."
"TID_HINT LEAGUE_PROMOTION","Earn more trophies to move up to a higher League level. Higher level Leagues give better Loot Bonuses!"
"TID_HINT LEAGUE_DEMOTION","If you lose too many trophies, you can get demoted to a lower League. Fight for those trophies!"
"TID_HINT LEAGUE_SHUFFLING","Each League Season lasts for one month."
"TID_HINT TOURNAMENT","Clan tournament and troop donation counts reset every one month."
"TID_LEAGUE_INFO_LOOT_BONUS3","Being in a League gives you a Loot Bonus for every victory!"
"TID_LEAGUE_INFO_PLACEMENT_HEADLINE","Attack any player village to enter a League"
"TID_LEAGUE_INFO_PLACEMENT","Your trophy count after the match determines your League level"
"TID_HINT_LEAGUE_SHUFFLING2","Each League Season lasts for one month."
"TID_BATTLE_LOG_OFFENSE","Attack Log"
"TID_BATTLE_LOG_DEFENSE","Defense Log"
"TID_XP_TITLE_PUZZLEANDDRAGONS","Big in Japan!"
"TID_XP_TEXT_PUZZLEANDDRAGONS","Japan's most popular game finally arrived in the UK. Download for free from the App Store!"
"TID_XP_BUTTON_PUZZLEANDDRAGONS","Free"
"TID_ALLIANCE_MAIL_NOTIFICATION","You have a new clan mail!"
"TID_REQUESTED_FROM_CLAN","Troops received:"
"TID_XP_TITLE_UNLOCK_PUZZLEANDDRAGONS","Well done Chief!"
"TID_XP_TEXT_UNLOCK_PUZZLEANDDRAGONS","You can now unlock the Clash of Clans Dungeon in Puzzle & Dragons! Press the button below to open the game and unlock it."
"TID_XP_BUTTON_UNLOCK_PUZZLEANDDRAGONS","Unlock"
"TID_NEWS_UPDATE_INFO_TITLE","The Legend of the Last Lava Pup"
"TID_NEWS_UPDATE_INFO_TEXT","The epic story of a Lava Pup that just wouldn't quit. Inspired by a true Clash tale from CamaroBro."
"TID_NEWS_UPDATE_INFO_TEXT_SHORT",
"TID_BUILDING_DARK_TOWER","Inferno Tower"
"TID_DARK_TOWER_INFO","Set the Inferno Tower's Dark Elixir fueled flame to build up unbelievable damage to single targets, or to constantly roast multiple targets at once."
"TID_ATTACK_WON","You won"
"TID_ATTACK_LOST","You lost"
"TID_ALLIANCE_DEFAULT_TROOP_REQUEST_MESSAGE","I need reinforcements"
"TID_PURCHASE_LIMIT_TITLE","Confirm Purchase"
"TID_PURCHASE_LIMIT_TEXT","To avoid accidental purchases, you'll be able to buy again in:"
"TID_PURCHASE_LIMIT_CONFIRM","Please type in \q<CONFIRM>\q and press the Okay button to purchase <ITEM> for <PRICE>."
"TID_ERROR_POP_UP_PERSONAL_BREAK_TITLE","Personal Break"
"TID_ERROR_POP_UP_PERSONAL_BREAK","Villagers need a short break due to being too long without Shield"
"TID_ERROR_POP_UP_PERSONAL_BREAK_BUTTON","Reload"
"TID_DARKTOWER_AMMO_FILL_CONFIRMATION","Inferno Tower is now loaded!"
"TID_DARKTOWER_AMMO_ALREADY_FULL","Inferno Tower is fully loaded!"
"TID_ARTILLERY_AMMO_FILL_CONFIRMATION","Eagle Artillery is now loaded!"
"TID_ARTILLERY_AMMO_ALREADY_FULL","Eagle Artillery is fully loaded!"
"TID_PERSONAL_BREAK_ATTACK_DISABLED","You must wait until after your Personal Break to start an attack."
"TID_PERSONAL_BREAK_STARTED","You have been without Shield too long and will be soon kicked out for a few minutes."
"TID_ALLIANCE_JOIN_CLAN","Join or create a clan and get stronger.\n\nClanmates help each other and can send reinforcement troops and spells."
"TID_BUTTON_APPBANK","AppBank Guide"
"TID_INVALID_DESCRIPTION","Invalid description! Please try another one."
"TID_TITLE_REQUEST_TROOPS","Request Reinforcements"
"TID_TITLE_CLAN_MAIL_SEND","Send Mail"
"TID_SPEED_UP_TROOP_REQUEST_HEADER","Request Now!"
"TID_SPEED_UP_TROOP_REQUEST_TEXT","Do you want to skip waiting and request reinforcements now?"
"TID_TROOP_REQUEST_SPEED_UP_SUCCESS","Clan Castle ready for requesting reinforcements!"
"TID_BUTTON_SPEED_UP_REQUEST_TROOPS","Request Now!"
"TID_FREEZE_SPELL","Freeze Spell"
"TID_FREEZE_SPELL_INFO","When the going gets hot, stay frosty!\n\nThe Freeze Spell sends out a cryogenic blast that temporarily immobilizes enemy troops and disables defensive buildings within its radius."
"TID_POPUP_REVENGE_CLEAR_TITLE","Revenge"
"TID_POPUP_REVENGE_CLEAR","You can select Revenge only once for each Defense Log entry. Are you sure you're prepared?"
"TID_SPELL_TIME","Spell duration: <number> Seconds"
"TID_TROOP_REQUEST_SPEED_UP_FAILED_FULL","Clan Castle is already full!"
"TID_HINT_SPELL_JUMP_DURATION","Upgrade the Jump Spell to give your units more time to jump over walls."
"TID_HINT_SPELL_FREEZE","The Freeze Spell prevents buildings and troops from defending within its radius."
"TID_HINT_SPELL_FREEZE_DURATION","Upgrade the Freeze Spell to disable defenses and troops for a longer time."
"TID_HINT_INFERNO_TOWER_TARGETS_1","The Inferno Tower can deal devastating damage to units it stays focused on."
"TID_HINT_INFERNO_TOWER_TARGETS_2","The Inferno Tower damage rate resets to the minimum each time it switches targets."
"TID_HINT_INFERNO_TOWER_AMMO","The Inferno Tower burns Dark Elixir to power its flame. Be sure to keep it fully loaded!"
"TID_HINT_ACCOUNT_SECURITY_1","Never give out your Game Center password to anyone."
"TID_HINT_ACCOUNT_SECURITY_1_ANDROID","Never give out your Google credentials to anyone."
"TID_HINT_ACCOUNT_SECURITY_2","Supercell employees will never ask you for your Game Center password."
"TID_HINT_ACCOUNT_SECURITY_2_ANDROID","Supercell employees will never ask you for your Google account's password."
"TID_JUMP_SPELL_INFO","Walls slowing you down? Try making a shortcut!\n\nCast this spell near enemy walls to create a route straight over them. Your troops will jump over affected wall pieces as if they weren't even there!"
"TID_MUTE_PLAYER_BUTTON","Mute"
"TID_PLAYER_MUTED","Player muted!"
"TID_STREAM_REPLAY_TEXT_ATTACK","Attack against:"
"TID_STREAM_REPLAY_TEXT_DEFENSE","Defense against:"
"TID_SHARE","Share Replay"
"TID_REPLAY_SHARED_SUCCESS","Replay shared!"
"TID_REPLAY_SHARED_FAIL","You have already shared a replay. Share again in <time>."
"TID_ELDER_KICK_FAIL_COOLDOWN","You have recently kicked a clan member. Try again in <time>."
"TID_STREAM_REPLAY_BUTTON","Replay"
"TID_HUD_ATTACKER","Attacker"
"TID_HUD_DEFENDER","Defender"
"TID_REPLAY_FAILED","Something went wrong in showing the replay."
"TID_FAQ_EXTERNAL_BUTTON","Famitsu"
"TID_CHARACTER_INFO_WARLOCK","The Witch never fights alone, constantly raising dead warriors from past battles to lead her attacks. Upgraded Witches raise more skeletons at a time."
"TID_WARLOCK","Witch"
"TID_HINT_WARLOCK_INFO_1","The Witch's projectile attack may be weak, but her summoned skeletons can distract defenses relentlessly"
"TID_HINT_WARLOCK_INFO_2","The Witch is highly vulnerable when all of her skeletons have been destroyed"
"TID_POPUP_ANDROID_EXIT_TITLE","Confirm Exit"
"TID_POPUP_ANDROID_EXIT","Do you want to quit the game?"
"TID_MULTIDEVICE_INFO_ANDROID","Use Google Play Sign-In to safeguard your progress and to play on multiple Android devices."
"TID_MULTIDEVICE_INFO_KUNLUN","To play on multiple Android devices, download Clash of Clans from the same Android App Store and sign-in using the same account."
"TID_LINK_NEW_DEVICE_TITLE","Link a device"
"TID_LINK_NEW_DEVICE_TEXT","If you want to play on two devices or would like to transfer your account to a new device, you can do it here."
"TID_LINK_NEW_DEVICE_TEXT2","To start, tap one:"
"TID_LINK_NEW_DEVICE_GAME_CENTER_NOTE","NOTE: If you're playing only on iOS devices and are using your Game Center account, you don't need to link your devices. Just log in with the same Game Center account."
"TID_LINK_NEW_DEVICE_OLD_BUTTON","This is the\nOLD DEVICE"
"TID_LINK_NEW_DEVICE_NEW_BUTTON","This is the\nNEW DEVICE"
"TID_LINK_CODE_TITLE","Link code"
"TID_LINK_CODE_TEXT","Now, leave this screen open. On the other device, go to the linking screen and tap the \qThis is the NEW device\q button."
"TID_LINK_CODE_TEXT2","Enter this code in your new device:"
"TID_DEVICE_LINK_CODE_VALID_TIME","Code valid:"
"TID_LINK_CODE_WARNING_TEXT","WARNING: Never give out this code to anyone else! It is for personal use only. Note that the link will be permanent."
"TID_CONFIRM_DEVICE_LINKING","Confirm linking"
"TID_CONFIRM_DEVICE_LINK_TEXT","Are you absolutely sure you want to delete the current village and replace it with:"
"TID_LINK_DEVICES_ENTER_CODE_TITLE","Enter link code"
"TID_LINK_DEVICES_ENTER_CODE_TEXT","(To get a link code: on the old device, go to the link screen and tap the \qThis is the OLD device\q button.)"
"TID_LINK_DEVICES_ENTER_CODE_TEXT2","Enter the link code here:"
"TID_DEVICE_LINK_ERROR_GAME_CENTER","Not logged into Game Center"
"TID_DEVICE_LINK_ERROR_GAME_CENTER_TEXT","Please log into Game Center to perform the device link. Then try again."
"TID_DEVICE_LINK_ERROR_GAME_CENTER_ANDROID","Not signed in to Google Play"
"TID_DEVICE_LINK_ERROR_GAME_CENTER_TEXT_ANDROID","Please sign into Google Play to perform the device link. To do this, tap the Google Play Sign-In button in the settings screen. Then try again."
"TID_DEVICE_LINK_ERROR_TIMEOUT","Link code expired"
"TID_DEVICE_LINK_ERROR_TIMEOUT_TEXT","The link code has expired. The code must be entered into the new device within <time>.\n\nYou can get a new code easily just by re-entering the link code screen."
"TID_DEVICE_LINK_ERROR_TOO_MANY_DEVICES","Too many linked devices"
"TID_DEVICE_LINK_ERROR_TOO_MANY_DEVICES_TEXT","You have already linked 10 devices, which is the maximum allowed.\n\nIf you want to remove some of the old devices, please contact us through the Help and Support page."
"TID_DEVICE_LINK_ERROR_INVALID_LINK_CODE","Invalid link code"
"TID_DEVICE_LINK_ERROR_INVALID_LINK_CODE_TEXT","The code you entered is wrong, or it has expired. Carefully make sure you enter the code exactly as it is shown on the other device.\n\nPlease tap the back arrow to try again.\n\nNote: A code can be used only once and it will expire in <time>. You can always get a new code by exiting and entering the Link screen again."
"TID_DEVICE_LINK_ERROR_OLD_DEVICE_NOT_ACTIVE","Old device not active"
"TID_DEVICE_LINK_ERROR_OLD_DEVICE_NOT_ACTIVE_TEXT","To successfully link your devices, the old device needs to be active and displaying the link code screen."
"TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_TITLE","Connection lost"
"TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE","Another device is connecting to this village."
"TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_BUTTON","Reload"
"TID_ALLIANCE_INVITATION_FAILED_AVATAR_HAS_TOO_MANY_INVITES","Can't invite, player's inbox is full!"
"TID_DEVICE_LINKED_MAIL_ITEM","New device was linked to your village."
"TID_TITLE_SHARE_REPLAY","Share Replay"
"TID_LOOT_GAINED","Loot gained:"
"TID_IAP_NOT_AVAILABLE","Please enable In-App Purchases in your device restrictions settings."
"TID_IAP_NOT_AVAILABLE_ANDROID","Purchases unavailable! Make sure that you are using a valid Google account and that your primary payment method is up to date."
"TID_IAP_NOT_AVAILABLE_OLD_GOOGLE_PLAY","Purchases unavailable! Google Play Store app needs to be updated."
"TID_KICK_FAIL_VISITING","You can't kick players while visiting."
"TID_SKELETON","Skeleton"
"TID_CHARACTER_INFO_SKELETON","This undead creature poses little threat by itself. But it never fights alone, since the Witch can summon an endless horde of Skeletons against your enemy!"
"TID_CHARACTER_INFO_SKELETON2","This undead creature poses little threat by itself. But it never fights alone, since the Drop Ship can throw an endless horde of Skeletons at your enemies!"
"TID_GOLEM_SEC","Golemite"
"TID_CHARACTER_INFO_GOLEM_SEC","Golemites are smaller Golems constructed within the gargantuan creature. When the Golem is destroyed, the Golemites spring to life and keep fighting!"
"TID_MAX_SUMMONED_UNITS","Max summoned units: <number>"
"TID_IAP_TRANSACTION_PENDING","Please wait. Transaction is pending."
"TID_ACHIEVEMENT_LEAGUE_TITLE","League All-Star"
"TID_ACHIEVEMENT_LEAGUE_PROGRESS_1","Join the Crystal League"
"TID_ACHIEVEMENT_LEAGUE_PROGRESS_2","Reach the Masters League"
"TID_ACHIEVEMENT_LEAGUE_PROGRESS_3","Become a Champion!"
"TID_VIEW_ALLIANCE_TAB","View Clan"
"TID_VIEW_PROFILE_TAB","Player Profile"
"TID_ACHIEVEMENT_DESTROY_XBOW_TITLE","X-Bow Exterminator"
"TID_ACHIEVEMENT_DESTROY_XBOW","Destroy <number> X-Bows in Multiplayer battles"
"TID_ACHIEVEMENT_DESTROY_XBOW_ONE","Destroy one X-Bow in a Multiplayer battle"
"TID_ACHIEVEMENT_DESTROY_INFERNO_TITLE","Firefighter"
"TID_ACHIEVEMENT_DESTROY_INFERNO","Destroy <number> Inferno Towers in Multiplayer battles"
"TID_TOWN_HALL_UPGRADE_WARNING","Note: Upgrading will reduce your loot from opponents with town hall level <number> and below."
"TID_SHARE_REPLAY_FAILED","Replay has been shared already by another player"
"TID_SHARE_REPLAY_FAILED2","Replay has been shared already"
"TID_ACHIEVEMENT_GOLDSTORAGE_COMPLETED","Highest Gold Storage level: <value>"
"TID_ACHIEVEMENT_NPC_STARS_COMPLETED","Stars in Campaign Map: <value>"
"TID_ACHIEVEMENT_TOWN_HALL_COMPLETED","Current Town Hall level: <value>"
"TID_ACHIEVEMENT_CLEAR_OBSTACLES_COMPLETED","Total obstacles removed: <value>"
"TID_ACHIEVEMENT_LOOT_GOLD_COMPLETED","Total Gold looted: <value>"
"TID_ACHIEVEMENT_LOOT_ELIXIR_COMPLETED","Total Elixir looted: <value>"
"TID_ACHIEVEMENT_VICTORY_POINTS_COMPLETED","Trophy record: <value>"
"TID_ACHIEVEMENT_CASTLE_COMPLETED","Current Clan Castle level: <value>"
"TID_ACHIEVEMENT_DESTROY_WALLS_COMPLETED","Total walls destroyed: <value>"
"TID_ACHIEVEMENT_DESTROY_TOWNHALL_COMPLETED","Total Town Halls destroyed: <value>"
"TID_ACHIEVEMENT_DESTROY_BUILDER_COMPLETED","Total Builder's Huts destroyed: <value>"
"TID_ACHIEVEMENT_PVP_ATTACKS_COMPLETED","Total multiplayer battles won: <value>"
"TID_ACHIEVEMENT_PVP_DEFENSES_COMPLETED","Total defenses won: <value>"
"TID_ACHIEVEMENT_DONATE_UNITS_COMPLETED","Total capacity donated: <value>"
"TID_ACHIEVEMENT_DESTROY_MORTARS_COMPLETED","Total Mortars destroyed: <value>"
"TID_ACHIEVEMENT_LOOT_DARK_ELIXIR_COMPLETED","Total Dark Elixir looted: <value>"
"TID_ACHIEVEMENT_DESTROY_XBOW_COMPLETED","Total X-Bows destroyed: <value>"
"TID_ACHIEVEMENT_DESTROY_INFERNO_COMPLETED","Total Inferno Towers destroyed: <value>"
"TID_LINK_DEVICE_BUTTON","Link a device"
"TID_OPEN_GAMECENTER_BUTTON","Open Game Center"
"TID_LINK_TARGET_IOS_BUTTON","I want to link to\nan iPhone, iPad or iPod"
"TID_LINK_TARGET_IOS_BUTTON_ANDROID","I want to link to\nan Android device"
"TID_LINK_TARGET_OTHER_BUTTON","I want to link to\nanother device"
"TID_LINK_TARGET_DEVICE_TYPE","Target Device"
"TID_LINK_TARGET_DEVICE_TEXT","Choose the type of the device you want to link to:"
"TID_ANDROID_BILLING_PRODUCT_NOT_AVAILABLE_PRICE","Tap for info!"
"TID_ALLIANCE_INVITATION_FAILED_NO_RIGHTS","Only Elders and Leader can invite new members"
"TID_GOOGLE_SERVICE_CONNECT_TITLE","Google Play Sign-In recommended"
"TID_GOOGLE_SERVICE_CONNECT_TEXT","Chief!\n<c2>Safeguard your progress now</c> by signing in using your Google Play account.\n\nAfterward, <c2>you will always be able to restore your village on any Android device</c> whenever you sign in again using the same Google Play account."
"TID_GOOGLE_SERVICE_CONNECT_BUTTON","Connect"
"TID_ACCOUNT","Devices"
"TID_LINK_SAME_PLATFORM_TITLE","Sync with Game Center"
"TID_LINK_SAME_PLATFORM_TITLE_ANDROID","Sync with a Google account"
"TID_LINK_SAME_PLATFORM_TITLE_KUNLUN","Sync with your account"
"TID_LINK_SAME_PLATFORM","To play on multiple iOS devices, please make sure you're logged into Game Center on this device.\n\nThen, log into Game Center with the other device. Your progress will be automatically synchronized."
"TID_LINK_SAME_PLATFORM_ANDROID","To play on multiple Android devices, please make sure you have signed in to your Google account in the game's settings.\n\nThen, sign in with your Google account also on the other device. Your progress will be automatically synchronized."
"TID_LINK_SAME_PLATFORM_KUNLUN","To play on multiple Android devices, download Clash of Clans from the same Android App Store and sign-in using the same account. Your progress will be automatically synchronized."
"TID_DEVICE_LINK_ERROR_NOT_ATTACHED_TITLE","Not attached to Game Center"
"TID_DEVICE_LINK_ERROR_NOT_ATTACHED","Your village hasn't yet been attached to a Game Center account. Please make sure you're logged into a Game Center account with no existing village attached and restart the game.\n\nYou will be asked if you want to attach the current village to the Game Center account. Answer 'Yes'.\n\nWARNING: Attaching a village is permanent and can not be changed later."
"TID_DEVICE_LINK_ERROR_NOT_ATTACHED_TITLE_ANDROID","Not attached to Google Play"
"TID_DEVICE_LINK_ERROR_NOT_ATTACHED_ANDROID","Your village hasn't yet been attached to a Google account. Go back to the settings screen and sign in with Google Play with no existing village attached.\n\nWARNING: Attaching a village is permanent and can not be changed later."
"TID_DEVICE_LINK_WRONG_ACCOUNT_TITLE","Wrong account logged in"
"TID_DEVICE_LINK_WRONG_ACCOUNT","The current village is attached to a different Game Center account than the one you're logged into.\n\nPlease log out from the Game Center app and login again with the account attached to this village.\n\nThen try linking again."
"TID_DEVICE_LINK_WRONG_ACCOUNT_ANDROID","The current village is attached to a different Google account than the one you're signed into.\n\nPlease sign out of the current Google account from the settings screen, and sign in with the account attached to this village.\n\nThen try linking again."
"TID_DEVICE_LINK_ERROR_ALREADY_BOUND_TO_ALL_PLATFORMS_TITLE","Already linked"
"TID_DEVICE_LINK_ERROR_ALREADY_BOUND_TO_ALL_PLATFORMS","The current village has already been linked. The linking can be done only once."
"TID_LINK_CANCELLED_TITLE","Link cancelled"
"TID_LINK_CANCELLED","You have cancelled the linking. No devices have been linked."
"TID_DEVICE_LINK_ERROR_CODE_CURRENT_VILLAGE_TOO_HIGH","Cannot overwrite village"
"TID_DEVICE_LINK_ERROR_CODE_CURRENT_VILLAGE_TOO_HIGH_TEXT","Your village is already permanently attached to the Game Center account you have logged in with.\n\nBecause the village already has progress (Town Hall level <level> or a purchase made), it cannot be overwritten anymore."
"TID_DEVICE_LINK_ERROR_CODE_CURRENT_VILLAGE_TOO_HIGH_TEXT_ANDROID","Your village is already permanently attached to the Google account you have signed in with.\n\nBecause the village already has progress (Town Hall level <level> or a purchase made), it cannot be overwritten anymore."
"TID_DEVICE_LINK_ERROR_CODE_CURRENT_VILLAGE_TOO_HIGH_TEXT_KUNLUN","Your village is already permanently attached to the account you have signed in with.\n\nBecause the base already has progress (Town Hall level <level> or a purchase made), it cannot be overwritten anymore."
"TID_DEVICE_LINK_ERROR_CODE_SAME_PLATFORM","Code linking not available"
"TID_DEVICE_LINK_ERROR_CODE_SAME_PLATFORM_TEXT","You don't need to use the code link to play on multiple iOS devices.\n\nTo play on another iOS device, please make sure you are logged into Game Center with the other device. Then, on this device, log in with the same Game Center account.\n\nYour progress will be automatically synchronized through your Game Center account."
"TID_DEVICE_LINK_ERROR_CODE_SAME_PLATFORM_TEXT_ANDROID","You don't need to use the code link to play on multiple Android devices.\n\nTo play on another Android device, first make sure you're signed in with Google Play Sign-In on the other device. Then, on this device, use the Google Play Sign-In. (You can find the Google Play Sign-In from the game's settings.)\n\nYour progress will be automatically synchronized."
"TID_DEVICE_LINK_ERROR_CODE_SAME_PLATFORM_TEXT_KUNLUN","You don't need to use the code link to play on multiple Android devices.\n\nTo play on another Android device, download Clash of Clans from the same Android App Store and sign-in using the same account.\n\nYour progress will be automatically synchronized."
"TID_DEVICE_LINK_SUCCESFULL_TITLE","Linking successful!"
"TID_DEVICE_LINK_SUCCESFULL_NEW","You have successfully linked this device to your account. To start playing, just tap OK and your account will be loaded. Have fun!"
"TID_DEVICE_LINK_SUCCESFULL_OLD_NO_DEVICE","You have successfully linked a new device to your account!"
"TID_DEVICE_LINK_SUCCESFULL_OLD","You have successfully linked the following device to your account:"
"TID_DEVICE_LINK_ERROR_CODE_ERROR_0_TITLE","Error Occurred (100)"
"TID_DEVICE_LINK_ERROR_CODE_ERROR_0","Something went wrong. Please try again!"
"TID_DEVICE_LINK_ERROR_CODE_ERROR_1_TITLE","Error Occurred (101)"
"TID_DEVICE_LINK_ERROR_CODE_ERROR_1","Something went wrong. Please try again!"
"TID_DEVICE_LINK_ERROR_CODE_ERROR_2_TITLE","Error Occurred (102)"
"TID_DEVICE_LINK_ERROR_CODE_ERROR_2","Something went wrong. Please try again!"
"TID_ACCEPT_FRIEND_ERROR_BANNED","Player has been banned, unable to add as friend."
"TID_ACCEPT_FRIEND_ERROR_TOO_MANY_FRIENDS","Failed to add friend, your friend list is full!"
"TID_ACCEPT_FRIEND_ERROR_GENERIC","Failed to add friend, try again later"
"TID_EDIT_MODE_CANNOT_SAVE","This is an active layout and can´t be finished later"
"TID_EDIT_MODE_SAVE_FIRST","You need to finish your village first"
"TID_POPUP_EDIT_MODE_SAVE_TITLE","Save Changes"
"TID_POPUP_EDIT_MODE_SAVE","Are you sure you want to save your changes?"
"TID_POPUP_EDIT_MODE_DISCARD_TITLE","Cancel editing?"
"TID_POPUP_EDIT_MODE_DISCARD","Are you sure you want to discard your changes and exit edit mode?"
"TID_POPUP_EDIT_MODE_COLLECT_TITLE","Collect All"
"TID_POPUP_EDIT_MODE_COLLECT","Are you sure you want to collect all buildings?"
"TID_EDIT_MODE_SAVE_BUTTON","Save"
"TID_EDIT_MODE_CANCEL_BUTTON","Cancel"
"TID_EDIT_MODE_COPY_BUTTON","Copy\nLayout"
"TID_EDIT_MODE_ERASE_ON","Erase On"
"TID_EDIT_MODE_ERASE_OFF","Erase Off"
"TID_EDIT_MODE_REMOVE_ALL_BUTTON","Remove All"
"TID_VILLAGE_EDIT_MODE","Village Edit Mode"
"TID_EDIT_MODE_TIP1","Place buildings into the inventory by using \qRemove All\q or \qErase Mode\q"
"TID_EDIT_MODE_TIP2","Drag buildings from the inventory to place them"
"TID_DEVICE_LINK_CONFIRMATION_TOWNHALL_LEVEL","Town Hall level <level>"
"TID_EDIT_MODE_REMOVE_BUTTON","Remove"
"TID_EDIT_MODE_TIP_WALLS","Drag from the arrow to build walls"
"TID_OPEN_GAMECENTER_BUTTON_ANDROID","Sign in to Google"
"TID_GOOGLE_SERVICE_SIGN_IN","Sign in"
"TID_NEWS_RESOURCE_BOOST_TITLE","Weekend Special!"
"TID_NEWS_RESOURCE_BOOST","You can now boost all your resource collectors for ONE GEM each."
"TID_BUTTON_REPAIR_TRAP","Re-arm"
"TID_BUTTON_REPAIR_TRAP_ALL","Re-arm all"
"TID_TRAP_DAMAGE","Damage: <number>"
"TID_TRAP_TRIGGER_RADIUS","Trigger radius:"
"TID_CREDITS_BUTTON","Credits"
"TID_TERMS_OF_SERVICE_BUTTON","Terms of service"
"TID_PRIVACY_POLICY_BUTTON","Privacy policy"
"TID_ABOUT_TITLE","About"
"TID_POPUP_TEXT_ABOUT_TO_SELL_FREE","Do you really want to remove <item>?"
"TID_TRAP_REPAIR_COST","Re-arm cost: <number>"
"TID_TRAP_BROKEN","<item> (Unarmed)"
"TID_POPUP_TEXT_ABOUT_TO_REARM_ALL","Do you really want to re-arm all traps for <number> <resource>?"
"TID_POPUP_REARM_ALL","Re-arm all traps"
"TID_TRAP_DAMAGE_RADIUS","Area of effect: <number> Tiles"
"TID_ALLIANCE_INVITATION_FAILED_USER_BANNED","Can't invite, player has been banned from your clan!"
"TID_CLAN_JOIN_FAIL_BANNED","Can't join, you have been banned from this clan!"
"TID_ACCOUNT_LOCKED_TITLE","Account Locked"
"TID_ACCONT_LOCKED_TEXT","Your account has been locked for security reasons. Enter the unlock code to recover your account."
"TID_ACCOUNT_LOCKED_TEXT2","Enter unlock code here:"
"TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE_TITLE","Account unlock unavailable"
"TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE","Account unlock is unavailable at the moment. Please try again later!"
"TID_ERROR_POP_UP_UNLOCK_UNAVAILABLE_BUTTON","Try again"
"TID_ACCOUNT_LOCKED_INVALID_CODE","Invalid unlock code!"
"TID_ABOUT_WEIBO","Weibo"
"TID_ABOUT_FACEBOOK","Facebook"
"TID_ABOUT_TWITTER","Twitter"
"TID_VILLAGE_EDIT_SAVE_FAILED","Village saving failed, please try again."
"TID_DECO_CAP_REACHED","You've already built the maximum amount of these decorations."
"TID_TRAP_CAP_REACHED","You've already built the maximum amount of these traps."
"TID_XP_TITLE_HAYDAY","Play Hay Day!"
"TID_XP_TEXT_HAYDAY","Get back to nature and experience the peaceful, simple life of working the land and raising animals"
"TID_XP_BUTTON_HAYDAY","Free"
"TID_ERROR_POP_UP_PURCHASE_FAILED_TITLE","Purchase failed"
"TID_ERROR_POP_UP_PURCHASE_FAILED","Billing server not responding. Please try again later."
"TID_ERROR_POP_UP_PURCHASE_FAILED_BUTTON","Ok"
"TID_GOOGLE_ACCOUNT_ALREADY_BOUND","Google Play Sign-In failed! Your Google account is already associated with another game account."
"TID_BUTTON_ATTACK_MODE_SINGLE","Single"
"TID_BUTTON_ATTACK_MODE_MULTIPLE","Multiple"
"TID_HINT_AIR_MINE_MINION","Seeking Air Mines do not detect Minions"
"TID_HINT_VILLAGE_EDIT_MODE","Easily reorganize your village with the Village Edit Mode"
"TID_HINT_TRAP_REPAIR","Traps and bombs need to be re-armed after they have been used"
"TID_HINT_TRAP_UPGRADING","Be sure to upgrade your traps to keep unwanted visitors off your lawn"
"TID_HINT_SAFEGUARD_PROGRESS","Sign in using your Game Center account to safeguard your progress."
"TID_HINT_SAFEGUARD_PROGRESS_ANDROID","Sign in using your Google Play account to safeguard your progress."
"TID_START_WAR","Start War!"
"TID_START_WAR_FAILED_ALREADY_IN_WAR","Can't start a new war, your Clan is already in war!"
"TID_START_WAR_FAILED_NO_RIGHTS","Only Leader or Co-leader can start a war!"
"TID_START_WAR_FAILED_NOT_ENOUGH_MEMBERS","Can't start a war, not enough eligible clan members!"
"TID_START_WAR_FAILED_GENERIC_ERROR","Can't start a new war, try again later!"
"TID_START_WAR_FAILED_NOT_IN_ALLIANCE","Can't start a war, you need to be in a Clan to start a war!"
"TID_START_WAR_FAILED_PENDING_REQUEST_EXISTS","Can't start war, pending request exists"
"TID_START_WAR_FAILED_ENEMY_HAS_TOO_MANY_REQUESTS_PENDING","Can't start war, too many pending requests"
