"TID","KR"
"TID_HINT_SPELL_JUMP_2","이동 마법을 사용하여, 벽을 공격하느라 바쁜 근접 병력의 길을 뚫어주세요!"
"TID_HINT_FORUMS","클래시 오브 클랜 포럼에 참여하세요! 게임 내 설정에서 더 보기를 참고하세요."
"TID_HINT_LABORATORY","연구소에서 유닛을 업그레이드하면 더욱 뛰어난 활약을 펼칩니다!"
"TID_HINT_DPS","유닛과 포탑의 정보 창에서 확인할 수 있는 공격력은 초당 공격력으로 설정되어 있습니다."
"TID_HINT_LABORATORY_UPGRADES","연구소에서 이미 시작된 업그레이드를 중지하면 일부 비용만 돌려받게 됩니다."
"TID_HINT_USABLE_WHILE_UPGRADING","집합소와 클랜 성, 그리고 저장고는 업그레이드 중에도 제 기능을 발휘합니다."
"TID_HINT_END_BATTLE","한 개 이상의 별을 획득하면 전투를 바로 종료해도 승리하게 됩니다."
"TID_HINT_CHAT_REPORT","불건전한 내용의 채팅이 확인될 경우, 해당 내용을 눌러 \q신고\q 버튼을 눌러주세요."
"TID_HINT_CHAT_REPORT_LIMIT","꼭 필요한 경우에만 신고 기능을 사용하세요. 너무 남발하면 안 됩니다!"
"TID_HINT_REVENGE_OF_REVENGE","본인이 먼저 공격한 상대방에게는 복수할 수 없습니다."
"TID_HINT_BATTLE_ENDS","지원 유닛을 포함한 모든 유닛과 마법을 소모해야 전투가 종료됩니다."
"TID_HINT_XBOW_LVL_8","마을회관을 9레벨로 업그레이드하면 새로운 방어 무기인 대형 석궁을 설치할 수 있습니다."
"TID_HINT_XBOW_TARGETS_1","대형 석궁을 지상 및 공중 유닛 모두를 공격하도록 설정하면 사정거리가 짧아집니다."
"TID_HINT_XBOW_TARGETS_2","대형 석궁을 지상 유닛만 공격하도록 설정하면 사정거리가 길어집니다."
"TID_HINT_XBOW_AMMO","대형 석궁의 화살은 엘릭서로 제작합니다. 적을 방어한 후 잊지 말고 대형 석궁을 재장전하세요!"
"TID_HINT_BOOST_RESOURCES","5레벨에 도달한 금광과 엘릭서 정제소는 보석을 사용하여 더 많이 생산할 수 있습니다."
"TID_HINT_BOOST_SPELLS","마법 제작소는 보석을 사용하여 더 빠르게 제작할 수 있습니다."
"TID_HINT_BOOST_TRAINING","훈련소는 보석을 사용하여 더 빠르게 훈련할 수 있습니다."
"TID_HINT_USE_SPELLS","마법은 전투의 결과에 큰 영향을 미칩니다. 잊지 말고 사용하세요!"
"TID_HINT_DARK_ELIXIR_USAGE","다크 엘릭서를 이용하면 왕국에서 가장 강력한 영웅을 소환할 수 있습니다!"
"TID_HINT_DARK_ELIXIR_BUILDINGS","다크 엘릭서는 마을회관 7레벨부터 생산 및 저장할 수 있으며, 이때부터 암흑 병사도 훈련 가능합니다!"
"TID_HINT_DARK_ELIXIR_LOOT","다크 엘릭서 저장소를 설치하면 다크 엘릭서를 약탈할 수 있습니다."
"TID_HINT HEROES_USE","영웅 유닛은 적 마을을 공격하거나 본인의 마을을 적의 공격으로부터 지킬 수 있습니다."
"TID_HINT HEROES_DIE","영웅은 죽지 않지만 부상당하면 다시 싸우기 전에 치유되어야 합니다."
"TID_HINT HEROES_REGENERATE","영웅을 치유하려면 수면을 취하게 하거나 치유 버튼을 탭하세요."
"TID_HINT HERO_BARBARIAN_KING","바바리안 킹은 그 누구보다도 강력한 힘을 자랑합니다. 다크 엘릭서를 마시고 성장했기에 자이언트보다도 더 크게 변해버렸습니다."
"TID_HINT HERO_ARCHER_QUEEN","예리한 눈을 지닌 아처 퀸은 작게 개조한 석궁을 사용합니다."
"TID_BUTTON_FBPAGE","최신 업데이트"
"TID_BUILDING_SPELL_FORGE","마법 제작소"
"TID_SPELL_FORGE_INFO","마법 제작소는 전장에서 활약하는 것보다 마법 무기를 제작하는 것이 더욱 능숙한 베테랑 마법사들이 머무는 곳입니다. 강력한 공격용 마법을 사용하여 전투의 흐름을 원하는 방향으로 바꾸세요!"
"TID_OTHER_SPELL_LEFT","다른 마법을 선택하세요."
"TID_ALL_SPELLS_USED","마법 없음"
"TID_TRAIN_SPELL_STORAGE_FULL","마법 저장소 가득 참!"
"TID_TRAIN_SPELL_STORAGE_FULL_INFO","마법 제작소를 업그레이드해서 더 많은 마법을 보관하세요."
"TID_SPELLS_INSIDE","마법 저장소 공간 사용: <number> / <number2>"
"TID_SPELL_CAPACITY_AFTER_TRAIN","제조 후 마법 저장소 공간:"
"TID_SPELL_STORAGE_CAPACITY","마법 저장소 공간: <number>"
"TID_SPELL_DAMAGE","총 공격력: <number>"
"TID_INFO_FORGING_TIME","제조 시간:"
"TID_FORGE_COST","비용: <number> <resource>"
"TID_SPELL_SPEED_UP_SUCCESS","마법 제조 완료!"
"TID_NOT_ENOUGH_SPELL_STORAGE","마법 저장소가 가득 찼습니다!"
"TID_LIGHTNING_STORM","번개 마법"
"TID_HEALING_WAVE","치유 마법"
"TID_HASTE","분노 마법"
"TID_HASTE_DAMAGE","공격력 증가: <number>%"
"TID_REQUIRED_SPELL_FORGE_LEVEL","<number>레벨 마법 제작소 필요"
"TID_UNLOCK_SPELL_FORGE_SPELL","<name> 잠금 해제"
"TID_POPUP_UPGRADE_ALREADY_IN_PROGRESS","업그레이드 중"
"TID_TIP_SPELL_FORGE","공격에 사용할 수 있는 강력한 마법을 제조하세요."
"TID_POPUP_FORGE_TITLE","마법 제조 <limit>"
"TID_CANCLE_TRAINING_INFO","주의! 대기열에서 유닛 훈련을 취소하면 훈련 비용의 <number>%만 돌려받습니다."
"TID_CANCLE_SPELL_INFO","주의! 대기열에서 마법 제작을 취소하면 제작 비용의 <number>%만 돌려받습니다."
"TID_HASTE_SPEED","속도 증가: <number>"
"TID_INFO_EFFECT_TYPE","마법 유형:"
"TID_TOTAL_HEAL","총 치유량: <number>"
"TID_REPLAY_BUTTON_FAIL","더는 재생할 수 없습니다!"
"TID_ACHIEVEMENT_CHALLENGE_BUTTON","친구에게 도전"
"TID_NAME_INSTRUCTIONS","이름을 입력하세요. 이름은 다른 플레이어에게 보여지며, 나중에 다시 바꿀 수 없습니다!"
"TID_BUTTON_REPLAY","재생"
"TID_BUTTON_WATCH","보기"
"TID_REPLAY_TIME","남은 재생 시간:"
"TID_GC_CHALLENGE","친구에게 도전"
"TID_GC_NOCHALLENGE","새로운 도전 과제 개발"
"TID_POPUP_HEADER_ABOUT_TO_SPEED_UP","즉시 완료!"
"TID_POPUP_SPEED_UP_UPGRADE","<item> 업그레이드를 즉시 완료할까요?"
"TID_POPUP_SPEED_UP_CONSTRUCTION","<item> 건설을 즉시 완료할까요?"
"TID_POPUP_SPEED_UP_UPGRADE_SLOWDOWN","<item> 업그레이드를 진행하면 군대 훈련이 지연됩니다. 즉시 완료할까요?"
"TID_POPUP_SPEED_UP_CONSTRUCTION_SLOWDOWN","<item> 건설을 진행하면 군대 훈련이 지연됩니다. 즉시 완료할까요?"
"TID_POPUP_SPEED_UP_BOOSTER_UPGRADE","<item> 업그레이드를\n<booster> 사용으로 즉시 완료할까요?"
"TID_POPUP_SPEED_UP_BOOSTER_CONSTRUCTION","<item> 건설을\n<booster> 사용으로 즉시 완료할까요?"
"TID_POPUP_SPEED_UP_BOOSTER_UPGRADE_SLOWDOWN","<item> 업그레이드를 진행하면 군대 훈련이 지연됩니다. <booster> 사용으로 즉시 완료할까요?"
"TID_POPUP_SPEED_UP_BOOSTER_CONSTRUCTION_SLOWDOWN","<item> 건설을 진행하면 군대 훈련이 지연됩니다. <booster> 사용으로 즉시 완료할까요?"
"TID_BUTTON_CREATE_SPELL","제조"
"TID_REVENGE_NOT_AVAILABLE","복수 불가"
"TID_REPLAY_NOT_AVAILABLE","재생 불가"
"TID_RESTART_REPLAY_BUTTON","다시 시작"
"TID_REPLAY_REPLAY","재생"
"TID_REPLAY_SPEED","재생 속도:"
"TID_REPLAY_PLAY_AGAIN","다시 보기"
"TID_UPGRADE_FINISH_NOW","즉시 업그레이드:"
"TID_FINISH_SPELL","즉시 완료:"
"TID_TARGET_ALREADY_IN_ALLIANCE","이미 다른 클랜에 가입한 사용자입니다."
"TID_LIGHTNING_STORM_INFO","진정한 번개가 무엇인지 보여주세요!\n\n이 마법을 사용하면 해당 지역 내 적 건물과 유닛에 피해를 줍니다."
"TID_HEALING_WAVE_INFO","유닛을 치유하여 유닛을 전장에 유지하세요!\n\n이 마법을 사용하면 치유 마법진이 생성됩니다. 마법진 안의 아군 유닛은 치유 효과를 받습니다."
"TID_HASTE_INFO","유닛을 분노시켜 더 크고, 빠르고, 강하게 만드세요!\n\n이 마법을 사용하면 분노 마법진이 생성됩니다. 마법진 내부의 아군 유닛은 속도와 공격력이 증가합니다."
"TID_COMING_SOON","곧 출시됩니다."
"TID_UNIT_STORAGE_CAPACITY_ALL","총 수용 유닛: <number>"
"TID_TOTAL_CAPACITY_AFTER_TRAIN","훈련 후 수용 유닛:"
"TID_BUILDING_TEXT_RESEARCH","연구"
"TID_IF_LOST","패배 시:"
"TID_POPUP_HEADER_ABOUT_TO_CANCEL_SPELL","정말 취소하시겠습니까?"
"TID_POPUP_ABOUT_TO_CANCEL_SPELL","대기열의 마법 제작을 취소하면 제작 비용의 <number>%만 돌려받습니다."
"TID_ALLIANCE_REJECT_DEFAULT_MESSAGE","죄송합니다. 부득이하게 클랜 가입 요청을 받아들일 수 없습니다."
"TID_ALLIANCE_REJECT_MESSAGE_TITLE","거절: <name>"
"TID_KICK_DEFAULT_MESSAGE","죄송합니다. 부득이하게 클랜에서 추방하게 되었습니다."
"TID_KICK_MESSAGE_TITLE","추방: <name>"
"TID_KICKED_FROM_ALLIANCE","클랜으로부터 추방되었습니다. <msg>"
"TID_CLAN_CASTLE_TROOPS_INSIDE","증원군:"
"TID_ALLIANCE_CREATE_TROPHY_COUNT","가입조건(트로피):"
"TID_ALLIANCE_SCORE_LIMIT_NONE","0"
"TID_CLAN_MINIMUM_TROPHYS","트로피 조건:"
"TID_STREAM_EVENT_ACCEPTED","<name> 님에 의해 클랜에 가입되었습니다."
"TID_STREAM_EVENT_DEMOTED","<name> 님에 의해 강등되었습니다."
"TID_STREAM_EVENT_PROMOTED","<name> 님에 의해 승급되었습니다."
"TID_STREAM_EVENT_JOINED","클랜에 가입했습니다."
"TID_STREAM_EVENT_KICKED","<name> 님에 의해 클랜에서 추방되었습니다."
"TID_STREAM_EVENT_LEFT","클랜을 탈퇴했습니다."
"TID_FEEDBACK_BUTTON1","구매 문의"
"TID_FEEDBACK_BUTTON2","연결 문의"
"TID_FEEDBACK_BUTTON3","다른 문의"
"TID_FEEDBACK_BUTTON4","피드백"
"TID_FEEDBACK_MAIL_TEXT","\n\n\n--------삭제하지 마세요!--------\n<tags>\n------------------------------\n"
"TID_CLAN_JOIN_FAIL_CLOSED","비공개 클랜입니다!"
"TID_CLAN_JOIN_FAIL_ALREADY_SENT","클랜 가입을 다시 요청하려면 기다려야 합니다!"
"TID_CLAN_JOIN_FAIL_NO_SCORE","트로피 점수가 모자라 가입할 수 없습니다!"
"TID_CLAN_JOIN_FAIL_ALREADY_IN_CLAN","이미 다른 클랜에 가입했습니다!"
"TID_CLAN_JOIN_FAIL_FULL","클랜이 가득 찼습니다!"
"TID_CLAN_JOIN_FAIL_GENERIC","클랜에 가입할 수 없습니다!"
"TID_CLAN_JOIN_FAIL_TOO_MANY_PENDING_REQUESTS","지금은 클랜에 가입할 수 없습니다! 나중에 다시 시도해주세요."
"TID_REPORT_PLAYER_BUTTON","신고"
"TID_PLAYER_REPORTED_SUCCESSFULLY","사용자 신고 완료!"
"TID_PLAYER_ALREADY_REPORTED","이미 신고한 사용자입니다!"
"TID_TOO_MANY_REPORTS_SENT","일일 신고 제한을 초과했습니다!"
"TID_CONFIRM_MERGE","계속 진행하시겠습니까?"
"TID_CONFIRM_ARE_YOU_SURE","정말로 현재의 마을 정보를 삭제하고 다음 정보와 교체할까요?"
"TID_CONFIRM_CONFIRM","\q<confirmword>\q를 입력하고 확인 버튼을 눌러 작업을 완료하세요."
"TID_BUTTON_CONFIRM","확인"
"TID_CHAT_UNAVAILABLE","채팅 불가능!"
"TID_CHAT_BANNED_REASON","다른 사용자들이 귀하의 부적절한 채팅 내용을 신고했습니다."
"TID_CHAT_BANNED_PERIOD_OF","전체 채팅 금지 기간:"
"TID_CHAT_INFO","부적절한 행위를 신고하려면 불쾌한 내용을 탭한 후 \q신고\q를 누르세요."
"TID_CHAT_WELCOME","전체 채팅에 오신 것을 환영합니다.\n\n다른 사용자를 존중해 주세요. 불쾌한 언행은 처벌될 수 있습니다.\n\n개인 정보(이메일, 전화번호, 주소, 암호)를 공유하지 마세요!"
"TID_CONFIRM_WORD","승인"
"TID_CHAT_FAIL_BANNED","전체 채팅이 일시적으로 금지되었습니다."
"TID_CHAT_JUST_BANNED","다른 사용자들이 귀하의 부적절한 채팅 내용을 신고했습니다. 전체 채팅이 금지되었습니다."
"TID_ATTACK_COOLDOWN_AFTER_MAINTENANCE","잠시 동안 다른 사용자를 공격할 수 없습니다!"
"TID_BUILDING_BOW","대형 석궁"
"TID_BOW_INFO","대형 석궁은 끔찍할 정도로 강력한 힘을 지닌 신비로운 화살을 발사합니다. 엘릭서로 대형 석궁을 장전하면 자동으로 작동합니다. 지상 및 공중 유닛 모두를 공격할 수 있지만 지상 유닛만 공격하도록 설정하면 사정거리가 증가합니다."
"TID_BUTTON_LOAD","장전"
"TID_BUTTON_ATTACK_MODE_AIR","공중"
"TID_BUTTON_ATTACK_MODE_GROUND","지상"
"TID_BUTTON_ATTACK_MODE_AIR_AND_GROUND","지상 및 공중"
"TID_AMMO_ALREADY_FULL","대형 석궁이 이미 완전히 장전되었습니다!"
"TID_ALLIANCE_BUTTON_SEARCH","검색"
"TID_ALLIANCE_SEARCH","클랜 검색:"
"TID_ALLIANCE_SEARCH_HINT","클랜 이름 또는 클랜 태그 입력"
"TID_ALLIANCE_TAB_NAME","클랜 검색"
"TID_BUILDING_TEXT_LOW_AMMO","엘릭서 부족"
"TID_BUILDING_TEXT_NO_AMMO","엘릭서 고갈"
"TID_JUMP_SPELL","이동 마법"
"TID_AMMO_FILL_CONFIRMATION","대형 석궁이 장전되었습니다!"
"TID_CLAN_SEARCH_RESULTS","\q<name>\q 검색 결과"
"TID_CLAN_SEARCH_NO_RESULTS","검색된 클랜이 없습니다."
"TID_TRAP_HALLOWEENBOMB","호박 폭탄"
"TID_TRAP_HALLOWEENBOMB_INFO","으흐흐... 이 으스스한 폭탄은 한정 기간 아이템입니다."
"TID_BUTTON_RETRY","다시 시도"
"TID_SEARCH_STATUS","상대 찾는 중..."
"TID_ATTACK_FAIL_GENERIC","공격할 마을을 찾지 못했습니다!"
"TID_BUTTON_BOOST","가속"
"TID_POPUP_HEADER_ABOUT_TO_BOOST","생산 가속!"
"TID_POPUP_BOOST_GOLD_MINE","<time> 동안 골드를 두 배로 생산할까요?"
"TID_POPUP_BOOST_ELIXIR_COLLECTOR","<time> 동안 엘릭서를 두 배로 생산할까요?"
"TID_POPUP_BOOST_BARRACKS","<time> 동안 유닛 훈련 속도를 <multiplier>배로 가속할까요?"
"TID_POPUP_BOOST_SPELL_FACTORY","<time> 동안 마법 제조 속도를 <multiplier>배로 가속할까요?"
"TID_POPUP_BOOST_BARRACKS_AND_SPELLS","<time> 동안 유닛 훈련 및 마법 제조 속도를 <multiplier>배로 가속할까요?"
"TID_ALREADY_BOOSTED","이미 가속화된 시설입니다!"
"TID_BOOST_LEFT","남은 가속 시간:"
"TID_BUILDING_TEXT_CREATE_SPELL","제조"
"TID_DECORATION_PEKKA_STATUE","P.E.K.K.A. 동상"
"TID_CANCEL_BOOST_CONFIRMATION_TITLE","가속 종료?"
"TID_CANCEL_BOOST_CONFIRMATION","건물을 업그레이드하면 가속 효과가 사라집니다. 진행할까요?"
"TID_XMAS_SPELL","산타의 선물"
"TID_XMAS_SPELL_INFO","산타에게 최고의 선물을 달라고 졸랐더니... 적에게 쏟아부을 파괴의 우박을 주셨습니다!"
"TID_OBSTACLE_XMASTREE","크리스마스트리"
"TID_NEXT_REQUEST","다음 요청:"
"TID_CASTLE_FULL","성이 가득 찼습니다!"
"TID_BARBARIAN_KING","바바리안 킹"
"TID_BARBARIAN_KING_INFO","바바리안 킹은 왕국에서 가장 흉악한 바바리안으로, 다크 엘릭서를 즐겨 마신 나머지 거대하게 성장해 버렸습니다. 적 마을을 공격하거나 자신의 마을을 지킬 수 있습니다."
"TID_HERO_INSTRUCTIONS","이 여사냥꾼은 파괴적이지만 체력이 약합니다. 방어 시에는 사정거리 내의 적들을 저격하며, 공격 시에는 여왕의 망토를 사용해 모습을 감추고 막대한 피해를 줄 수 있습니다!"
"TID_ARCHER_QUEEN","아처 퀸"
"TID_ARCHER_QUEEN_INFO","아처 퀸은 예리한 눈을 지닌 전사로, 뭇 남성들도 감히 사용할 엄두도 못 내는 개조형 대형 석궁을 무기로 사용합니다. 적 마을을 공격하거나 자신의 마을을 지킬 수 있습니다."
"TID_DARK_ELIXIR","다크 엘릭서"
"TID_RESOURCE_CAP_FULL_DARK_ELIXIR","다크 엘릭서 저장소를 더 건설하거나 업그레이드하세요!"
"TID_BUILDING_DARK_ELIXIR_PUMP","다크 엘릭서 정제소"
"TID_BUTTON_HERO_PATROL","가드"
"TID_BUTTON_HERO_SLEEP","수면"
"TID_DARK_ELIXIR_PUMP_INFO","마침내 연금술사들이 순수한 다크 엘릭서를 추출하는 방법을 알아냈습니다. 가장 희귀한 형태의 마법 물질입니다."
"TID_BUILDING_DARK_ELIXIR_STORAGE","다크 엘릭서 저장소"
"TID_DARK_ELIXIR_STORAGE_INFO","다크 엘릭서의 힘은 보통 엘릭서보다 세 배나 강력해서 일반 모양의 엘릭서 보관 용기에는 담을 수 없습니다. 그래서 다크 엘릭서를 안전하게 보관할 수 있는 새로운 정육면체의 저장 용기를 개발했습니다!"
"TID_DONATED_TO_CLAN","지원한 유닛:"
"TID_DARK_ELIXIR_SHOP_PACK","<number> 다크 엘릭서"
"TID_RESOURCE_PACK_DARK_ELIXIR_FULL","다크 엘릭서 가득 채우기"
"TID_RESOURCE_PACK_DARK_ELIXIR_10","다크 엘릭서 10% 채우기"
"TID_RESOURCE_PACK_DARK_ELIXIR_50","다크 엘릭서 절반 채우기"
"TID_XBOW_LOADING_COST","장전 비용: <number> <resource>"
"TID_SPEED_UP_HERO_HEALTH_HEADER","즉시 치유!"
"TID_SPEED_UP_HERO_HEALTH_TEXT","<item>의 체력을 완전히 회복할까요?"
"TID_BUTTON_ENERGIZE","치유"
"TID_POPUP_BOOST_DARK_ELIXIR_COLLECTOR","<time> 동안 다크 엘릭서를 두 배로 생산할까요?"
"TID_FULLY_LOADED","장전 완료"
"TID_SHIELD_SCORE_LIMIT","트로피 <number>개 이상의 사용자는 사용할 수 없습니다."
"TID_SHOP_NEW_ITEM","신규"
"TID_BUTTON_LOCAL_HIGHSCORE","지역"
"TID_BUTTON_GLOBAL_HIGHSCORE","전체"
"TID_TRAP_AIR","대공 폭탄"
"TID_TRAP_AIR_INFO","해충 구제 분야의 최신 발명품입니다. 작은 범위 내의 적 공중 유닛 여럿을 폭파할 수 있는 함정입니다."
"TID_TRAP_AIR_MEGA","대공 지뢰"
"TID_TRAP_AIR_MEGA_INFO","저게... 새인가요? 비행기인가요? 뭐... 어차피 대공 지뢰가 추적해서 하늘 저 너머로 날려버릴 테니 별 상관없겠군요. 한 개의 공중 유닛에 엄청난 피해를 주는 함정입니다."
"TID_LOCAL_NOTIFICATION_HERO_HAS_FULL_HEALTH","<name>이 전투 준비를 마쳤습니다."
"TID_INFO_POP_UP_IAP_NOTE_TITLE","인앱 구매"
"TID_INFO_POP_UP_IAP_NOTE","클래시 오브 클랜은 무료 게임이지만 인앱 구매를 통해 더 빠르게 진행할 수 있습니다. 이를 차단하려면 인앱 구매를 할 수 없도록 기기 설정을 변경해 주세요. 게임은 13세 이상부터 플레이할 수 있습니다."
"TID_INFO_POP_UP_IAP_NOTE_ANDROID","클래시 오브 클랜은 무료 게임이지만 인앱 구매를 통해 더 빠르게 진행할 수 있습니다. 이를 차단하려면 Google Play 스토어 앱 설정에서 암호를 걸어 보호해 주세요. 게임은 13세 이상부터 플레이할 수 있습니다."
"TID_INFO_POP_UP_IAP_NOTE_KUNLUN","클래시 오브 클랜은 무료 게임이지만 인앱 구매를 통해 더 빠르게 진행할 수 있습니다."
"TID_INFO_POP_UP_IAP_NOTE_BUTTON","확인"
"TID_NEW_CLAN_MEMBER","신입"
"TID_UNABLE_TO_LOCATE_COUNTRY_FOR_SCORES","해당 지역의 순위표를 찾지 못했습니다."
"TID_LOCAL_NOTIFICATION_YOUR_ARMY_IS_READY","모든 유닛이 전투 준비를 마쳤습니다!"
"TID_DARK_ELIXIR_BARRACK","암흑 병사 훈련소"
"TID_DARK_ELIXIR_BARRACK_INFO","암흑 병사 훈련소는 다크 엘릭서에서 태어난 생물을 소환합니다. 암흑 병사 훈련소를 업그레이드하면 독특한 전투 기술을 지닌 새로운 유닛을 소환할 수 있습니다."
"TID_WARRIORGIRL","발키리"
"TID_BOARRIDER","호그 라이더"
"TID_GARGOYLE","미니언"
"TID_GOLEM","골렘"
"TID_LABORATORY_UPGRADING","업그레이드 중:"
"TID_LABORATORY_HINT","업그레이드할 유닛을 선택하세요."
"TID_LABORATORY_HINT2","화면을 밀어서 전체 업그레이드 목록을 확인하세요."
"TID_POPUP_UPGRADE_NOT_AVAILABLE_TITLE","<character> <number>레벨"
"TID_BUTTON_SELECT_MORE","줄 선택"
"TID_SINGLE_PLAYER_AVAILABLE_LOOT","약탈할 자원:"
"TID_CHARACTER_INFO_BARBARIAN","멋들어진 콧수염과 불거져 나온 근육에서 솟구치는 힘으로 적 마을을 아수라장으로 만드는 용감한 전사입니다. 투입한 바바리안 무리가 만드는 아수라장을 감상하세요!"
"TID_CHARACTER_INFO_ARCHER","전장뿐만 아니라 일상생활에서도 거리 두길 좋아하는 명사수입니다. 집중해서 공격 대상을 파괴하는 것이야말로 이들의 진정한 행복입니다."
"TID_CHARACTER_INFO_GOBLIN","오직 약탈에만 전념하는 작고 귀찮은 생물입니다! 고블린은 점핑 트랩보다 빠르고 자원에 대한 끝없는 욕망을 보여줍니다."
"TID_CHARACTER_INFO_GIANT","차분해 보이는 덩치들이지만 포탑이나 대포를 발견하면 내면의 분노를 표출합니다! 비록 속도는 느리지만 꾸준한 면모를 보이는 이 전사들은 앞장서서 피해를 견디는 데 매우 뛰어납니다."
"TID_CHARACTER_INFO_WALLBREAKER","해골 돌격병의 차가운 언데드 심장을 데울 방법은 오로지 장벽 폭발뿐입니다. 분대 단위로 투입하면 큰 폭발과 함께 지상 유닛을 위한 길을 열어줍니다!"
"TID_CHARACTER_INFO_BALLOON","장벽을 파괴하는 즐거움을 방어 시설을 파괴하는 즐거움으로 대체한 상급 해골입니다. 거슬리는 박격포와 대포를 철거하세요!"
"TID_CHARACTER_INFO_WIZARD","전장의 마법사란 매우 무서운 존재입니다. 동료들과 함께 투입하면 지상과 공중을 가리지 않고 마법을 날려 집중포화가 무엇인지 보여줍니다."
"TID_CHARACTER_INFO_HEALER","오직 아군 유닛을 보호하고 치유할 목적으로 살아가는 성스러운 존재입니다. 그녀의 치유력은 모든 유닛에 도움이 되니 방공 시설로부터 그녀를 보호하는 것을 잊지 말아야 합니다!"
"TID_CHARACTER_INFO_DRAGON","드래곤의 강력함은 이미 세계적으로 유명합니다. 비늘로 뒤덮인 하늘의 공포는 무자비하여 누구도 그의 화염으로부터 도망칠 수 없을 것입니다."
"TID_CHARACTER_INFO_PEKKA","P.E.K.K.A는 기사일까요? 사무라이? 아니면 로봇? 아무도 모릅니다! P.E.K.K.A의 갑옷은 엄청난 피해도 견딜 수 있습니다."
"TID_CHARACTER_INFO_MINION","다크 엘릭서에서 태어난 하늘의 골칫덩어리입니다. 대공 지뢰가 감지할 수 없기에 쉽게 적 마을에 접근할 수 있지만 이 세상에선 허약한 편에 속합니다."
"TID_CHARACTER_INFO_RIDER","난폭한 돼지를 길들여 벽을 넘어다니는 호그 라이더는 보잘것없는 장벽 뒤에 숨은 적들을 응징합니다! 다크 엘릭서의 힘이 충만한 전사들은 패배를 모릅니다!"
"TID_CHARACTER_INFO_VALKYRIE","양손 도끼의 달인인 이 영광된 여전사들은 가까운 건물 사이를 뛰어다니며 질풍처럼 무기를 휘둘러 여러 적이나 건물을 한 방에 쓸어버립니다!"
"TID_CHARACTER_INFO_GOLEM","강력한 골렘은 엄청난 피해량을 견딜 수 있습니다! 골렘이 파괴되면 폭발하면서 작은 골렘 둘로 나뉘고, 골렘의 공격력과 체력의 20%를 지니게 됩니다."
"TID_BUTTON_CLAN_MAIL_SEND","편지 전송"
"TID_BUTTON_CLAN_MAIL_NEXT","다음 편지:"
"TID_SPECIAL_PACK_BUILDER","초보자 세트"
"TID_BUILDING_TEXT_REQUEST","요청"
"TID_ALLIANCE_DEFAULT_MAIL_MESSAGE","공지사항:"
"TID_ALLIANCE_MAIL_FAIL_COOLDOWN","편지를 다시 전송하려면 기다려야 합니다."
"TID_ATTACK_PERCENTAGE","공격 성공:"
"TID_DEFENCE_PERCENTAGE","방어 성공:"
"TID_LEAGUE_LEADERBOARDS","내 리그"
"TID_BUTTON_ROTATE_MORE","회전"
"TID_LOCAL_NOTIFICATION_LABORATORY_UPGRADE_DONE","<item>: <level>레벨로 업그레이드 완료!"
"TID_PLACED_AFTER_SHUFFLE_POPUP_TITLE","리그에 진입했습니다!"
"TID_PROMOTE_POPUP_TITLE","승급했습니다!"
"TID_DEMOTE_POPUP_TITLE","이런! 강등되었습니다!"
"TID_LEAGUE_CHANGE_TEXT","리그 레벨: <league>"
"TID_LEAGUE_DROP_OUT_OF_LEAGUE","리그에서 탈락했습니다."
"TID_LEAGUE_BRONZE1","브론즈 리그 I"
"TID_LEAGUE_BRONZE2","브론즈 리그 II"
"TID_LEAGUE_BRONZE3","브론즈 리그 III"
"TID_LEAGUE_CRYSTAL1","크리스털 리그 I"
"TID_LEAGUE_CRYSTAL2","크리스털 리그 II"
"TID_LEAGUE_CRYSTAL3","크리스털 리그 III"
"TID_LEAGUE_GOLD1","골드 리그 I"
"TID_LEAGUE_GOLD2","골드 리그 II"
"TID_LEAGUE_GOLD3","골드 리그 III"
"TID_LEAGUE_MASTER1","마스터 리그 I"
"TID_LEAGUE_MASTER2","마스터 리그 II"
"TID_LEAGUE_MASTER3","마스터 리그 III"
"TID_LEAGUE_SILVER1","실버 리그 I"
"TID_LEAGUE_SILVER2","실버 리그 II"
"TID_LEAGUE_SILVER3","실버 리그 III"
"TID_LEAGUE_CHAMPION","챔피언 리그"
"TID_LEAGUE_UNRANKED","랭크되지 않음"
"TID_LEAGUE_TITLE1","리그에 참여 중이 아닙니다!"
"TID_LEAGUE_TITLE2","각 리그 시즌은 한 달간 지속됩니다. 시즌 초반에 아무 사용자나 공격해서 새로운 리그 및 전리품 보너스를 확인할 수 있습니다."
"TID_NEXT_LEAGUE","다음 리그:"
"TID_LEAGUE_PASSED","리그 통과"
"TID_LEAGUE_SHUFLES","남은 시즌 기간: <league_shufle_time>"
"TID_MATCH_VICTORY_BONUS","최대 전리품 보너스:"
"TID_LEAGUE_I","I"
"TID_LEAGUE_II","II"
"TID_LEAGUE_III","III"
"TID_LEAGUE_IV","IV"
"TID_LEAGUE_V","V"
"TID_LEAGUE_BRONZE","브론즈"
"TID_LEAGUE_SILVER","실버"
"TID_LEAGUE_GOLD","골드"
"TID_LEAGUE_CRYSTAL","크리스털"
"TID_LEAGUE_MASTER","마스터"
"TID_LEAGUE_BRONZE1_SHORT","브론즈 I"
"TID_LEAGUE_BRONZE2_SHORT","브론즈 II"
"TID_LEAGUE_BRONZE3_SHORT","브론즈 III"
"TID_LEAGUE_CRYSTAL1_SHORT","크리스털 I"
