"TID","VI"
"TID_DARKTOWER_AMMO_ALREADY_FULL","Tháp Hỏa ngục đã được nạp đầy!"
"TID_ARTILLERY_AMMO_FILL_CONFIRMATION","Pháo Đại bàng đã nạp!"
"TID_ARTILLERY_AMMO_ALREADY_FULL","Pháo Đại bàng đã nạp đầy!"
"TID_PERSONAL_BREAK_ATTACK_DISABLED","Bạn phải đợi sau Giờ nghỉ Cá nhân của mình để bắt đầu tấn công."
"TID_PERSONAL_BREAK_STARTED","Bạn đã không có Khiên chắn quá lâu và sẽ bị cho nghỉ trong vài phút."
"TID_ALLIANCE_JOIN_CLAN","Gia nhập hoặc lập hội để trở nên mạnh hơn.\n\nChiến hữu đồng hội có thể giúp đỡ lẫn nhau và đóng góp binh lính và thần chú tiếp viện."
"TID_BUTTON_APPBANK","Hướng dẫn AppBank"
"TID_INVALID_DESCRIPTION","Mô tả không hợp lệ! Vui lòng thử lại mô tả khác."
"TID_TITLE_REQUEST_TROOPS","Yêu cầu Tiếp viện"
"TID_TITLE_CLAN_MAIL_SEND","Gửi thư"
"TID_SPEED_UP_TROOP_REQUEST_HEADER","Yêu cầu ngay!"
"TID_SPEED_UP_TROOP_REQUEST_TEXT","Bạn có muốn bỏ qua thời gian chờ đợi và yêu cầu tiếp viện ngay không?"
"TID_TROOP_REQUEST_SPEED_UP_SUCCESS","Hội Thành đã sẵn sàng yêu cầu tiếp viện!"
"TID_BUTTON_SPEED_UP_REQUEST_TROOPS","Yêu cầu ngay!"
"TID_FREEZE_SPELL","Thần chú Đóng băng"
"TID_FREEZE_SPELL_INFO","Khi tình thế nóng lên, hãy sử dụng băng giá!\n\nThần chú Đóng băng phóng ra những đợt băng tuyết khiến binh lính của kẻ địch bị bất động tạm thời và vô hiệu hóa các công trình phòng thủ trong bán kính của nó."
"TID_POPUP_REVENGE_CLEAR_TITLE","Trả thù"
"TID_POPUP_REVENGE_CLEAR","Bạn chỉ được chọn Trả thù một lần cho mỗi mục Nhật ký Phòng thủ. Bạn có chắc chắn đã chuẩn bị sẵn sàng chưa?"
"TID_SPELL_TIME","Thời gian niệm chú: <number> giây"
"TID_TROOP_REQUEST_SPEED_UP_FAILED_FULL","Hội Thành đã đầy!"
"TID_HINT_SPELL_JUMP_DURATION","Nâng cấp Thần chú Bật nhảy sẽ cho bạn thêm thời gian để nhảy qua tường."
"TID_HINT_SPELL_FREEZE","Thần chú Đóng băng ngăn chặn các công trình và binh lính phòng thủ trong bán kính của nó."
"TID_HINT_SPELL_FREEZE_DURATION","Hãy nâng cấp Thần chú Đóng băng để vô hiệu hóa lực lượng phòng thủ và binh lính trong thời gian dài hơn."
"TID_HINT_INFERNO_TOWER_TARGETS_1","Tháp Hỏa ngục có thể gây thiệt hại khủng khiếp cho những đội quân bị nhắm đến."
"TID_HINT_INFERNO_TOWER_TARGETS_2","Tốc độ sát thương của Tháp Hỏa ngục được đặt lại về mức tối thiểu mỗi lần chuyển mục tiêu."
"TID_HINT_INFERNO_TOWER_AMMO","Tháp Hỏa ngục đốt cháy Hắc Tiên dược để thổi bùng ngọn lửa trên đó. Hãy nhớ luôn nạp đầy tháp!"
"TID_HINT_ACCOUNT_SECURITY_1","Đừng bao giờ đưa mật khẩu Game Center của bạn cho bất kỳ ai."
"TID_HINT_ACCOUNT_SECURITY_1_ANDROID","Đừng bao giờ đưa thông tin đăng nhập Google của bạn cho bất kỳ ai."
"TID_HINT_ACCOUNT_SECURITY_2","Nhân viên Supercell không bao giờ hỏi mật khẩu Game Center của bạn."
"TID_HINT_ACCOUNT_SECURITY_2_ANDROID","Nhân viên Supercell không bao giờ hỏi mật khẩu tài khoản Google của bạn."
"TID_JUMP_SPELL_INFO","Tường thành cản bước tiến của bạn ư? Hãy thử tạo đường tắt!\n\nNiệm thần chú này ở gần tường thành của kẻ thù để tạo ra con đường vượt qua. Quân của bạn sẽ nhảy qua phần tường đó như thể chúng không hề có ở đó!"
"TID_MUTE_PLAYER_BUTTON","Tắt tiếng"
"TID_PLAYER_MUTED","Đã tắt tiếng người chơi!"
"TID_STREAM_REPLAY_TEXT_ATTACK","Tấn công:"
"TID_STREAM_REPLAY_TEXT_DEFENSE","Phòng thủ:"
"TID_SHARE","Chia sẻ Đoạn phim phát lại"
"TID_REPLAY_SHARED_SUCCESS","Đã chia sẻ đoạn phim phát lại!"
"TID_REPLAY_SHARED_FAIL","Bạn đã chia sẻ một đoạn phim phát lại. Chia sẻ lại trong <time>."
"TID_ELDER_KICK_FAIL_COOLDOWN","Bạn đã khai trừ một hội viên gần đây. Hãy thử lại trong <time>."
"TID_STREAM_REPLAY_BUTTON","Phát lại"
"TID_HUD_ATTACKER","Bên tấn công"
"TID_HUD_DEFENDER","Bên phòng thủ"
"TID_REPLAY_FAILED","Đã xảy ra lỗi khi hiển thị đoạn phim phát lại."
"TID_FAQ_EXTERNAL_BUTTON","Famitsu"
"TID_CHARACTER_INFO_WARLOCK","Phù thủy không bao giờ chiến đấu đơn thương độc mã mà thường xuyên triệu hồi tử sĩ từ các trận chiến trước đó để dẫn đầu hàng ngũ tấn công. Phù thủy được thăng cấp có thể triệu hồi nhiều bộ xương cùng lúc."
"TID_WARLOCK","Phù thủy"
"TID_HINT_WARLOCK_INFO_1","Đòn tấn công được phóng ra bởi Phù thủy có thể yếu, nhưng những bộ xương do cô ta triệu hồi có thể liên tục đánh lạc hướng lực lượng phòng thủ"
"TID_HINT_WARLOCK_INFO_2","Khi tất cả các bộ xương của Phù thủy bị tiêu diệt hết thì Phù thủy sẽ rất dễ bị tấn công"
"TID_POPUP_ANDROID_EXIT_TITLE","Xác nhận Thoát"
"TID_POPUP_ANDROID_EXIT","Bạn thực sự muốn thoát khỏi trò chơi không?"
"TID_MULTIDEVICE_INFO_ANDROID","Sử dụng Đăng nhập Google Play để bảo vệ tiến trình của bạn và chơi trên nhiều thiết bị Android."
"TID_MULTIDEVICE_INFO_KUNLUN","Để chơi trên nhiều thiết bị Android, hãy tải Clash of Clans về từ cùng một Android App Store và đăng nhập bằng cùng một tài khoản."
"TID_LINK_NEW_DEVICE_TITLE","Liên kết thiết bị"
"TID_LINK_NEW_DEVICE_TEXT","Nếu bạn muốn chơi trên hai thiết bị hoặc muốn chuyển tài khoản của bạn sang thiết bị mới, bạn có thể làm điều đó ở đây."
"TID_LINK_NEW_DEVICE_TEXT2","Để bắt đầu, hãy nhấn:"
"TID_LINK_NEW_DEVICE_GAME_CENTER_NOTE","LƯU Ý: Nếu bạn đang chỉ chơi trên các thiết bị iOS và đang dùng tài khoản Game Center thì bạn không cần liên kết các thiết bị. Chỉ cần đăng nhập vào cùng một tài khoản Game Center."
"TID_LINK_NEW_DEVICE_OLD_BUTTON","Đây là\nTHIẾT BỊ CŨ"
"TID_LINK_NEW_DEVICE_NEW_BUTTON","Đây là\nTHIẾT BỊ MỚI"
"TID_LINK_CODE_TITLE","Mã liên kết"
"TID_LINK_CODE_TEXT","Bây giờ, hãy để màn hình mở. Trên thiết bị kia, hãy vào màn hình liên kết và nhấn nút \qĐây là thiết bị MỚI\q."
"TID_LINK_CODE_TEXT2","Nhập mã này vào thiết bị mới của bạn:"
"TID_DEVICE_LINK_CODE_VALID_TIME","Mã số hợp lệ:"
"TID_LINK_CODE_WARNING_TEXT","CẢNH BÁO: Đừng bao giờ đưa mã này cho ai khác! Mã này chỉ dành cho cá nhân sử dụng. Lưu ý rằng mã liên kết này có tính chất vĩnh viễn."
"TID_CONFIRM_DEVICE_LINKING","Xác nhận liên kết"
"TID_CONFIRM_DEVICE_LINK_TEXT","Bạn có thật sự chắc chắn rằng bạn muốn xóa làng hiện tại và thay thế bằng:"
"TID_LINK_DEVICES_ENTER_CODE_TITLE","Nhập mã liên kết"
"TID_LINK_DEVICES_ENTER_CODE_TEXT","(Để lấy mã liên kết: trên thiết bị cũ, vào màn hình liên kết và nhấn nút \qĐây là thiết bị CŨ\q.)"
"TID_LINK_DEVICES_ENTER_CODE_TEXT2","Nhập mã liên kết ở đây:"
"TID_DEVICE_LINK_ERROR_GAME_CENTER","Chưa đăng nhập vào Game Center"
"TID_DEVICE_LINK_ERROR_GAME_CENTER_TEXT","Vui lòng đăng nhập vào Game Center để thực hiện liên kết thiết bị. Sau đó, hãy thử lại."
"TID_DEVICE_LINK_ERROR_GAME_CENTER_ANDROID","Chưa đăng nhập vào Google Play"
"TID_DEVICE_LINK_ERROR_GAME_CENTER_TEXT_ANDROID","Vui lòng đăng nhập vào Google Play để tiến hành liên kết thiết bị. Để làm vậy, hãy nhấn nút Đăng nhập Google Play trong màn hình cài đặt. Sau đó thử lại."
"TID_DEVICE_LINK_ERROR_TIMEOUT","Mã liên kết đã hết hạn"
"TID_DEVICE_LINK_ERROR_TIMEOUT_TEXT","Mã liên kết đã hết hạn. Phải nhập mã vào thiết bị mới trong vòng <time>.\n\nBạn có thể dễ dàng lấy một mã mới bằng cách vào lại màn hình mã liên kết."
"TID_DEVICE_LINK_ERROR_TOO_MANY_DEVICES","Có quá nhiều thiết bị được liên kết"
"TID_DEVICE_LINK_ERROR_TOO_MANY_DEVICES_TEXT","Bạn đã liên kết 10 thiết bị, đây là con số tối đa cho phép.\n\nNếu bạn muốn xóa bớt một số thiết bị cũ, vui lòng liên hệ chúng tôi thông qua trang Trợ giúp và Hỗ trợ."
"TID_DEVICE_LINK_ERROR_INVALID_LINK_CODE","Mã liên kết không hợp lệ"
"TID_DEVICE_LINK_ERROR_INVALID_LINK_CODE_TEXT","Mã bạn nhập không đúng, hoặc đã hết hạn. Hãy đảm bảo chắc chắn bạn đã nhập mã chính xác như hiển thị trên thiết bị kia.\n\nVui lòng nhấn mũi tên quay lại để thử lại.\n\nLưu ý: Một mã chỉ có thể được sử dụng một lần và sẽ hết hạn trong <time>. Bạn luôn có thể lấy mã mới bằng cách thoát ra và vào lại màn hình Liên kết."
"TID_DEVICE_LINK_ERROR_OLD_DEVICE_NOT_ACTIVE","Thiết bị cũ không hoạt động"
"TID_DEVICE_LINK_ERROR_OLD_DEVICE_NOT_ACTIVE_TEXT","Để liên kết thành công thiết bị của bạn, thiết bị cũ phải hoạt động và hiển thị màn hình mã liên kết."
"TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_TITLE","Mất kết nối"
"TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE","Một thiết bị khác đang kết nối với làng này."
"TID_ERROR_POP_UP_LOGGED_FROM_ANOTHER_DEVICE_BUTTON","Tải lại"
"TID_ALLIANCE_INVITATION_FAILED_AVATAR_HAS_TOO_MANY_INVITES","Không mời được, hộp thư đến của người chơi đã đầy!"
"TID_DEVICE_LINKED_MAIL_ITEM","Thiết bị mới đã được liên kết với làng của bạn."
"TID_TITLE_SHARE_REPLAY","Chia sẻ Đoạn phim phát lại"
"TID_LOOT_GAINED","Chiến lợi phẩm giành được:"
"TID_IAP_NOT_AVAILABLE","Vui lòng bật tính năng Mua trong ứng dụng trong phần cài đặt hạn chế của thiết bị."
"TID_IAP_NOT_AVAILABLE_ANDROID","Giao dịch mua không khả dụng! Hãy đảm bảo rằng bạn đang sử dụng tài khoản Google hợp lệ và phương thức thanh toán chính của bạn được cập nhật mới nhất."
"TID_IAP_NOT_AVAILABLE_OLD_GOOGLE_PLAY","Giao dịch mua không khả dụng! Ứng dụng Google Play Store cần được cập nhật."
"TID_KICK_FAIL_VISITING","Bạn không thể khai trừ người chơi khi đang viếng thăm."
"TID_SKELETON","Bộ xương"
"TID_CHARACTER_INFO_SKELETON","Bản thân những sinh vật xác sống này không có gì đáng ngại. Tuy nhiên, chúng không bao giờ chiến đấu riêng lẻ, vì Phù thủy có thể triệu hồi vô số Bộ xương để đánh lại kẻ thù của bạn!"
"TID_CHARACTER_INFO_SKELETON2","Bản thân những sinh vật xác sống này không có gì đáng ngại. Tuy nhiên, chúng không bao giờ chiến đấu riêng lẻ vì Tàu Thả xuống có thể thả vô số Bộ xương lên kẻ thù của bạn!"
"TID_GOLEM_SEC","Tiểu thạch nhân"
"TID_CHARACTER_INFO_GOLEM_SEC","Tiểu thạch nhân có kích cỡ nhỏ hơn Thạch nhân, được thành hình bên trong sinh vật khổng lồ này. Khi bị tiêu diệt thì Thạch nhân sẽ sinh ra các Tiểu thạch nhân để tiếp tục tham chiến!"
"TID_MAX_SUMMONED_UNITS","Đơn vị được triệu hồi tối đa: <number>"
"TID_IAP_TRANSACTION_PENDING","Vui lòng đợi. Giao dịch đang chờ xử lý."
"TID_ACHIEVEMENT_LEAGUE_TITLE","Siêu sao của Giải đấu"
"TID_ACHIEVEMENT_LEAGUE_PROGRESS_1","Tham dự Giải đấu Pha lê"
"TID_ACHIEVEMENT_LEAGUE_PROGRESS_2","Tiến tới Giải đấu Cao thủ"
"TID_ACHIEVEMENT_LEAGUE_PROGRESS_3","Trở thành Nhà vô địch!"
"TID_VIEW_ALLIANCE_TAB","Xem Hội"
"TID_VIEW_PROFILE_TAB","Hồ sơ Người chơi"
"TID_ACHIEVEMENT_DESTROY_XBOW_TITLE","Kẻ hủy diệt Tháp cung"
"TID_ACHIEVEMENT_DESTROY_XBOW","Phá hủy <number> Tháp cung trong trận chiến Nhiều người chơi"
"TID_ACHIEVEMENT_DESTROY_XBOW_ONE","Phá hủy một Tháp cung trong trận chiến Nhiều người chơi"
"TID_ACHIEVEMENT_DESTROY_INFERNO_TITLE","Lính cứu hỏa"
"TID_ACHIEVEMENT_DESTROY_INFERNO","Phá hủy <number> Tháp Hỏa ngục trong trận chiến Nhiều người chơi"
"TID_TOWN_HALL_UPGRADE_WARNING","Lưu ý: Nâng cấp sẽ làm giảm chiến lợi phẩm bạn giành được từ những đối thủ có nhà chính cấp <number> và thấp hơn."
"TID_SHARE_REPLAY_FAILED","Đoạn phim phát lại đã được người chơi khác chia sẻ"
"TID_SHARE_REPLAY_FAILED2","Đoạn phim phát lại đã được chia sẻ"
"TID_ACHIEVEMENT_GOLDSTORAGE_COMPLETED","Cấp độ Kho chứa Vàng cao nhất: <value>"
"TID_ACHIEVEMENT_NPC_STARS_COMPLETED","Số Sao trên Bản đồ Chiến dịch: <value>"
"TID_ACHIEVEMENT_TOWN_HALL_COMPLETED","Cấp Nhà chính hiện tại: <value>"
"TID_ACHIEVEMENT_CLEAR_OBSTACLES_COMPLETED","Tổng số chướng ngại vật đã loại bỏ: <value>"
"TID_ACHIEVEMENT_LOOT_GOLD_COMPLETED","Tổng số Vàng cướp được: <value>"
"TID_ACHIEVEMENT_LOOT_ELIXIR_COMPLETED","Tổng số Tiên dược cướp được: <value>"
"TID_ACHIEVEMENT_VICTORY_POINTS_COMPLETED","Số lượng chiến tích giành được: <value>"
"TID_ACHIEVEMENT_CASTLE_COMPLETED","Cấp độ Hội Thành hiện tại: <value>"
"TID_ACHIEVEMENT_DESTROY_WALLS_COMPLETED","Tổng số tường thành đã phá hủy: <value>"
"TID_ACHIEVEMENT_DESTROY_TOWNHALL_COMPLETED","Tổng số Nhà chính đã phá hủy: <value>"
"TID_ACHIEVEMENT_DESTROY_BUILDER_COMPLETED","Tổng số Lều Thợ xây đã phá hủy: <value>"
"TID_ACHIEVEMENT_PVP_ATTACKS_COMPLETED","Tổng số trận chiến nhiều người chơi đã thắng: <value>"
"TID_ACHIEVEMENT_PVP_DEFENSES_COMPLETED","Tổng số lần phòng thủ thành công: <value>"
"TID_ACHIEVEMENT_DONATE_UNITS_COMPLETED","Tổng số lực lượng đã đóng góp: <value>"
"TID_ACHIEVEMENT_DESTROY_MORTARS_COMPLETED","Tổng số Súng cối đã phá hủy: <value>"
"TID_ACHIEVEMENT_LOOT_DARK_ELIXIR_COMPLETED","Tổng số Hắc Tiên dược cướp được: <value>"
"TID_ACHIEVEMENT_DESTROY_XBOW_COMPLETED","Tổng số Tháp cung đã phá hủy: <value>"
"TID_ACHIEVEMENT_DESTROY_INFERNO_COMPLETED","Tổng số Tháp Hỏa ngục đã phá hủy: <value>"
"TID_LINK_DEVICE_BUTTON","Liên kết thiết bị"
"TID_OPEN_GAMECENTER_BUTTON","Mở Game Center"
"TID_LINK_TARGET_IOS_BUTTON","Tôi muốn liên kết với\niPhone, iPad hoặc iPod"
"TID_LINK_TARGET_IOS_BUTTON_ANDROID","Tôi muốn liên kết với\nthiết bị Android"
"TID_LINK_TARGET_OTHER_BUTTON","Tôi muốn liên kết với\nthiết bị khác"
"TID_LINK_TARGET_DEVICE_TYPE","Thiết bị đích"
"TID_LINK_TARGET_DEVICE_TEXT","Chọn loại thiết bị bạn muốn liên kết:"
"TID_ANDROID_BILLING_PRODUCT_NOT_AVAILABLE_PRICE","Nhấn để xem thông tin!"
"TID_ALLIANCE_INVITATION_FAILED_NO_RIGHTS","Chỉ có Huynh trưởng và Thủ lĩnh mới được quyền mời thành viên mới"
"TID_GOOGLE_SERVICE_CONNECT_TITLE","Đề xuất Đăng nhập Google Play"
"TID_GOOGLE_SERVICE_CONNECT_TEXT","Thưa Chỉ huy!\n<c2>Hãy bảo vệ tiến trình của bạn ngay </c> bằng cách đăng nhập vào tài khoản Google Play.\n\nSau đó, <c2>bạn sẽ luôn có thể khôi phục làng mình trên bất kỳ thiết bị Android nào </c> khi bạn đăng nhập lại bằng cùng một tài khoản Google Play."
"TID_GOOGLE_SERVICE_CONNECT_BUTTON","Kết nối"
"TID_ACCOUNT","Thiết bị"
"TID_LINK_SAME_PLATFORM_TITLE","Đồng bộ với Game Center"
"TID_LINK_SAME_PLATFORM_TITLE_ANDROID","Đồng bộ với tài khoản Google"
"TID_LINK_SAME_PLATFORM_TITLE_KUNLUN","Đồng bộ với tài khoản của bạn"
"TID_LINK_SAME_PLATFORM","Để chơi trên nhiều thiết bị iOS, hãy đảm bảo rằng bạn đã đăng nhập vào Game Center trên thiết bị này.\n\nSau đó, đăng nhập vào Game Center trên thiết bị kia. Tiến trình của bạn sẽ tự động được đồng bộ hóa."
"TID_LINK_SAME_PLATFORM_ANDROID","Để chơi trên nhiều thiết bị Android, hãy đảm bảo rằng bạn đã đăng nhập vào tài khoản Google trong phần cài đặt trò chơi.\n\nSau đó, đăng nhập đồng thời vào tài khoản Google trên thiết bị kia. Tiến trình của bạn sẽ tự động được đồng bộ hóa."
"TID_LINK_SAME_PLATFORM_KUNLUN","Để chơi trên nhiều thiết bị Android, hãy tải Clash of Clans về từ cùng một Android App Store và đăng nhập bằng cùng một tài khoản. Tiến trình của bạn sẽ tự động được đồng bộ hóa."
"TID_DEVICE_LINK_ERROR_NOT_ATTACHED_TITLE","Chưa được kết nối với Game Center"
"TID_DEVICE_LINK_ERROR_NOT_ATTACHED","Làng của bạn chưa được liên kết với tài khoản Game Center. Vui lòng đảm bảo rằng bạn đã đăng nhập vào tài khoản Game Center chưa có làng nào được liên kết và khởi động lại trò chơi.\n\nBạn sẽ được hỏi xem bạn có muốn liên kết làng hiện tại với tài khoản Game Center hay không. Hãy trả lời \qCó\q.\n\nCẢNH BÁO: Liên kết một làng có tính cố định và không thể thay đổi về sau."
"TID_DEVICE_LINK_ERROR_NOT_ATTACHED_TITLE_ANDROID","Chưa được kết nối với Google Play"
"TID_DEVICE_LINK_ERROR_NOT_ATTACHED_ANDROID","Làng của bạn chưa được liên kết với tài khoản Google. Hãy quay lại màn hình cài đặt và đăng nhập bằng tài khoản Google Play chưa có làng nào được kết nối.\n\nCẢNH BÁO: Liên kết một làng có tính cố định và không thể thay đổi về sau."
"TID_DEVICE_LINK_WRONG_ACCOUNT_TITLE","Tài khoản đã đăng nhập không chính xác"
"TID_DEVICE_LINK_WRONG_ACCOUNT","Làng hiện tại đã được liên kết với một tài khoản Game Center khác với tài khoản bạn đang đăng nhập.\n\nVui lòng đăng xuất khỏi ứng dụng Game Center và đăng nhập lại bằng tài khoản được kết nối với làng này.\n\nSau đó, hãy thử liên kết lại."
"TID_DEVICE_LINK_WRONG_ACCOUNT_ANDROID","Làng hiện tại đã được liên kết với một tài khoản Google khác với tài khoản bạn đang đăng nhập.\n\nVui lòng đăng xuất khỏi tài khoản Google hiện tại từ màn hình cài đặt, và đăng nhập bằng tài khoản được kết nối với làng này.\n\nSau đó, hãy thử liên kết lại."
"TID_DEVICE_LINK_ERROR_ALREADY_BOUND_TO_ALL_PLATFORMS_TITLE","Đã liên kết"
"TID_DEVICE_LINK_ERROR_ALREADY_BOUND_TO_ALL_PLATFORMS","Làng hiện tại đã được liên kết. Chỉ có thể liên kết một lần."
"TID_LINK_CANCELLED_TITLE","Đã hủy liên kết"
"TID_LINK_CANCELLED","Bạn đã hủy bỏ liên kết. Không có thiết bị nào được liên kết."
"TID_DEVICE_LINK_ERROR_CODE_CURRENT_VILLAGE_TOO_HIGH","Không thể ghi đè làng này"
"TID_DEVICE_LINK_ERROR_CODE_CURRENT_VILLAGE_TOO_HIGH_TEXT","Làng của bạn đã được liên kết cố định với tài khoản Game Center mà bạn sử dụng để đăng nhập.\n\nVì đã có tiến trình của làng này (Nhà chính cấp <level> hoặc đã thực hiện giao dịch) nên không thể được ghi đè thêm được nữa."
"TID_DEVICE_LINK_ERROR_CODE_CURRENT_VILLAGE_TOO_HIGH_TEXT_ANDROID","Làng của bạn đã được liên cố định với tài khoản Google mà bạn sử dụng để đăng nhập.\n\nVì đã có tiến trình của làng này (Nhà chính cấp <level> hoặc đã thực hiện giao dịch) nên không thể được ghi đè thêm được nữa."
"TID_DEVICE_LINK_ERROR_CODE_CURRENT_VILLAGE_TOO_HIGH_TEXT_KUNLUN","Làng của bạn đã được liên cố định với tài khoản mà bạn sử dụng để đăng nhập.\n\nVì đã có tiến trình của làng này (Nhà chính cấp <level> hoặc đã thực hiện giao dịch) nên không thể được ghi đè thêm được nữa."
"TID_DEVICE_LINK_ERROR_CODE_SAME_PLATFORM","Mã liên kết không khả dụng"
"TID_DEVICE_LINK_ERROR_CODE_SAME_PLATFORM_TEXT","Bạn không cần sử dụng mã liên kết để chơi trên nhiều thiết bị iOS.\n\nĐể chơi trên thiết bị iOS khác, hãy đảm bảo rằng bạn đã đăng nhập vào Game Center trên thiết bị kia. Sau đó, trên thiết bị này, hãy đăng nhập với cùng một tài khoản Game Center.\n\nTiến trình của bạn sẽ được tự động đồng bộ hóa thông qua tài khoản Game Center của bạn."
"TID_DEVICE_LINK_ERROR_CODE_SAME_PLATFORM_TEXT_ANDROID","Bạn không cần sử dụng mã liên kết để chơi trên nhiều thiết bị Android.\n\nĐể chơi trên thiết bị Android khác, trước hết, cần đảm bảo rằng bạn đã đăng nhập bằng Đăng nhập Google Play trên thiết bị kia. Sau đó trên thiết bị này, sử dụng Đăng nhập Google Play. (Bạn có thể tìm thấy phần Đăng nhập Google Play trong phần cài đặt của trò chơi.)\n\nTiến trình của bạn sẽ được tự động đồng bộ hóa."
"TID_DEVICE_LINK_ERROR_CODE_SAME_PLATFORM_TEXT_KUNLUN","Bạn không cần sử dụng liên kết mã để chơi trên nhiều thiết bị Android.\n\nĐể chơi trên thiết bị Android khác, hãy tải Clash of Clans về từ cùng Android App Store và đăng nhập bằng cùng một tài khoản.\n\nTiến trình của bạn sẽ được tự động đồng bộ hóa."
"TID_DEVICE_LINK_SUCCESFULL_TITLE","Liên kết thành công!"
"TID_DEVICE_LINK_SUCCESFULL_NEW","Bạn đã liên kết thành công thiết bị này vào tài khoản của bạn. Để bắt đầu chơi, chỉ cần nhấn OK và tài khoản của bạn sẽ được tải. Chúc bạn chơi vui vẻ!"
"TID_DEVICE_LINK_SUCCESFULL_OLD_NO_DEVICE","Bạn đã liên kết thành công một thiết bị mới vào tài khoản của bạn!"
"TID_DEVICE_LINK_SUCCESFULL_OLD","Bạn đã liên kết thành công thiết bị sau vào tài khoản của bạn:"
"TID_DEVICE_LINK_ERROR_CODE_ERROR_0_TITLE","Đã phát sinh lỗi (100)"
"TID_DEVICE_LINK_ERROR_CODE_ERROR_0","Đã xảy ra lỗi. Vui lòng thử lại!"
"TID_DEVICE_LINK_ERROR_CODE_ERROR_1_TITLE","Đã phát sinh lỗi (101)"
"TID_DEVICE_LINK_ERROR_CODE_ERROR_1","Đã xảy ra lỗi. Vui lòng thử lại!"
"TID_DEVICE_LINK_ERROR_CODE_ERROR_2_TITLE","Đã phát sinh lỗi (102)"
"TID_DEVICE_LINK_ERROR_CODE_ERROR_2","Đã xảy ra lỗi. Vui lòng thử lại!"
"TID_ACCEPT_FRIEND_ERROR_BANNED","Người chơi đã bị cấm, không thể thêm bạn."
"TID_ACCEPT_FRIEND_ERROR_TOO_MANY_FRIENDS","Thêm bạn thất bại, danh sách bạn bè đã đầy!"
"TID_ACCEPT_FRIEND_ERROR_GENERIC","Thêm bạn thất bại, thử lại sau"
"TID_EDIT_MODE_CANNOT_SAVE","Đây là sơ đồ đang được sử dụng và không thể hoàn thành sau"
"TID_EDIT_MODE_SAVE_FIRST","Bạn cần hoàn thành làng này trước"
"TID_POPUP_EDIT_MODE_SAVE_TITLE","Lưu Thay đổi"
"TID_POPUP_EDIT_MODE_SAVE","Bạn có chắc bạn muốn lưu các thay đổi?"
"TID_POPUP_EDIT_MODE_DISCARD_TITLE","Bạn có muốn hủy bỏ chỉnh sửa không?"
"TID_POPUP_EDIT_MODE_DISCARD","Bạn có chắc chắn muốn hủy mọi thay đổi và thoát khỏi chế độ chỉnh sửa không?"
"TID_POPUP_EDIT_MODE_COLLECT_TITLE","Thu lại Tất cả"
"TID_POPUP_EDIT_MODE_COLLECT","Bạn có chắc bạn muốn thu lại mọi công trình không?"
"TID_EDIT_MODE_SAVE_BUTTON","Lưu"
"TID_EDIT_MODE_CANCEL_BUTTON","Hủy"
"TID_EDIT_MODE_COPY_BUTTON","Sao chép\nSơ đồ"
"TID_EDIT_MODE_ERASE_ON","Bật\nChế độ Xóa"
"TID_EDIT_MODE_ERASE_OFF","Tắt\nChế độ Xóa"
"TID_EDIT_MODE_REMOVE_ALL_BUTTON","Xóa Tất cả"
"TID_VILLAGE_EDIT_MODE","Chế độ Chỉnh sửa Làng"
"TID_EDIT_MODE_TIP1","Đưa các công trình vào kho đồ bằng cách sử dụng \qXóa tất cả\q hoặc \qChế độ xóa\q"
"TID_EDIT_MODE_TIP2","Kéo các công trình từ kho đồ để sắp xếp chúng"
"TID_DEVICE_LINK_CONFIRMATION_TOWNHALL_LEVEL","Nhà chính cấp <level>"
"TID_EDIT_MODE_REMOVE_BUTTON","Xóa"
"TID_EDIT_MODE_TIP_WALLS","Kéo từ mũi tên để xây tường"
"TID_OPEN_GAMECENTER_BUTTON_ANDROID","Đăng nhập vào Google"
"TID_GOOGLE_SERVICE_SIGN_IN","Đăng nhập"
"TID_NEWS_RESOURCE_BOOST_TITLE","Ưu đãi đặc biệt Cuối tuần!"
"TID_NEWS_RESOURCE_BOOST","Giờ đây bạn có thể cường hóa tất cả công trình thu thập tài nguyên chỉ với MỘT VIÊN NGỌC cho mỗi công trình."
"TID_BUTTON_REPAIR_TRAP","Tái vũ trang"
"TID_BUTTON_REPAIR_TRAP_ALL","Tái vũ trang tất cả"
"TID_TRAP_DAMAGE","Sát thương: <number>"
"TID_TRAP_TRIGGER_RADIUS","Bán kính kích hoạt:"
"TID_CREDITS_BUTTON","Tác giả"
"TID_TERMS_OF_SERVICE_BUTTON","Điều khoản dịch vụ"
"TID_PRIVACY_POLICY_BUTTON","Chính sách quyền riêng tư"
"TID_ABOUT_TITLE","Giới thiệu"
"TID_POPUP_TEXT_ABOUT_TO_SELL_FREE","Bạn có chắc chắn muốn xóa <item> không?"
"TID_TRAP_REPAIR_COST","Chi phí tái vũ trang: <number>"
"TID_TRAP_BROKEN","<item> (Chưa vũ trang)"
"TID_POPUP_TEXT_ABOUT_TO_REARM_ALL","Bạn có thực sự muốn tái vũ trang tất cả bẫy bằng <number> <resource> không?"
"TID_POPUP_REARM_ALL","Tái vũ trang tất cả bẫy"
