"Name","TID","InfoTID","SWF","ExportName","ExportNameConstruction","BuildResource","BuildCost","RequiredExpLevel","MaxCount","Width","Height","PassableSubtilesAtEdge","Icon","BaseGfx","ExportNameBase","IsRed","NotInShop","BPReward","VillageType","RedMul","GreenMul","BlueMul","RedAdd","GreenAdd","BlueAdd","LightsOn","DecoPath","ActiveEffect","ActiveEffectDelay","NationalFlag","RequiredTownHallLevel","UseObjectBottomLayer","IsFadedAndPassableInCombat"
"WoodPile","TID_DECORATION_GENERIC",,"sc/buildings.sc","deco_homevillage_woodpile","generic_construction_state1","Diamonds",500,,0,2,2,1,,1,"deco_goblinpole_base",,"TRUE",,,,,,,,,,,,,,,,"true"
"ClashClam","TID_DECO_COZY_CLAM","TID_DECO_COZY_CLAM_INFO","sc/buildings.sc","deco_clash_of_clam","generic_construction_state1","Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE",,,,,,,,,"true",,,,,,,"true"
"ClashMas2023_dough_building","TID_DECO_GINGERBREAD_BUILDING",,"sc/buildings.sc","clashmas_gingerbread_building",,"Diamonds",500,,1,2,2,1,,,,,"TRUE","TRUE",,,,,,,,,,,,,,,"true"
"ClashMas2023_jinglebell","TID_DECO_JINGLEBELL",,"sc/buildings.sc","deco_jinglebell",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"true"
"ClashMas2023_hogmaster","TID_DECO_HOGMASTER",,"sc/buildings.sc","deco_christmas_hogmaster",,"Diamonds",500,,1,2,2,1,,,"statue_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"true"
"ClashMas2023_sock","TID_DECO_SOCK",,"sc/buildings.sc","deco_ginger_sock",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"true"
"CNY_2023_anchor","TID_DECO_LNY24_ANCHOR",,"sc/buildings.sc","deco_cny_2023_anchor",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"true"
"CNY_2023_Crab","TID_DECO_LNY24_CRAB",,"sc/buildings.sc","deco_cny_2023_Crab",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"true"
"CNY_2023_dragon","TID_DECO_LNY24_BABY_DRAGON",,"sc/buildings.sc","deco_cny_2023_dragon",,"Diamonds",500,,1,2,2,1,,,"statue_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"true"
"LNY_2024_dragonpinata","TID_DECO_LNY24_DRAGON_PINATA",,"sc/buildings.sc","deo_lny24_pinata",,"Diamonds",500,,1,2,2,1,,,"statue_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"true"
"Space_2024_crater","TID_DECO_SPACE_2024_CRATER",,"sc/buildings.sc","deco_space_crater_2x2",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"true"
"Space_2024_globe","TID_DECO_SPACE_2024_GLOBE",,"sc/buildings.sc","deco_globe_space_2x2",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"true"
"Space_2024_goblin_statue","TID_DECO_SPACE_2024_GOBLIN_STATUE",,"sc/buildings.sc","deco_goblin_space_statue_2x2",,"Diamonds",500,,1,2,2,1,,,"deco_goblinpole_base",,"TRUE","TRUE",,,,,,,,,,,,,,,"true"
"Egypt_2024_babydragon","TID_DECO_EGYPT_2024_BABYDRAGON",,"sc/buildings.sc","deco_egypt_babydragon_2x2",,"Diamonds",500,,1,2,2,1,,,,,"TRUE","TRUE",,,,,,,,,,,,,,,"true"
"Egypt_2024_goblin","TID_DECO_EGYPT_2024_GOBLIN",,"sc/buildings.sc","deco_egypt_goblin_2x2",,"Diamonds",500,,1,2,2,1,,,,,"TRUE","TRUE",,,,,,,,,,,,,,,"true"
"Egypt_2024_hog","TID_DECO_EGYPT_2024_HOG",,"sc/buildings.sc","deco_egypt_hog_2x2",,"Diamonds",500,,1,2,2,1,,,,,"TRUE","TRUE",,,,,,,,,,,,,,,"true"
