"Name","TroopLevel","TID","InfoTID","SWF","HousingSpace","BarrackLevel","LaboratoryLevel","Speed","Hitpoints","TrainingTime","TrainingResource","TrainingCost","UpgradeTimeH","UpgradeTimeM","UpgradeResource","UpgradeCost","DonateCost","AttackRange","AttackSpeed","CoolDownOverride","DPS","PreferedTargetDamageMod","DamageRadius","AreaDamageIgnoresWalls","SelfAsAoeCenter","IconSWF","IconExportName","BigPicture","BigPictureSWF","Projectile","AltProjectile","PreferedTargetBuilding","PreferedTargetBuildingClass","PreferredTargetNoTargeting","DeployEffect","AttackEffect","AttackEffect2","HitEffect","HitEffect2","IsFlying","AirTargets","GroundTargets","AttackCount","DieEffect","DieEffect2","Animation","ProductionBuilding","IsJumper","MovementOffsetAmount","MovementOffsetSpeed","TombStone","DieDamage","DieDamageRadius","DieDamageEffect","DieDamageDelay","DisableProduction","SecondaryTroop","IsSecondaryTroop","SecondaryTroopCnt","SecondarySpawnDist","RandomizeSecSpawnDist","PickNewTargetAfterPushback","PushbackSpeed","SummonTroop","SummonTroopCount","SummonCooldown","SummonEffect","SummonLimit","SpawnIdle","SpawnOnAttack","StrengthWeight","ChildTroop","ChildTroopCount","SpeedDecreasePerChildTroopLost","ChildTroop0_X","ChildTroop0_Y","ChildTroop1_X","ChildTroop1_Y","ChildTroop2_X","ChildTroop2_Y","AttackMultipleBuildings","IncreasingDamage","DPSLv2","DPSLv3","Lv2SwitchTime","Lv3SwitchTime","AttackEffectLv2","AttackEffectLv3","AttackEffectLv4","TransitionEffectLv2","TransitionEffectLv3","TransitionEffectLv4","HitEffectOffset","TargetedEffectOffset","SecondarySpawnOffset","CustomDefenderIcon","SpecialMovementMod","InvisibilityRadius","HealthReductionPerSecond","AutoMergeDistance","AutoMergeGroupSize","IsUnderground","ProjectileBounces","FriendlyGroupWeight","EnemyGroupWeight","NewTargetAttackDelay","TriggersTraps","ChainShootingDistance","ChainAttackDistance","ChainAttackMaxTargets","ChainAttackDelay","ChainAttackDamageReductionPercent","ChainAttackEffect","PreAttackEffect","MoveStartsEffect","MoveTrailEffect","BecomesTargetableEffect","BoostedIfAlone","BoostRadius","BoostDmgPerfect","BoostAttackSpeed","HideEffect","VillageType","UnitsInCamp","SpecialAbilityLevel","SpecialAbilityName","SpecialAbilityInfo","SpecialAbilityType","SpecialAbilityAttribute","SpecialAbilityAttribute2","SpecialAbilityAttribute3","SpecialAbilitySpell","SpecialAbilityEffect","SpecialAbilityIcon","DisableDonate","ScaleByTH","EnabledByCalendar","LoseHpPerTick","LoseHpInterval","UpgradeLevelByTH","EvolveToCharacter","EvolveEffect","EvolveOnDamageDealt","EvolveTime","CanAttackWhileMoving","PreferredMovementTarget"
"Healer",1,"TID_HEALER","TID_CHARACTER_INFO_HEALER","sc/characters.cs",14,8,1,200,500,480,"Elixir",5000,48,,"Elixir",750000,10,500,700,,-35,1,200,,,"sc/ui.sc","icon_unit_healer","unit_healer_big","sc/info_healer.sc","HealerEnergy",,,,,"Healer Deploy","Healer Attack",,"Healer Hit",,"true","false","true",,"Healer Die",,"Healer","Barrack","false",,50,"TombStone",,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,200,200,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,5,,600,,,6000,84,,,1500000,,,,,-42,,,,,,,,,,,,,,,,,,,,,,,,,"Healer",,,,,,,,,,,,,,,,,,,,,,,,,185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,6,,840,,,8000,144,,,3000000,,,,,-55,,,,,,,,,,,,,,,,,,,,,,,,,"Healer2",,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,7,,1200,,,10000,336,,,9500000,,,,,-65,,,,,,,,,,,,,,,,,,,,,,,,,"Healer3",,,,,,,,,,,,,,,,,,,,,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,9,,1500,,,15000,,,,,,,,,-80,,,,,,,,,,,,,,,,,,,,,,,,,"Healer4",,,,,,,,,,,,,,,,,,,,,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dragon",1,"TID_DRAGON","TID_CHARACTER_INFO_DRAGON","sc/characters.cs",20,9,1,200,1900,720,"Elixir",18000,108,,"Elixir",2000000,25,300,1250,,140,1,30,,,"sc/ui.sc","icon_unit_dragon","unit_dragon_big","sc/info_dragon.sc",,,,,,"Dragon Deploy","Dragon Attack",,"Dragon Hit",,"true","true","true",,"Dragon Die",,"Dragon","Barrack","false",,15,"TombStone",,,,,,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,-700,80,,,,,,,,,,3000,2000,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,5,,2100,,,20000,144,,,3000000,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,"Dragon2",,,,,,,,,,,,,,,,,,,,,,,,,165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,6,,2300,,,22000,156,,,5000000,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,"Dragon3",,,,,,,,,,,,,,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,7,,2600,,,24000,192,,,7000000,,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,"Dragon4",,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,8,,3000,,,26000,276,,,9000000,,,,,240,,,,,,,,,,,,,,,,,,,,,,,,,"Dragon5",,,,,,,,,,,,,,,,,,,,,,,,,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,9,,3300,,,28000,336,,,11000000,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,"Dragon6",,,,,,,,,,,,,,,,,,,,,,,,,480,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,10,,3600,,,30000,,,,,,,,,310,,,,,,,,,,,,,,,,,,,,,,,,,"Dragon7",,,,,,,,,,,,,,,,,,,,,,,,,540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PEKKA",1,"TID_PEKKA","TID_CHARACTER_INFO_PEKKA","sc/characters.cs",25,10,1,200,2800,720,"Elixir",21000,108,,"Elixir",3000000,25,80,1800,,240,1,,,,"sc/ui.sc","icon_unit_pekka","unit_pekka_big","sc/info_pekka.sc",,,,,,"Pekka Deploy","Pekka Attack",,"Pekka Hit",,"false","false","true",,"Pekka Die",,"PEKKA","Barrack","false",,0,"TombStone",,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,3000,2000,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,6,,3100,,,24000,132,,,5000000,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,"PEKKA2",,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,6,,3500,,,27000,144,,,6000000,,,,,310,,,,,,,,,,,,,,,,,,,,,,,,,"PEKKA3",,,,,,,,,,,,,,,,,,,,,,,,,180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,7,,4000,,,30000,180,,,7500000,,,,,360,,,,,,,,,,,,,,,,,,,,,,,,,"PEKKA4",,,,,,,,,,,,,,,,,,,,,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,8,,4700,,,33000,204,,,8500000,,,,,410,,,,,,,,,,,,,,,,,,,,,,,,,"PEKKA5",,,,,,,,,,,,,,,,,,,,,,,,,350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,8,,5200,,,35000,276,,,10000000,,,,,470,,,,,,,,,,,,,,,,,,,,,,,,,"PEKKA6",,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,9,,5700,,,37000,336,,,12000000,,,,,540,,,,,,,,,,,,,,,,,,,,,,,,,"PEKKA7",,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,10,,6300,,,39000,,,,,,,,,610,,,,,,,,,,,,,,,,,,,,,,,,,"PEKKA7",,,,,,,,,,,,,,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Gargoyle",1,"TID_GARGOYLE","TID_CHARACTER_INFO_MINION","sc/characters.cs",2,1,1,400,55,36,"DarkElixir",6,84,,"DarkElixir",10000,1,275,1000,,35,1,,,,"sc/ui.sc","icon_unit_gargoyle","unit_flyingF_big","sc/info_minion.sc","gargoyle_projectile",,,,,"Gargoyle Deploy","Gargoyle Attack",,"Gargoyle Hit",,"true","true","true",,"Gargoyle Die",,"Gargoyle_lvl1","Dark Elixir Barrack","false",,100,"DarkTombStone",,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,-400,60,,,,,,,,,,200,100,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,5,,60,,,7,96,,,20000,,,,,38,,,,,,,,,,,,,,,,,,,,,,,,,"Gargoyle_lvl1",,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,6,,66,,,8,108,,,30000,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,"Gargoyle_lvl2",,,,,,,,,,,,,,,,,,,,,,,,,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,6,,72,,,9,156,,,40000,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,"Gargoyle_lvl2",,,,,,,,,,,,,,,,,,,,,,,,,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,7,,78,,,10,192,,,100000,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,"Gargoyle_lvl3",,,,,,,,,,,,,,,,,,,,,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,8,,84,,,11,276,,,140000,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,"Gargoyle_lvl4",,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,9,,90,,,12,336,,,180000,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,"Gargoyle_lvl5",,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,10,,96,,,13,,,,,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,"Gargoyle_lvl5",,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Boar Rider",1,"TID_BOARRIDER","TID_CHARACTER_INFO_RIDER","sc/characters.cs",5,2,1,300,270,90,"DarkElixir",40,84,,"DarkElixir",20000,5,60,1000,,60,1,,,,"sc/ui.sc","icon_unit_boarRider","unit_boarRider_big","sc/info_hogrider.sc",,,,"Defense",,"BoarRider Deploy","BoarRider Attack",,"BoarRider Hit",,"false","false","true",,"BoarRider Die",,"BoarRider_lvl1","Dark Elixir Barrack","true",,0,"DarkTombStone",,,,,,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,600,500,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,5,,312,,,45,96,,,30000,,,,,70,,,,,,,,,,,,,,,,,,,,,,,,,"BoarRider_lvl1",,,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,6,,360,,,52,132,,,40000,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,"BoarRider_lvl2",,,,,,,,,,,,,,,,,,,,,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,6,,415,,,58,156,,,50000,,,,,92,,,,,,,,,,,,,,,,,,,,,,,,,"BoarRider_lvl2",,,,,,,,,,,,,,,,,,,,,,,,,150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,7,,480,,,65,192,,,100000,,,,,105,,,,,,,,,,,,,,,,,,,,,,,,,"BoarRider_lvl3",,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,8,,590,,,90,276,,,150000,,,,,118,,,,,,,,,,,,,,,,,,,,,,,,,"BoarRider_lvl4",,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,9,,700,,,115,336,,,200000,,,,,135,,,,,,,,,,,,,,,,,,,,,,,,,"BoarRider_lvl5",,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,10,,810,,,140,,,,,,,,,148,,,,,,,,,,,,,,,,,,,,,,,,,"BoarRider_lvl6",,,,,,,,,,,,,,,,,,,,,,,,,300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Warrior Girl",1,"TID_WARRIORGIRL","TID_CHARACTER_INFO_VALKYRIE","sc/characters.cs",8,3,1,300,750,180,"DarkElixir",70,132,,"DarkElixir",50000,8,50,1800,,94,1,100,,"true","sc/ui.sc","icon_unit_warriorGirl","unit_warriorGirl_big","sc/info_valkyrie.sc",,,,,,"WarriorGirl Deploy","WarriorGirl Attack",,"WarriorGirl Hit",,"false","false","true",,"WarriorGirl Die",,"WarriorGirl_lvl1","Dark Elixir Barrack","false",,0,"DarkTombStone",,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,"true",,,,,,,,,,,,,-50,,,,,,,,,,600,500,600,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,6,,800,,,100,156,,,60000,,,,,106,,,,,,,,,,,,,,,"WarriorGirl Attack",,,,,,,,,,"WarriorGirl_lvl1",,,,,,,,,,,,,,,,,,,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,7,,850,,,130,192,,,70000,,,,,119,,,,,,,,,,,,,,,"WarriorGirl Attack2",,,,,,,,,,"WarriorGirl_lvl2",,,,,,,,,,,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,7,,900,,,160,228,,,110000,,,,,133,,,,,,,,,,,,,,,"WarriorGirl Attack2",,,,,,,,,,"WarriorGirl_lvl2",,,,,,,,,,,,,,,,,,,,,,,,,190,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,8,,1100,,,190,276,,,150000,,,,,148,,,,,,,,,,,,,,,"WarriorGirl Attack2",,,,,,,,,,"WarriorGirl_lvl3",,,,,,,,,,,,,,,,,,,,,,,,,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,9,,1200,,,220,336,,,190000,,,,,163,,,,,,,,,,,,,,,"WarriorGirl Attack2",,,,,,,,,,"WarriorGirl_lvl4",,,,,,,,,,,,,,,,,,,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,10,,1300,,,250,,,,,,,,,178,,,,,,,,,,,,,,,"WarriorGirl Attack2",,,,,,,,,,"WarriorGirl_lvl4",,,,,,,,,,,,,,,,,,,,,,,,,280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Golem",1,"TID_GOLEM","TID_CHARACTER_INFO_GOLEM","sc/characters.cs",30,4,1,150,5100,600,"DarkElixir",450,96,,"DarkElixir",60000,30,100,2400,,38,1,,,,"sc/ui.sc","icon_unit_golem","unit_golem_big","sc/info_golem.sc",,,,"Defense",,"Golem Deploy","Golem Attack",,"Golem Hit",,"false","false","true",,"Golem_split",,"Golem_lvl1","Dark Elixir Barrack","false",,0,"DarkTombStone",350,120,,0,,"Golem Secondary",,2,150,,,,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,1000,3000,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,6,,5400,,,525,132,,,70000,,,,,42,,,,,,,,,,,,,,,,,,,,,,,,,"Golem_lvl1",,,,,,400,,,,,,,2,,,,,,,,,,,,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,7,,5700,,,600,156,,,80000,,,,,46,,,,,,,,,,,,,,,,,,,,,,,,,"Golem_lvl2",,,,,,450,,,,,,,2,,,,,,,,,,,,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,7,,6000,,,675,192,,,90000,,,,,50,,,,,,,,,,,,,,,,,,,,,,,,,"Golem_lvl2",,,,,,500,,,,,,,2,,,,,,,,,,,,270,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,8,,6300,,,750,228,,,150000,,,,,54,,,,,,,,,,,,,,,,,,,,,,,,,"Golem_lvl3",,,,,,530,,,,,,,2,,,,,,,,,,,,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,9,,6600,,,825,276,,,200000,,,,,58,,,,,,,,,,,,,,,,,,,,,,,,,"Golem_lvl4",,,,,,,,,,,,,2,,,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,9,,6900,,,900,336,,,200000,,,,,62,,,,,,,,,,,,,,,,,,,,,,,,,"Golem_lvl5",,,,,,,,,,,,,2,,,,,,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,10,,7200,,,975,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,,,,,,"Golem_lvl6",,,,,,,,,,,,,2,,,,,,,,,,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Golem Secondary",1,"TID_GOLEM_SEC","TID_CHARACTER_INFO_GOLEM_SEC","sc/characters.cs",15,1,1,150,900,,"DarkElixir",,,,"DarkElixir",,1,50,3000,,7,1,,,,"sc/ui.sc","icon_unit_golem","unit_golem_secondary_big","sc/info_golem.sc",,,,"Defense",,,"Small Golem Attack",,"Golem Hit",,"false","false","true",,"Golem_die",,"GolemSmall_lvl1",,"false",,0,"DarkTombStone",70,120,,,"true",,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,500,1500,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,,,1000,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,"GolemSmall_lvl1",,,,,,80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,,,1100,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,"GolemSmall_lvl2",,,,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,,,1200,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,"GolemSmall_lvl2",,,,,,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5,,,,,,,,1260,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,"GolemSmall_lvl3",,,,,,106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6,,,,,,,,1320,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,"GolemSmall_lvl4",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7,,,,,,,,1380,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,"GolemSmall_lvl5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8,,,,,,,,1440,,,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,,,,,,"GolemSmall_lvl6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Warlock",1,"TID_WARLOCK","TID_CHARACTER_INFO_WARLOCK","sc/characters.cs",12,5,1,150,320,360,"DarkElixir",250,156,,"DarkElixir",75000,15,400,700,,100,1,30,,,"sc/ui.sc","icon_unit_witch","unit_witch_big","sc/info_witch.sc","Witch_projectile",,,,,"Warlock Deploy","Warlock Attack",,"Warlock Hit",,"false","true","true",,"Warlock Die",,"Necromancer_lvl1","Dark Elixir Barrack","false",,0,"DarkTombStone",,,,,,,,,150,,,,"Skeleton",4,7000,"Warlock Summon",6,,,800,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,1200,200,,"true",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,,,,,,7,,360,,,350,276,,,160000,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,"Necromancer_lvl1",,,,,,,,,,,,,,150,,,,,4,7000,,8,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3,,,,,,9,,400,,,450,336,,,200000,,,,,140,,,,,,,,,,,,,,,,,,,,,,,,,"Necromancer_lvl2",,,,,,,,,,,,,,150,,,,,4,7000,,10,,,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4,,,,,,10,,440,,,550,,,,,,,,,160,,,,,,,,,,,,,,,,,,,,,,,,,"Necromancer_lvl2",,,,,,,,,,,,,,150,,,,,4,7000,,12,,,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Skeleton",1,"TID_SKELETON","TID_CHARACTER_INFO_SKELETON","sc/characters.cs",1,1,1,300,30,,"DarkElixir",,,,"DarkElixir",50000,1,40,1000,,25,1,,,,"sc/ui.sc","icon_unit_barbarian","unit_skeletonwarrior_big","sc/info_witch.sc",,,,,,"Skeleton Deploy","Skeleton Attack",,"Skeleton Hit",,"false","false","true",,"Skeleton Die",,"Skeleton",,"false",,0,,,,,,"true",,"true",,,,,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,-50,,,,,,,,,,100,100,,"false",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
