"TID","EN","FR","DE","ES","IT","NL","NO","PT","TR","JP","CN","KR","RU"
"TID_FAQ_TEXT_BUYING_ANDROID","Make sure that you are using a valid Google account and that your primary payment method is up to date. You can check this on your personal Google Wallet page. If you have questions about payment methods or canceled orders, please contact Google directly.","Vérifiez que vous utilisez un compte Google valide et que votre mode de paiement principal est correct. Ces informations sont disponibles sur votre page personnelle Google Wallet. Pour toute question sur les modes de paiement ou commandes annulées, veuillez contacter directement Google.","Bitte sorge dafür, dass du ein gültiges Google-Konto verwendest und deine Zahlungsinformationen aktuell sind. Du kannst dies auf deiner persönlichen Google-Wallet Seite überprüfen. Falls du Fragen zu Zahlungsmethoden oder zur Stornierung einer Bestellung hast, wende dich bitte direkt an Google.","Comprueba que estés usando una cuenta de Google válida y que tu método de pago principal esté actualizado. Puedes verificar esta información en tu página de Google Wallet. Si quieres realizar alguna consulta sobre los métodos de pago o sobre algún pedido cancelado, ponte en contacto directamente con Google.","Assicurati di utilizzare un account Google valido e che il metodo di pagamento principale sia aggiornato (puoi controllarlo dalla tua pagina Google Wallet personale). In caso di domande sui metodi di pagamento o sugli ordini annullati, rivolgiti direttamente a Google.","Maak gebruik van een geldig Google-account en zorg dat je primaire betalingsmethode is bijgewerkt. Dit kun je controleren op je persoonlijke Google Wallet-pagina. Als je nog vragen hebt over betalingsmethoden of geannuleerde bestellingen, neem dan rechtstreeks contact op met Google.","Pass på at du bruker en gyldig Google-konto og at den primære betalingsmetoden er gyldig og oppdatert. Du kan sjekke dette på Google Wallet-siden din. Hvis du har spørsmål om betalingsmetoder eller kansellerte bestillinger, må du kontakte Google direkte.","Certifique-se de que está usando uma conta do Google válida e de que o método de pagamento primário está atualizado. Você pode verificar isso em sua página pessoal do Google Wallet. Se tiver perguntas sobre métodos de pagamento ou pedidos cancelados, entre em contato com o Google diretamente.","Geçerli bir Google hesabı kullandığından ve birincil ödeme yönteminin güncel olduğundan emin ol. Bunu kişisel Google Cüzdan sayfandan kontrol edebilirsin. Ödeme yöntemlerin veya iptal edilen siparişlerin ile ilgili sormak istediklerin varsa, lütfen doğrudan Google ile iletişime geç.","お使いのGoogle アカウントが有効であり、かつ、メインのお支払方法が最新であることをご確認ください。これらの情報は、お客様のGoogle ウォレットよりご確認いただけます。お支払方法や、ご注文のキャンセルについてご不明な点がある場合は、直接Google社へご確認くださいますようお願いいたします。","确保您使用了有效的Google账户，并且已更新您的主要付款方式。您可以在自己的Google Wallet页面上检查相关信息。如果您对于付款方式或者取消订单有任何问题，请直接与Google联系。","올바른 Google 계정을 사용하고 있는지, 그리고 주요 결제 방법이 최신 정보로 갱신되었는지 확인하세요. Google Wallet 화면에서 이 정보를 확인할 수 있습니다. 결제 방법이나 주문 취소 관련 문의 사항이 있으면 Google에 바로 문의하세요.","Убедитесь, что вы используете действующую учетную запись Google, и что ваш основной метод оплаты верен. Вы можете проверить это на страничке Google Кошелек. При любых вопросах, связанных с оплатой и невозможностью совершать покупки, пожалуйста, свяжитесь с Google."
"TID_FAQ_TITLE_LOSTGEMS","I have just purchased gems but they never came through. What can I do?","J'ai acheté des gemmes, mais je ne les ai jamais reçues. Que dois-je faire ?","Ich habe gerade Juwelen gekauft, aber sie wurden mir nicht gutgeschrieben. Was kann ich tun?","Acabo de comprar gemas, pero aún no las he recibido. ¿Qué puedo hacer?","Ho appena acquistato delle gemme ma non le ho ancora ricevute. Che cosa posso fare?","Ik heb net edelstenen gekocht, maar ik zie ze niet. Wat moet ik doen?","Jeg har nettopp kjøpt juveler, men de ble ikke levert. Hva gjør jeg?","Acabei de comprar gemas, mas elas não apareceram no jogo. O que posso fazer?","Az önce taş satın aldım ama gelmedi. Ne yapmalıyım?","エメラルドを買ったのに、追加されません。どうすればよいのでしょうか？","我刚刚购买了宝石，但是一直没有收到。怎么办？","방금 보석을 구매했는데 추가되지 않았습니다. 어떻게 해야 하나요?","Я купил кристаллы, но они так и не появились. Что делать?"
"TID_FAQ_TEXT_LOSTGEMS","While most of the transactions go smoothly, sometimes an answer from the payment provider or our servers might be slower than usual or might result in errors. Please wait some time and see if they will arrive. If this doesn't help, quit and restart the game. Your gems should be credited to you.\n\nIf this doesn't help, please contact us via the \qReport an issue\q button below.","Si la plupart des transactions s'effectuent sans problème, il arrive que la réponse du fournisseur de paiement ou de nos serveurs soit plus lente que d'habitude ou renvoie des erreurs. Patientez pour voir si vos gemmes arrivent. Si ce n'est pas le cas, quittez la partie et redémarrez. Vos gemmes devraient vous être créditées.\n\nSi le problème n'est pas résolu, veuillez nous contacter via le bouton \qSignaler un problème\q ci-dessous.","Obwohl die meisten Transaktionen problemlos verlaufen, kann die Rückmeldung vom Zahlungsdienstleister oder unseren Servern manchmal langsamer sein als gewöhnlich oder es könnten Fehler auftreten. Bitte warte etwas, bis die Juwelen erscheinen. Wenn das nicht hilft, beende das Spiel und starte es neu. Deine Juwelen sollten dir gutgeschrieben werden.\n\nWenn das nicht hilft, kontaktiere uns bitte über die Schaltfläche \qProblem melden\q unten.","Aunque la mayoría de las transacciones se realizan sin problemas, a veces se producen errores en nuestros servidores o retrasos en la confirmación del pago. Espera un rato para ver si las gemas llegan a tu cuenta, pero si no las recibes, prueba a salir del juego y reiniciarlo. Entonces deberían aparecer las gemas en tu cuenta.\n\nSi así tampoco se soluciona el problema, ponte en contacto con nosotros a través del botón Informar de un problema que aparece debajo.","Le transazioni normalmente si concludono senza problemi; a volte, però, la risposta del provider dei pagamenti o dei nostri server potrebbe essere più lenta del solito, o potrebbe dare origine a un errore. Ti preghiamo di attendere qualche minuto. Se la transazione non viene conclusa, esci e riavvia il gioco. A questo punto, le gemme dovrebbero essere accreditate.\n\nSe così non fosse, ti preghiamo di contattarci usando il pulsante \qSegnala un problema\q qui sotto.","Hoewel de meeste transacties soepel verlopen, kan een antwoord van de betalingsprovider of onze servers trager zijn dan normaal of resulteren in een foutmelding. Wacht een paar minuten en kijk of je bestelling aankomt. Als dit niet helpt, sluit je het spel af en start je het spel opnieuw. De edelstenen moeten nu zijn bijgeschreven.\n\nAls dit niet helpt, neem dan contact op via de onderstaande knop \qEen probleem melden\q.","Selv om de fleste transaksjoner går som de skal, kan svaret fra en betalingsformidler eller serverne våre være tregere enn vanlig, eller det kan oppstå feil. Vent litt og se om juvelene kommer. Hvis problemet vedvarer, bør du avslutte og starte spillet på nytt. Juvelene skal da bli kreditert deg.\n\nHvis dette ikke hjelper, kan du kontakte oss ved å trykke på \qRapporter et problem\q nedenfor.","Apesar das transações serem realizadas sem problemas, algumas vezes a resposta do provedor de serviços de pagamento ou de nossos servidores pode ser mais lenta que o normal ou resultar em erros. Aguarde e depois verifique se já chegaram. Se isso não ajudar, saia e reinicie o jogo. Suas gemas serão creditadas.\n\nSe isso também não ajudar, entre em contato usando o botão abaixo, \qRelatar um problema\q.","Çoğu işlem sorunsuz şekilde gitse de, bazen ödeme sağlayıcısından gelen cevap geç kalabilir veya bizim sunucularımız normalden yavaş olabilir veya işlem hata ile sonuçlanabilir. Lütfen bir süre bekle ve taşların gelip gelmediğini gör. İşe yaramazsa, oyundan çıkıp tekrar başlat. Taşların sana verilmiş olmalı.\n\nBu işe yaramazsa, lütfen aşağıdaki \qSorun bildir\q düğmesi vasıtasıyla bizimle iletişime geç.","ほとんどのお支払いは円滑に処理されますが、まれに支払機関またはサーバーとの通信に通常よりも時間がかかる場合や、エラーとなる場合があります。少し待ってからエメラルドが追加されているかご確認ください。それでも追加されない場合、ゲームを終了してから再起動してください。エメラルドが追加されているはずです。\n\nその上なお問題が改善されない場合は、下にある「問題を報告」ボタンより、カスタマーサポートまでご連絡ください。","通常情况下大多数在游戏内购买宝石的玩家能实时收到宝石，但由于支付服务提供商或我们的服务器有时会较平时慢，甚至发生错误，一些玩家需要等待比较长时间才能收到宝石。因而在等待绿宝石期间，请勿重复购买宝石。您可以尝试退出游戏，然后重新启动。有时您的宝石会直接计入您的帐户。\n\n如果这样做无效，请点击下方的\qEmail\q，选择\q付费问题\q，然后给我们发送一封Email，我们将尽快为您解决问题。","결제는 대부분 원활하게 진행되지만, 가끔 결제 업체나 저희 서버의 응답이 평상시보다 느려지거나 오류가 발생하여 지연될 수 있으니 조금 기다려주세요. 만약 해결되지 않았다면 게임을 종료하고 다시 시작해보세요. 보석의 수가 정상적으로 적용되었을 것입니다.\n\n이후에도 해결되지 않는다면 아래의 \q문제 신고\q 버튼을 터치해 문의해 주세요.","Большая часть транзакций проходит гладко, но иногда ответ банка или нашего сервера может быть медленнее, чем обычно и даже закончиться ошибкой. Пожалуйста, подождите немного и посмотрите, не придет ли покупка. Если это не помогло, завершите и снова откройте игру. Ваши кристаллы должны будут оказаться у вас.\n\nЕсли этого не произошло, пожалуйста, напишите нам, нажав на кнопку \qСообщить о проблеме\q, расположенную внизу."
"TID_FAQ_TEXT_LOSTGEMS_ANDROID","Most orders go smoothly, but sometimes it can take a while before our servers receive confirmation of your order. Just hang in there a little longer, the gems should arrive soon. If they don´t, try quitting and restarting the game. If you still do not have them, please check the status of your order in your Google Wallet.","La plupart des commandes sont traitées rapidement, mais la réception de leur confirmation sur nos serveurs peut prendre un certain temps. Veuillez patienter encore un peu, vos gemmes devraient bientôt arriver. Si ce n'est pas le cas, essayez de quitter et redémarrer le jeu. Si le problème persiste, vérifiez l'état de votre commande dans Google Wallet.","Die meisten Bestellungen laufen reibungslos ab. Manchmal dauert es jedoch ein bisschen, bis unsere Server eine Bestätigung deiner Bestellung erhalten. Nur ein wenig Geduld! Deine Juwelen sollten bald ankommen. Falls das nicht der Fall ist, beende bitte das Spiel und starte es neu. Wenn du sie dann immer noch nicht hast, überprüfe bitte den Status deiner Bestellung in Google Wallet.","Aunque la mayoría de las compras se realizan sin problemas, a veces nuestros servidores tardan en recibir la confirmación del pedido. Espera un rato para ver si las gemas llegan a tu cuenta, pero si no las recibes, prueba a salir del juego y reiniciarlo. Si así tampoco se soluciona el problema, comprueba el estado del pedido en tu cuenta de Google Wallet.","La maggior parte degli ordini va a buon fine, ma a volte ci vuole un po' di tempo prima che i nostri server ricevano la conferma di un ordine. Resisti: le tue gemme arriveranno presto. In caso contrario, prova a uscire dal gioco e poi a riavviarlo. Se ancora non le vedi, controlla lo stato dell'ordine nel tuo Google Wallet.","De meeste bestellingen verlopen probleemloos, maar soms kan het even duren voordat onze servers de bevestiging van je bestelling hebben ontvangen. Nog heel even geduld, je edelstenen kunnen ieder moment aankomen. Mocht dat niet het geval zijn, dan sluit je het spel af en start je het opnieuw. Als je ze dan nog steeds niet hebt, kun je de status van je bestelling controleren in je Google Wallet.","De fleste bestillinger gjennomføres uten problemer, men noen ganger kan det ta litt tid før serverne våre mottar bekreftelse på bestillingen. Vent litt til, så får du snart juvelene dine. Hvis de ikke dukker opp, kan du prøve å avslutte spillet og starte det på nytt. Hvis du fremdeles ikke får juvelene, kan du sjekke status for bestillingen din i Google Wallet.","A maior parte das compras ocorre sem problemas, mas às vezes pode levar algum tempo até que nossos servidores recebam a confirmação de seu pedido. Espere só mais um pouco, as gemas devem chegar logo. Se não chegarem, tente sair e reiniciar o jogo. Se ainda não as tiver, verifique o status do pedido no Google Wallet.","Çoğu sipariş sorunsuz şekilde gerçekleşir, ancak bazen sunucularımızın siparişin için onay alması biraz uzun sürebilir. Biraz daha bekle, taşların kısa zamanda gelecektir. Eğer gelmezse, çıkıp oyunu yeniden başlatmayı dene. Hâlâ gelmediyse, lütfen Google Cüzdan'dan siparişinin durumunu kontrol et.","ご注文いただいたエメラルドは通常すぐに反映されますが、サーバの混雑度によってはご注文の確認に時間を要する場合もございます。しばらくお待ちいただけば、エメラルドの購入は反映されます。しばらくお待ちいただいても、エメラルドがゲーム内に反映されない時は、ゲームの再起動により反映される場合がございます。それでも反映されない場合には、Googleウォレットの購入履歴をご確認ください。","虽然大部分订单能够正常交易，但有时候服务器需要一段时间才能收到您的订单确认信息。请耐心等待一段时间，宝石将很快到达。如果您未收到宝石，请退出并重新开启游戏。如果仍未收到宝石，请在Google Wallet中检查您的订单状态。","대부분의 주문은 원활하게 진행되지만, 때때로 서버에서 주문이 확인되기 전까지 다소 시간이 걸릴 수 있습니다. 조금만 기다리면 보석이 곧 지급됩니다. 만일 구매한 보석이 도착하지 않으면 게임을 종료한 다음 다시 시작해보세요. 그래도 보석이 추가되지 않는다면 Google Wallet에서 주문 상태를 확인해 보세요.","Большинство заказов осуществляются гладко, но иногда проходит какое-то время прежде, чем наш сервер получает подтверждение вашего заказа. Потерпите немного, и самоцветы появятся. А если нет, попробуйте перезапустить игру. Если и это не даст результата, вы можете проверить статус заказа в Google Кошельке."
"TID_FAQ_TITLE_CLANSCORE","Why is my clan's score smaller than all members' combined scores?","Pourquoi le score de mon clan est-il inférieur à la somme des scores des membres ?","Wieso ist die Punktzahl meines Clans niedriger als die Punktzahl aller Mitglieder zusammen?","¿Por qué la puntuación de mi clan es menor que las puntuaciones combinadas de todos los miembros?","Perché il punteggio del mio clan è inferiore alla combinazione dei punteggi di tutti i membri?","Waarom is de score van mijn clan lager dan de gecombineerde score van alle leden?","Hvorfor er klanens poengsum lavere enn alle medlemmenes poengsummer sammenlagt?","Por que a pontuação de meu clã é menor que a soma dos troféus de todos os membros?","Klan puanım neden tüm üyelerin puanının toplamından daha düşük?","クランのスコアが全メンバーの合計スコアより低いのは何故ですか？","为什么我的部落总分比所有部落成员的奖杯数之和少呢？","왜 클랜 점수가 모든 클랜 동료의 점수를 더한 것보다 낮을까요?","Почему результат моего клана ниже, чем сумма результатов участников?"
"TID_FAQ_TEXT_CLANSCORE","Clan Score is calculated using a formula that uses weighted scores from all clan members. It is not the sum of all members' scores. The Clan Score is designed to allow a more competitive and fair clan ranking.","Pour calculer le score du clan, les scores pondérés de l'ensemble des membres du clan sont utilisés. Le score du clan n'est donc pas la simple somme des scores de ses membres, ce qui permet un classement des clans plus compétitif et plus juste.","Die Clanpunkte werden mit einer Formel aus den gewichteten Punkten aller Clanmitglieder berechnet. Es handelt sich nicht um die Summe der Punkte aller Mitglieder. Die Clanpunkte sollen für mehr Wettbewerb und Fairness in der Clanrangliste sorgen.","La puntuación del clan se calcula con una fórmula que combina las puntuaciones ponderadas de todos los miembros del clan; esta no es la suma de las puntuaciones de todos los miembros. La puntuación del clan se ha diseñado de manera que la clasificación de los clanes sea más competitiva y justa.","Il punteggio di un clan è calcolato per mezzo di una formula che usa i punteggi ponderati, e non la somma, di tutti i membri del clan. Il punteggio del clan è pensato per generare una classifica più competitiva ed equa.","De clanscore is gebaseerd op de gemiddelde score van alle clangenoten, maar is niet de som van alle individuele scores. De clanscore is ontwikkeld voor een competitief en eerlijk klassementssysteem.","Klanens poengsum blir regnet ut med utgangspunkt i klanmedlemmenes vektede poengsummer. Det er ikke summen av alle medlemmenes poengsummer. Klanens resultat brukes til å utarbeide en mer rettferdig klanrangering.","A pontuação do clã é calculada usando uma fórmula que usa pontuações relativas de todos os membros do clã. Não é a soma das pontuações de todos os membros. A pontuação do clã foi desenvolvida de modo a possibilitar uma classificação de clã mais competitiva e justa.","Klan Puanı, tüm klan üyelerinin ağırlıklı puanlarını kullanan bir formülün kullanımıyla hesaplanır. Bu puan, tüm üyelerin puanlarının toplamı değildir. Klan Puanı, daha rekabetçi ve adil bir klan sıralaması oluşturmaya izin verecek şekilde tasarlanmıştır.","クランのスコアはメンバーそれぞれのスコアを特定の比率を加味して算出したもので、全メンバー分のスコアの合計ではありません。クランのスコアはランキング競争がより公平で白熱したものになるように工夫されています。","部落总分是根据一个复杂的公式计算出来的，它综合考量了所有部落成员的奖杯数，而不是简单相加。这个算法可以让部落排名更加公平合理。","클랜 점수는 모든 클랜 동료들의 가중 점수를 사용하는 공식으로 계산됩니다. 단순히 클랜 동료들의 점수를 더한 값은 아닙니다. 이러한 계산법은 더욱 경쟁적이고 공정하게 클랜 순위를 매기기 위해 설계되었습니다.","Результат клана рассчитывается по специальной формуле, учитывающей относительные результаты каждого участника клана. Это не сумма результатов всех участников. Результат клана существует для того, чтобы определение рейтинга клана было честнее и соревновательнее."
"TID_FAQ_TITLE_REPLAY","Why aren't battle replays available?","Pourquoi les vidéos de bataille ne sont-elles pas disponibles ?","Warum sind Kampfwiederholungen nicht verfügbar?","¿Por qué no están disponibles las repeticiones de las batallas?","Perché i replay delle battaglie non sono disponibili?","Waarom zijn er geen gevechtsherhalingen beschikbaar?","Hvorfor er ikke repriser av kamper tilgjengelige?","Por que não há replays de batalha disponíveis?","Savaş tekrarları neden yok?","リプレイを見ることができないのは何故ですか？","为什么不能播放战斗回放？","전투 리플레이를 볼 수 없는 이유는 무엇인가요?","Почему повторы недоступны?"
"TID_FAQ_TEXT_REPLAY","There's a limit to how many replays can be stored in the game system at once, so it's a good idea to watch them as soon as possible. Replays can also become unavailable after a game update or maintenance.","Le nombre de vidéos stockées par le système est limité, et il est donc conseillé de les visionner dès que possible. Les vidéos peuvent aussi devenir indisponibles après une mise à jour ou une maintenance du jeu.","Die Anzahl der Wiederholungen, die gleichzeitig im Spielsystem gespeichert werden können, ist begrenzt. Daher ist es sinnvoll, sie so bald wie möglich anzusehen. Wiederholungen können außerdem nach einer Aktualisierung oder Wartung des Spiels nicht mehr verfügbar sein.","La cantidad de reproducciones que puedes almacenar a la vez en el sistema de juego tiene límite, así que te recomendamos que las veas tan pronto como puedas. Además, se pueden perder tras una actualización del juego o al llevar a cabo tareas de mantenimiento.","È possibile salvare solo un numero limitato di replay di gioco, quindi ti conviene guardarli appena possibile. Inoltre, i replay potrebbero essere cancellati anche in seguito a un aggiornamento o a un intervento di manutenzione.","Er is een limiet aan het aantal herhalingen dat tegelijkertijd in het spelsysteem kan worden opgeslagen. Het is dus een goed idee om deze zo snel mogelijk te bekijken. Herhalingen kunnen ook na een update of na onderhoud niet meer beschikbaar zijn.","Det er begrenset hvor mange repriser som kan lagres samtidig i spillsystemet, så det er lurt å se dem så fort som mulig. Repriser kan også bli utilgjengelige etter en spilloppdatering eller vedlikehold.","Há um limite de replays que podem ser armazenados no sistema de jogo ao mesmo tempo, portanto é uma boa ideia assisti-los logo que for possível. Os replays também podem ficar indisponíveis depois de uma atualização de jogo ou manutenção.","Bir seferde oyunda kaç adet tekrarın depolanacağına dair bir limit vardır, bu nedenle onları bir an önce izlemek en iyi yöntemdir. Tekrarlar, oyun güncellemesi veya bakımı sonrasında kullanılamaz hale de gelebilir.","ゲーム内に同時に保存しておけるリプレイの数には上限があるため、できるだけ早くリプレイを視聴することをお勧めします。また、ゲームのアップデートやメンテナンス実施後には、それまでのリプレイが削除されますのでご注意ください。","系统中可同时存储的战斗回放数量是有限的，所以您最好尽早观看它们。很抱歉，当游戏更新或维护后战斗回放将会被清除，望您知晓。","한 번에 저장할 수 있는 리플레이 수는 제한되어 있으므로 가능한 한 빨리 확인하는 것이 좋습니다. 또한, 게임 업데이트나 점검 후에도 리플레이를 볼 수 없는 경우가 있습니다.","Число повторов игры, хранящихся в системе, ограничено. Поэтому лучше посмотреть их как можно быстрее. Тем более, что после обновления игры или технических работ они могут быть недоступны."
"TID_FAQ_TITLE_MULTIACCOUNT","Can I play multiple accounts on a single device?","Puis-je jouer avec différents comptes sur un seul appareil ?","Kann ich auf einem Gerät mit mehreren Clash of Clans-Konten spielen?","¿Puedo jugar con varias cuentas en un mismo dispositivo?","Posso giocare con più account su un unico dispositivo?","Kan ik met meerdere accounts op één apparaat spelen?","Kan jeg spille med flere kontoer på samme enhet?","Posso jogar com várias contas em um único dispositivo?","Tek bir cihazda birden fazla hesapla oynayabilir miyim?","1つのデバイスで複数のセーブデータを使い分けてプレイできますか？","我能在一个苹果设备上保存多个游戏账户吗？","한 개의 기기에서 여러 계정을 사용할 수 있나요?","Я могу играть с несколькими учетными записями на одном устройстве?"
"TID_FAQ_TEXT_MULTIACCOUNT","Clash of Clans supports only one account per device.","Clash of Clans ne prend en charge qu'un seul compte par appareil.","Clash of Clans unterstützt nur ein Konto pro Gerät.","Clash of Clans solo admite una cuenta por dispositivo.","Clash of Clans supporta solo un account per dispositivo.","Clash of Clans ondersteunt maar één account per apparaat.","Clash of Clans støtter kun én konto per enhet.","Clash of Clans suporta apenas uma conta por dispositivo.","Clash of Clans, cihaz başına yalnızca bir hesabı desteklemektedir.","クラッシュ・オブ・クランはデバイスごとに1つのセーブデータにしか対応していません。","同一个苹果设备上，只能保存一个部落冲突（Clash of Clans）的账户信息。一旦开始游戏，我们将无法为您删除已存储在苹果设备上的游戏数据。","클래시 오브 클랜은 기기당 단 한 개의 계정만 허용합니다.","Clash of Clans поддерживает только одну учетную запись на устройство."
"TID_FAQ_TITLE_MULTIDEVICE","Can I connect multiple devices to the same account?","Puis-je lier différents appareils à un seul et même compte ?","Kann ich mehrere Geräte mit dem gleichen Konto verbinden?","¿Puedo enlazar varios dispositivos a la misma cuenta?","Posso connettere più dispositivi allo stesso account?","Kan ik meerdere apparaten aan één account koppelen?","Kan jeg spille på flere enheter med samme konto?","Posso conectar vários dispositivos à mesma conta?","Aynı hesaba birden fazla cihazla bağlanabilir miyim?","同一のセーブデータに複数のデバイスを関連づけられますか？","我能用多个苹果设备登录同一个游戏账户吗？","하나의 계정을 여러 기기에서 즐길 수 있나요?","Я могу подключить несколько устройств к одной учетной записи?"
"TID_FAQ_TEXT_MULTIDEVICE","You can play one game on multiple devices, but be sure to login to Game Center with the same account on each device. Logging into Game Center links your village to that Game Center account, and allows you to load your game on any device.","Vous pouvez jouer une même partie sur plusieurs appareils, mais vous devez vous assurer de bien vous connecter au Game Center avec le même compte à chaque fois. La connexion au Game Center lie votre village au compte Game Center en question, et vous permet de charger votre partie sur n'importe quel autre appareil.","Ein Spiel kann auf mehreren Geräten gespielt werden. Dazu musst du als Erstes dein Clash of Clans-Spiel auf deinem ursprünglichen Gerät mit einem eigenen Game Center-Account verbinden. Danach kannst du dich auf deinem zweiten Gerät mit dem gleichen Account anmelden und so dein Spiel übertragen.","Sí se puede jugar a una misma partida en varios dispositivos, pero asegúrate de conectar cada dispositivo con la misma cuenta de Game Center. Para ello, inicia sesión en Game Center y enlaza tu aldea con esa cuenta, entonces podrás cargar tu partida en cualquier dispositivo.","Puoi giocare una partita su più dispositivi, ma assicurati di accedere a Game Center con lo stesso account su ognuno di essi. L'accesso al Game Center collega il tuo villaggio a quell'account Game Center e ti permette di caricare il tuo gioco su ogni dispositivo.","Je kunt het spel op meerdere apparaten spelen, maar zorg wel dat je op elk apparaat bij hetzelfde account op Game Center bent aangemeld. Als je je op Game Center aanmeldt, wordt je dorp gekoppeld aan dat Game Center-account en kun je het spel op elk apparaat laden.","Du kan spille ett spill på flere enheter, bare du sørger for å logge inn på den samme Game Center-kontoen med hver enhet. Når du logger inn på Game Center, kobles landsbyen din til Game Center-kontoen, slik at du kan laste inn spillet på alle enheter.","Você pode jogar um jogo em vários dispositivos, mas não se esqueça de entrar no Game Center com a mesma conta em cada dispositivo. Ao conectar-se ao Game Center, a vila será vinculada a essa conta, permitindo que você carregue o jogo em qualquer dispositivo.","Bir oyunu birden fazla cihazda oynayabilirsin ama her cihazda Game Center'a aynı hesapla giriş yaptığından emin ol. Game Center'a giriş yapmak, köyünü o Game Center hesabına bağlar ve oyununu istediğin cihazda yükleyebilmeni mümkün kılar.","同じセーブデータを複数のデバイスで共有することは可能です。それぞれのデバイスで同じ Game Center アカウントにログインしてください。Game Center にログインすることでそのデバイスの村が Game Center アカウントに関連づけられ、どのデバイスでも同じセーブデータを読み込めるようになります。","您可以在多个设备上使用同一游戏账户参与游戏。请确保您已将游戏账号绑定到苹果游戏中心，再用同一游戏中心帐号在另一台苹果设备上登录，进入游戏后系统提示：您想加载大本营为XX级的名叫XXXX的村庄吗？请选择\q确定\q。","동일한 게임을 여러 기기에서 즐길 수 있습니다. 단, 각 기기에 동일한 Game Center 계정으로 로그인해야 합니다. Game Center 계정으로 로그인하면 모든 기기에서 해당 계정의 게임 정보를 불러올 수 있습니다.","Вы можете играть в одну игру на нескольких устройствах, но убедитесь, что вы вошли в одну и ту же учетную запись Game Center. Подключение к Game Center привязывает вашу деревню к этой учетной записи Game Center и позволяет играть игру на разных устройствах."
"TID_FAQ_TEXT_MULTIDEVICE_ANDROID","Yes! First make sure you have connected your village to your Google account using the Google+ Sign-In. You can then load up the same village on other Android devices by connecting to the same Google+ account via the in-game settings.","Oui ! Pour commencer, vérifiez que votre village est connecté à votre compte Google via la connexion Google+. Vous pourrez ensuite accéder au même village sur d'autres appareils Android en vous connectant au même compte Google+ dans les paramètres du jeu.","Ja! Melde dich bitte zuerst bei Google+ an, damit dein Dorf mit deinem Google-Konto verbunden ist. Danach kannst du das gleiche Dorf auf anderen Android-Geräten laden, wenn du in den Spieleinstellungen mit Google+ verbunden bist.","¡Sí! Primero conecta con Google+ y asegúrate de haber enlazado tu aldea a tu cuenta de Google. Si ya lo has hecho, podrás cargarla en otros dispositivos Android con solo iniciar sesión en la misma cuenta de Google+ desde el menú de ajustes del juego.","Sì! Prima di tutto, verifica di aver collegato il tuo villaggio al tuo account Google usando l'accesso a Google+. A questo punto, potrai caricare lo stesso villaggio su altri dispositivi Android connettendoti allo stesso account Google+ dalle impostazioni di gioco.","Ja! Controleer eerst of je dorp is verbonden met je Google-account door je aan te melden met de Google+ Sign-In. Vervolgens kun je hetzelfde dorp op andere Android-apparaten laden door het spel met hetzelfde Google+ account te verbinden via instellingen.","Ja! Sørg først for at du har knyttet landsbyen til Google-kontoen din ved å bruke Google+ Sign-In. Deretter kan du hente frem samme landsby på andre Android-enheter ved å koble deg til den samme Google+-kontoen via innstillingene i spillet.","Sim! Primeiro verifique se você vinculou a vila à sua conta do Google usando o login no Google+. Você então poderá carregar a mesma vila em outros dispositivos Android conectando-se à mesma conta do Google+ por meio das configurações do jogo.","Evet! Önce köyünü Google+ ile Giriş kullanarak Google hesabına bağladığından emin ol. Sonra oyun içi ayarlardan aynı köyü aynı Google+ hesabıyla diğer Android cihazlara yükleyebilirsin.","はい！まずGoogle+ ログインを利用して、あなたの村をGoogle アカウントと関連づけしてください。その後、別のAndroidデバイスで、ゲーム内のオプション設定から、同じGoogle+ アカウントにデバイスを関連づけることで、そのAndroidデバイスで同じ村のデータをロードできるようになります。","是的！首先，请确认您已使用Google+登录您的Google账户并与村庄链接。接着，您可以透过相同的Google+账户，便可以在其他Android设备上载入游戏中相同的村庄。","예! 먼저 Google+에 로그인하여 마을이 Google 계정에 연결되었는지 확인하세요. 그 후 인게임 설정을 통해 같은 Google+ 계정에 접속하면 다른 Android 기기에서도 자신의 마을을 불러올 수 있습니다.","Именно! Сначала убедитесь, что вы соединили вашу деревню к учетной записи Google, используя Google+ Вход. После этого вы сможете загрузить одну и ту же деревню на нескольких устройствах Android, подключившись к этой учетной записи Google+ через настройки в игре."
"TID_FAQ_TITLE_TEXTSIZE","Can I increase the text size?","Est-il possible d'augmenter la taille du texte ?","Kann ich die Textgröße erhöhen?","¿Puedo aumentar el tamaño del texto?","Posso ingrandire le dimensioni del testo?","Kan ik de tekst groter maken?","Kan jeg gjøre teksten større?","Posso aumentar o tamanho do texto?","Metin boyutunu büyütebilir miyim?","テキストの表示サイズは大きくできますか？","我能否调节字体大小？","텍스트 크기를 키울 수 있나요?","Я могу изменить размер текста?"
